date,open,high,low,close,volume
1996-01-02,7.0629,7.11372,6.96528,7.04242,1894508
1996-01-03,7.0629,7.14446,7.04242,7.09363,2511938
1996-01-04,7.04242,7.22148,7.04242,7.17017,4876556
1996-01-05,7.17017,7.22148,7.09363,7.17017,3255593
1996-01-08,7.19597,7.22148,7.17017,7.17017,1149677
1996-01-09,7.17017,7.22148,7.09363,7.18071,3257160
1996-01-10,7.0629,7.09363,6.85802,6.85802,1720216
1996-01-11,6.90915,6.90915,6.80682,6.85802,1059792
1996-01-12,6.85802,6.85802,6.75567,6.75567,1012903
1996-01-15,6.80682,6.80682,6.67402,6.70447,950371
1996-01-16,6.70447,6.73018,6.62793,6.67402,1369292
1996-01-17,6.67402,6.75567,6.64822,6.64822,2568213
1996-01-18,6.67402,6.67402,6.5973,6.62793,2448630
1996-01-19,6.57651,6.64822,6.57651,6.62793,1599072
1996-01-22,6.64822,6.67402,6.5973,6.62793,975386
1996-01-23,6.5973,6.62793,6.57651,6.5973,2121160
1996-01-24,6.57651,6.5973,6.44335,6.52017,2853867
1996-01-25,6.54588,6.73018,6.54588,6.67402,2942969
1996-01-26,6.70447,6.83241,6.64822,6.78119,2171177
1996-01-29,6.75567,6.88354,6.73018,6.85802,1720605
1996-01-30,6.83241,6.83241,6.75567,6.75567,1755777
1996-01-31,6.79135,6.84816,6.76612,6.84816,1243846
1996-02-01,6.87348,6.97611,6.87348,6.97611,4859748
1996-02-02,6.97611,7.00115,6.89377,6.89377,3143828
1996-02-05,6.9248,6.97611,6.89377,6.95002,1254406
1996-02-06,6.9248,6.9248,6.76612,6.79135,2307167
1996-02-07,6.81724,6.9248,6.81724,6.87348,2042215
1996-02-08,6.87348,6.89377,6.76612,6.81724,4036762
1996-02-09,6.81724,7.05769,6.81724,7.02695,9939896
1996-02-12,7.02695,7.18573,7.02695,7.15481,4696792
1996-02-13,7.15481,7.26208,7.13412,7.21143,3188375
1996-02-14,7.15481,7.18573,7.13412,7.13412,1655350
1996-02-15,7.13412,7.28797,7.10377,7.28797,4366192
1996-02-16,7.28797,7.28797,7.15481,7.26208,2422061
1996-02-20,7.18573,7.3443,7.10377,7.13412,2617444
1996-02-21,7.15481,7.31426,7.15481,7.26757,2275908
1996-02-22,7.36461,7.42143,7.26208,7.39572,2302085
1996-02-23,7.39572,7.42143,7.26208,7.36461,4846071
1996-02-26,7.31426,7.39572,7.26208,7.31426,2967194
1996-02-27,7.47206,7.49768,7.31426,7.39572,3978535
1996-02-28,7.47206,7.47206,7.36461,7.39572,2853087
1996-02-29,7.31426,7.36461,7.26208,7.31426,1426737
1996-03-01,7.39572,7.42143,7.26208,7.42143,1430642
1996-03-04,7.44625,7.57478,7.44625,7.52377,3591663
1996-03-05,7.55372,7.62592,7.49768,7.62592,2017996
1996-03-06,7.60532,8.02039,7.60532,7.99439,10828920
1996-03-07,7.9424,7.9424,7.81398,7.83639,5987540
1996-03-08,7.65655,7.75839,7.57478,7.62592,2821438
1996-03-11,7.57478,7.86664,7.57478,7.81398,3916011
1996-03-12,7.81398,7.91254,7.78508,7.83639,4257556
1996-03-13,7.86664,8.07509,7.83639,8.07509,5128608
1996-03-14,8.0975,8.28092,8.07509,8.22913,7383795
1996-03-15,8.20353,8.20353,8.12804,8.15288,6084057
1996-03-18,8.15288,8.38808,8.15288,8.28092,6993800
1996-03-19,8.33649,8.33649,8.17946,8.22913,4592844
1996-03-20,8.22913,8.22913,8.04551,8.15288,6095392
1996-03-21,8.17946,8.28092,8.12804,8.22913,6412318
1996-03-22,8.0975,8.20353,7.99439,7.99439,6661242
1996-03-25,7.99439,8.04551,7.88742,7.96869,3669038
1996-03-26,7.96869,8.12804,7.9424,8.0975,4311480
1996-03-27,8.12804,8.25532,8.0975,8.22913,4844897
1996-03-28,8.20353,8.25532,8.17946,8.25532,2220408
1996-03-29,8.28092,8.28092,8.20353,8.25532,3891779
1996-04-01,8.20353,8.33649,8.17946,8.22913,4492410
1996-04-02,8.28092,8.4888,8.25532,8.40944,4774163
1996-04-03,8.25532,8.30673,8.0975,8.0975,3485372
1996-04-04,8.15288,8.33649,8.0975,8.28092,6246239
1996-04-08,8.12804,8.15288,8.02039,8.15288,2220804
1996-04-09,8.15288,8.36026,8.1383,8.28092,3000804
1996-04-10,8.22913,8.38808,8.12804,8.17946,4489290
1996-04-11,8.17946,8.25532,7.9424,8.20353,2512328
1996-04-12,8.20353,8.20353,8.02039,8.04551,1670978
1996-04-15,8.07509,8.20353,8.07509,8.20353,1804623
1996-04-16,8.17946,8.44047,8.17946,8.44047,3142266
1996-04-17,8.40944,8.44047,8.25532,8.28092,4182521
1996-04-18,8.20353,8.22913,8.07509,8.15288,3908586
1996-04-19,8.15288,8.28092,8.0975,8.20353,1961719
1996-04-22,8.22913,8.28092,8.20353,8.20353,2204002
1996-04-23,8.22913,8.46666,8.22913,8.44047,2418931
1996-04-24,8.5172,8.54783,8.40944,8.4888,4838253
1996-04-25,8.4888,8.54783,8.46666,8.4888,1833149
1996-04-26,8.46666,8.64254,8.46666,8.54783,2460358
1996-04-29,8.54783,8.75349,8.54783,8.70342,3044962
1996-04-30,8.61646,8.67443,8.5172,8.67443,2593612
1996-05-01,8.65704,8.65704,8.44995,8.47284,2848013
