date,open,high,low,close,volume
2005-02-25,29.1541,29.7854,29.1541,29.7854,328728
2005-02-28,29.8538,29.9036,29.3183,29.3183,646212
2005-03-01,29.0642,29.3476,28.7749,29.1726,904829
2005-03-02,29.6965,29.7326,29.1404,29.6301,788026
2005-03-03,29.759,30.1518,29.7278,30.0766,829339
2005-03-04,30.191,30.9777,30.191,30.8585,826957
2005-03-07,30.9914,31.4518,30.709,31.1868,692268
2005-03-08,31.1477,31.1477,30.8956,31.0246,284251
2005-03-09,31.0246,31.0246,30.0121,30.0551,572304
2005-03-10,30.3112,30.6484,30.1725,30.4597,693064
2005-03-11,30.446,30.446,30.0883,30.1177,373519
2005-03-14,30.3268,30.3776,30.0307,30.2702,376364
2005-03-15,30.2975,30.5594,30.1782,30.3699,729309
2005-03-16,30.3268,30.3572,29.7033,29.8216,550620
2005-03-17,29.9163,30.1988,29.847,30.0494,247690
2005-03-18,30.0766,30.1314,29.5899,29.6301,471489
2005-03-21,29.6965,29.7326,29.3183,29.4561,356416
2005-03-22,29.413,29.6965,29.2556,29.3183,867952
2005-03-23,29.1912,29.6652,28.8413,29.4247,657772
2005-03-24,29.4903,30.0698,29.4903,29.8108,510575
2005-03-28,29.7913,30.0121,29.7463,29.8802,1005805
2005-03-29,29.6301,29.9163,29.2556,29.4013,1223585
2005-03-30,29.3476,29.9554,29.2987,29.7326,478766
2005-03-31,29.759,30.0367,29.5304,29.7141,612350
2005-04-01,29.976,29.976,29.3876,29.5586,584013
2005-04-04,29.5381,29.5723,29.1912,29.5441,359904
2005-04-05,29.5441,29.7913,29.5157,29.5655,292801
2005-04-06,29.5723,29.8841,29.5381,29.8802,188180
2005-04-07,29.8802,30.3268,29.7726,30.2379,285675
2005-04-08,30.3913,30.446,30.2311,30.3043,210339
2005-04-11,30.3043,30.3572,30.107,30.2271,455342
2005-04-12,30.2027,30.3776,30.0494,30.3572,972883
2005-04-13,30.4861,30.5487,30.3112,30.3776,227435
2005-04-14,30.3268,30.4226,30.2134,30.3268,556635
2005-04-15,30.4226,30.6142,30.2652,30.4343,1325826
2005-04-18,30.4343,30.7648,30.2975,30.493,257030
2005-04-19,30.5155,30.6669,30.4285,30.6669,255764
2005-04-20,30.6424,30.6748,30.4539,30.5057,246112
2005-04-21,30.4861,30.709,30.4666,30.6748,334264
2005-04-22,30.5819,31.0862,30.5487,31.0413,370665
2005-04-25,30.9622,31.7801,30.8742,31.7517,569612
2005-04-26,31.7176,31.7801,31.4733,31.7323,334107
2005-04-27,31.6834,32.0538,31.57,31.8925,417675
2005-04-28,31.8925,31.8925,31.5192,31.6111,278870
2005-04-29,31.526,32.2229,31.4967,32.2229,264149
2005-05-02,32.1603,32.1926,31.139,31.7918,405961
2005-05-03,31.6834,31.8456,31.5192,31.655,435244
2005-05-04,31.526,31.827,31.526,31.7801,420524
2005-05-05,31.7176,31.7801,31.6473,31.7176,563913
2005-05-06,31.7176,31.7517,31.4029,31.5915,384916
2005-05-09,31.4655,31.9893,31.4655,31.9893,683251
2005-05-10,31.8456,32.4818,31.6774,32.4604,446476
2005-05-11,32.4105,32.4604,32.0392,32.3637,459774
2005-05-12,32.2229,32.2424,31.8858,31.958,382857
2005-05-13,31.8456,32.0128,31.5915,31.8349,209706
2005-05-16,32.0392,32.2229,32.0265,32.1867,557739
2005-05-17,32.0949,32.2981,32.0323,32.1603,446802
2005-05-18,32.2894,32.5396,31.9785,32.4252,404534
2005-05-19,32.4799,33.0125,32.4799,32.8964,388707
2005-05-20,32.8249,32.8846,32.6999,32.8455,395991
2005-05-23,32.8249,32.9833,32.7927,32.8455,357059
2005-05-24,32.7604,32.7604,32.1154,32.3841,414347
2005-05-25,32.4526,32.4526,31.8456,31.9395,224425
2005-05-26,32.0323,32.3841,32.0323,32.1926,521657
