date,open,high,low,close,volume
1996-01-02,2.93988,3.02512,2.89001,3.01098,124497338
1996-01-03,2.98241,3.00381,2.84778,2.89727,141092419
1996-01-04,2.89727,2.89727,2.68447,2.78355,300701283
1996-01-05,2.73397,2.85455,2.69881,2.8192,221761204
1996-01-08,2.82638,2.83344,2.78355,2.79093,37889611
1996-01-09,2.78355,2.78355,2.57067,2.57774,242979699
1996-01-10,2.52796,2.71983,2.52108,2.6347,309831473
1996-01-11,2.71983,2.79093,2.70559,2.78355,164688517
1996-01-12,2.82638,2.86172,2.70559,2.78355,197703774
1996-01-15,2.79093,2.7977,2.57067,2.6561,181298809
1996-01-16,2.68447,2.71983,2.5637,2.70559,244857946
1996-01-17,2.66278,2.84042,2.6347,2.75557,238450069
1996-01-18,2.7977,2.84042,2.75557,2.7977,138983504
1996-01-19,2.81233,2.99694,2.77669,2.98947,200301914
1996-01-22,2.98947,3.08875,2.93988,3.06783,154795341
1996-01-23,3.0535,3.10328,3.03906,3.07491,114310133
1996-01-24,3.07491,3.18832,3.04662,3.18832,145515578
1996-01-25,3.23134,3.25951,3.11026,3.1245,178388900
1996-01-26,3.11026,3.20266,3.06783,3.20266,120895443
1996-01-29,3.20992,3.2381,3.17437,3.20266,71094988
1996-01-30,3.22396,3.26688,3.20266,3.24508,90752064
1996-01-31,3.25225,3.32354,3.20992,3.28063,133855678
1996-02-01,3.28063,3.38707,3.27375,3.38019,112614375
1996-02-02,3.38707,3.39453,3.32354,3.33041,112936293
1996-02-05,3.33748,3.46543,3.33041,3.46543,156901728
1996-02-06,3.47269,3.52936,3.45129,3.52936,139110236
1996-02-07,3.52936,3.5434,3.45129,3.50108,119176873
1996-02-08,3.51532,3.55773,3.46543,3.50804,124786309
1996-02-09,3.59318,3.69972,3.55057,3.60016,256434213
1996-02-12,3.62176,3.65701,3.5434,3.55057,120702803
1996-02-13,3.49371,3.57914,3.46543,3.55773,169659180
1996-02-14,3.56481,3.57197,3.41574,3.49371,178708277
1996-02-15,3.47967,3.55057,3.46543,3.50804,116294853
1996-02-16,3.50804,3.55773,3.47967,3.50804,87461939
1996-02-20,3.44442,3.62854,3.44442,3.60016,76633439
1996-02-21,3.67851,3.73527,3.57914,3.72104,99148462
1996-02-22,3.7989,3.93432,3.7284,3.89877,134483034
1996-02-23,3.97674,4.02662,3.80626,3.9131,148539552
1996-02-26,3.89877,3.98361,3.82748,3.94835,79553484
1996-02-27,3.97674,3.98361,3.8208,3.84889,77753804
1996-02-28,3.89877,3.94835,3.74981,3.77072,81080680
1996-02-29,3.72104,3.82748,3.64297,3.74981,103660342
1996-03-01,3.70709,3.73527,3.32354,3.59318,238849300
1996-03-04,3.62854,3.64297,3.40141,3.47967,130300683
1996-03-05,3.46543,3.70709,3.45129,3.70709,110469968
1996-03-06,3.73527,3.77072,3.62176,3.62854,71849076
1996-03-07,3.64297,3.64984,3.50108,3.59318,67174979
1996-03-08,3.39453,3.55057,3.30213,3.47269,163661938
1996-03-11,3.52248,3.62854,3.47967,3.62176,88227438
1996-03-12,3.57914,3.64297,3.47967,3.57914,88326297
1996-03-13,3.64297,3.70709,3.59318,3.64297,84421490
1996-03-14,3.65701,3.74981,3.60016,3.62176,86762346
1996-03-15,3.64297,3.75639,3.60772,3.74981,91054964
1996-03-18,3.83465,3.85566,3.77789,3.83465,56412384
1996-03-19,3.88414,3.88414,3.70709,3.82748,76869173
1996-03-20,3.80626,3.8208,3.50108,3.62854,122762300
1996-03-21,3.61459,3.62854,3.49371,3.52936,138584280
1996-03-22,3.57197,3.60772,3.46543,3.52936,76254489
1996-03-25,3.57914,3.62176,3.38019,3.41574,109533373
1996-03-26,3.34465,3.39453,3.19569,3.38707,205955692
1996-03-27,3.45129,3.55773,3.40141,3.5434,114888061
1996-03-28,3.52248,3.67851,3.49371,3.64297,94764587
1996-03-29,3.64984,3.7284,3.64984,3.65701,75036542
1996-04-01,3.67851,3.75639,3.67125,3.7284,64837928
1996-04-02,3.77072,3.7989,3.74981,3.77789,65688340
1996-04-03,3.77072,3.86303,3.69972,3.85566,73018865
1996-04-04,3.83465,3.9131,3.7989,3.82748,74316670
1996-04-08,3.62176,3.77072,3.60016,3.65701,120290890
1996-04-09,3.72104,3.72104,3.57197,3.60772,74999787
1996-04-10,3.59318,3.75639,3.59318,3.64984,81879127
1996-04-11,3.60772,3.75639,3.52248,3.75639,92940829
1996-04-12,3.72104,3.74215,3.59318,3.60772,86840927
1996-04-15,3.57914,3.60772,3.45129,3.49371,135564107
1996-04-16,3.50804,3.69972,3.49371,3.64297,115510339
1996-04-17,3.60772,3.65701,3.57197,3.62176,70726178
1996-04-18,3.62854,3.72104,3.61459,3.64297,62294297
1996-04-19,3.64984,3.78476,3.60772,3.77072,110952832
1996-04-22,3.74981,3.82748,3.67125,3.69972,186093303
1996-04-23,3.72104,3.86303,3.69972,3.83465,151874020
1996-04-24,3.88414,4.07621,3.83465,4.06177,184415289
1996-04-25,4.08289,4.09054,3.98361,4.04047,117957660
1996-04-26,4.03379,4.14033,4.01208,4.13277,76687938
1996-04-29,4.11176,4.1258,4.07621,4.1044,60388153
1996-04-30,4.08289,4.11176,4.05481,4.09054,41633455
1996-05-01,4.09054,4.14033,4.06177,4.1258,69015214
1996-05-02,4.1258,4.1258,3.94835,3.96249,77856462
1996-05-03,4.02662,4.11176,3.95543,3.99794,72941559
1996-05-06,4.05481,4.06177,3.95543,4.05481,76610623
1996-05-07,4.08289,4.14033,4.03379,4.1258,83478564
1996-05-08,4.1044,4.16164,3.98361,4.16164,96606082
1996-05-09,4.2183,4.26769,4.1258,4.16164,140928927
1996-05-10,4.31748,4.35322,4.26111,4.33898,177936439
1996-05-13,4.33898,4.3815,4.2892,4.33171,80051570
1996-05-14,4.36726,4.43816,4.3105,4.43119,114321545
1996-05-15,4.40988,4.50964,4.36049,4.36726,102259880
1996-05-16,4.35322,4.43119,4.30324,4.40988,78161902
1996-05-17,4.45986,4.46663,4.38876,4.41714,66508339
1996-05-20,4.45986,4.45986,4.40988,4.43816,63376636
1996-05-21,4.43816,4.44572,4.33898,4.35322,61845643
1996-05-22,4.33171,4.40988,4.3105,4.39554,58043500
1996-05-23,4.43119,4.53066,4.39554,4.51642,75373661
1996-05-24,4.55904,4.56621,4.49512,4.49512,54716620
1996-05-28,4.51642,4.53773,4.40271,4.40988,63521116
1996-05-29,4.41714,4.43119,4.2892,4.3105,76959158
1996-05-30,4.3105,4.35322,4.28222,4.2892,63448880
1996-05-31,4.3105,4.36049,4.2892,4.31748,54318669
1996-06-03,4.31748,4.40988,4.28222,4.39554,66050809
1996-06-04,4.39554,4.41714,4.36049,4.39554,54269239
1996-06-05,4.40988,4.50964,4.33898,4.50964,60087786
1996-06-06,4.53773,4.54489,4.38876,4.38876,73568917
1996-06-07,4.28222,4.41714,4.26111,4.40988,67371420
1996-06-10,4.41714,4.44572,4.39554,4.41714,33751613
1996-06-11,4.41714,4.49512,4.39554,4.49512,48477313
1996-06-12,4.50964,4.54489,4.46663,4.48804,51435376
