date,open,high,low,close,volume
1996-01-02,3.08517,3.08517,3.05111,3.0686,762344
1996-01-03,3.08517,3.1546,3.05111,3.11931,1730526
1996-01-04,3.11931,3.14682,3.07688,3.07688,1838430
1996-01-05,3.0686,3.08517,3.03452,3.03452,895788
1996-01-08,3.0686,3.0686,3.01819,3.03452,275423
1996-01-09,3.01819,3.03452,2.94784,2.99213,1554511
1996-01-10,2.94784,3.00115,2.91423,2.94784,1313163
1996-01-11,2.94784,2.94784,2.8631,2.89736,729700
1996-01-12,2.8631,2.91423,2.8631,2.89736,1791588
1996-01-15,2.91423,2.91423,2.8801,2.8891,366267
1996-01-16,2.89736,2.96514,2.8801,2.93054,2717182
1996-01-17,2.96514,3.07688,2.93054,3.05111,2404869
1996-01-18,3.05111,3.05111,2.96514,3.00115,1138543
1996-01-19,2.99213,3.05111,2.99213,3.05111,2294132
1996-01-22,3.05111,3.05111,3.00115,3.00115,448602
1996-01-23,3.05111,3.05111,2.98163,3.05111,1155584
1996-01-24,3.03452,3.08517,3.01819,3.0686,905732
1996-01-25,3.03452,3.13584,3.03452,3.10247,1121511
1996-01-26,3.11052,3.17184,3.08517,3.17184,1744741
1996-01-29,3.17184,3.17184,3.10247,3.10247,2020141
1996-01-30,3.1546,3.1546,3.10247,3.12757,1199605
1996-01-31,3.10247,3.18916,3.10247,3.1546,929864
1996-02-01,3.18916,3.23907,3.13584,3.23907,2267163
1996-02-02,3.22252,3.34313,3.18916,3.30922,2448878
1996-02-05,3.30922,3.34313,3.30922,3.34313,1208113
1996-02-06,3.34313,3.39399,3.30922,3.34313,1990335
1996-02-07,3.34313,3.3604,3.32579,3.32579,478412
1996-02-08,3.32579,3.4356,3.32579,3.41081,2074087
1996-02-09,3.41081,3.42733,3.30922,3.30922,2556765
1996-02-12,3.29048,3.32579,3.29048,3.30922,702719
1996-02-13,3.30922,3.40253,3.30068,3.34313,1750416
1996-02-14,3.34313,3.44462,3.34313,3.37694,1690792
1996-02-15,3.37694,3.41081,3.34313,3.39399,1110158
1996-02-16,3.34313,3.39399,3.30922,3.30922,1134290
1996-02-20,3.29048,3.3604,3.25636,3.27341,1310318
1996-02-21,3.25636,3.29048,3.22252,3.25636,708402
1996-02-22,3.22252,3.32579,3.22252,3.32579,1112999
1996-02-23,3.27341,3.35139,3.27341,3.29048,809194
1996-02-26,3.29048,3.34313,3.29048,3.29048,371945
1996-02-27,3.34313,3.46388,3.29048,3.42733,1597099
1996-02-28,3.4356,3.46388,3.3604,3.41081,1827077
1996-02-29,3.3604,3.41081,3.32579,3.32579,715489
1996-03-01,3.37694,3.39399,3.32579,3.34313,1090285
1996-03-04,3.32579,3.39399,3.32579,3.3604,712660
1996-03-05,3.3604,3.39399,3.32579,3.37694,890109
1996-03-06,3.38103,3.38103,3.32996,3.32996,576371
1996-03-07,3.36426,3.36426,3.29462,3.29462,626067
1996-03-08,3.27732,3.29462,3.24398,3.24398,535203
1996-03-11,3.27732,3.31314,3.22694,3.31314,847520
1996-03-12,3.27732,3.31314,3.22694,3.2525,1710673
1996-03-13,3.27732,3.31314,3.24398,3.29462,1936393
1996-03-14,3.31314,3.31314,3.26078,3.26078,1005096
1996-03-15,3.27732,3.31314,3.26078,3.31314,1195331
1996-03-18,3.31314,3.32996,3.27732,3.32167,1134290
1996-03-19,3.32996,3.32996,3.29462,3.31314,1260642
1996-03-20,3.32167,3.39836,3.29462,3.36426,1835597
1996-03-21,3.39836,3.39836,3.36426,3.36426,637408
1996-03-22,3.39836,3.39836,3.32996,3.36426,484095
1996-03-25,3.38103,3.38103,3.32996,3.34745,834751
1996-03-26,3.36426,3.41517,3.32996,3.39836,1467897
1996-03-27,3.36426,3.45074,3.36426,3.45074,2082607
1996-03-28,3.39836,3.45074,3.39836,3.39836,1930710
1996-03-29,3.4315,3.48511,3.41517,3.4315,1616960
1996-04-01,3.50162,3.56957,3.45074,3.51867,1507652
1996-04-02,3.51867,3.60489,3.51867,3.60489,1198172
1996-04-03,3.59688,3.60489,3.50162,3.50162,857465
1996-04-04,3.53474,3.53474,3.48511,3.48511,719760
1996-04-08,3.4315,3.50162,3.4315,3.45074,1220891
1996-04-09,3.45074,3.51867,3.45074,3.48511,946900
1996-04-10,3.48511,3.51867,3.46826,3.48511,258371
1996-04-11,3.48511,3.58884,3.48511,3.53474,2393507
1996-04-12,3.58884,3.65557,3.58884,3.65557,2017312
1996-04-15,3.65557,3.70671,3.58884,3.60489,3116101
1996-04-16,3.62196,3.63897,3.58884,3.62196,982397
1996-04-17,3.58884,3.60489,3.56957,3.56957,1466488
1996-04-18,3.58884,3.58884,3.56957,3.58884,234244
1996-04-19,3.58884,3.58884,3.54377,3.54377,2701579
1996-04-22,3.56957,3.60489,3.55206,3.58884,1895217
1996-04-23,3.55206,3.60489,3.55206,3.60489,2588000
1996-04-24,3.58884,3.58884,3.48511,3.51867,1110158
1996-04-25,3.51867,3.58884,3.48511,3.57784,2143656
1996-04-26,3.58884,3.58884,3.55206,3.55206,2047126
1996-04-29,3.58884,3.69011,3.58884,3.67259,1510502
1996-04-30,3.67259,3.72325,3.63897,3.69011,1534633
1996-05-01,3.72325,3.75903,3.69011,3.75903,552244
1996-05-02,3.72325,3.77635,3.72325,3.74248,2047126
1996-05-03,3.74248,3.75903,3.70671,3.74248,908566
1996-05-06,3.70671,3.74248,3.65557,3.69011,806357
1996-05-07,3.70671,3.70671,3.63897,3.63897,1135706
1996-05-08,3.63897,3.70671,3.60489,3.70671,1169783
1996-05-09,3.70671,3.74248,3.67259,3.74248,790729
1996-05-10,3.70671,3.77635,3.70671,3.77635,586316
1996-05-13,3.77635,3.79337,3.74248,3.79337,528104
1996-05-14,3.76807,3.81066,3.74248,3.81066,454285
1996-05-15,3.77635,3.8438,3.74248,3.79337,1290456
1996-05-16,3.79337,3.8438,3.74248,3.77635,922769
1996-05-17,3.77635,3.77635,3.72325,3.72325,662972
1996-05-20,3.72325,3.77635,3.72325,3.77635,455701
1996-05-21,3.72325,3.77635,3.72325,3.72325,484095
1996-05-22,3.70671,3.74248,3.67259,3.69011,1513327
1996-05-23,3.71496,3.74248,3.69011,3.74248,478412
1996-05-24,3.69011,3.74248,3.69011,3.69011,961078
1996-05-28,3.74248,3.74248,3.67259,3.69011,662972
1996-05-29,3.69011,3.77635,3.67259,3.72325,1537462
1996-05-30,3.72325,3.75903,3.67259,3.70671,682842
1996-05-31,3.72325,3.72325,3.65557,3.67259,1175461
1996-06-03,3.67259,3.70671,3.67259,3.67259,607606
1996-06-04,3.70671,3.80164,3.67259,3.75903,1990335
1996-06-05,3.72325,3.75903,3.72325,3.72325,475583
1996-06-06,3.72325,3.77635,3.70671,3.70671,423054
1996-06-07,3.74248,3.74248,3.69011,3.74248,502552
1996-06-10,3.69011,3.77635,3.67259,3.74248,925598
1996-06-11,3.734,3.77635,3.734,3.734,407438
1996-06-12,3.77635,3.79337,3.734,3.75903,752407
1996-06-13,3.75903,3.79337,3.74248,3.77635,972448
1996-06-14,3.74248,3.77635,3.72325,3.72325,664381
1996-06-17,3.70671,3.74248,3.70671,3.70671,337877
1996-06-18,3.75903,3.79337,3.72325,3.79337,1337294
1996-06-19,3.78484,3.82679,3.75903,3.82679,1156992
1996-06-20,3.81066,3.82679,3.75903,3.79337,2441774
1996-06-21,3.78484,3.81066,3.72325,3.75903,1544578
1996-06-24,3.77635,3.8438,3.74248,3.79337,1191073
1996-06-25,3.8438,3.8438,3.75077,3.75903,875918
1996-06-26,3.79337,3.79337,3.70671,3.72325,851783
1996-06-27,3.70671,3.74248,3.70671,3.71057,577796
1996-06-28,3.71496,3.72325,3.62196,3.67259,4189354
1996-07-01,3.67259,3.69011,3.62196,3.69011,968190
1996-07-02,3.69011,3.74248,3.64731,3.69011,1066149
1996-07-03,3.74248,3.74248,3.69011,3.69011,1895217
1996-07-05,3.63897,3.67259,3.63897,3.63897,309483
1996-07-08,3.67259,3.67259,3.62196,3.62196,731113
1996-07-09,3.67259,3.67259,3.60489,3.65557,728271
1996-07-10,3.65557,3.65557,3.60489,3.60489,249859
1996-07-11,3.65557,3.65557,3.55206,3.55206,1301806
1996-07-12,3.55206,3.58884,3.55206,3.58884,1257788
1996-07-15,3.55206,3.58884,3.55206,3.58884,657294
1996-07-16,3.55206,3.58884,3.55206,3.58884,2066987
1996-07-17,3.56957,3.60489,3.51867,3.55206,2759787
1996-07-18,3.55206,3.55206,3.51867,3.55206,3179991
1996-07-19,3.53474,3.55206,3.50162,3.50162,1277670
1996-07-22,3.50162,3.53474,3.50162,3.53474,261204
1996-07-23,3.50162,3.53474,3.46826,3.49286,1675180
1996-07-24,3.4315,3.46826,3.41517,3.45074,1432420
1996-07-25,3.41517,3.46826,3.38103,3.46826,6636807
1996-07-26,3.46826,3.50162,3.4315,3.50162,530949
1996-07-29,3.45074,3.51867,3.45074,3.46826,2106738
1996-07-30,3.53474,3.53474,3.46826,3.51867,1050538
1996-07-31,3.51867,3.51867,3.46826,3.50162,573534
1996-08-01,3.51867,3.51867,3.48511,3.51867,283931
1996-08-02,3.51867,3.51867,3.48511,3.48511,692778
1996-08-05,3.53474,3.53474,3.48511,3.48511,637408
1996-08-06,3.53474,3.53474,3.48511,3.53474,1022148
1996-08-07,3.53474,3.53474,3.50162,3.53474,516751
1996-08-08,3.53474,3.55206,3.48511,3.48511,1706407
1996-08-09,3.45074,3.48511,3.41517,3.4315,1105892
1996-08-12,3.4315,3.46826,3.41517,3.46826,459963
1996-08-13,3.4335,3.48511,3.4315,3.46826,1066149
1996-08-14,3.48511,3.53474,3.45074,3.53474,1027819
1996-08-15,3.50993,3.62196,3.48511,3.56957,1614127
1996-08-16,3.56957,3.77635,3.56957,3.74248,2781069
1996-08-19,3.75903,3.75903,3.70671,3.74248,569271
1996-08-20,3.74248,3.74248,3.67259,3.67259,699878
1996-08-21,3.68132,3.69011,3.65557,3.69011,281090
1996-08-22,3.65557,3.69011,3.65557,3.69011,218624
1996-08-23,3.65557,3.69011,3.65557,3.65557,251284
1996-08-26,3.69011,3.70671,3.65557,3.65557,404597
1996-08-27,3.70671,3.75903,3.65557,3.75903,907145
1996-08-28,3.75903,3.79337,3.70671,3.79337,542294
1996-08-29,3.75903,3.81066,3.74248,3.75903,858878
1996-08-30,3.75903,3.79337,3.72325,3.72325,748161
1996-09-03,3.75903,3.77635,3.72325,3.77635,122086
1996-09-04,3.75077,3.77635,3.70671,3.70671,178881
1996-09-05,3.74248,3.74248,3.70671,3.70671,428724
1996-09-06,3.74248,3.79337,3.72325,3.79337,651623
1996-09-09,3.81066,3.82679,3.75903,3.82679,525262
1996-09-10,3.79337,3.8438,3.77635,3.77635,269728
1996-09-11,3.79337,3.79337,3.75903,3.79337,369104
1996-09-12,3.79337,3.79337,3.75903,3.75903,584887
1996-09-13,3.79337,3.81066,3.75903,3.81066,550819
1996-09-16,3.75903,3.82679,3.75903,3.82679,532366
1996-09-17,3.79337,3.82679,3.79337,3.82679,349235
1996-09-18,3.82679,3.8438,3.79337,3.79337,204429
1996-09-19,3.81873,3.8438,3.79337,3.82679,1388399
1996-09-20,3.8438,3.8438,3.79337,3.8438,1098809
1996-09-23,3.8438,3.8438,3.75903,3.79337,1318850
1996-09-24,3.82679,3.82679,3.75903,3.77635,1517601
1996-09-25,3.78484,3.79337,3.75903,3.79337,891529
1996-09-26,3.79337,3.8353,3.77635,3.82679,2617815
1996-09-27,3.8353,3.8438,3.80164,3.8438,911411
1996-09-30,3.8438,3.86135,3.81873,3.8438,1340140
1996-10-01,3.8438,3.8438,3.81873,3.81873,349235
1996-10-02,3.81873,3.8438,3.81873,3.8438,181714
1996-10-03,3.81873,3.8438,3.77635,3.80164,644511
