date,open,high,low,close,volume
1996-01-02,4.90876,5.13428,4.87021,5.13428,479962
1996-01-03,5.08763,5.11096,5.01006,5.08763,299205
1996-01-04,5.08763,5.08763,4.95569,4.98643,851270
1996-01-05,5.01006,5.02527,4.97111,5.02527,275517
1996-01-08,4.98643,5.04879,4.98643,5.04879,74415
1996-01-09,5.04879,5.08763,5.01006,5.04079,563909
1996-01-10,4.98643,5.01006,4.79224,4.83098,852809
1996-01-11,4.83098,4.83098,4.79224,4.83098,893497
1996-01-12,4.83098,4.83098,4.79224,4.80806,772473
1996-01-15,4.79224,4.83098,4.79224,4.80806,116900
1996-01-16,4.80806,4.8546,4.80806,4.83098,880102
1996-01-17,4.80806,4.83098,4.70676,4.73037,347612
1996-01-18,4.70676,4.75379,4.59034,4.60586,878558
1996-01-19,4.60586,4.62918,4.56751,4.56751,983102
1996-01-22,4.56751,4.56751,4.42727,4.46632,1673690
1996-01-23,4.46632,4.48924,4.40395,4.44269,2396206
1996-01-24,4.46632,4.60586,4.44269,4.60586,4071701
1996-01-25,4.60586,4.60586,4.54409,4.59034,1808357
1996-01-26,4.59034,4.62918,4.54409,4.56751,1621419
1996-01-29,4.56751,4.59034,4.48924,4.50505,1066781
1996-01-30,4.50505,4.60586,4.50505,4.56751,1156133
1996-01-31,4.56751,4.60586,4.54409,4.60586,1138107
1996-02-01,4.59034,4.76921,4.59034,4.71496,1808100
1996-02-02,4.76921,4.76921,4.69174,4.72237,1163342
1996-02-05,4.66831,4.74559,4.64479,4.74559,519361
1996-02-06,4.70676,4.80806,4.66831,4.76921,758055
1996-02-07,4.79224,4.82357,4.79224,4.79224,1100002
1996-02-08,4.84689,4.88573,4.82357,4.84689,2969382
1996-02-09,4.88573,4.94749,4.88573,4.92447,1028933
1996-02-12,4.94749,5.04879,4.92447,5.01006,475332
1996-02-13,4.98643,5.04879,4.90876,5.02527,817791
1996-02-14,4.98643,4.98643,4.94749,4.97111,449837
1996-02-15,4.94749,5.18883,4.94749,5.13428,1036141
1996-02-16,5.11096,5.14969,5.08763,5.11096,918984
1996-02-20,5.08763,5.11096,5.01006,5.01006,622873
1996-02-21,5.04879,5.14969,5.04879,5.11096,523994
1996-02-22,5.13428,5.17291,5.11096,5.17291,1247026
1996-02-23,5.18883,5.20414,5.17291,5.18883,949626
1996-02-26,5.17291,5.18883,5.08763,5.13428,641925
1996-02-27,5.13428,5.18883,5.08763,5.08763,890919
1996-02-28,5.11096,5.23508,5.08763,5.13428,1617818
1996-02-29,5.13428,5.21186,5.13428,5.14969,1783384
1996-03-01,5.14969,5.31266,5.14969,5.29714,1321701
1996-03-04,5.29714,5.49953,5.29714,5.29714,2168073
1996-03-05,5.31266,5.37521,5.29714,5.31266,1374743
1996-03-06,5.31266,5.35199,5.29714,5.33608,1759952
1996-03-07,5.31266,5.33608,5.27411,5.31266,2448995
1996-03-08,5.27411,5.29714,5.23508,5.25059,592744
1996-03-11,5.14969,5.31266,5.14969,5.27411,865171
1996-03-12,5.29714,5.31266,5.25059,5.31266,748525
1996-03-13,5.29714,5.51465,5.29714,5.51465,1558336
1996-03-14,5.47611,5.55369,5.41356,5.53027,1049787
1996-03-15,5.53027,5.67772,5.53027,5.57691,2542718
1996-03-18,5.55369,5.60023,5.53027,5.55369,997521
1996-03-19,5.57691,5.57691,5.41356,5.41356,667675
1996-03-20,5.43708,5.43708,5.35199,5.39863,522193
1996-03-21,5.39863,5.47611,5.35199,5.41356,751615
1996-03-22,5.39863,5.47611,5.39863,5.47611,278347
1996-03-25,5.51465,5.51465,5.41356,5.41356,679775
1996-03-26,5.41356,5.47611,5.39863,5.39863,1420320
1996-03-27,5.43708,5.8564,5.43708,5.69323,4372704
1996-03-28,5.61565,5.8564,5.61565,5.81755,2962688
1996-03-29,5.79463,5.88001,5.79463,5.83337,2842182
1996-04-01,5.8564,5.95749,5.77882,5.77882,3139068
1996-04-02,5.79463,5.79463,5.71645,5.73197,2399297
1996-04-03,5.69323,5.83337,5.69323,5.79463,2082841
1996-04-04,5.79463,5.93407,5.77882,5.93407,937008
1996-04-08,5.89543,6.05839,5.8564,5.98092,2799955
1996-04-09,6.05839,6.14397,6.04297,6.12065,2850426
1996-04-10,6.10514,6.20624,6.10514,6.20624,3340944
1996-04-11,6.20624,6.28342,6.15959,6.24487,3353045
1996-04-12,6.22195,6.22195,6.15959,6.15959,4606770
1996-04-15,6.20624,6.22195,6.15959,6.18292,3108942
1996-04-16,6.18292,6.22195,6.04297,6.22195,3804427
1996-04-17,6.18292,6.39994,6.18292,6.32235,5334691
1996-04-18,6.36139,6.42335,6.29923,6.39994,2336471
1996-04-19,6.39994,6.50142,6.377,6.46219,2891882
1996-04-22,6.48562,6.50142,6.43877,6.48562,2747942
1996-04-23,6.46219,6.50142,6.43877,6.48562,1674464
1996-04-24,6.48562,6.52445,6.39994,6.39994,2524952
1996-04-25,6.43877,6.48562,6.39994,6.46219,782002
1996-04-26,6.46219,6.50142,6.42335,6.42335,1087125
1996-04-29,6.42335,6.42335,6.377,6.39994,932116
1996-04-30,6.36139,6.36139,6.24487,6.28342,1087125
1996-05-01,6.29923,6.33787,6.29923,6.31494,1320928
1996-05-02,6.29923,6.31494,6.24487,6.28342,1816086
1996-05-03,6.26039,6.26039,6.19823,6.26039,860788
1996-05-06,6.26039,6.26039,6.09733,6.09733,879588
1996-05-07,6.09733,6.14397,6.08172,6.09733,793839
