date,open,high,low,close,volume
1996-01-02,8.63536,8.84382,8.63536,8.81696,1012317
1996-01-03,8.81696,8.9174,8.79107,8.9174,493968
1996-01-04,8.86523,8.9174,8.81696,8.84382,994023
1996-01-05,8.79107,8.90075,8.71011,8.90075,1062393
1996-01-08,8.86523,8.9462,8.86523,8.9174,137051
1996-01-09,8.9174,9.02161,8.9174,9.02161,1051156
1996-01-10,8.9462,9.00274,8.90075,8.9462,1247909
1996-01-11,8.97451,8.97451,8.81696,8.90075,1563741
1996-01-12,8.9174,8.9174,8.84382,8.86523,399278
1996-01-15,8.86523,8.90075,8.84382,8.84382,178459
1996-01-16,8.86523,9.00274,8.84382,8.97451,579656
1996-01-17,8.97451,9.00274,8.9174,8.97451,626522
1996-01-18,8.9462,8.95943,8.90075,8.9462,548207
1996-01-19,8.9174,8.9462,8.84382,8.9174,586725
1996-01-22,8.90075,8.9174,8.86523,8.90075,356914
1996-01-23,8.90075,8.9462,8.86523,8.9174,458985
1996-01-24,8.9462,9.00274,8.9174,9.00274,479196
1996-01-25,8.97451,8.97451,8.86523,8.90075,420142
1996-01-26,8.90075,8.9174,8.84382,8.9174,543712
1996-01-29,8.9462,8.97451,8.90075,8.9462,525097
1996-01-30,9.00274,9.00274,8.9462,8.9462,393502
1996-01-31,8.9462,9.02161,8.9462,9.02161,479835
1996-02-01,8.97451,9.00274,8.90075,8.9462,319681
1996-02-02,8.9174,8.9174,8.84382,8.84382,585116
1996-02-05,8.84382,8.86523,8.76207,8.86523,479835
1996-02-06,8.84382,8.9462,8.84382,8.9462,728590
1996-02-07,8.97451,9.02161,8.9462,9.02161,333162
1996-02-08,9.00274,9.05578,8.97451,9.02161,354344
1996-02-09,9.02161,9.11037,9.00274,9.07757,842536
1996-02-12,9.07757,9.18637,9.05578,9.18637,710618
1996-02-13,9.18637,9.33945,9.18637,9.23465,860822
1996-02-14,9.23465,9.23465,9.11037,9.15912,583834
1996-02-15,9.12857,9.15912,9.05578,9.12857,547239
1996-02-16,9.11037,9.11037,9.02161,9.07757,985361
1996-02-20,9.02161,9.07757,8.86523,8.9174,1428610
1996-02-21,8.9174,8.9462,8.86523,8.9174,546602
1996-02-22,8.9174,9.00274,8.9174,8.9174,1020664
1996-02-23,8.9462,8.97451,8.84382,8.86523,707085
1996-02-26,8.86523,8.97451,8.68723,8.71011,633904
1996-02-27,8.71011,8.79107,8.65356,8.71011,6305339
1996-02-28,8.74114,8.76781,8.63536,8.66057,3422765
1996-02-29,8.60821,8.66057,8.44472,8.44472,2026569
