date,open,high,low,close,volume
1996-01-02,8.87574,8.93673,8.81602,8.87574,846010
1996-01-03,8.90846,9.08624,8.90846,9.0541,620882
1996-01-04,9.11975,9.20686,8.87574,8.96402,975784
1996-01-05,8.90846,8.99597,8.87574,8.96402,1695790
1996-01-08,8.99597,9.0541,8.93673,8.99597,298147
1996-01-09,9.0541,9.08624,8.90846,8.93673,590612
1996-01-10,9.11975,9.41933,9.08624,9.23967,2670066
1996-01-11,9.26796,9.38995,9.23967,9.32885,1438511
1996-01-12,9.32885,9.38995,9.23967,9.29683,870219
1996-01-15,9.23967,9.38995,9.23967,9.35565,602342
1996-01-16,9.44701,9.47765,9.38995,9.47765,858111
1996-01-17,9.47765,9.62992,9.41933,9.62992,558454
1996-01-18,9.60025,10.1104,9.60025,10.1104,1158528
1996-01-19,10.0501,10.1707,9.9591,10.0817,1069237
1996-01-22,10.0204,10.1104,9.92755,9.92755,1427922
1996-01-23,9.9591,9.98976,9.90081,9.9591,995832
1996-01-24,9.9591,10.0204,9.83754,9.98976,1994696
1996-01-25,9.98976,10.0817,9.90081,10.0817,774878
1996-01-26,10.0501,10.23,10.0501,10.23,336734
1996-01-29,10.23,10.23,10.0204,10.1104,952702
1996-01-30,10.1707,10.504,10.1361,10.4396,1209607
1996-01-31,10.504,11.0111,10.4703,10.9824,1600069
1996-02-01,10.9539,10.9539,10.6838,10.7719,676122
1996-02-02,10.7719,10.9212,10.6838,10.8292,1043130
1996-02-05,10.7719,10.9212,10.7115,10.9212,898600
1996-02-06,10.9212,11.1654,10.8945,11.1308,1144907
1996-02-07,11.1654,11.5223,11.1654,11.3423,856977
1996-02-08,11.3423,11.4332,11.2218,11.2879,793414
1996-02-09,11.2879,11.7032,11.2544,11.4047,1594774
1996-02-12,11.4659,11.5223,11.3087,11.4916,2336351
1996-02-13,11.4332,11.6143,11.4332,11.5875,1026490
1996-02-14,11.554,11.554,11.4047,11.4659,541809
1996-02-15,11.4047,11.4659,11.2544,11.3087,623535
1996-02-16,11.3087,11.3087,10.9539,11.0724,1122206
1996-02-20,11.1308,11.3423,11.0724,11.3423,399163
1996-02-21,11.4332,11.6458,11.4047,11.6143,599319
1996-02-22,11.6755,11.8249,11.5875,11.7932,488460
1996-02-23,11.7348,11.7695,11.3423,11.5223,968590
1996-02-26,11.4916,11.5223,11.2544,11.375,375333
1996-02-27,11.3473,11.3473,11.0477,11.1377,645098
1996-02-28,11.201,11.3473,10.8688,10.8945,731363
1996-02-29,10.8688,10.9883,10.7482,10.7482,856601
1996-03-01,10.8035,11.1061,10.8035,11.0794,451761
1996-03-04,11.1061,11.1061,10.9577,11.017,361329
1996-03-05,10.9577,10.9577,10.7778,10.8688,740818
1996-03-06,10.8688,10.9577,10.7482,10.8035,634127
1996-03-07,10.8035,10.8035,10.5919,10.7175,506241
1996-03-08,10.6571,10.7482,10.3822,10.4753,598558
1996-03-11,10.4436,11.2277,10.4139,11.2277,1994319
1996-03-12,11.1703,11.1703,10.6226,10.9577,976160
1996-03-13,10.9272,10.9272,10.7482,10.8035,659474
1996-03-14,10.8361,11.1061,10.7778,11.0477,1367379
1996-03-15,11.1703,11.6498,11.1703,11.4709,1769575
1996-03-18,11.5036,11.9514,11.5036,11.896,778663
1996-03-19,11.8298,11.8614,11.6498,11.7744,709419
1996-03-20,11.8031,11.8031,11.4709,11.5036,602342
1996-03-21,11.5598,11.5934,11.2592,11.3473,557315
1996-03-22,11.3473,11.5934,11.3315,11.5036,1289818
1996-03-25,11.5273,11.7398,11.3473,11.3818,751416
1996-03-26,11.3136,11.4392,11.2949,11.3818,734766
1996-03-27,11.4392,11.4392,11.2592,11.2592,1275819
1996-03-28,11.2592,11.4135,11.2277,11.3136,732117
1996-03-29,11.3818,11.3818,10.9883,11.0477,903514
1996-04-01,11.017,11.1377,10.9883,11.1377,467268
1996-04-02,11.1703,11.2277,11.017,11.0477,598558
1996-04-03,11.0477,11.0477,10.7778,10.8035,740443
1996-04-04,10.8361,10.9883,10.8361,10.9883,889893
1996-04-08,10.8688,10.8945,10.7175,10.8035,775251
1996-04-09,10.8035,10.8688,10.7175,10.8035,919029
1996-04-10,10.8035,10.9883,10.7778,10.9272,1412025
1996-04-11,10.9272,10.9577,10.7175,10.7175,1088530
1996-04-12,10.7482,10.8035,10.5919,10.5919,1118797
1996-04-15,10.6571,11.201,10.6048,11.1061,1111236
1996-04-16,11.4709,11.7744,11.4392,11.6251,1684826
1996-04-17,11.6251,11.7141,11.4709,11.5934,1173669
1996-04-18,11.5934,11.7398,11.5598,11.6251,866818
1996-04-19,11.5934,11.8614,11.5934,11.8614,724928
1996-04-22,11.896,12.0423,11.8298,12.0423,685204
1996-04-23,12.0156,12.0423,11.9514,12.0423,1329923
1996-04-24,12.074,12.3726,12.074,12.3726,663261
1996-04-25,12.7374,12.8303,12.6494,12.7977,1956478
1996-04-26,12.7977,12.7977,12.4674,12.5851,1416566
1996-04-29,12.2262,12.2529,12.1926,12.1926,774878
1996-04-30,12.1926,12.4674,12.074,12.4397,570941
1996-05-01,12.3726,12.4397,12.2845,12.3152,660610
1996-05-02,12.2529,12.2845,12.1067,12.1353,489593
1996-05-03,12.163,12.1926,11.9821,12.1353,925839
1996-05-06,12.1353,12.163,11.7141,11.8298,1200903
1996-05-07,11.896,11.896,11.5757,11.6251,804013
1996-05-08,11.5934,11.7398,11.3473,11.7141,643583
1996-05-09,11.6498,11.6815,11.4709,11.5598,2116903
1996-05-10,11.7141,11.7398,11.6251,11.6251,694665
1996-05-13,11.5598,12.0156,11.5598,11.9821,688228
1996-05-14,12.3726,12.4942,12.0423,12.074,1078320
1996-05-15,12.2262,12.3152,12.1067,12.163,1186149
1996-05-16,12.0156,12.074,11.8298,11.8298,714334
1996-05-17,11.8298,11.8298,11.7398,11.7744,971622
1996-05-20,11.8298,11.9821,11.8298,11.9514,510400
1996-05-21,11.896,12.074,11.896,11.9247,751416
1996-05-22,11.9247,12.074,11.9247,12.0156,956866
