date,open,high,low,close,volume
1996-01-02,9.16355,9.58709,9.11217,9.53639,450388
1996-01-03,9.43153,9.43153,8.84478,8.89527,612939
1996-01-04,9.05879,9.11217,8.68028,8.73981,470298
1996-01-05,8.73981,8.73981,8.30891,8.30891,623130
1996-01-08,8.3606,8.47292,8.30891,8.3606,194394
1996-01-09,8.47292,8.52471,8.10177,8.20514,520200
1996-01-10,8.25693,8.25693,7.98925,7.98925,393306
1996-01-11,8.15335,8.20514,7.93746,7.98925,517309
1996-01-12,7.93746,8.25693,7.93746,8.20514,357532
1996-01-15,8.25693,8.30891,8.04103,8.15335,205625
1996-01-16,8.15335,8.30891,8.04103,8.10177,321173
1996-01-17,8.15335,8.42104,8.10177,8.30891,279030
1996-01-18,8.30891,8.42104,8.20514,8.3606,337152
1996-01-19,8.42104,8.68028,8.42104,8.52471,235499
1996-01-22,8.47292,8.47292,8.04103,8.10177,384158
1996-01-23,8.10177,8.10177,7.72156,7.83379,1154098
1996-01-24,7.83379,7.88557,7.566,7.7823,1164749
1996-01-25,7.83379,7.93746,7.7823,7.83379,815677
1996-01-26,7.7823,7.83379,7.72156,7.83379,737639
1996-01-29,7.83379,7.88557,7.72156,7.7823,237580
1996-01-30,7.88557,7.93746,7.7823,7.88557,467749
1996-01-31,7.83379,7.98925,7.72156,7.93746,896603
1996-02-01,7.98925,8.10177,7.88557,7.98925,523677
1996-02-02,8.10177,8.10177,7.93746,8.04103,442512
1996-02-05,7.93746,8.15335,7.88557,8.15335,374553
1996-02-06,8.10177,8.42104,8.10177,8.25693,1063210
1996-02-07,8.30891,8.42104,8.25693,8.30891,941990
1996-02-08,8.42104,8.47292,8.25693,8.42104,412178
1996-02-09,8.42104,8.73981,8.42104,8.68028,512676
1996-02-12,8.62828,8.84478,8.62828,8.73981,436494
1996-02-13,8.79071,8.89527,8.73981,8.84478,583881
1996-02-14,8.84478,9.00113,8.79071,8.89527,457680
1996-02-15,8.89527,9.16355,8.84478,9.11217,545322
1996-02-16,9.11217,9.21703,8.73981,8.79071,580523
1996-02-20,8.62828,8.73981,8.47292,8.62828,354174
1996-02-21,8.66297,8.87907,8.61109,8.72192,210027
1996-02-22,8.66297,8.93096,8.61109,8.93096,723856
1996-02-23,8.93096,9.09397,8.66297,8.7746,586891
1996-02-26,8.82708,8.82708,8.72192,8.7746,102120
1996-02-27,8.7746,9.04179,8.7746,8.93096,233759
1996-02-28,8.93096,9.04179,8.82708,8.87907,410902
