date,open,high,low,close,volume
2021-01-04,109.90438,111.073769,107.684366,108.488319,1947800
2021-01-05,108.095473,110.123634,107.967571,109.639435,1217200
2021-01-06,111.740667,117.267863,111.603634,115.522911,3083000
2021-01-07,116.747127,118.76615,115.504649,117.934784,2585300
2021-01-08,118.108379,118.674798,114.326134,115.915771,2695400
2021-01-11,114.38094,116.728856,114.31699,115.988853,1490100
2021-01-12,116.016271,117.496283,115.258,117.249611,1479700
2021-01-13,116.856756,117.249592,114.472297,114.572792,2344100
2021-01-14,115.321933,115.659955,113.458217,113.851059,4047400
2021-01-15,112.261426,112.736495,110.543888,112.526367,2590400
2021-01-19,113.741421,115.988841,113.293766,114.655006,2144500
2021-01-20,114.700709,115.559475,113.622678,115.093552,1698500
2021-01-21,115.047865,115.906638,114.106873,114.316994,1348400
2021-01-22,113.677483,114.399216,112.307104,113.677483,1405700
2021-01-25,113.248095,113.494767,110.808823,111.293022,1598900
2021-01-26,111.941662,112.014751,110.087084,110.306343,1140700
2021-01-27,108.424377,108.634505,104.157932,104.934479,2062200
2021-01-28,105.902876,109.365367,105.53744,108.068077,1537100
2021-01-29,107.647846,111.229102,106.652034,107.529076,2444700
2021-02-01,108.716722,111.612788,108.104622,111.037231,3054600
2021-02-02,111.229075,112.7639,108.406098,110.03228,4883000
2021-02-03,110.443377,111.046346,108.7167,109.210037,2133200
2021-02-04,109.39277,110.443396,108.725857,110.123642,2184100
2021-02-05,111.494006,112.087838,109.685103,111.402649,1983000
2021-02-08,112.096996,112.398481,109.100435,109.831306,2548000
2021-02-09,110.041417,110.187594,108.351285,109.474998,1857600
2021-02-10,111.082905,112.179213,110.425129,111.23822,2988400
2021-02-11,111.768086,113.266373,110.964133,112.855255,2285800
2021-02-12,111.996467,113.46734,111.749802,113.266357,1586800
2021-02-16,115.111797,115.449827,114.15253,114.198212,2167800
2021-02-17,112.64514,114.508849,112.64514,114.225639,1302600
2021-02-18,113.503908,114.865156,113.385144,114.371819,1513400
2021-02-19,115.449836,117.551079,115.139213,116.756264,2662100
2021-02-22,116.226381,120.337517,115.751312,119.542702,2533100
2021-02-23,119.469607,120.136521,116.390821,119.551826,2963800
