date,open,high,low,close,volume
1996-01-02,5.08091,5.12624,5.04075,5.12624,1978125
1996-01-03,5.12624,5.20821,5.10357,5.20821,1832065
1996-01-04,5.23029,5.25336,5.1665,5.18975,1768530
1996-01-05,5.12624,5.23029,5.12624,5.23029,1598649
1996-01-08,5.20821,5.20821,5.18975,5.20821,104580
1996-01-09,5.20821,5.23029,5.1665,5.18975,653054
1996-01-10,5.14979,5.20821,5.14979,5.1665,1009579
1996-01-11,5.1665,5.20821,5.14979,5.18975,1238147
1996-01-12,5.20821,5.23029,5.1665,5.20821,930152
1996-01-15,5.18975,5.23029,5.18975,5.18975,571864
1996-01-16,5.20821,5.20821,5.14979,5.18975,2691626
1996-01-17,5.18975,5.27162,5.18975,5.25336,3011095
1996-01-18,5.27162,5.27162,5.18975,5.27162,1862073
1996-01-19,5.25336,5.2937,5.25336,5.27162,1787939
1996-01-22,5.25336,5.25336,5.20821,5.20821,609803
1996-01-23,5.18975,5.20821,5.1665,5.18975,762478
1996-01-24,5.20821,5.27162,5.18975,5.23029,2885775
1996-01-25,5.20821,5.23029,5.18975,5.20821,2573819
1996-01-26,5.18975,5.23029,5.1665,5.23029,989286
1996-01-29,5.20821,5.23029,5.12624,5.18975,825576
1996-01-30,5.20821,5.23029,5.1665,5.20821,1654684
1996-01-31,5.20821,5.20821,5.18975,5.20821,969420
1996-02-01,5.23029,5.27162,5.23029,5.25336,1607032
1996-02-02,5.23029,5.25336,5.18975,5.20821,643347
1996-02-05,5.1665,5.23029,5.14979,5.23029,1272564
1996-02-06,5.20821,5.27162,5.20821,5.23029,1604831
1996-02-07,5.23029,5.31716,5.23029,5.27162,2260078
1996-02-08,5.27162,5.31716,5.25336,5.31716,1552315
1996-02-09,5.31716,5.34012,5.27162,5.31716,2195217
1996-02-12,5.31716,5.34012,5.2937,5.34012,1355518
1996-02-13,5.34012,5.46195,5.34012,5.42053,2665157
1996-02-14,5.39874,5.44387,5.35682,5.39874,1652035
1996-02-15,5.37988,5.50739,5.37988,5.37988,6799213
1996-02-16,5.38946,5.41164,5.30299,5.30299,3062718
1996-02-20,5.28081,5.30299,5.19464,5.21721,2562782
1996-02-21,5.21721,5.23909,5.15359,5.15359,1092536
1996-02-22,5.19464,5.28081,5.15359,5.28081,1277858
1996-02-23,5.26225,5.26225,5.00412,5.09019,6642575
1996-02-26,4.98134,4.98134,4.70484,4.85414,12057598
1996-02-27,4.87699,4.91784,4.85414,4.87699,5976289
1996-02-28,4.91784,4.96317,4.89518,4.89518,4949503
1996-02-29,4.85414,4.87699,4.80909,4.85414,6508875
1996-03-01,4.89518,4.91784,4.83166,4.87699,3491173
1996-03-04,4.85414,4.93591,4.85414,4.89518,1642777
1996-03-05,4.87699,4.93591,4.87699,4.93591,1485691
1996-03-06,4.89518,4.96317,4.89518,4.91784,1562905
1996-03-07,4.87699,4.89518,4.85414,4.89518,7506985
1996-03-08,4.80909,4.80909,4.72752,4.74578,2862393
1996-03-11,4.68227,4.70484,4.57334,4.65951,3965075
1996-03-12,4.61858,4.63684,4.51002,4.57334,4419555
1996-03-13,4.59581,4.59581,4.5281,4.57334,1530261
1996-03-14,4.55077,4.59581,4.55077,4.55077,1598207
1996-03-15,4.55077,4.55077,4.51002,4.5281,2665595
1996-03-18,4.55077,4.68227,4.55077,4.61858,2325386
1996-03-19,4.63684,4.68227,4.55077,4.61858,4865222
1996-03-20,4.61858,4.68227,4.61858,4.65951,2753396
1996-03-21,4.68227,4.68227,4.61858,4.61858,3685327
1996-03-22,4.65951,4.65951,4.61858,4.61858,829992
1996-03-25,4.65951,4.78642,4.59581,4.59581,3002710
1996-03-26,4.57334,4.61858,4.57334,4.59581,2271118
1996-03-27,4.59581,4.68227,4.59581,4.63684,1850163
1996-03-28,4.63684,4.65951,4.61858,4.61858,2045636
1996-03-29,4.63684,4.63684,4.57334,4.57334,10678693
1996-04-01,4.59581,4.61858,4.55077,4.57334,4344547
1996-04-02,4.59581,4.61858,4.55077,4.59581,7086476
1996-04-03,4.55077,4.57334,4.5281,4.55077,1668811
1996-04-04,4.51002,4.5281,4.48715,4.48715,1325076
1996-04-08,4.44192,4.44192,4.29204,4.40108,2361130
1996-04-09,4.40108,4.42375,4.37841,4.37841,1761909
1996-04-10,4.36015,4.37841,4.23323,4.25159,3574567
1996-04-11,4.23323,4.25159,4.16542,4.21085,1896052
1996-04-12,4.21085,4.29204,4.18799,4.25159,4455742
1996-04-15,4.27416,4.27416,4.18799,4.21085,2641320
1996-04-16,4.18799,4.21085,4.16542,4.18799,3146553
1996-04-17,4.18799,4.25159,4.16542,4.23323,11711659
1996-04-18,4.23323,4.25159,4.21085,4.23323,1009138
1996-04-19,4.25159,4.29204,4.23323,4.25159,1964439
1996-04-22,4.25159,4.31949,4.18799,4.23323,1611887
1996-04-23,4.21085,4.31949,4.18799,4.27416,3359677
1996-04-24,4.25159,4.31949,4.23323,4.27416,2863714
1996-04-25,4.27416,4.29204,4.23323,4.27416,1114591
1996-04-26,4.27416,4.29204,4.23323,4.25159,821603
1996-04-29,4.25159,4.29204,4.25159,4.27416,2116680
1996-04-30,4.27416,4.27416,4.23323,4.25159,797779
1996-05-01,4.25159,4.33768,4.23323,4.29204,1535991
1996-05-02,4.25159,4.27416,4.21085,4.23323,1083270
1996-05-03,4.23323,4.23323,4.16542,4.18799,1786176
1996-05-06,4.21085,4.25159,4.18799,4.25159,1753090
1996-05-07,4.25159,4.25159,4.18799,4.21085,1207256
1996-05-08,4.21085,4.33768,4.14266,4.33768,2350535
1996-05-09,4.31949,4.33768,4.29204,4.33768,1719991
1996-05-10,4.37841,4.42375,4.36015,4.40108,2166537
1996-05-13,4.40108,4.48715,4.40108,4.46889,4572230
1996-05-14,4.48715,4.51002,4.46889,4.48715,1373616
1996-05-15,4.48715,4.51002,4.44192,4.46889,1539964
1996-05-16,4.46889,4.46889,4.40108,4.44192,2534982
1996-05-17,4.46889,4.46889,4.44192,4.46889,920446
1996-05-20,4.48715,4.48715,4.44192,4.44192,773071
1996-05-21,4.46889,4.46889,4.37841,4.40108,9703088
1996-05-22,4.43743,4.47817,4.36953,4.47817,5426051
1996-05-23,4.50083,4.519,4.43743,4.43743,4424860
1996-05-24,4.40987,4.4556,4.40987,4.43743,1151218
1996-05-28,4.40987,4.43743,4.36953,4.39219,856905
1996-05-29,4.39219,4.40987,4.36953,4.36953,2415406
1996-05-30,4.34686,4.36953,4.324,4.34686,1872219
1996-05-31,4.324,4.34686,4.28315,4.30132,1152991
1996-06-03,4.28315,4.28315,4.23811,4.26059,1074001
1996-06-04,4.28315,4.324,4.28315,4.29204,1201963
1996-06-05,4.28315,4.36953,4.28315,4.34686,1528932
1996-06-06,4.36953,4.36953,4.28315,4.28315,1985626
1996-06-07,4.23811,4.28315,4.21505,4.26059,2039454
1996-06-10,4.28315,4.30132,4.26059,4.26059,2413197
1996-06-11,4.23811,4.26059,4.21505,4.21505,3817698
1996-06-12,4.1744,4.21505,4.1744,4.1744,2542921
1996-06-13,4.1744,4.19717,4.12936,4.14725,1626008
1996-06-14,4.14725,4.19717,4.14725,4.1744,1616297
1996-06-17,4.19717,4.19717,3.93425,4.12936,2004159
1996-06-18,4.1065,4.12936,4.0385,4.06118,3547651
1996-06-19,4.06118,4.08393,4.0385,4.08393,2092408
1996-06-20,4.06118,4.12936,4.02961,4.1065,9282126
1996-06-21,4.14725,4.1744,4.12936,4.14725,3666787
1996-06-24,4.19717,4.26059,4.1744,4.21505,2527481
1996-06-25,4.26059,4.30132,4.21505,4.26059,4233355
1996-06-26,4.26059,4.28315,4.23811,4.26059,2218163
1996-06-27,4.28315,4.39219,4.26059,4.36953,4502956
1996-06-28,4.39219,4.58701,4.39219,4.54637,11252761
1996-07-01,4.54637,4.58701,4.50083,4.54637,3960216
1996-07-02,4.54637,4.56444,4.50083,4.50083,1537313
1996-07-03,4.50083,4.519,4.47817,4.50083,1396553
1996-07-05,4.43743,4.43743,4.36953,4.39219,916033
1996-07-08,4.36953,4.40987,4.34686,4.39219,2105650
1996-07-09,4.36953,4.4556,4.36953,4.43743,1438919
1996-07-10,4.4556,4.4556,4.39219,4.43743,2224785
1996-07-11,4.4556,4.4556,4.36953,4.40987,1768085
1996-07-12,4.43743,4.50083,4.39219,4.50083,2558806
1996-07-15,4.50083,4.50083,4.40987,4.40987,1918559
1996-07-16,4.40987,4.4556,4.324,4.39219,2259204
1996-07-17,4.39219,4.40987,4.30132,4.34686,1773387
1996-07-18,4.34686,4.36953,4.30132,4.324,2158145
1996-07-19,4.34686,4.34686,4.26059,4.28315,1401853
1996-07-22,4.26059,4.30132,4.21505,4.26059,1098712
1996-07-23,4.21505,4.23811,4.19717,4.19717,1127838
1996-07-24,4.14725,4.23811,4.14725,4.19717,2195217
1996-07-25,4.23811,4.23811,4.14725,4.1744,858669
1996-07-26,4.1744,4.21505,4.14725,4.1744,752776
1996-07-29,4.14725,4.1744,4.1065,4.1065,579800
1996-07-30,4.12936,4.12936,4.1065,4.1065,673787
1996-07-31,4.1065,4.14725,4.1065,4.1065,1625126
1996-08-01,4.08393,4.23811,4.08393,4.1744,1853687
1996-08-02,4.26059,4.28315,4.19717,4.26059,1191820
1996-08-05,4.28315,4.324,4.26059,4.30132,918675
1996-08-06,4.28315,4.30132,4.26059,4.28315,891764
1996-08-07,4.26059,4.28315,4.21505,4.28315,970314
1996-08-08,4.26059,4.28315,4.23811,4.28315,784098
1996-08-09,4.28315,4.28315,4.19717,4.23811,1464506
1996-08-12,4.21505,4.26059,4.19717,4.23811,713502
1996-08-13,4.23811,4.26059,4.21505,4.23811,1421712
1996-08-14,4.21505,4.23811,4.1744,4.19717,1301687
1996-08-15,4.19717,4.19717,4.1065,4.1065,1370083
1996-08-16,4.14725,4.21505,4.1065,4.19717,4074501
1996-08-19,4.21505,4.21505,4.1744,4.21505,985317
1996-08-20,4.21505,4.23811,4.19717,4.21505,7945591
1996-08-21,4.16103,4.21505,4.13836,4.20635,6317817
1996-08-22,4.1791,4.25159,4.1791,4.20635,4236883
1996-08-23,4.20635,4.22433,4.16103,4.1791,1194460
1996-08-26,4.20635,4.20635,4.16103,4.20635,1572614
1996-08-27,4.22433,4.27416,4.22433,4.25159,2209343
1996-08-28,4.25159,4.29204,4.25159,4.29204,1112835
1996-08-29,4.27416,4.3151,4.1791,4.22433,3394528
1996-08-30,4.27416,4.29204,4.16103,4.1791,955306
1996-09-03,4.13836,4.20635,4.11549,4.20635,1425680
1996-09-04,4.1791,4.1791,4.13836,4.1791,2442762
1996-09-05,4.16103,4.1791,4.09293,4.09293,750119
1996-09-06,4.09293,4.1791,4.09293,4.13836,1155186
1996-09-09,4.16103,4.1791,4.11549,4.16103,1036053
1996-09-10,4.13836,4.16103,4.13836,4.16103,699812
1996-09-11,4.13836,4.16103,4.11549,4.11549,594365
1996-09-12,4.13836,4.1791,4.11549,4.16103,994571
1996-09-13,4.22433,4.25159,4.20635,4.25159,1192259
1996-09-16,4.25159,4.29204,4.22433,4.27416,1060316
1996-09-17,4.29204,4.29204,4.1791,4.22433,1305220
1996-09-18,4.20635,4.3151,4.1791,4.29204,2429085
1996-09-19,4.29204,4.33768,4.29204,4.29204,1722196
1996-09-20,4.36015,4.36015,4.29204,4.29204,2708832
1996-09-23,4.29204,4.3151,4.27416,4.29204,1119451
1996-09-24,4.29204,4.3151,4.25159,4.27416,1281830
1996-09-25,4.25159,4.27416,4.20635,4.22433,1878405
1996-09-26,4.25159,4.27416,4.20635,4.27416,7729376
1996-09-27,4.29204,4.29204,4.22433,4.27416,691436
1996-09-30,4.27416,4.33768,4.22433,4.22433,2820474
1996-10-01,4.25159,4.36015,4.25159,4.29204,2048287
1996-10-02,4.3151,4.38301,4.29204,4.36015,2341717
1996-10-03,4.38301,4.40577,4.33768,4.36015,1436262
1996-10-04,4.38301,4.44632,4.38301,4.42835,1359048
1996-10-07,4.42835,4.44632,4.38301,4.38301,1792363
1996-10-08,4.40577,4.47358,4.38301,4.40577,1325959
1996-10-09,4.38301,4.40577,4.36015,4.38301,2184625
1996-10-10,4.33768,4.36015,4.29204,4.3151,1189607
1996-10-11,4.33768,4.38301,4.3151,4.36015,1423471
1996-10-14,4.38301,4.40577,4.36015,4.36015,591269
1996-10-15,4.38301,4.40577,4.29204,4.29204,1926947
1996-10-16,4.33768,4.33768,4.29204,4.33768,735120
1996-10-17,4.33768,4.38301,4.33768,4.36015,1517899
1996-10-18,4.36015,4.38301,4.3151,4.33768,1133572
1996-10-21,4.3151,4.36015,4.3151,4.36015,898830
1996-10-22,4.36015,4.36015,4.29204,4.29204,1564671
1996-10-23,4.3151,4.3151,4.25159,4.3151,1286682
1996-10-24,4.3151,4.3151,4.29204,4.29204,1212558
1996-10-25,4.29204,4.3151,4.27416,4.27416,941183
1996-10-28,4.27416,4.36015,4.27416,4.3151,2230079
1996-10-29,4.33768,4.49185,4.33768,4.42835,1699697
1996-10-30,4.47358,4.49185,4.42835,4.42835,1235945
1996-10-31,4.42835,4.51451,4.42835,4.49185,2020485
1996-11-01,4.49185,4.51451,4.47358,4.51451,1039145
1996-11-04,4.51451,4.60509,4.51451,4.60509,1483922
1996-11-05,4.62756,4.7409,4.62756,4.7409,3644286
1996-11-06,4.7409,4.80451,4.69576,4.7409,4489275
1996-11-07,4.78183,4.8726,4.78183,4.84994,3425865
1996-11-08,4.84994,4.84994,4.78183,4.82747,1016637
1996-11-11,4.82747,4.8726,4.80451,4.82747,3406015
1996-11-12,4.82747,4.82747,4.78183,4.80451,12722562
1996-11-13,4.81809,4.81809,4.70484,4.75028,3807983
