date,open,high,low,close,volume
1996-01-02,4.77329,4.85603,4.7556,4.85603,3484336
1996-01-03,4.89697,5.0619,4.87936,4.93824,8506447
1996-01-04,4.97942,5.00296,4.83816,4.89697,8294668
1996-01-05,4.83816,4.83816,4.7556,4.77329,7985488
1996-01-08,4.73191,4.89697,4.71413,4.77329,3489937
1996-01-09,4.73191,4.7556,4.59045,4.6732,7690557
1996-01-10,4.59045,4.6321,4.52576,4.54963,7756570
1996-01-11,4.59045,4.69071,4.54963,4.6732,6372538
1996-01-12,4.69071,4.69071,4.56712,4.59045,4385078
1996-01-15,4.59045,4.60806,4.54963,4.59045,2992395
1996-01-16,4.60806,4.6321,4.56712,4.59045,4452444
1996-01-17,4.59045,4.6321,4.56712,4.59045,4463476
1996-01-18,4.59045,4.60806,4.50798,4.52576,5205889
1996-01-19,4.56712,4.6321,4.56712,4.59045,7103243
1996-01-22,4.60806,4.77329,4.59045,4.77329,6978688
1996-01-23,4.7556,4.85603,4.69071,4.85603,5568189
1996-01-24,4.83816,4.93824,4.81474,4.89697,6991924
1996-01-25,4.85603,4.87936,4.77329,4.85603,4606189
1996-01-26,4.81474,4.89697,4.79688,4.83816,5787431
1996-01-29,4.80864,4.87362,4.79105,4.85603,2721224
1996-01-30,4.91473,4.97942,4.89697,4.93824,6608244
1996-01-31,4.9972,5.02081,4.87362,4.93824,9813606
1996-02-01,4.93824,5.10329,4.93824,5.10329,8875533
1996-02-02,5.12707,5.16809,4.97942,4.9972,7423119
1996-02-05,4.91473,5.0619,4.87362,4.9972,9050319
1996-02-06,4.9972,5.0619,4.91473,4.97942,8216444
1996-02-07,4.97942,5.03858,4.95574,4.9972,5877882
1996-02-08,4.93824,4.97942,4.85603,4.93824,7189788
1996-02-09,4.9972,5.16809,4.97942,5.0619,12241424
1996-02-12,5.10329,5.18585,5.08552,5.10329,9539042
1996-02-13,5.03858,5.18585,5.02081,5.16809,7100358
1996-02-14,5.14475,5.20946,5.03858,5.18585,8028416
1996-02-15,5.16809,5.25057,5.03858,5.0619,5681886
1996-02-16,5.10329,5.16809,5.03858,5.12707,8472507
1996-02-20,5.0619,5.08552,4.97942,5.02081,5114418
1996-02-21,5.02081,5.10329,4.9972,5.10329,3905182
1996-02-22,5.14475,5.27428,5.12707,5.18585,7165353
1996-02-23,5.20946,5.2328,5.03858,5.08552,5475365
1996-02-26,5.10329,5.2328,5.0619,5.12707,5589058
1996-02-27,5.16809,5.2328,5.10329,5.2328,7654244
1996-02-28,5.29186,5.35676,5.25057,5.27428,9709414
1996-02-29,5.20946,5.29186,5.14475,5.2328,5783867
1996-03-01,5.27428,5.29186,5.2328,5.27428,4677458
1996-03-04,5.31564,5.37443,5.29186,5.35676,5810508
1996-03-05,5.35676,5.43931,5.31564,5.42155,5821373
1996-03-06,5.43931,5.46274,5.33324,5.37443,5931839
1996-03-07,5.37443,5.46274,5.35676,5.42155,5027536
1996-03-08,5.25057,5.37443,5.18585,5.2328,5793544
1996-03-11,5.25057,5.42155,5.2328,5.42155,5423950
1996-03-12,5.42155,5.50394,5.33324,5.43931,7724836
1996-03-13,5.50394,5.52178,5.43931,5.4805,4905188
