date,open,high,low,close,volume
2005-02-25,27.9085,28.5305,27.8032,28.4421,340432
2005-02-28,28.2256,29.1029,28.135,28.9151,558226
2005-03-01,28.9678,29.5312,28.8108,28.9678,305635
2005-03-02,28.8385,29.3185,28.7521,28.933,207182
2005-03-03,28.933,29.1804,28.5137,28.7869,304954
2005-03-04,28.7948,29.1536,28.7701,28.9678,356522
2005-03-07,29.0572,29.2828,28.933,29.0572,253044
2005-03-08,29.0761,29.3633,28.6071,28.8028,235016
2005-03-09,28.6617,28.9678,28.3994,28.6071,217674
2005-03-10,28.6071,28.6518,28.0089,28.312,578307
2005-03-11,28.2256,28.3199,27.364,27.6144,540544
2005-03-14,28.1797,28.312,27.5865,27.9085,603515
2005-03-15,27.9989,28.2056,27.0738,27.3809,416989
2005-03-16,27.3809,27.6044,27.1016,27.3043,374654
2005-03-17,27.4792,28.3397,27.2616,28.0306,475970
2005-03-18,28.4243,28.4243,27.8638,28.0566,957067
2005-03-21,28.0655,29.0412,27.6144,28.7521,543279
2005-03-22,28.0089,29.3185,26.4706,28.0566,1737879
2005-03-23,28.0566,28.5227,27.8728,28.1172,816857
2005-03-24,28.2693,28.5305,28.0486,28.3994,578877
2005-03-28,28.3914,28.6329,28.286,28.4083,424063
2005-03-29,28.2693,28.5305,28.0745,28.2693,382649
2005-03-30,28.2772,29.0125,28.2772,28.924,458511
2005-03-31,29.0502,29.3633,28.8028,28.933,438776
2005-04-01,29.0502,29.6166,28.2772,28.6518,477338
2005-04-04,28.4887,28.4887,27.9274,28.1887,374314
2005-04-05,28.135,28.5644,28.0089,28.2693,268675
2005-04-06,28.3567,28.6518,27.8538,27.9373,503573
2005-04-07,27.7405,27.83,27.3809,27.6044,640936
2005-04-08,27.3809,27.6044,26.725,26.891,848007
2005-04-11,26.9804,27.4604,26.9367,27.048,437633
2005-04-12,27.048,27.2179,26.5849,27.1732,300505
2005-04-13,27.0828,27.3043,26.7062,26.8651,375459
2005-04-14,26.8651,27.0828,26.3842,26.6584,330849
2005-04-15,26.6584,26.734,25.7433,25.9986,280310
2005-04-18,25.9986,26.2639,24.8689,26.2539,569635
2005-04-19,26.3405,26.3653,25.3398,25.7433,560736
2005-04-20,25.7433,25.9181,25.2624,25.4183,721825
2005-04-21,25.8297,26.1198,25.5425,26.0543,244718
2005-04-22,25.9461,25.9461,25.0675,25.2286,702431
2005-04-25,24.6303,25.158,24.6303,24.998,586406
2005-04-26,24.6741,24.9195,24.217,24.4734,551033
2005-04-27,24.2805,24.5429,23.9854,24.3322,544876
2005-04-28,24.3412,24.4555,23.7181,24.2805,765405
2005-04-29,24.3948,24.4118,23.8583,24.3322,554116
2005-05-02,24.1197,24.3691,23.886,24.2548,401696
2005-05-03,24.1654,24.4275,24.0014,24.4275,380020
2005-05-04,24.4118,24.7109,24.3224,24.4555,614582
2005-05-05,24.525,24.6572,24.2965,24.5519,375912
2005-05-06,24.5856,24.7704,24.4275,24.4465,344765
2005-05-09,24.4982,24.5161,24.2269,24.4465,454063
2005-05-10,24.3691,24.5339,24.1474,24.2458,307119
2005-05-11,24.2805,24.4275,23.7629,24.3134,254528
2005-05-12,24.2805,24.4902,23.9854,24.2001,294683
2005-05-13,24.2269,24.5856,23.9397,24.2458,569635
2005-05-16,24.1654,24.6303,24.1197,24.5776,362104
2005-05-17,24.5339,25.639,24.5339,25.5425,869797
2005-05-18,26.734,27.6402,26.5123,27.6402,2050588
2005-05-19,27.5219,27.8926,26.9973,27.8379,564270
2005-05-20,27.9185,28.0089,27.5955,27.7585,336897
2005-05-23,27.672,28.3844,27.672,28.2156,444593
2005-05-24,28.8385,28.8803,28.2603,28.4887,608542
2005-05-25,28.2523,28.3477,27.7585,27.7942,491718
2005-05-26,27.7942,28.1073,27.7148,27.9632,240495
2005-05-27,28.0566,28.1797,27.9801,28.0396,209690
2005-05-31,28.0903,28.1976,27.8926,28.0566,212544
2005-06-01,28.0813,28.6905,27.8826,28.1262,319783
2005-06-02,28.0486,28.312,27.8221,27.9632,283845
2005-06-03,27.9185,27.9552,27.201,27.2616,317500
2005-06-06,27.2715,27.5131,27.0301,27.3212,219500
2005-06-07,27.348,27.4424,26.8314,27.0211,394053
2005-06-08,27.2437,27.5219,27.0738,27.2179,351385
2005-06-09,27.2179,27.9632,26.9536,27.8638,433187
2005-06-10,27.8985,27.9552,27.5587,27.9274,190984
2005-06-13,27.8121,27.9801,27.6313,27.8985,341575
2005-06-14,27.8826,28.0396,27.7058,27.9373,279851
2005-06-15,28.145,28.2433,27.7942,28.0813,340891
2005-06-16,28.0228,28.924,27.8728,28.924,521951
2005-06-17,30.2377,30.3539,29.0672,29.4974,780124
2005-06-20,29.407,29.407,28.6617,29.1446,270840
2005-06-21,30.2377,31.599,29.8393,31.281,1123410
2005-06-22,31.2502,31.6417,31.1608,31.5831,835228
2005-06-23,31.4311,31.8267,31.3794,31.6776,628500
2005-06-24,31.6229,31.6229,31.0108,31.2422,514417
2005-06-27,31.0485,31.3169,30.8985,31.1519,212654
