date,open,high,low,close,volume
1996-01-02,12.2068,12.2748,12.0804,12.2263,977744
1996-01-03,12.2748,12.561,12.2748,12.3317,1139402
1996-01-04,12.6188,12.7068,12.4794,12.601,1258550
1996-01-05,12.561,12.561,12.3924,12.4603,909488
1996-01-08,12.4794,12.5795,12.4794,12.5795,368823
1996-01-09,12.601,12.601,12.2263,12.3725,1047804
1996-01-10,12.4125,12.4603,12.1069,12.1069,843625
1996-01-11,12.1254,12.1655,11.9376,12.1655,1348963
1996-01-12,12.1254,12.1439,11.9576,12.1439,1543555
1996-01-15,11.9168,11.9981,11.5817,11.6032,1646534
1996-01-16,11.684,11.684,11.1239,11.564,2484777
1996-01-17,11.5817,11.6425,11.4783,11.5457,832851
1996-01-18,11.5817,11.6032,11.4997,11.5817,643651
1996-01-19,11.564,11.772,11.564,11.663,1588458
1996-01-22,11.684,11.772,11.6032,11.752,978346
1996-01-23,11.792,12.0395,11.7046,11.8525,911287
1996-01-24,11.8975,11.9576,11.772,11.9376,582573
1996-01-25,11.8975,12.0395,11.8709,11.8709,916675
1996-01-26,11.9168,11.9576,11.8134,11.8332,1042406
1996-01-29,11.8332,11.8975,11.684,11.7046,390378
1996-01-30,11.772,11.8134,11.564,11.732,929251
1996-01-31,11.8134,12.6882,11.8134,12.6667,1935728
1996-02-01,12.6188,12.7068,12.5013,12.561,1248972
1996-02-02,12.5205,12.7252,12.5013,12.561,778365
1996-02-05,12.561,12.561,12.2748,12.2911,962770
1996-02-06,12.2911,12.561,12.2748,12.4794,1580075
1996-02-07,12.5396,12.601,12.5013,12.5205,495157
1996-02-08,12.5205,13.0433,12.5205,12.8918,1071145
1996-02-09,12.8918,12.8918,12.6667,12.7068,1820766
1996-02-12,12.5795,12.6667,12.4794,12.646,1174734
1996-02-13,12.601,12.7068,12.561,12.601,2035715
1996-02-14,12.646,12.7472,12.601,12.601,1463325
1996-02-15,12.646,12.7068,12.2748,12.2911,720283
1996-02-16,12.2911,12.2911,12.1439,12.1439,1044805
1996-02-20,12.1439,12.3124,11.9576,12.2467,663405
1996-02-21,12.2467,12.6188,12.2467,12.5744,907690
1996-02-22,12.6188,12.933,12.6188,12.9129,1266935
1996-02-23,12.8918,12.9716,12.5795,12.6667,869372
1996-02-26,12.6188,12.6188,12.439,12.4603,2456043
1996-02-27,12.4125,12.5396,12.3924,12.439,704719
1996-02-28,12.4603,12.646,12.2748,12.2748,750224
1996-02-29,12.2748,12.5205,12.2748,12.3124,1097489
1996-03-01,12.3725,12.3725,12.1254,12.3317,1521402
1996-03-04,12.3725,12.6882,12.3725,12.439,865178
1996-03-05,12.4125,12.561,12.3725,12.5396,1450748
1996-03-06,12.5795,12.6188,12.3124,12.3519,505939
1996-03-07,12.3519,12.3519,12.0173,12.1069,2132118
1996-03-08,12.0669,12.0804,11.663,11.732,2000398
1996-03-11,11.732,12.2911,11.663,12.0804,796922
1996-03-12,12.0395,12.1854,11.9376,12.1254,846618
1996-03-13,12.1254,12.2467,12.0804,12.2068,500549
1996-03-14,12.2068,12.2748,11.8975,11.979,1254361
1996-03-15,11.732,12.0173,11.4583,11.6425,4639052
1996-03-18,11.663,11.8709,11.663,11.772,1360941
1996-03-19,11.9376,12.0669,11.8332,11.8709,1251968
1996-03-20,11.8975,11.8975,11.752,11.8332,683762
1996-03-21,11.9376,11.9376,11.7046,11.772,918464
1996-03-22,11.792,11.8975,11.752,11.8975,1127429
1996-03-25,11.9168,11.9168,11.684,11.732,1408841
1996-03-26,11.7046,11.792,11.7046,11.752,1399258
1996-03-27,11.752,11.752,11.5817,11.5817,1076536
1996-03-28,11.6032,11.8975,11.6032,11.8709,1225627
1996-03-29,11.9981,12.0669,11.6225,11.6225,1875859
1996-04-01,11.684,11.9576,11.684,11.9576,1102881
1996-04-02,11.9576,12.0669,11.8709,12.0173,1561520
1996-04-03,11.9981,12.1854,11.9576,12.1254,1039409
1996-04-04,12.1655,12.5396,12.1439,12.3519,914280
1996-04-08,12.1854,12.1854,11.9376,11.9576,984328
1996-04-09,11.9576,12.2068,11.9376,12.1254,672383
1996-04-10,12.1254,12.2263,12.0395,12.0669,640660
1996-04-11,12.0395,12.1069,11.8975,11.9168,921464
1996-04-12,11.9168,12.0804,11.9168,11.9376,379007
1996-04-15,11.979,12.5396,11.979,12.4794,1611218
1996-04-16,12.5205,12.6882,12.4125,12.5013,901703
1996-04-17,12.4603,12.5013,12.4125,12.4603,379598
1996-04-18,12.5013,12.7664,12.5013,12.646,796922
1996-04-19,12.6667,12.6882,12.5205,12.646,698135
1996-04-22,12.646,12.8548,12.561,12.6882,728668
1996-04-23,12.6882,12.7068,12.4125,12.5795,557427
1996-04-24,12.8548,13.2274,12.8548,13.1607,1831553
1996-04-25,13.2076,13.5619,13.2076,13.5619,1490267
1996-04-26,13.6407,13.7287,13.4152,13.5817,1669886
1996-04-29,13.535,13.535,13.3945,13.4738,1448951
1996-04-30,13.4346,13.4545,13.2467,13.4346,1079532
1996-05-01,13.3945,13.3945,13.2467,13.3081,486778
