date,open,high,low,close,volume
2005-02-25,6.30652,6.61362,6.29776,6.56962,121528
2005-02-28,6.57897,6.79794,6.49084,6.77185,237247
2005-03-01,6.75393,6.99093,6.75393,6.92052,275554
2005-03-02,6.79794,6.92948,6.70164,6.89432,475521
2005-03-03,6.92948,7.49916,6.92948,7.20142,1294201
2005-03-04,7.14875,7.19266,6.91215,7.0436,286949
2005-03-07,6.99957,7.10483,6.96483,7.0173,256970
2005-03-08,6.9732,7.09617,6.92052,6.92052,178988
2005-03-09,6.92948,7.06082,6.90299,6.90299,126321
2005-03-10,6.9469,7.00834,6.8064,6.88567,144558
2005-03-11,6.84165,6.84165,6.59619,6.6664,100329
2005-03-14,6.6664,6.85042,6.64877,6.84165,96903
2005-03-15,6.88567,6.88567,6.64877,6.83309,138746
2005-03-16,6.77185,6.84165,6.62229,6.74547,167817
2005-03-17,6.81556,6.8768,6.6664,6.8768,58941
2005-03-18,6.95577,6.95577,6.63991,6.75393,249673
2005-03-21,6.75393,6.75393,6.55238,6.63991,122441
2005-03-22,6.6664,6.79794,6.55238,6.57897,73763
2005-03-23,6.54362,6.70981,6.54362,6.56115,129739
2005-03-24,6.58723,6.92052,6.57897,6.86805,104998
2005-03-28,6.88567,6.89432,6.77185,6.84165,96448
2005-03-29,6.84165,6.92052,6.75393,6.84165,162118
2005-03-30,6.86805,6.96483,6.65754,6.96483,92916
2005-03-31,6.92948,6.92948,6.69259,6.79794,183892
2005-04-01,6.79794,6.8768,6.51722,6.59619,191418
2005-04-04,6.53445,6.9732,6.53445,6.95577,165764
2005-04-05,6.86805,6.9732,6.84165,6.9732,90291
2005-04-06,6.9732,7.0173,6.88567,6.95577,121304
2005-04-07,6.93824,7.00834,6.84165,6.99093,61336
2005-04-08,6.99093,6.99957,6.68412,6.69259,92001
2005-04-11,6.72784,6.7365,6.58723,6.61362,89264
2005-04-12,6.57897,6.84165,6.42044,6.81556,154931
2005-04-13,6.81556,7.06082,6.70981,6.99957,298810
2005-04-14,7.0173,7.05226,6.75393,6.76269,163486
2005-04-15,6.76269,6.79794,6.38589,6.52579,107850
2005-04-18,6.46445,6.92948,6.46445,6.72784,121304
2005-04-19,6.78927,6.79794,6.54362,6.57897,121304
2005-04-20,6.58723,6.62229,6.34167,6.4996,154024
2005-04-21,6.58723,6.92052,6.49084,6.86805,112751
2005-04-22,6.8064,6.92052,6.41197,6.45589,188797
2005-04-25,6.54362,6.6664,6.16642,6.32445,153679
2005-04-26,6.23672,6.64877,6.18384,6.21013,124951
2005-04-27,6.21909,6.50857,6.08745,6.25405,99751
2005-04-28,6.25405,6.44713,6.16642,6.28919,122330
2005-04-29,6.30652,6.3589,6.14014,6.26262,79006
2005-05-02,6.26262,6.34167,6.16642,6.27157,82195
2005-05-03,6.28053,6.34167,5.79758,5.82427,101349
2005-05-04,5.91199,6.03498,5.80674,5.96468,146157
2005-05-05,5.92056,5.92982,5.48212,5.56995,278973
2005-05-06,5.61386,5.69293,5.43831,5.49108,292084
2005-05-09,5.48212,5.92982,5.48212,5.85942,442230
2005-05-10,5.77199,5.85942,5.70119,5.82427,251953
2005-05-11,5.86799,5.91199,5.76294,5.77199,305987
