date,open,high,low,close,volume
2019-03-13,36.4991,37.1629,35.9316,37.0666,323591
2019-03-14,37.3504,38.4387,37.1787,37.7869,295777
2019-03-15,38.3435,38.8167,38.2969,38.788,173623
2019-03-18,39.4596,39.4596,38.2691,38.6362,615187
2019-03-19,39.1471,39.1471,36.9258,37.398,2686393
2019-03-20,37.6827,37.6837,35.4227,35.5546,5444103
2019-03-21,35.9316,36.7938,35.7799,36.764,9375644
2019-03-22,35.4227,36.7263,34.5615,35.4227,5184618
2019-03-25,35.5259,35.755,34.372,34.4673,4267286
2019-03-26,34.4772,35.3165,34.4772,34.7123,3543652
2019-03-27,34.751,35.1479,34.0992,34.2312,3036512
2019-03-28,34.1736,34.4861,33.616,33.7281,2348349
2019-03-29,33.9286,34.2024,33.4632,33.9286,2833322
2019-04-01,34.2024,34.3631,33.9841,34.1835,4587983
2019-04-02,34.2411,34.4772,33.2946,33.7579,1576977
2019-04-03,33.8333,33.9385,33.3799,33.5684,2994470
2019-04-04,33.625,34.1081,33.4632,34.0704,2351116
2019-04-05,34.0307,35.0715,33.9841,34.9683,2237969
2019-04-08,34.9306,34.9306,34.6558,34.8443,2039959
2019-04-09,34.8076,35.0536,34.5992,34.883,1897061
2019-04-10,34.9028,35.0348,33.9087,33.9752,892175
2019-04-11,34.0218,34.5129,33.5962,34.4286,1034494
2019-04-12,34.4861,35.0625,33.9663,34.9405,3357887
2019-04-15,34.9028,34.9762,34.4861,34.9683,942499
2019-04-16,35.0903,35.252,34.9217,35.1846,1976880
2019-04-17,35.1578,36.1688,35.1578,36.1311,2244211
2019-04-18,36.2531,36.2829,35.8572,35.8572,2448382
2019-04-22,35.7799,35.8195,35.0903,35.2134,1760802
2019-04-23,35.1945,35.762,35.0536,35.5546,5768966
2019-04-24,35.4693,35.7054,35.2997,35.4128,1301639
2019-04-25,35.4415,35.6291,35.0248,35.5933,1504795
2019-04-26,35.7451,35.8771,35.3642,35.8473,2649860
2019-04-29,35.6866,36.7938,35.639,36.6232,1815609
2019-04-30,36.4912,36.6698,35.8285,36.4049,1914106
2019-05-01,36.5567,36.6896,36.018,36.6321,1559837
2019-05-02,36.642,36.6896,34.5129,34.8344,2778935
2019-05-03,34.8542,35.2322,34.6469,35.006,1300436
2019-05-06,34.7213,35.3642,34.4861,35.2818,1622424
2019-05-07,34.9584,35.1945,34.5853,34.7034,1493584
2019-05-08,34.5705,35.0625,34.2966,34.8155,2230010
2019-05-09,36.008,36.5279,34.9405,35.9049,3657143
2019-05-10,35.8374,36.1688,34.9683,35.9803,1727489
2019-05-13,35.4415,36.0735,35.1945,35.4604,1690334
2019-05-14,35.4961,35.9565,35.3691,35.4415,1758826
2019-05-15,35.2134,35.4415,35.1102,35.2044,924150
2019-05-16,35.252,35.5546,34.3056,34.3443,2834168
2019-05-17,34.3353,35.2778,34.3353,35.0487,1139529
2019-05-20,34.7728,35.3433,34.7728,34.9058,1047008
2019-05-21,35.0387,35.7094,34.8671,35.381,1337087
2019-05-22,35.3046,35.4862,34.8473,34.8969,872438
2019-05-23,34.631,34.8572,34.4296,34.7441,1954696
2019-05-24,34.7441,34.9802,34.6389,34.6855,870243
2019-05-28,34.8185,35.1628,34.3631,34.4097,2505877
2019-05-29,34.2579,34.4097,33.5734,33.5912,1510667
2019-05-30,33.6498,33.9682,33.0118,33.1249,1134559
2019-05-31,32.8789,33.1249,32.5942,33.0317,1824731
2019-06-03,32.9354,33.1249,31.7082,32.1437,2332371
2019-06-04,32.3838,33.1249,32.1179,32.4404,2391951
2019-06-05,32.5842,32.8987,32.2608,32.3749,1415428
2019-06-06,32.366,32.5743,31.9751,32.108,1270518
2019-06-07,32.2033,32.4027,32.0306,32.0505,972163
2019-06-10,32.2231,32.3908,31.9364,32.108,1200911
2019-06-11,32.1358,32.3928,32.0217,32.1933,1262933
2019-06-12,32.1735,33.0545,32.1636,33.0218,2354203
2019-06-13,33.2688,33.4216,32.9265,33.249,1382302
2019-06-14,33.2976,33.4573,32.8888,33.2688,2537508
2019-06-17,33.4771,34.2262,33.3442,34.0684,2404290
2019-06-18,34.3443,34.9445,33.9821,34.0972,2817157
2019-06-19,34.1429,34.3353,33.6398,34.0109,2113780
2019-06-20,34.4008,34.4008,33.6012,33.6398,1975284
2019-06-21,33.6498,35.2094,33.3442,34.1429,4558895
2019-06-24,33.9921,34.0585,33.6775,33.8204,1703483
2019-06-25,33.7341,33.8016,33.2113,33.4871,1947916
2019-06-26,33.744,34.1528,33.4573,33.6012,2387382
2019-06-27,33.6498,34.372,33.364,34.0198,3027330
2019-06-28,34.1528,34.8671,33.9454,34.7639,5171294
2019-07-01,35.0387,35.0854,33.9871,34.2212,2828139
2019-07-02,34.2212,34.8016,34.2212,34.7639,1503913
2019-07-03,34.9256,34.9901,34.5526,34.5923,965595
