date,open,high,low,close,volume
1996-01-02,9.89716,10.1048,9.8497,10.1048,1319447
1996-01-03,10.0168,10.2601,10.0168,10.1463,976610
1996-01-04,10.1928,10.2719,9.87145,9.96043,1106091
1996-01-05,9.94561,10.004,9.87145,10.004,356990
1996-01-08,10.004,10.1928,9.98021,10.1611,520543
1996-01-09,10.1611,10.2343,10.1285,10.1285,701921
1996-01-10,10.1048,10.1285,9.89716,9.89716,770073
1996-01-11,9.89716,9.911,9.72808,9.8497,933100
1996-01-12,9.82795,10.0633,9.76763,10.0168,673089
1996-01-15,10.0168,10.1611,9.98021,10.0415,387920
1996-01-16,10.0168,10.1463,10.0168,10.0168,872292
1996-01-17,10.0168,10.1048,9.96043,10.004,5461269
1996-01-18,9.96043,10.0801,9.96043,10.0415,347030
1996-01-19,10.0168,10.1463,10.0168,10.0633,715026
1996-01-22,10.0415,10.0415,9.89716,9.911,683581
1996-01-23,9.89716,10.0168,9.89716,9.89716,626959
1996-01-24,9.911,10.0633,9.89716,9.911,330258
1996-01-25,9.87145,9.911,9.8497,9.87145,589220
1996-01-26,9.8497,9.96043,9.8497,9.87145,511630
1996-01-29,9.8497,9.87145,9.82795,9.87145,523166
1996-01-30,9.87145,9.96043,9.81312,9.82795,917374
1996-01-31,9.81312,9.8497,9.72018,9.8497,1167948
1996-02-01,9.87145,10.004,9.82795,9.911,684102
1996-02-02,9.911,9.911,9.79038,9.89716,497476
1996-02-05,9.87145,10.0168,9.8497,10.0168,721319
1996-02-06,10.004,10.1611,9.98021,10.1611,1372393
1996-02-07,10.1611,10.2719,10.1611,10.2343,727612
1996-02-08,10.1928,10.3154,10.0801,10.3154,500100
1996-02-09,10.3539,10.5221,10.3539,10.4005,868627
1996-02-12,10.4479,10.5774,10.4241,10.4627,361187
1996-02-13,10.4241,10.5221,10.4241,10.4835,1366107
1996-02-14,10.4479,10.4835,10.2947,10.4627,676240
1996-02-15,10.4479,10.5221,10.4005,10.4835,712410
1996-02-16,10.4479,10.4835,10.4005,10.4479,731805
1996-02-20,10.4005,10.4479,10.3539,10.4241,435621
1996-02-21,10.4241,10.4835,10.4005,10.4627,596033
1996-02-22,10.4835,10.5912,10.4479,10.5418,436671
1996-02-23,10.5912,10.618,10.2947,10.5774,715026
1996-02-26,10.5912,10.5912,10.3154,10.3391,410987
1996-02-27,10.3391,10.4241,10.0415,10.0633,680957
1996-02-28,10.0801,10.3539,10.0801,10.0801,1065201
1996-02-29,10.1285,10.2601,10.0633,10.0633,664703
1996-03-01,10.1285,10.1285,9.87145,10.0168,638492
1996-03-04,10.0415,10.4005,10.0415,10.2601,370623
1996-03-05,10.2096,10.3846,10.1463,10.3846,520543
1996-03-06,10.3391,10.3846,10.2343,10.2719,691963
1996-03-07,10.2947,10.3846,10.2601,10.3846,506389
1996-03-08,10.3846,10.3846,10.1285,10.1463,675709
1996-03-11,10.0801,10.3846,10.0168,10.2719,730229
1996-03-12,10.2343,10.2343,9.98021,10.1928,351224
1996-03-13,10.1611,10.1928,10.0801,10.1611,283600
1996-03-14,10.1611,10.1928,10.0168,10.0168,552001
1996-03-15,9.911,10.004,9.89716,10.004,1296907
1996-03-18,9.96043,10.0801,9.94561,10.004,634821
1996-03-19,10.1285,10.2096,10.1048,10.1611,557238
1996-03-20,10.1611,10.2096,10.0633,10.1285,457115
1996-03-21,10.1285,10.2343,10.1285,10.1928,315050
1996-03-22,10.2343,10.2719,10.0168,10.0801,850278
1996-03-25,10.0801,10.1048,10.0633,10.0801,971369
1996-03-26,10.0801,10.2343,10.0801,10.2096,618048
1996-03-27,10.2096,10.2343,10.0168,10.0415,310335
1996-03-28,10.004,10.004,9.87145,9.94561,814631
1996-03-29,9.98021,10.0801,9.8497,9.87145,665749
1996-04-01,9.8497,9.87145,9.75182,9.75182,611760
1996-04-02,9.76763,9.81312,9.65987,9.72018,1014351
1996-04-03,9.75182,9.81312,9.72018,9.76763,832450
1996-04-04,9.76763,9.79038,9.65987,9.72018,586599
1996-04-08,9.75182,9.89716,9.62328,9.89716,2281907
1996-04-09,9.98021,10.004,9.89716,9.96043,631677
1996-04-10,10.0247,10.0712,9.85761,9.85761,1702647
1996-04-11,9.85761,10.089,9.77653,9.94561,6180493
1996-04-12,9.94561,10.0494,9.92781,10.0118,701398
1996-04-15,10.0494,10.1779,10.0247,10.0712,1031653
1996-04-16,10.0712,10.0712,9.96838,10.0247,1331508
