date,open,high,low,close,volume
1996-01-02,0.768157,0.795083,0.752565,0.787529,15778821
1996-01-03,0.795083,0.82598,0.791403,0.818522,16964202
1996-01-04,0.82598,0.82598,0.802929,0.82598,17606630
1996-01-05,0.814357,0.837797,0.814357,0.837797,10253953
1996-01-08,0.837797,0.845351,0.82598,0.830145,2399774
1996-01-09,0.830145,0.918864,0.830145,0.845351,44244526
1996-01-10,0.82598,0.880219,0.818522,0.822202,33675577
1996-01-11,0.837797,0.845351,0.814357,0.814357,13064052
1996-01-12,0.814357,0.82598,0.795083,0.810774,7916352
1996-01-15,0.810774,0.814357,0.783654,0.802929,10320267
1996-01-16,0.810774,0.868791,0.802929,0.857071,16868876
1996-01-17,0.860848,0.922545,0.849322,0.891939,45964578
1996-01-18,0.907145,0.945983,0.899397,0.941915,21253950
1996-01-19,0.891939,0.941915,0.880219,0.918864,56981152
1996-01-22,0.922545,0.926516,0.907145,0.926516,11886961
1996-01-23,0.926516,0.926516,0.876248,0.911213,45550108
1996-01-24,0.922545,0.957509,0.918864,0.949664,28660505
1996-01-25,0.945983,1.02298,0.945983,1.01155,32071586
1996-01-26,1.01911,1.01911,0.97659,1.01155,25991332
1996-01-29,1.01155,1.02298,0.98434,0.98434,19596081
1996-01-30,0.918864,0.934264,0.857071,0.880219,48899013
1996-01-31,0.88758,0.899397,0.837797,0.860848,30770153
1996-02-01,0.876248,0.907145,0.860848,0.891939,23649581
1996-02-02,0.891939,0.891939,0.860848,0.876248,7547474
1996-02-05,0.868791,0.880219,0.837797,0.849322,6900905
1996-02-06,0.849322,0.864528,0.845351,0.860848,5814993
1996-02-07,0.860848,0.864528,0.837797,0.857071,5064811
1996-02-08,0.849322,0.849322,0.810774,0.82598,31242645
1996-02-09,0.818522,0.926516,0.818522,0.880219,34301424
1996-02-12,0.891939,0.891939,0.860848,0.860848,9528633
1996-02-13,0.857071,0.911213,0.857071,0.911213,19426145
1996-02-14,0.899397,0.922545,0.860848,0.88758,13793513
1996-02-15,0.899397,0.922545,0.88758,0.914989,7754710
