date,open,high,low,close,volume
1996-01-02,24.091,24.2709,23.9558,24.1337,170445
1996-01-03,24.1337,24.4577,24.1337,24.2361,197119
1996-01-04,24.1864,24.2361,23.7699,23.8206,229482
1996-01-05,23.7699,23.9081,23.595,23.8206,156360
1996-01-08,23.7301,23.7699,23.6357,23.7301,27665
1996-01-09,23.6845,23.7301,23.4588,23.5045,230218
1996-01-10,23.4091,23.6845,23.095,23.095,219846
1996-01-11,23.095,23.095,22.8157,22.9071,174396
1996-01-12,22.9529,23.4588,22.9071,23.4588,162536
1996-01-15,23.4588,23.6357,23.095,23.1398,184770
1996-01-16,23.2292,23.595,23.1776,23.595,186247
1996-01-17,23.595,23.595,23.27,23.3176,251963
1996-01-18,23.3176,23.3644,23.27,23.3176,198107
1996-01-19,23.3176,23.6845,23.3176,23.595,135362
1996-01-22,23.595,23.595,23.3176,23.595,150678
1996-01-23,23.4091,23.595,23.27,23.595,322604
1996-01-24,23.595,24.4101,23.595,24.2361,1549288
1996-01-25,24.1337,24.2361,24.0502,24.1864,389297
1996-01-26,24.1864,24.3623,24.1864,24.2361,410046
1996-01-29,24.2709,24.4577,24.2709,24.3623,95591
1996-01-30,24.4101,24.5005,24.2709,24.5005,196623
1996-01-31,24.5005,24.5521,24.4101,24.5521,188720
1996-02-01,24.4577,24.6844,24.3225,24.6844,186746
1996-02-02,24.6844,24.6844,24.4577,24.5979,218609
1996-02-05,24.727,25.0511,24.6376,24.9626,436232
1996-02-06,25.0511,25.554,24.9626,25.5054,624211
1996-02-07,25.5054,25.6435,25.2509,25.5054,588145
1996-02-08,25.4984,25.545,25.1813,25.2191,357924
1996-02-09,25.2191,25.5848,25.2191,25.4984,246522
1996-02-12,25.4984,25.4984,25.2191,25.4049,447348
1996-02-13,25.3205,25.4049,25.1336,25.2191,290242
1996-02-14,25.2191,25.4486,25.1336,25.4049,527875
1996-02-15,25.3205,25.4486,25.0849,25.0849,314205
1996-02-16,24.9467,25.1813,24.7708,25.1813,343355
1996-02-20,25.0849,25.1813,24.907,24.9467,182051
1996-02-21,24.9934,25.4984,24.9934,25.4049,218855
1996-02-22,25.4984,25.7717,25.4984,25.7717,384111
1996-02-23,25.7717,25.9983,25.3205,25.7717,273199
1996-02-26,25.6812,25.724,25.1336,25.1336,101771
1996-02-27,25.1336,25.2677,25.0849,25.1336,158336
1996-02-28,25.1813,25.545,24.9467,24.9467,247013
1996-02-29,24.8553,25.1813,24.8553,24.9934,263567
1996-03-01,25.0411,25.0849,24.5829,24.7192,285306
1996-03-04,24.8066,25.724,24.8066,25.4049,541956
1996-03-05,25.3205,25.4049,25.2191,25.4049,148209
1996-03-06,25.5848,25.6346,25.2191,25.3582,277151
1996-03-07,25.3205,25.4486,25.3205,25.4486,157103
1996-03-08,25.4049,25.4049,25.0849,25.1336,331743
1996-03-11,25.1336,25.4049,25.0849,25.3582,156855
1996-03-12,25.3205,25.4984,25.0849,25.2191,273199
1996-03-13,25.1813,25.2191,24.6277,24.9467,413260
1996-03-14,24.8553,25.0411,24.6744,24.907,411036
1996-03-15,24.907,25.2191,24.6277,25.1336,427588
1996-03-18,25.1813,25.4049,24.907,25.4049,210456
1996-03-19,25.545,25.5848,25.2677,25.2677,211693
1996-03-20,25.2191,25.2191,24.8553,24.9934,118320
1996-03-21,24.9934,25.2191,24.9934,25.0849,144014
1996-03-22,25.1813,25.1813,24.9934,25.0411,227251
1996-03-25,25.0849,25.0849,24.5829,24.7708,202552
1996-03-26,24.8553,24.8553,24.5432,24.5432,708446
1996-03-27,24.5432,24.8066,24.4419,24.7708,497737
1996-03-28,24.7708,25.0411,24.7192,24.9467,201070
1996-03-29,25.0411,25.0411,24.5432,24.5432,265789
1996-04-01,24.5432,24.8066,24.4925,24.6277,264798
1996-04-02,24.5829,24.907,24.5829,24.8553,241094
1996-04-03,24.8066,24.8066,24.4419,24.4925,371019
1996-04-04,24.4419,24.4419,24.3077,24.4021,143271
1996-04-08,24.0422,24.076,23.4876,24.0422,312968
