date,open,high,low,close,volume
1996-01-02,7.77595,7.85533,7.73276,7.83728,763595
1996-01-03,7.81854,7.89677,7.81854,7.81854,186699
1996-01-04,7.81854,7.93928,7.81854,7.91851,559111
1996-01-05,7.89677,7.89677,7.81854,7.81854,365182
1996-01-08,7.81854,7.93928,7.81854,7.93928,281310
1996-01-09,7.85533,7.93928,7.81854,7.81854,442791
1996-01-10,7.81854,7.81854,7.73276,7.77595,446309
1996-01-11,7.73276,7.77595,7.69317,7.69317,416396
1996-01-12,7.69317,7.73276,7.52887,7.56983,342498
1996-01-15,7.56983,7.65289,7.52887,7.55051,103214
1996-01-16,7.52887,7.65289,7.44832,7.44832,204091
1996-01-17,7.49034,7.56983,7.49034,7.5108,142316
1996-01-18,7.49034,7.56983,7.40669,7.40669,179072
1996-01-19,7.40669,7.61214,7.40669,7.61214,1006001
1996-01-22,7.61214,7.65289,7.52887,7.59078,848828
1996-01-23,7.65289,7.65289,7.56983,7.56983,319822
1996-01-24,7.65289,7.81854,7.56983,7.73276,260399
1996-01-25,7.77595,7.85533,7.73276,7.81854,686566
1996-01-26,7.85533,7.89677,7.77595,7.77595,526065
1996-01-29,7.77595,7.89677,7.77595,7.85533,372800
1996-01-30,7.85533,7.89677,7.85533,7.85533,193342
1996-01-31,7.85533,7.93928,7.85533,7.85533,75455
1996-02-01,7.85533,7.93928,7.85533,7.85533,209565
1996-02-02,7.85533,7.89677,7.85533,7.89677,636520
1996-02-05,7.85533,7.89677,7.85533,7.89677,422656
1996-02-06,7.85533,7.89677,7.85533,7.89677,71745
1996-02-07,7.89677,7.89677,7.85533,7.85533,250425
1996-02-08,7.85533,7.89677,7.85533,7.85533,100485
1996-02-09,7.85533,7.89677,7.81854,7.89677,658611
1996-02-12,7.81854,7.89677,7.81854,7.85533,626942
1996-02-13,7.85533,7.89677,7.85533,7.85533,978248
1996-02-14,7.85533,7.89677,7.85533,7.85533,750301
1996-02-15,7.89677,7.89677,7.85533,7.89677,560479
1996-02-16,7.85533,7.85533,7.69317,7.77595,306532
1996-02-20,7.69317,7.73276,7.61214,7.69317,236546
1996-02-21,7.61214,7.89677,7.61214,7.69317,239475
1996-02-22,7.69317,7.93928,7.69317,7.85533,965144
1996-02-23,7.85533,7.89677,7.69317,7.69317,789593
1996-02-26,7.69317,7.81854,7.69317,7.69317,832210
1996-02-27,7.69317,7.77595,7.69317,7.69317,549923
1996-02-28,7.77595,7.77595,7.69317,7.73276,125507
1996-02-29,7.69317,7.81854,7.69317,7.69317,699865
1996-03-01,7.69317,7.77595,7.69317,7.69317,191972
1996-03-04,7.77595,7.77595,7.69317,7.73276,455299
1996-03-05,7.77595,7.77595,7.69317,7.77595,436141
1996-03-06,7.77595,7.77595,7.69317,7.70022,554800
1996-03-07,7.73276,7.85533,7.69317,7.77595,636133
1996-03-08,7.73276,7.77595,7.65289,7.69317,633195
1996-03-11,7.65289,7.81854,7.65289,7.73276,568490
1996-03-12,7.81854,7.81854,7.73276,7.81854,312589
1996-03-13,7.88422,7.88422,7.80261,7.88422,376324
1996-03-14,7.80261,7.88422,7.80261,7.80261,381016
1996-03-15,7.80261,8.04687,7.80261,8.04687,923309
1996-03-18,7.9669,8.09092,7.9669,7.9669,325104
1996-03-19,7.9669,8.04687,7.88422,7.88422,685396
1996-03-20,8.00573,8.04687,7.88422,7.9669,632805
1996-03-21,7.88422,8.04687,7.88422,7.9669,174380
1996-03-22,7.92662,8.04687,7.92662,7.9669,67839
1996-03-25,7.92662,8.00573,7.92662,7.92662,208591
1996-03-26,7.92662,8.00573,7.92662,7.9669,229712
1996-03-27,8.00573,8.00573,7.88422,7.94575,124720
1996-03-28,7.92662,8.00573,7.92662,7.92662,408378
1996-03-29,7.9669,8.00573,7.92662,7.92662,244954
1996-04-01,7.98477,8.04687,7.92662,8.00573,148182
1996-04-02,8.04687,8.04687,7.9669,7.9669,172036
1996-04-03,7.9669,8.00573,7.9669,7.9669,61386
1996-04-04,7.9669,8.00573,7.9669,7.9669,96962
1996-04-08,7.84143,7.92662,7.84143,7.84143,298517
1996-04-09,7.92662,7.9669,7.84143,7.9669,276227
1996-04-10,7.88422,7.9669,7.84143,7.88422,163042
1996-04-11,7.84143,7.92662,7.84143,7.88422,153068
1996-04-12,7.84143,7.92662,7.84143,7.92662,398220
1996-04-15,7.84143,7.92662,7.84143,7.84143,179265
1996-04-16,7.84143,7.92662,7.84143,7.92662,240650
