date,open,high,low,close,volume
2005-02-25,6.21724,6.21724,6.08916,6.19677,2204963
2005-02-28,6.185,6.24147,6.11329,6.22189,2692508
2005-03-01,6.27707,6.36905,6.2571,6.35669,1098733
2005-03-02,6.35669,6.4091,6.27707,6.38873,1769477
2005-03-03,6.40524,6.40524,6.30892,6.39249,1324484
2005-03-04,6.42127,6.43779,6.35669,6.37677,1209856
2005-03-07,6.38062,6.38062,6.27351,6.28895,1335990
2005-03-08,6.24147,6.24147,6.0771,6.16522,2937288
2005-03-09,6.16522,6.19232,6.10123,6.14129,1647344
2005-03-10,6.1487,6.16986,6.07334,6.14129,1022639
2005-03-11,6.14129,6.16986,6.09718,6.10123,1171805
2005-03-14,6.11329,6.24147,6.10123,6.21724,1961692
2005-03-15,6.19677,6.21329,6.06493,6.10123,1980714
2005-03-16,6.12091,6.20903,6.12091,6.19232,2151908
2005-03-17,6.16522,6.34086,6.12437,6.26501,3833288
2005-03-18,6.24147,6.28895,6.16986,6.2571,7592000
2005-03-21,6.24859,6.26501,6.14129,6.15335,1738446
2005-03-22,6.18064,6.21329,6.14129,6.17758,1256906
2005-03-23,6.20903,6.26096,6.16986,6.20903,1666369
2005-03-24,6.22891,6.22891,6.16106,6.17758,994610
2005-03-28,6.21724,6.22555,6.12902,6.12902,1165299
2005-03-29,6.14504,6.15335,6.0771,6.10518,1281935
2005-03-30,6.12902,6.185,6.08916,6.185,1056677
2005-03-31,6.17372,6.21724,6.15701,6.21329,1202837
2005-04-01,6.24147,6.25254,6.14504,6.185,1083209
2005-04-04,6.19677,6.20527,6.1487,6.19232,610684
2005-04-05,6.19232,6.24859,6.16522,6.23742,962080
2005-04-06,6.23742,6.24147,6.18064,6.20903,739828
2005-04-07,6.18064,6.25254,6.16522,6.20527,1125258
2005-04-08,6.17372,6.185,6.12091,6.15335,1922149
2005-04-11,6.16522,6.17758,6.0771,6.08155,714804
2005-04-12,6.06137,6.14504,6.03724,6.11329,1060187
2005-04-13,6.12091,6.12091,6.0771,6.08916,788884
2005-04-14,6.08916,6.10904,6.04159,6.04159,1081212
2005-04-15,6.04525,6.06919,6.0054,6.01696,1034162
2005-04-18,5.99748,6.02923,5.90481,5.93755,1281935
2005-04-19,5.92954,5.94121,5.89325,5.93755,1887106
2005-04-20,5.92133,5.9336,5.83005,5.85309,1574261
2005-04-21,6.07334,6.15701,5.99343,6.02923,3852306
2005-04-22,6.04525,6.17758,6.04159,6.09302,2461757
2005-04-25,6.13307,6.19232,6.11695,6.16522,1119748
2005-04-26,6.14504,6.19677,6.13307,6.16986,1222363
2005-04-27,6.14504,6.24484,6.12091,6.24147,1238886
2005-04-28,6.22555,6.25254,6.19232,6.20903,1436107
2005-04-29,6.20903,6.22189,6.12437,6.22189,1216865
2005-05-02,6.26096,6.29269,6.19677,6.24859,941053
2005-05-03,6.24147,6.38458,6.22891,6.34818,1382547
2005-05-04,6.34452,6.46439,6.34086,6.42948,1722425
2005-05-05,6.4004,6.4729,6.36421,6.38873,1634330
2005-05-06,6.38873,6.43779,6.36905,6.38458,796392
2005-05-09,6.36421,6.37301,6.31713,6.34452,1461640
2005-05-10,6.34452,6.45619,6.31713,6.43779,4033006
2005-05-11,6.46439,6.52977,6.42948,6.52096,3123499
2005-05-12,6.51325,6.57664,6.48812,6.50058,1632330
2005-05-13,6.51325,6.52511,6.45619,6.50454,1331990
2005-05-16,6.50058,6.55241,6.46439,6.4729,1342504
2005-05-17,6.4729,6.51325,6.42127,6.51325,1220364
2005-05-18,6.51325,6.56398,6.49258,6.55597,791384
2005-05-19,6.55597,6.56052,6.51325,6.53333,513074
2005-05-20,6.52977,6.56398,6.51325,6.56398,741829
2005-05-23,6.56398,6.56398,6.50058,6.55241,956565
2005-05-24,6.57228,6.61293,6.49258,6.60859,1724431
2005-05-25,6.59187,6.61293,6.4809,6.54489,1399566
2005-05-26,6.54489,6.54489,5.98532,6.00906,7131480
2005-05-27,6.05297,6.05297,5.97365,5.98967,2301072
2005-05-31,5.99343,6.02062,5.91777,5.91777,2757585
2005-06-01,5.91777,6.03338,5.88593,6.02498,2868212
2005-06-02,6.04159,6.0771,5.98127,6.06919,2451235
2005-06-03,6.04931,6.04931,5.98127,6.02062,2370157
2005-06-06,5.98967,6.20903,5.96525,6.05297,3919385
2005-06-07,6.05297,6.16106,6.04931,6.11329,3496912
2005-06-08,6.14129,6.15335,6.08916,6.10904,2736557
2005-06-09,6.13307,6.13753,6.08155,6.12091,2511303
2005-06-10,6.15335,6.15335,6.10518,6.11695,1774985
2005-06-13,6.09718,6.13753,6.0855,6.10123,1975205
2005-06-14,6.0855,6.12091,6.0771,6.10904,1411081
2005-06-15,6.12902,6.15701,6.10123,6.14129,1115243
2005-06-16,6.14504,6.15701,6.10518,6.14504,641218
2005-06-17,6.17758,6.18064,6.10904,6.12091,2539334
2005-06-20,6.0771,6.11695,6.0771,6.0855,2087834
2005-06-21,6.08916,6.12091,6.05297,6.06919,1474151
2005-06-22,6.0855,6.10904,6.0133,6.04159,722307
2005-06-23,6.04159,6.04159,5.97741,6.00144,1001120
2005-06-24,6.0054,6.03338,5.97365,5.99748,738326
2005-06-27,5.98967,5.98967,5.89325,5.90481,981601
2005-06-28,5.92133,5.97741,5.88593,5.95693,1132266
2005-06-29,5.96979,5.98127,5.9336,5.94873,868469
