date,open,high,low,close,volume
2016-11-01,17.2372,17.5457,14.5307,14.6625,23101016
2016-11-02,14.6165,14.7014,13.6631,13.9047,21121968
2016-11-03,13.74,13.9847,13.5024,13.5563,10907948
2016-11-04,13.6392,13.796,13.5713,13.7011,12198940
2016-11-07,13.8728,13.9517,13.3926,13.4396,11941589
2016-11-08,13.5254,13.6721,13.4156,13.5653,8389768
2016-11-09,13.2049,13.785,13.0492,13.6562,9620760
2016-11-10,13.6721,14.4358,13.6721,14.375,15953607
2016-11-11,14.359,14.7544,14.2651,14.6925,6875175
2016-11-14,14.7544,14.8971,14.6685,14.8731,6794586
2016-11-15,14.9281,15.551,14.9281,15.5111,6234041
2016-11-16,15.3883,15.4272,15.1546,15.2775,5327205
2016-11-17,15.2305,15.2855,15.0838,15.1916,5400909
2016-11-18,15.1626,15.5111,15.0918,15.5111,6235413
2016-11-21,15.4971,15.7277,15.4432,15.7207,4635826
2016-11-22,15.6349,15.8006,15.4272,15.4971,6171447
2016-11-23,15.4352,15.8924,15.3573,15.8006,4707704
2016-11-25,15.8326,16.0861,15.7686,15.9923,3305414
2016-11-28,15.8924,15.9164,15.519,15.6978,5814454
2016-11-29,15.6129,15.6129,15.1996,15.3254,7548752
2016-11-30,15.2625,15.4652,14.9959,15.0199,8226230
2016-12-01,15.0668,15.4432,15.0039,15.1916,10052457
2016-12-02,15.1068,15.3653,15.0748,15.3413,3989370
2016-12-05,15.3015,15.8006,15.2775,15.7846,5845352
2016-12-06,15.4971,15.8465,15.3493,15.8326,5641322
2016-12-07,15.9004,16.2818,15.8785,16.2658,5774605
2016-12-08,16.3687,16.5244,16.2738,16.2897,4904004
2016-12-09,16.4624,17.0006,16.4466,16.9857,8122337
2016-12-12,16.9287,17.2961,16.759,16.8119,6386648
2016-12-13,16.804,16.9537,16.2897,16.5094,5788141
2016-12-14,16.2897,16.6611,16.126,16.164,7537659
2016-12-15,16.133,16.3687,15.9164,16.0163,5920320
2016-12-16,15.9603,16.2549,15.6818,15.7846,20756268
2016-12-19,15.6209,15.7357,15.4652,15.5969,5785819
2016-12-20,15.5809,15.8685,15.5809,15.6589,4393044
2016-12-21,15.5969,15.7357,15.527,15.5969,3738825
2016-12-22,15.519,15.6818,15.4352,15.6349,4469627
2016-12-23,15.5809,15.6509,15.3254,15.4112,2754015
2016-12-27,15.4272,15.6818,15.2935,15.4112,3112233
2016-12-28,15.3413,15.4732,14.9809,14.9959,4141131
2016-12-29,15.0039,15.0349,14.5477,14.5677,5968133
2016-12-30,14.6305,14.8652,14.389,14.4438,6486332
2017-01-03,14.5996,14.9571,14.5217,14.9481,5500939
2017-01-04,14.9571,15.3743,14.8092,15.3493,5692222
2017-01-05,15.3493,15.7357,15.2705,15.6589,6941397
2017-01-06,15.6978,16.126,15.5889,16.0712,7103885
2017-01-09,16.0402,16.0632,15.8086,15.8855,6266388
2017-01-10,15.7207,16.3017,15.7207,16.133,5534272
2017-01-11,16.149,16.4376,16.0861,16.4376,5390191
2017-01-12,16.3057,16.3806,15.9683,16.3597,7122239
2017-01-13,16.3137,16.5364,16.2738,16.4624,5850475
2017-01-17,16.126,16.2847,16.0282,16.156,3907647
2017-01-18,16.149,16.3287,16.0712,16.2658,3308252
2017-01-19,16.1969,16.6342,16.1969,16.6013,4728708
2017-01-20,16.5933,16.8598,16.4714,16.5863,7217924
2017-01-23,16.5623,16.6491,16.4306,16.6183,5367369
2017-01-24,16.736,17.4518,16.6891,17.2721,10663935
2017-01-25,17.4209,17.6984,17.3201,17.6745,4881288
2017-01-26,17.5676,17.8262,17.3809,17.8102,4202505
2017-01-27,17.8022,17.8262,17.5367,17.6046,3453817
2017-01-30,17.6195,17.6505,17.2641,17.5287,4863175
2017-01-31,17.373,17.7543,17.2412,17.7543,7251320
2017-02-01,18.1766,19.9187,18.0369,19.747,20937731
2017-02-02,19.5344,19.9187,19.3866,19.6831,10346484
2017-02-03,19.6591,20.2482,19.6591,20.2322,7634845
2017-02-06,19.6991,20.5516,19.6991,20.4668,13120391
2017-02-07,20.4668,20.8702,20.3649,20.7922,9617645
2017-02-08,20.6825,21.4112,20.5666,21.3253,9813664
2017-02-09,21.2535,21.9813,21.2066,21.8415,11609284
2017-02-10,22.0501,23.3171,22.0261,23.1373,14771432
2017-02-13,23.0195,23.333,22.6941,23.1603,13005758
2017-02-14,23.0035,23.5576,22.9157,23.0585,15211670
2017-02-15,22.9197,23.0585,22.7151,22.8158,6495279
2017-02-16,22.761,23.0355,22.6971,23.0355,6441837
2017-02-17,22.9347,23.4978,22.8468,23.3649,5954922
2017-02-21,23.1752,23.7303,23.1603,23.6595,4969497
2017-02-22,23.341,23.8652,23.341,23.8612,5781983
2017-02-23,23.885,23.9719,23.0585,23.0984,8896429
2017-02-24,22.6461,23.0705,22.4495,22.9027,5773605
2017-02-27,22.8868,23.1523,22.734,22.8388,3926938
2017-02-28,22.73,22.9497,22.3716,22.4874,5304181
2017-03-01,22.8868,23.3489,22.8868,23.0745,4632360
2017-03-02,22.8388,23.0115,22.2758,22.2917,3838841
2017-03-03,22.3077,22.4834,21.6777,21.9413,4665601
2017-03-06,21.8794,21.8944,21.528,21.6379,4544320
2017-03-07,21.56,21.5909,20.8162,21.0738,8015600
2017-03-08,21.0658,21.2385,20.8122,20.9739,5238570
2017-03-09,20.8861,21.0898,20.5207,20.6905,5159915
2017-03-10,20.7683,21.0269,20.6445,20.958,4508915
2017-03-13,20.926,21.1117,20.7533,20.934,4064867
2017-03-14,20.7613,20.9021,20.6595,20.8312,2443569
2017-03-15,20.958,21.4272,20.918,21.2944,2910142
2017-03-16,21.3873,21.52,21.0698,21.3403,3417685
2017-03-17,21.3563,21.7257,21.3173,21.4821,7673715
2017-03-20,21.512,22.0113,21.4032,21.7726,4847759
2017-03-21,21.8186,21.8644,20.8312,20.8941,8203810
2017-03-22,20.8472,21.1436,20.6375,20.6984,4463521
2017-03-23,20.6984,20.9659,20.6595,20.8392,5118199
2017-03-24,20.8392,21.0039,20.5976,20.8392,3752535
2017-03-27,20.3969,20.8242,20.3181,20.7453,3613099
2017-03-28,20.6595,21.1836,20.6595,21.1197,3259368
2017-03-29,20.9021,21.0937,20.4049,20.4668,4129581
2017-03-30,20.3969,20.7613,20.3321,20.7453,3266725
2017-03-31,20.6755,20.7383,20.4668,20.5746,3218367
2017-04-03,20.6825,20.8552,20.2052,20.4518,3002585
2017-04-04,20.4279,20.6825,20.3729,20.6056,6770598
2017-04-05,20.7383,20.9739,20.1942,20.2242,4781102
2017-04-06,20.1782,20.4978,20.1394,20.4358,2030824
2017-04-07,20.3101,20.6945,20.3101,20.6295,2320376
2017-04-10,20.6295,20.9659,20.6295,20.7223,3347751
2017-04-11,20.7303,20.9659,20.3569,20.7683,4116301
2017-04-12,20.6984,20.6984,20.0794,20.1942,6959987
2017-04-13,20.1702,20.3021,20.0595,20.2322,5942705
2017-04-17,21.2864,22.2138,20.6984,20.8472,16172292
2017-04-18,20.5516,20.5516,19.2159,20.1544,11835153
2017-04-19,20.1702,20.6825,20.1702,20.2881,6539134
2017-04-20,20.4598,20.5586,20.3569,20.3969,2954206
2017-04-21,20.4279,20.4738,20.2881,20.3101,3811731
2017-04-24,20.5906,20.7383,20.2881,20.3889,5859739
2017-04-25,20.5436,21.0898,20.4898,21.0738,6350628
2017-04-26,21.1267,21.8644,21.1047,21.4821,7307955
2017-04-27,21.4512,21.4821,21.0119,21.2625,4661877
2017-04-28,21.3483,21.4751,21.2305,21.3483,5584916
2017-05-01,21.4272,21.503,20.9959,21.2864,4126487
2017-05-02,21.0818,21.3993,21.0818,21.2066,3505585
2017-05-03,21.1197,21.1197,20.7683,20.9649,3287440
2017-05-04,20.8851,20.957,20.5496,20.8382,3762634
2017-05-05,20.8462,21.3723,20.7763,21.3723,3028956
2017-05-08,21.3024,21.3603,21.1317,21.1986,2380079
2017-05-09,21.2146,21.4442,21.1436,21.3403,2695410
2017-05-10,21.2625,21.4122,21.2305,21.3563,2550928
2017-05-11,21.2535,21.3403,21.0419,21.3024,2416368
2017-05-12,21.2385,21.7417,21.1756,21.6867,3643272
2017-05-15,21.7417,22.155,21.7417,21.9963,3799886
2017-05-16,21.9963,22.0681,21.4552,21.4592,3100651
2017-05-17,21.1436,21.2146,20.953,21.0109,4317023
2017-05-18,20.8931,21.1756,20.7842,21.0738,2463966
2017-05-19,21.2066,21.7536,21.1436,21.5909,2564586
