date,open,high,low,close,volume
1996-01-02,29.6906,29.7715,29.4552,29.6906,275413
1996-01-03,29.7715,30.0827,29.6906,29.8473,602255
1996-01-04,30.002,30.2373,29.8473,30.002,789961
1996-01-05,29.9261,30.002,29.6138,29.7715,464032
1996-01-08,29.6138,29.9261,29.6138,29.8473,135786
1996-01-09,29.6906,29.7715,29.535,29.535,265930
1996-01-10,29.535,29.6906,29.2238,29.4552,323626
1996-01-11,29.4552,29.9261,29.4552,29.6906,450310
1996-01-12,29.8473,29.9261,29.6138,29.6906,313115
1996-01-15,29.6906,29.9261,29.6138,29.7715,152071
1996-01-16,29.6906,29.9261,29.6138,29.9261,237721
1996-01-17,29.8473,30.0827,29.6906,29.8473,332859
1996-01-18,30.002,30.1606,29.7715,29.7715,306959
1996-01-19,29.7715,29.9261,29.6906,29.7715,455179
1996-01-22,29.7715,30.1606,29.6906,30.1606,326448
1996-01-23,30.0827,30.3152,29.9261,30.1606,267981
1996-01-24,30.3152,30.8511,29.8473,30.6196,323118
1996-01-25,30.3911,30.6196,30.2373,30.6196,193231
1996-01-26,30.6196,30.8511,30.3911,30.7752,148349
1996-01-29,30.7752,31.1643,30.7752,30.9318,126295
1996-01-30,31.0874,31.4008,30.9318,31.1643,241572
1996-01-31,31.2441,31.3199,30.8511,31.0874,152838
1996-02-01,31.0874,31.2441,30.5398,30.6196,225794
1996-02-02,30.6974,30.6974,29.8473,30.002,497622
1996-02-05,30.0827,30.2373,29.7715,29.8473,391068
1996-02-06,29.8473,30.3152,29.6906,30.2373,279006
1996-02-07,30.3911,30.8511,30.2373,30.8511,216180
1996-02-08,30.8511,31.5574,30.8511,31.4008,352094
1996-02-09,31.4765,31.4765,31.0057,31.3199,220282
1996-02-12,31.4008,31.714,31.1643,31.6332,178227
1996-02-13,31.4008,32.172,31.4008,31.4008,282471
1996-02-14,31.5574,31.7899,30.9318,31.0874,239006
1996-02-15,31.1643,31.4765,30.7752,30.7752,191047
1996-02-16,30.8511,31.0057,30.6974,30.8511,243744
1996-02-20,30.7752,31.0057,30.4708,30.6974,123346
1996-02-21,30.9318,31.5574,30.8511,31.4008,229514
1996-02-22,31.7899,31.8608,31.4008,31.6332,163740
1996-02-23,32.0154,32.0154,31.0874,31.8608,170531
1996-02-26,31.9375,32.0933,31.2441,31.4008,314012
1996-02-27,31.3199,31.714,31.2441,31.4765,143987
1996-02-28,31.714,31.8608,31.0874,31.0874,161170
1996-02-29,31.0874,31.4008,30.9318,31.0874,202971
1996-03-01,31.2441,31.7899,30.8511,31.7899,245667
1996-03-04,31.5574,32.0933,31.2441,31.6332,176815
1996-03-05,31.4008,31.8608,31.2441,31.8608,158354
1996-03-06,31.9375,32.0154,31.5574,31.6332,133734
1996-03-07,31.4765,31.4765,30.8511,31.0874,230282
1996-03-08,30.9318,31.1643,30.6196,30.8511,343504
1996-03-11,30.6196,31.1643,30.5398,31.0874,128861
1996-03-12,30.8511,31.0057,30.4708,31.0057,118860
1996-03-13,30.9318,31.0874,30.5398,30.5398,255158
1996-03-14,30.5398,30.7752,30.5398,30.6974,179890
1996-03-15,30.6974,30.7752,30.1606,30.3152,438129
1996-03-18,30.3911,30.7752,30.0827,30.6196,330807
1996-03-19,30.7752,31.2441,30.6196,31.1643,316191
1996-03-20,31.0874,31.1643,30.5398,31.1643,148736
1996-03-21,30.986,31.1417,30.7526,30.986,182712
1996-03-22,31.2195,31.2195,30.8284,30.8284,128093
1996-03-25,30.8284,31.0658,30.8284,30.9082,75778
1996-03-26,30.7526,30.986,30.1271,30.5201,245414
1996-03-27,30.3625,30.3625,30.1271,30.1271,322987
1996-03-28,29.9724,30.2837,29.8926,30.2049,155659
1996-03-29,30.3625,30.3625,29.8138,29.8926,187584
1996-04-01,29.9724,30.2837,29.8926,30.2837,130912
1996-04-02,30.2837,30.5201,30.0502,30.2049,157070
1996-04-03,30.1271,30.4403,29.8926,30.4403,184251
1996-04-04,30.594,30.986,30.5201,30.986,400684
1996-04-08,30.5201,30.6737,30.1271,30.2049,385688
1996-04-09,30.2837,30.2837,29.8138,29.8926,303110
1996-04-10,29.8926,29.8926,29.1923,29.4257,338632
1996-04-11,29.4257,29.5843,27.8664,28.6456,889720
1996-04-12,28.7243,28.8012,28.5697,28.7243,596352
1996-04-15,28.7243,29.1134,28.4888,29.0346,506344
1996-04-16,29.0346,29.0346,28.5697,28.7243,430048
1996-04-17,28.8012,29.3479,28.7243,28.8789,1168729
1996-04-18,28.9598,30.2049,28.8012,29.738,816251
1996-04-19,29.738,29.8926,29.6601,29.8138,303369
1996-04-22,29.9724,30.2049,29.5843,29.738,156043
1996-04-23,29.738,29.738,29.5035,29.738,123346
1996-04-24,29.738,29.738,29.268,29.5843,327351
1996-04-25,29.6601,31.0658,29.5035,30.9082,599300
1996-04-26,30.9082,30.9082,30.2837,30.6737,236568
1996-04-29,30.7526,30.7526,30.1271,30.2837,201048
1996-04-30,30.2049,30.7526,30.2049,30.594,165275
1996-05-01,30.594,30.6737,29.8926,30.0502,231303
1996-05-02,29.9724,29.9724,29.3479,29.5035,260285
1996-05-03,29.5035,30.0502,29.5035,29.6601,310806
1996-05-06,29.8138,29.8926,29.4257,29.8926,259006
1996-05-07,29.8926,29.8926,29.3479,29.3479,196818
1996-05-08,29.1923,29.8138,29.1134,29.738,399278
1996-05-09,29.8926,30.2049,29.738,30.0502,295420
1996-05-10,30.1271,30.2837,30.0502,30.2837,190022
1996-05-13,29.8926,30.0502,29.738,29.9724,295420
1996-05-14,30.1271,30.1271,29.5035,29.9724,347605
1996-05-15,29.9724,30.594,29.8926,30.2837,236952
1996-05-16,30.2049,31.1417,30.1271,30.9082,255033
1996-05-17,31.1417,31.1417,30.7526,30.8284,260285
1996-05-20,30.8284,31.0658,30.594,30.7526,133223
1996-05-21,30.594,30.7526,30.1271,30.6737,159378
1996-05-22,30.986,31.2195,30.594,31.2195,218997
1996-05-23,31.0658,31.2195,30.2049,30.3625,218486
1996-05-24,30.3625,31.4529,30.3625,31.2195,153610
1996-05-28,30.986,30.986,30.3625,30.6737,199892
1996-05-29,30.4403,30.8284,30.0502,30.0502,165916
1996-05-30,29.9724,30.9082,29.8926,30.9082,210282
1996-05-31,30.6737,30.6737,30.1271,30.3625,135273
1996-06-03,30.0502,30.0502,29.738,29.9724,198740
1996-06-04,30.1271,30.2837,29.8926,30.1271,205662
1996-06-05,30.1271,30.4403,29.8926,30.2837,242722
1996-06-06,30.4403,30.4403,30.0502,30.2049,174378
1996-06-07,29.8926,30.7526,29.4257,30.594,272723
1996-06-10,30.4403,30.594,30.0502,30.594,453899
1996-06-11,31.5327,31.5327,30.5201,30.6737,329274
1996-06-12,30.7526,31.0658,30.6737,30.8284,226438
1996-06-13,30.6737,31.2973,30.6737,31.0658,332731
1996-06-14,30.9082,31.4529,30.8284,31.0658,409403
1996-06-17,30.986,31.1417,30.9082,31.0658,155147
1996-06-18,31.0658,31.3751,31.0658,31.2973,216432
1996-06-19,31.1417,31.4529,30.8284,30.9082,278239
1996-06-20,31.0658,31.2195,30.8284,31.0658,405050
1996-06-21,31.1417,31.6874,31.1417,31.6874,428384
1996-06-24,31.2195,31.2195,30.3625,30.594,979990
1996-06-25,30.4954,30.4954,29.471,30.0286,718163
1996-06-26,30.1034,30.3398,29.7901,30.1822,335940
1996-06-27,29.9487,30.1822,29.6277,30.1034,186947
1996-06-28,30.1822,30.3398,29.87,29.9487,240412
1996-07-01,30.1034,30.1034,29.471,29.7064,199769
1996-07-02,29.7064,29.7064,29.3153,29.5508,192718
1996-07-03,29.399,29.7901,29.3153,29.5508,229643
1996-07-05,29.2405,29.399,28.4515,28.8475,243619
1996-07-08,28.8475,28.8475,28.2968,28.3717,520322
1996-07-09,28.3717,28.4515,27.6625,28.3717,667389
1996-07-10,28.3717,28.3717,27.9826,28.1402,444155
1996-07-11,28.0584,29.0051,27.9038,27.9826,971271
1996-07-12,28.1402,28.217,27.9038,28.1402,351454
1996-07-15,28.2968,28.3717,27.5087,27.7481,367225
1996-07-16,27.5856,27.8259,26.3296,27.7481,562116
1996-07-17,28.2968,28.5293,27.5087,27.5856,350940
1996-07-18,27.6625,27.9038,27.5856,27.9038,335426
1996-07-19,27.8259,27.9038,27.2724,27.5087,483389
1996-07-22,27.2724,27.2724,26.8044,27.0389,165916
1996-07-23,27.0389,27.1985,26.4852,26.6419,588665
1996-07-24,26.2528,26.5631,26.0942,26.3296,598916
1996-07-25,26.6419,26.6419,25.7849,26.4065,440436
1996-07-26,26.4065,27.1985,26.4065,27.0389,255285
1996-07-29,27.0389,27.2724,26.6419,26.8044,198740
1996-07-30,26.8044,26.96,26.5631,26.96,274775
1996-07-31,27.1158,27.3541,26.8833,26.8833,235283
1996-08-01,26.7187,27.5087,26.7187,27.3541,257207
1996-08-02,27.8259,27.9826,27.6625,27.9038,277599
1996-08-05,27.8259,28.217,27.7481,27.8259,309016
1996-08-06,27.8259,27.9038,27.6625,27.6625,235413
1996-08-07,27.8259,28.217,27.7481,27.9826,251056
1996-08-08,27.9826,28.3717,27.9826,27.9826,228614
1996-08-09,28.1402,28.4515,27.9826,28.2968,290549
1996-08-12,28.2968,28.4515,27.9038,28.3717,152453
1996-08-13,28.217,28.5293,27.8259,27.9038,216180
1996-08-14,28.0584,28.2968,27.9038,27.9826,208872
1996-08-15,28.0584,28.0584,27.7481,27.9826,214387
1996-08-16,27.9826,28.4515,27.9826,28.2968,268109
1996-08-19,28.2968,28.4515,28.2968,28.2968,286317
1996-08-20,28.217,28.4515,28.217,28.2968,147453
1996-08-21,28.217,28.2968,28.0584,28.1402,78221
1996-08-22,28.1402,28.5293,28.0584,28.4515,96168
1996-08-23,28.3717,28.4515,27.7481,27.8259,149248
1996-08-26,27.9826,27.9826,27.6625,27.8259,74369
1996-08-27,27.7481,27.8259,27.5856,27.8259,100013
1996-08-28,27.7481,27.9826,27.7481,27.8259,129120
1996-08-29,27.8259,27.9038,27.3541,27.5087,164248
1996-08-30,27.428,27.428,27.0389,27.0389,157964
1996-09-03,26.7187,27.3541,26.6419,27.2724,278112
1996-09-04,27.2724,27.3541,27.0389,27.2724,191175
1996-09-05,27.1158,27.2724,27.1158,27.1985,202332
1996-09-06,27.1985,28.0584,27.1985,27.9038,356324
1996-09-09,27.7481,28.217,27.7481,28.217,248236
1996-09-10,28.217,28.217,26.0942,27.2724,1637248
1996-09-11,27.1158,27.3541,26.7187,26.8833,454158
1996-09-12,26.8833,27.5087,26.8044,27.3541,407997
1996-09-13,27.428,27.8259,27.428,27.6625,545450
1996-09-16,27.7481,27.9038,27.6625,27.8259,257207
1996-09-17,27.7481,28.0584,27.6625,28.0584,1012812
1996-09-18,28.0584,28.1402,27.9038,27.9038,301194
1996-09-19,27.9038,27.9826,27.6625,27.7481,346066
1996-09-20,27.8259,27.9038,27.5856,27.8259,534807
1996-09-23,27.6625,27.9826,27.5087,27.9826,296317
1996-09-24,27.9826,28.0584,27.8259,27.8259,308244
1996-09-25,27.7264,27.883,27.4851,27.561,347095
1996-09-26,27.4851,27.9619,27.4851,27.7264,226697
1996-09-27,27.7264,27.883,27.4054,27.7264,246311
1996-09-30,27.7264,27.883,27.561,27.6397,230413
1996-10-01,27.3285,27.4851,27.1649,27.4054,354534
1996-10-02,27.0852,27.4054,27.0852,27.4054,366326
1996-10-03,27.2477,27.3285,27.0852,27.2477,273365
1996-10-04,27.1649,27.561,27.1649,27.4851,266571
1996-10-07,27.4054,27.6397,27.4054,27.4851,225154
1996-10-08,27.4054,27.4054,27.1649,27.2477,299009
1996-10-09,27.4054,27.4851,27.1649,27.4054,210793
1996-10-10,27.2477,27.3285,27.0852,27.0852,186816
1996-10-11,27.1649,27.4851,27.0852,27.4851,226181
1996-10-14,27.4054,27.561,27.0852,27.0852,124633
1996-10-15,27.0852,27.0852,26.6961,26.9315,280547
1996-10-16,26.9315,26.9315,26.6114,26.8517,307347
1996-10-17,26.8517,26.9315,26.7739,26.8517,263875
1996-10-18,27.0093,27.4054,26.8517,27.2477,220540
1996-10-21,27.2477,27.3285,27.0852,27.1649,230537
1996-10-22,27.0093,27.2477,26.8517,27.0852,273240
1996-10-23,26.9315,27.0093,26.6114,27.0093,176689
1996-10-24,26.9315,27.0852,26.6961,26.7739,220540
1996-10-25,26.6114,26.6114,26.2981,26.4537,320040
1996-10-28,26.1356,26.5336,26.1356,26.2981,263364
1996-10-29,26.5336,26.6961,26.0568,26.5336,305677
1996-10-30,26.4537,26.6961,26.4537,26.4537,244903
1996-10-31,26.3789,26.4537,25.8233,26.2213,503398
1996-11-01,26.2213,26.7739,26.1356,26.2981,358248
1996-11-04,26.2981,26.5336,26.2981,26.4537,200919
1996-11-05,26.2981,26.6961,26.2981,26.6114,200665
1996-11-06,26.4537,26.5336,26.2981,26.5336,195665
1996-11-07,26.5336,26.6114,26.2981,26.4537,240158
1996-11-08,26.6114,27.3285,26.5336,27.0852,403122
1996-11-11,26.9315,27.4054,26.9315,27.2477,343885
1996-11-12,27.2477,27.3285,27.1649,27.3285,286702
1996-11-13,27.2477,27.7264,27.2477,27.561,497751
1996-11-14,27.561,27.7264,27.1649,27.7264,331320
1996-11-15,27.7264,27.9619,27.6397,27.9619,477492
1996-11-18,27.9619,28.1175,27.883,28.0368,279644
1996-11-19,27.9619,28.2002,27.8033,27.9619,202462
1996-11-20,28.0368,28.0368,27.883,27.883,182970
1996-11-21,27.7264,27.9619,27.4054,27.9619,325551
1996-11-22,27.9619,28.1175,27.9619,27.9619,158354
1996-11-25,27.9619,28.0368,27.883,28.0368,181174
1996-11-26,27.9619,28.9913,27.9619,28.4347,563272
1996-11-27,28.5125,28.6682,28.3559,28.5125,295804
1996-11-29,28.8327,28.9913,28.8327,28.8327,149122
1996-12-02,28.7549,28.8327,28.5125,28.6682,546472
1996-12-03,28.7549,28.8327,28.5125,28.5923,261823
1996-12-04,28.4347,28.7549,28.3559,28.6682,393639
1996-12-05,28.6682,28.8327,28.5125,28.5923,356967
1996-12-06,28.2801,28.5923,28.2801,28.5125,351833
1996-12-09,28.4347,28.7549,28.3559,28.7549,181174
1996-12-10,28.8327,28.9115,28.5923,28.9115,220924
1996-12-11,28.6682,28.7549,28.2801,28.7549,259006
1996-12-12,28.7549,29.6187,28.6682,29.5419,588919
1996-12-13,29.3902,29.3902,28.9913,29.1459,206818
1996-12-16,29.1459,29.2316,28.7549,28.8327,157585
1996-12-17,28.6682,29.2316,28.6682,29.2316,243362
1996-12-18,29.1459,29.1459,28.6682,28.9115,209383
1996-12-19,28.9115,29.1459,28.6682,29.1459,153865
1996-12-20,29.6187,29.865,29.2316,29.7872,557244
1996-12-23,29.6986,29.865,29.2316,29.4621,190409
1996-12-24,29.535,29.6138,29.3814,29.6138,81035
1996-12-26,29.4552,29.6906,29.3814,29.4552,283877
1996-12-27,29.535,29.7783,29.535,29.6138,145785
1996-12-30,29.6138,29.6138,29.138,29.2168,138605
1996-12-31,29.138,29.138,28.6534,28.7391,281825
1997-01-02,28.7391,28.8957,28.4978,28.8957,162967
1997-01-03,28.8169,29.0583,28.4978,28.8957,206307
1997-01-06,29.0583,29.138,28.4978,28.5775,358248
1997-01-07,28.4978,28.8169,28.0988,28.8169,381968
1997-01-08,29.0583,29.0583,28.2555,28.4199,366453
1997-01-09,28.4199,28.4978,28.2555,28.4199,381583
