date,open,high,low,close,volume
2021-01-04,45.101822,46.45786,44.658851,44.902935,46102500
2021-01-05,44.704051,45.951607,44.595569,45.75272,24866600
2021-01-06,45.599034,47.144919,45.382069,46.19569,36809600
2021-01-07,46.548261,47.633089,46.376494,47.181076,32092300
2021-01-08,47.416125,47.488445,46.349375,46.692905,34625400
2021-01-11,46.367458,47.226282,46.331296,46.593464,32925000
2021-01-12,46.918916,48.681763,46.611547,48.13031,39883900
2021-01-13,53.789505,54.467524,51.439041,51.484241,124070700
2021-01-14,52.840276,54.368078,52.28882,53.563496,74680900
2021-01-15,53.201889,53.925112,51.981456,52.05378,50265400
2021-01-19,52.379231,52.740842,51.619849,52.424435,35647100
2021-01-20,52.65043,53.536374,52.514825,53.039158,28701300
2021-01-21,53.373662,57.812427,52.632362,56.465427,86519500
2021-01-22,53.201883,53.897983,51.21303,51.222069,85729300
2021-01-25,50.968938,51.07742,48.8716,50.119152,61968500
2021-01-26,49.974517,50.806222,49.585786,49.911236,31485900
2021-01-27,49.368826,49.585791,48.184552,48.44672,49722900
2021-01-28,49.531547,51.891053,49.450184,50.688698,49202600
2021-01-29,50.607339,51.674089,50.046844,50.182446,37256200
2021-02-01,50.580215,51.88201,50.363247,51.249191,26926600
2021-02-02,51.70121,52.686598,51.420964,52.433472,23580900
2021-02-03,52.334025,52.731798,51.872973,52.14418,21893200
2021-02-04,52.397024,53.552105,52.015027,53.470249,29853800
2021-02-05,53.661247,53.73401,52.860875,52.915447,23432600
2021-02-08,53.097352,53.861342,52.706261,53.80677,34358300
2021-02-09,53.452061,53.943199,52.697164,53.461155,28754100
2021-02-10,53.934097,54.043237,52.860872,53.533913,16325100
2021-02-11,53.752195,55.471177,53.533914,55.171036,27539100
2021-02-12,55.116467,56.853636,54.961852,56.21698,26214200
2021-02-16,56.389789,57.181064,56.116936,56.817261,26326300
2021-02-17,55.925928,56.562584,55.671262,56.253349,21055400
2021-02-18,55.161941,56.371591,55.152844,56.035072,17846100
2021-02-19,56.307925,57.535766,56.253353,57.308388,28290100
2021-02-22,56.280642,57.026442,55.171036,55.216511,32288200
2021-02-23,55.007318,55.935021,53.815855,55.589405,27374600
2021-02-24,55.052803,57.553963,54.916378,57.472107,24669900
2021-02-25,56.762685,57.790436,54.688998,54.934566,36394000
2021-02-26,55.380225,56.107834,54.279716,55.280178,38216800
2021-03-01,56.135113,57.372051,56.071447,57.190147,28495400
2021-03-02,57.1174,57.426635,55.580325,55.698563,23320000
2021-03-03,55.152846,55.953218,54.297906,54.479809,28740400
2021-03-04,54.416145,54.789045,52.669879,53.051876,40210400
2021-03-05,53.897719,55.643985,53.215585,55.243801,39511700
2021-03-08,54.99823,56.11693,54.316096,54.43433,33112400
2021-03-09,55.643981,57.453909,55.334747,56.999153,36387500
2021-03-10,57.499385,58.317948,56.508016,56.617157,27160300
2021-03-11,57.244731,58.290668,56.7445,57.581253,30701800
2021-03-12,56.980969,57.57215,56.608069,57.208347,20173000
2021-03-15,57.854098,58.099667,56.826348,58.017811,21247400
2021-03-16,58.345238,59.782269,58.281572,58.918228,30186600
2021-03-17,58.408902,60.291593,57.945049,59.82774,32394700
2021-03-18,59.691314,59.754979,57.890482,57.963242,30094200
2021-03-19,57.463013,59.109228,57.226537,57.990528,54951700
2021-03-22,58.954608,60.373445,58.718133,59.691311,34380100
2021-03-23,60.027835,60.073313,57.453913,57.735863,35160000
2021-03-24,60.555351,61.337532,56.380688,56.426163,74584700
2021-03-25,56.080549,56.789968,55.46208,56.407974,35401400
2021-03-26,56.207881,59.091038,56.180596,59.000088,34705800
2021-03-29,58.217907,59.236557,57.854101,58.663567,26161600
2021-03-30,57.999619,58.208806,57.435722,57.999619,20709500
2021-03-31,58.217906,58.654468,57.826815,58.208809,33013200
2021-04-01,58.863657,59.018273,57.826813,58.709042,31416300
2021-04-05,59.072849,60.700878,58.845471,60.518978,27947500
2021-04-06,60.082404,60.555354,59.382082,59.627647,28771400
2021-04-07,59.727703,60.546266,59.445756,60.255222,17793300
2021-04-08,60.910064,61.201107,60.35526,60.982826,22224200
2021-04-09,60.755448,62.210667,60.600826,62.083336,27177100
2021-04-12,62.02876,62.29252,58.854563,59.491226,51266900
2021-04-13,59.673126,59.691313,58.399807,59.318417,26822000
2021-04-14,59.400268,59.463934,58.063287,58.381618,25768400
2021-04-15,58.181529,59.318419,57.917769,59.136513,24927700
2021-04-16,59.418468,59.591271,58.727237,58.890949,24625500
2021-04-19,58.845466,58.881848,57.362963,57.872292,23997700
2021-04-20,57.881388,57.990529,56.762688,57.026447,19872100
2021-04-21,57.108302,58.008718,56.66264,57.935959,24364200
2021-04-22,57.61763,58.126958,56.644451,56.908211,38257600
2021-04-23,53.806762,54.570752,52.660777,53.879524,77479500
2021-04-26,53.752205,54.134202,53.170117,53.44297,39645900
2021-04-27,53.261069,53.324735,52.542554,52.724457,38167700
2021-04-28,52.31517,52.897258,51.978652,52.40612,30387400
2021-04-29,52.642594,53.024588,52.269694,53.006397,23290600
2021-04-30,52.39702,53.14282,51.905882,52.324257,30731800
2021-05-03,52.624399,52.64259,51.696696,52.07869,22281700
2021-05-04,51.733083,51.824033,50.759905,51.751274,35323600
2021-05-05,51.805846,52.115081,51.35109,51.705799,21001900
2021-05-06,51.813781,52.390304,51.475189,52.335396,25529300
2021-05-07,52.80211,53.085793,52.381158,52.774654,19959000
2021-05-10,52.298795,52.372003,51.136599,51.21896,35046500
2021-05-11,50.37705,50.907819,49.690715,50.367901,35968100
2021-05-12,49.773074,50.011006,48.885412,49.068436,30232300
2021-05-13,49.452783,49.773072,48.922015,49.425327,29192500
2021-05-14,49.965253,51.109146,49.654113,50.651588,28158300
2021-05-17,50.596676,51.145744,50.111663,50.633282,20010200
2021-05-18,51.200649,51.37452,50.148266,50.184872,18703400
2021-05-19,49.480234,50.72479,49.269758,50.660732,23769700
2021-05-20,50.852909,51.466037,50.660735,51.200653,23145200
2021-05-21,51.630754,51.896138,51.228105,51.319618,17723100
2021-05-24,51.84124,52.518423,51.612462,52.124924,19164400
2021-05-25,52.673996,52.673996,51.630762,52.042564,22309900
2021-05-26,52.207276,52.371997,51.786324,52.08831,15173600
2021-05-27,52.262189,52.966828,52.161526,52.829559,32387600
2021-05-28,52.664831,52.756345,52.106611,52.271332,20303900
2021-06-01,52.719743,52.911916,51.786326,52.06086,20326400
2021-06-02,52.079162,52.79295,51.941893,52.600777,18483600
2021-06-03,52.14322,52.253033,51.328769,51.466038,21831300
2021-06-04,51.749725,52.847863,51.740575,52.500118,21493800
2021-06-07,52.536721,52.564174,51.960198,52.243885,17364400
2021-06-08,52.573328,52.747198,51.795479,52.161526,33254500
2021-06-09,52.490967,52.60078,52.134073,52.161526,13904800
2021-06-10,52.29879,53.104088,52.097464,52.509266,26738100
2021-06-11,52.591632,53.021733,52.115772,52.939373,18119700
2021-06-14,53.094943,53.259664,52.372002,53.250511,21784500
2021-06-15,53.268812,53.460986,52.893616,53.06749,20806500
2021-06-16,53.213899,53.415222,51.95104,52.362843,21879700
2021-06-17,52.207282,52.985132,51.886994,52.326248,21498800
2021-06-18,51.868684,51.932741,50.422801,50.944416,55118300
2021-06-21,51.017632,51.283016,50.669888,51.127445,19254600
2021-06-22,51.191503,51.502642,50.788854,51.127445,18682800
2021-06-23,51.127442,51.218955,50.541769,50.569221,20287900
2021-06-24,50.779702,51.337919,50.642434,51.310467,21209700
2021-06-25,51.264707,51.621601,51.017625,51.164043,21101200
2021-06-28,51.575849,52.829555,51.557547,52.600777,22480900
2021-06-29,52.664838,52.921072,51.136598,51.932747,26360000
2021-06-30,51.557543,51.594148,50.688184,51.374519,29891600
2021-07-01,51.365374,51.832081,51.127443,51.255558,24871600
2021-07-02,51.749725,52.152378,51.539249,51.941898,17219400
2021-07-06,52.088313,52.170673,50.971876,51.32877,26186600
2021-07-07,51.585001,51.658212,50.981026,51.209805,14857400
2021-07-08,50.614972,50.990168,50.139112,50.688179,19162000
2021-07-09,50.798005,51.347075,50.614985,51.237263,18708000
2021-07-12,51.484339,51.941896,51.347074,51.914444,15392800
2021-07-13,51.813786,52.436064,51.557555,52.042564,15716000
2021-07-14,52.317089,52.582473,51.548397,51.722267,16263600
2021-07-15,51.612458,51.612458,50.852911,51.07254,18917000
2021-07-16,51.292166,52.097468,50.239787,50.303844,25263800
2021-07-19,49.791382,50.157429,49.388733,50.001858,27007700
2021-07-20,50.258079,50.843755,49.663257,50.550919,19867000
2021-07-21,50.496017,51.502641,50.340446,51.456886,18497200
2021-07-22,51.301318,51.740573,50.953574,51.209805,36691000
2021-07-23,49.946947,50.065909,47.878786,48.501064,67742300
2021-07-26,48.327192,49.910339,48.281433,49.699863,32881200
2021-07-27,48.610879,48.684089,47.869638,48.665787,39878000
2021-07-28,48.528511,49.342963,48.446151,48.565117,28478800
2021-07-29,48.940329,49.507699,48.79391,49.141655,16886600
2021-07-30,49.095896,49.324675,48.729849,49.159954,16465700
2021-08-02,49.40702,49.846274,48.995218,49.123333,18098100
2021-08-03,49.31551,49.562591,48.738987,49.471081,16375900
2021-08-04,49.644958,49.818828,49.141645,49.324669,17612700
2021-08-05,49.728095,49.755725,49.35046,49.635986,15310000
2021-08-06,49.608355,49.857042,49.488616,49.663616,19256000
2021-08-09,49.810986,50.114934,49.580721,49.783352,14670100
2021-08-10,49.958355,50.096512,49.285977,49.682034,16215700
2021-08-11,49.976775,50.068884,49.589931,49.866249,18590800
2021-08-12,49.893876,49.903089,49.055711,49.31361,15070100
2021-08-13,49.276764,49.332029,48.871499,49.267555,15281100
2021-08-16,49.028078,49.267556,48.816234,49.249134,17690300
