date,open,high,low,close,volume
1996-01-02,21.8515,22.6409,21.7837,22.3545,4528588
1996-01-03,22.4988,22.5684,22.1398,22.4223,3426864
1996-01-04,22.2839,22.4988,22.1398,22.2839,4118802
1996-01-05,22.2095,22.3545,21.8515,22.1398,2159229
1996-01-08,22.3545,22.4223,22.2095,22.2839,659129
1996-01-09,22.2839,22.4223,21.7837,22.102,2862726
1996-01-10,22.073,22.073,21.4229,21.714,2022217
1996-01-11,21.714,22.2095,21.4229,22.1398,3179868
1996-01-12,22.2839,22.3545,21.7837,21.923,3424524
1996-01-15,21.923,21.923,21.4934,21.5709,2723060
1996-01-16,21.4229,21.4229,20.5667,20.8559,4193790
1996-01-17,20.7127,21.4229,20.6363,21.1432,4580303
1996-01-18,21.1432,21.714,20.9236,21.6396,2852728
1996-01-19,21.4229,22.1398,21.3523,21.8515,3545438
1996-01-22,21.923,22.1398,21.6396,22.073,2960838
1996-01-23,22.1398,22.1398,21.2825,21.714,2494964
1996-01-24,21.4229,21.714,21.2825,21.6396,2132986
1996-01-25,21.6396,22.4988,21.6396,22.4988,4352049
1996-01-26,22.4223,22.7097,21.9946,22.4223,1936134
1996-01-29,22.5684,22.9283,22.4988,22.7097,2035655
1996-01-30,22.8518,23.71,22.7097,23.4981,3938668
1996-01-31,23.4295,23.4981,23.0696,23.2805,3053634
1996-02-01,23.4295,23.5678,22.998,23.4981,1765064
1996-02-02,23.5678,23.5678,22.9283,23.1392,1414492
1996-02-05,23.1392,23.3511,22.7812,23.2089,2143763
1996-02-06,23.2805,23.5678,23.1392,23.4295,1957067
1996-02-07,23.2805,23.3511,23.0696,23.3511,1474328
1996-02-08,23.1392,23.2805,22.6409,23.2089,2314991
1996-02-09,23.1392,23.5678,22.7812,23.1392,2486369
1996-02-12,23.2805,23.3511,22.998,23.1392,1397150
1996-02-13,23.0696,23.0696,22.4223,22.7097,3108156
1996-02-14,22.7097,22.7097,22.073,22.2839,3057697
1996-02-15,22.3545,22.3545,21.8515,22.073,1914574
1996-02-16,21.8515,21.923,21.2825,21.4229,2537770
1996-02-20,21.3523,21.5709,21.1432,21.4934,2604946
1996-02-21,21.4934,21.7837,21.2051,21.2825,2288586
1996-02-22,21.4229,21.6396,21.4229,21.6396,2364978
1996-02-23,21.7837,22.1398,21.2825,21.714,2802889
1996-02-26,21.714,21.714,21.2051,21.2825,2192506
1996-02-27,21.2825,21.2825,20.9933,21.2051,2642131
1996-02-28,21.2051,21.2825,20.9933,21.0668,1836930
1996-02-29,21.0668,21.0668,20.4893,20.558,2287180
1996-03-01,20.6363,20.7786,20.4893,20.6363,2051120
1996-03-04,20.706,21.2051,20.706,20.9933,2454344
1996-03-05,20.9933,21.0668,20.7786,20.9933,1680702
1996-03-06,20.9933,21.3523,20.706,21.1375,2636505
1996-03-07,21.4934,22.0004,20.9933,21.9299,6971215
1996-03-08,21.5709,22.2888,21.4229,22.073,7355692
1996-03-11,22.073,22.2182,21.7837,22.0004,5793883
1996-03-12,22.0004,22.3603,21.9299,22.2182,5693889
1996-03-13,22.2888,22.3603,22.0004,22.2888,4192073
1996-03-14,22.2888,22.5055,22.1398,22.2888,3063634
1996-03-15,22.4291,22.6468,22.4291,22.5761,4696056
1996-03-18,22.5761,22.8634,22.5055,22.8634,3258607
1996-03-19,23.0047,23.0743,22.7164,23.0047,4417511
1996-03-20,22.936,23.0047,22.2888,22.4291,3669017
1996-03-21,22.4291,23.0047,22.0004,22.1398,2225474
1996-03-22,22.073,22.6468,21.9299,22.073,1552909
1996-03-25,22.2888,22.3603,22.1398,22.2888,2082212
1996-03-26,22.1398,22.5761,22.1398,22.5761,1770846
1996-03-27,22.6468,22.7164,22.4291,22.5761,2687122
1996-03-28,22.4291,22.5761,22.2888,22.5055,1781308
1996-03-29,22.5055,22.7164,22.4291,22.7164,1605555
1996-04-01,22.7909,22.7909,22.1398,22.2888,3378278
1996-04-02,22.4291,22.4291,21.714,22.2182,3715733
1996-04-03,22.1398,22.2888,21.714,22.2888,1950667
1996-04-04,22.2888,22.4291,22.1398,22.3603,1210768
1996-04-08,21.8593,22.2182,21.714,22.1398,1902550
1996-04-09,22.1398,22.8634,22.073,22.5761,3581845
1996-04-10,22.8634,23.0743,22.6468,22.936,3038798
1996-04-11,22.8634,23.0743,22.7164,23.0743,4166136
1996-04-12,23.0743,23.0743,22.5761,22.7164,1623522
1996-04-15,22.7909,23.0047,22.6468,23.0047,1409957
1996-04-16,23.2911,23.799,23.2911,23.6519,7250238
1996-04-17,23.6519,23.6519,23.0743,23.2911,2657283
1996-04-18,23.2911,23.4401,23.0743,23.3626,2590110
1996-04-19,23.3626,23.3626,22.5761,22.7164,2920062
1996-04-22,22.8634,22.936,22.6468,22.7909,1501194
1996-04-23,22.7164,22.8634,22.5761,22.7164,1159528
1996-04-24,22.8634,22.8634,22.2888,22.5055,1311691
1996-04-25,22.936,23.2204,22.7164,23.1527,4003034
1996-04-26,23.0047,23.0047,22.6468,22.8634,1734758
1996-04-29,22.7164,23.4401,22.7164,23.3626,3258607
1996-04-30,23.3626,23.3626,22.8634,22.936,2085961
1996-05-01,23.0047,23.2911,22.936,23.2204,2287493
1996-05-02,23.1527,23.4401,22.936,23.2204,2501525
1996-05-03,23.3626,23.6519,23.2204,23.3626,3754005
1996-05-06,23.5107,23.5813,23.0047,23.0743,1206237
1996-05-07,23.1527,23.2204,22.7909,23.0047,1568689
1996-05-08,22.7164,23.0047,22.5761,22.936,1563999
1996-05-09,22.7164,22.936,22.6468,22.7164,1132492
1996-05-10,22.936,23.0047,22.7164,22.7909,723807
1996-05-13,23.0047,23.5107,22.936,23.4401,1595245
1996-05-14,23.5107,23.6519,23.3626,23.5813,2182352
1996-05-15,23.6519,23.7293,23.2204,23.3626,2109080
1996-05-16,23.3626,23.799,23.3626,23.7293,2182352
1996-05-17,23.7293,24.5159,23.6519,24.2305,4091929
1996-05-20,24.3756,24.662,24.0864,24.662,2733995
1996-05-21,24.662,24.8052,24.5159,24.5865,2536673
