date,open,high,low,close,volume
2005-02-25,7.47047,7.47906,7.38872,7.44219,2204894
2005-02-28,7.44219,7.47047,7.30599,7.41323,2261074
2005-03-01,7.40465,7.47047,7.40271,7.40465,2571526
2005-03-02,8.62179,8.76918,8.17905,8.34825,18568320
2005-03-03,8.38377,8.44729,8.28425,8.35945,5609638
2005-03-04,8.38889,8.55779,8.33522,8.53917,3694767
2005-03-07,8.55335,8.65973,8.49844,8.57942,2462444
2005-03-08,8.60742,8.68771,8.57942,8.58666,2656891
2005-03-09,8.53473,8.56504,8.36118,8.41631,3182942
2005-03-10,8.44188,8.50298,8.38377,8.43763,1170660
2005-03-11,8.43763,8.47556,8.39796,8.42972,2559121
2005-03-14,8.43416,8.53917,8.40038,8.53473,2134848
2005-03-15,8.53917,8.59294,8.46688,8.49844,2479595
2005-03-16,8.49844,8.49844,8.38377,8.40683,1635796
2005-03-17,8.40683,8.48802,8.26862,8.44381,1685410
2005-03-18,8.43763,8.43763,8.28956,8.33859,1304548
2005-03-21,8.31697,8.32054,8.20182,8.26862,2016649
2005-03-22,8.25308,8.29459,8.17905,8.22818,2537962
2005-03-23,8.2247,8.247,8.1249,8.16968,746755
2005-03-24,8.1831,8.19507,8.08687,8.15714,1252377
2005-03-28,8.15714,8.21949,8.15714,8.19082,964548
2005-03-29,7.95018,8.00462,7.79981,7.89411,4931461
2005-03-30,7.95018,7.96843,7.82664,7.85348,2579184
2005-03-31,7.85348,7.95018,7.81207,7.90811,1399397
2005-04-01,7.9305,7.9305,7.78793,7.79981,1210063
2005-04-04,7.77152,7.77152,7.60724,7.66766,2829810
2005-04-05,7.68456,7.74161,7.63108,7.67645,2307403
2005-04-06,7.71651,7.86757,7.66766,7.79518,1406692
2005-04-07,7.79518,7.87346,7.74642,7.85348,1258589
2005-04-08,7.84933,7.90309,7.80647,7.84055,1547144
2005-04-11,7.87346,7.91226,7.81622,7.8998,1501185
2005-04-12,7.94015,7.98156,7.83561,7.95018,1604783
2005-04-13,7.95018,7.98156,7.76834,7.78793,1208606
2005-04-14,7.75705,7.83561,7.66052,7.67094,1187812
2005-04-15,7.67094,7.74161,7.55406,7.63438,1776247
2005-04-18,7.63438,7.63438,7.48756,7.51574,2023584
2005-04-19,7.56448,7.56448,7.50483,7.53765,1724437
2005-04-20,7.49615,7.57385,7.47047,7.48282,2365412
2005-04-21,7.59469,7.71255,7.56448,7.66766,2717814
2005-04-22,7.66766,7.7083,7.56448,7.60724,2082322
