date,open,high,low,close,volume
1996-01-02,10.1947,10.2559,10.1276,10.1947,895286
1996-01-03,10.1494,10.173,10.0212,10.1109,1092944
1996-01-04,10.1109,10.1494,9.84653,9.97578,1295895
1996-01-05,9.93037,10.0212,9.91459,9.99643,502077
1996-01-08,10.0212,10.0212,9.84653,9.95403,386864
1996-01-09,9.99643,10.0212,9.65023,9.67391,1301704
1996-01-10,9.60485,9.62458,9.27963,9.27963,1021070
1996-01-11,9.30202,9.31672,9.04486,9.05926,1686988
1996-01-12,9.15288,9.2315,9.12792,9.18749,2557963
1996-01-15,9.2315,9.62458,9.2315,9.40658,2135157
1996-01-16,9.45196,9.47366,9.25576,9.37206,1842366
1996-01-17,9.31672,9.58118,9.31672,9.58118,2043199
1996-01-18,9.58118,9.74098,9.58118,9.74098,2736600
1996-01-19,9.74098,9.99643,9.74098,9.99643,2194350
1996-01-22,9.91459,9.95403,9.82483,9.84653,886833
1996-01-23,9.80017,9.80017,9.74098,9.75578,1868793
1996-01-24,9.77847,10.0212,9.77847,9.88204,591396
1996-01-25,9.88204,9.91459,9.74098,9.84653,1177510
1996-01-26,9.75578,9.97578,9.75578,9.97578,505250
1996-01-29,9.93037,10.3249,9.93037,10.1109,930164
1996-01-30,10.1276,10.4157,10.1276,10.2559,923297
1996-01-31,10.2401,10.6948,10.2401,10.6948,1986119
1996-02-01,10.6702,10.7768,10.5824,10.7402,1342931
1996-02-02,10.755,10.7768,10.5203,10.6248,713478
1996-02-05,10.755,11.0904,10.755,10.9138,1056479
1996-02-06,10.8922,10.8922,10.6702,10.7186,985132
1996-02-07,10.6248,10.7768,10.4966,10.5429,901101
1996-02-08,10.5656,10.9533,10.5656,10.9533,1412692
1996-02-09,10.9533,11.0421,10.9375,11.0184,1432777
1996-02-12,11.0648,11.2373,11.0648,11.1773,1310692
1996-02-13,11.1773,11.413,11.1773,11.413,1020541
1996-02-14,11.3873,11.3873,11.0648,11.0904,639492
1996-02-15,11.0904,11.1329,11.0648,11.1329,1091359
1996-02-16,11.1111,11.1111,10.7768,10.8074,700270
1996-02-20,10.6702,10.9138,10.6248,10.8684,427559
1996-02-21,10.8684,11.0016,10.8222,10.8684,795397
1996-02-22,10.9138,11.2373,10.9138,11.2373,844022
1996-02-23,11.1496,11.2167,10.8448,11.1939,719823
1996-02-26,11.1496,11.5176,11.1496,11.413,1551160
1996-02-27,11.413,11.413,11.2373,11.3449,1441758
1996-02-28,11.3873,11.6112,11.3873,11.4524,1197596
1996-02-29,11.3873,11.5639,11.3232,11.4761,1731910
1996-03-01,11.5402,11.5639,11.3449,11.3873,1100343
1996-03-04,11.3666,11.5037,11.3666,11.5037,1119902
1996-03-05,11.4524,11.5402,11.3232,11.5402,555460
1996-03-06,11.5402,11.6852,11.5037,11.5037,480408
1996-03-07,11.4761,11.5037,11.3232,11.4761,440242
1996-03-08,11.5176,11.5176,11.2373,11.2373,1084492
1996-03-11,11.1496,11.4524,11.0904,11.4376,1312275
1996-03-12,11.3449,11.5886,11.3232,11.5176,1116733
1996-03-13,11.4376,11.5037,11.3666,11.5037,568142
1996-03-14,11.5639,11.6784,11.5037,11.6478,830808
1996-03-15,11.701,11.7158,11.6112,11.6478,1090298
1996-03-18,11.7404,12.0383,11.7404,11.9585,767916
1996-03-19,12.0207,12.1094,11.8904,11.9328,483053
1996-03-20,11.9585,12.0837,11.8214,12.0059,579241
1996-03-21,12.0059,12.0059,11.7829,11.8214,374185
1996-03-22,11.8746,11.9141,11.7829,11.8214,472482
1996-03-25,11.8746,11.9821,11.8046,11.847,686002
1996-03-26,11.7622,11.8746,11.7158,11.7404,946551
1996-03-27,11.8135,11.8135,11.5964,11.6192,545948
1996-03-28,11.5254,11.5254,11.3183,11.3311,1472942
1996-03-29,11.3311,11.3962,11.1329,11.2847,1560147
1996-04-01,11.3509,11.3962,11.2463,11.2463,1095060
1996-04-02,11.2847,11.2847,11.1329,11.2029,725636
1996-04-03,11.2029,11.2029,11.0648,11.1585,492567
1996-04-04,11.1329,11.3962,11.0648,11.3962,687057
1996-04-08,11.2463,11.2463,11.1181,11.2029,1003627
1996-04-09,11.2235,11.2235,11.05,11.0904,1213981
1996-04-10,11.05,11.0648,10.8922,11.0253,1348215
1996-04-11,11.0016,11.0253,10.6554,10.83,1017372
1996-04-12,10.8754,11.05,10.7639,10.83,813367
1996-04-15,10.7856,11.0904,10.7639,11.05,1126771
1996-04-16,11.0648,11.1585,11.0016,11.1585,867805
1996-04-17,11.3962,11.5491,11.3509,11.5106,1862455
1996-04-18,11.5106,11.5964,11.4455,11.5964,1088719
1996-04-19,11.6546,11.8529,11.6546,11.7484,1252024
1996-04-22,11.7691,11.8529,11.7691,11.8135,1192834
1996-04-23,11.8135,11.8529,11.7237,11.8292,840325
1996-04-24,11.8815,11.9417,11.8135,11.8983,506835
1996-04-25,11.8529,12.1863,11.8292,12.1409,492567
1996-04-26,12.0927,12.1183,11.7484,11.7691,531676
1996-04-29,11.7908,11.9259,11.7237,11.8135,594038
1996-04-30,11.7691,11.8292,11.701,11.7484,324498
1996-05-01,11.701,11.8292,11.6852,11.7691,381578
1996-05-02,11.6852,11.7908,11.6852,11.701,497322
1996-05-03,11.701,11.7908,11.5254,11.5491,353570
1996-05-06,11.5491,11.7237,11.4455,11.7237,463496
1996-05-07,11.7237,11.7484,11.5254,11.5254,617289
1996-05-08,11.5254,11.5254,11.3509,11.4219,686524
1996-05-09,11.3962,11.5254,11.3715,11.5106,1159534
1996-05-10,11.5718,11.7484,11.5718,11.6546,864636
1996-05-13,11.7237,12.0285,11.6852,12.0285,738849
1996-05-14,12.0117,12.1409,11.8135,11.8292,833980
1996-05-15,11.8815,12.0285,11.7908,11.8983,627862
1996-05-16,11.8815,12.0561,11.8529,11.8529,630502
1996-05-17,11.8815,11.8983,11.8292,11.8529,445003
1996-05-20,11.8529,11.9654,11.8529,11.9654,696570
1996-05-21,11.9654,11.9654,11.8292,11.8292,548590
1996-05-22,11.8529,12.0117,11.7691,11.9654,1065989
1996-05-23,11.9654,11.9654,11.8135,11.8529,706614
