date,open,high,low,close,volume
2005-11-15,40.7691,40.7691,40.3891,40.3891,205044
2005-11-16,40.3189,40.3278,40.1126,40.2261,149103
2005-11-17,40.238,40.6891,40.238,40.6891,383258
2005-11-18,40.9883,40.9883,40.7326,40.8549,255672
2005-11-21,40.8471,41.1926,40.8471,41.1926,36451
2005-11-22,40.8817,41.469,40.8817,41.4029,128218
2005-11-23,41.469,41.8885,41.469,41.7404,14176
2005-11-25,41.6763,41.7878,41.6664,41.7562,114926
2005-11-28,41.8046,41.9291,41.6506,41.6664,600577
2005-11-29,41.7246,41.7958,41.5934,41.62,1885895
2005-11-30,41.5588,41.5934,40.9744,40.9744,619562
2005-12-01,41.2814,41.4541,41.241,41.2903,558051
2005-12-02,41.241,41.4315,41.1856,41.3357,1291522
2005-12-05,41.0593,41.4029,40.9744,41.3071,396164
2005-12-06,41.5125,41.6418,41.2814,41.2814,450967
2005-12-07,41.0287,41.0287,40.7158,40.7158,275923
2005-12-08,40.9043,41.083,40.7158,40.7158,367053
2005-12-09,40.772,41.241,40.772,41.2262,253900
2005-12-12,41.1324,41.1324,40.8549,41.0208,287312
2005-12-13,41.0376,41.6664,41.0376,41.6664,8356
2005-12-14,41.7484,41.9142,41.693,41.8885,29239
2005-12-15,41.856,41.856,41.7098,41.7098,20251
2005-12-16,41.9201,41.9429,41.7098,41.7098,28349
2005-12-19,41.5588,41.5815,41.393,41.393,42022
2005-12-20,41.469,41.5687,41.3436,41.4167,31008
2005-12-21,41.6605,41.8727,41.6121,41.6121,889
2005-12-22,41.5588,41.7562,41.5588,41.7562,20883
2005-12-23,41.8727,41.8727,41.8471,41.8471,13922
2005-12-27,42.0257,42.0257,41.5588,41.5588,47210
2005-12-28,41.4315,41.4315,41.3772,41.4029,228454
2005-12-29,41.3525,41.3525,41.2172,41.2172,82779
2005-12-30,41.004,41.0514,40.8549,41.0514,129224
2006-01-03,41.0287,41.7484,40.7859,41.6418,2217386
2006-01-04,41.7562,41.7958,41.4779,41.6418,66450
2006-01-05,41.702,41.702,41.5588,41.702,45691
2006-01-06,42.0011,42.0011,41.5588,41.8471,59613
2006-01-09,41.9765,42.0583,41.8885,41.9607,195550
2006-01-10,41.693,41.9142,41.6358,41.9142,488180
2006-01-11,41.8984,42.0583,41.8984,42.0089,22660
2006-01-12,41.7878,41.856,41.5884,41.5884,595763
2006-01-13,41.6842,41.774,41.62,41.774,1162039
2006-01-17,41.2735,41.4097,41.2735,41.4097,44805
2006-01-18,41.3604,41.4611,41.3604,41.4097,26706
2006-01-19,41.2814,41.3357,40.9329,40.9813,121638
2006-01-20,40.7474,40.7474,40.1126,40.1353,3194887
2006-01-23,40.232,40.4453,40.2162,40.2162,665001
2006-01-24,40.5252,40.5696,40.3801,40.3801,135552
2006-01-25,40.3485,40.5844,40.3485,40.5844,4176
2006-01-26,41.1156,41.3693,41.0376,41.241,3757744
2006-01-27,41.2578,41.4097,41.0514,41.2656,661708
2006-01-30,41.0998,41.1156,41.083,41.1156,57587
2006-01-31,41.1156,41.1156,40.9744,40.9961,694365
2006-02-01,40.9103,40.9419,40.6822,40.6822,630700
2006-02-02,40.7474,40.7474,40.5006,40.5331,382999
2006-02-03,40.3485,40.5529,40.3031,40.4275,694743
2006-02-06,40.3959,40.466,40.3713,40.466,28986
2006-02-07,40.3347,40.4532,40.3347,40.3713,871817
2006-02-08,40.3801,40.5696,40.2962,40.5696,1503782
2006-02-09,40.4838,40.7928,40.4838,40.7622,70119
2006-02-10,40.6891,40.9665,40.5006,40.9665,3432585
2006-02-13,40.9961,41.0119,40.8549,40.8817,829669
2006-02-14,41.0682,41.5035,41.0682,41.3436,738286
2006-02-15,41.774,41.774,41.3436,41.6279,1615416
2006-02-16,41.6279,41.9063,41.6279,41.9063,264027
2006-02-17,41.8629,41.9063,41.7326,41.7326,34177
2006-02-21,41.7958,41.8471,41.7404,41.7404,32531
2006-02-22,42.0011,42.6418,42.0011,42.5845,1453533
2006-02-23,42.4295,42.5609,42.239,42.4997,1277594
2006-02-24,42.4729,42.6892,42.4374,42.6714,19360
2006-02-27,42.6892,42.7257,42.6181,42.6714,1244948
2006-02-28,42.5193,42.5193,42.1995,42.239,62903
2006-03-01,42.3486,42.4651,42.2844,42.4374,58472
2006-03-02,42.166,42.239,42.0741,42.1008,7341
2006-03-03,41.9941,42.1423,41.9695,42.0347,57587
2006-03-06,41.9339,41.9339,41.7246,41.8046,603868
2006-03-07,41.7168,42.1008,41.7168,42.0741,75434
2006-03-08,41.9142,42.2222,41.8807,42.1837,49618
2006-03-09,42.1906,42.1906,41.8362,41.8727,55820
2006-03-10,42.088,42.245,42.088,42.1492,179728
2006-03-13,42.4433,42.5924,42.3091,42.322,149475
2006-03-14,42.4039,42.7405,42.4039,42.7405,72781
2006-03-15,42.547,42.773,42.5381,42.7405,445778
2006-03-16,43.0041,43.0445,42.8945,42.9103,524507
2006-03-17,42.8323,42.8323,42.7178,42.7652,138849
2006-03-20,42.8066,42.8708,42.6349,42.7346,304909
2006-03-21,42.7346,42.8412,42.5293,42.5757,32651
2006-03-22,42.5757,42.9024,42.5757,42.8708,130495
2006-03-23,42.7582,42.8066,42.5677,42.6803,23797
2006-03-24,42.547,42.8066,42.547,42.7099,34177
2006-03-27,42.5845,42.6556,42.5193,42.6418,1519
2006-03-28,42.5549,42.6803,42.166,42.2074,15697
2006-03-29,42.2144,42.3012,41.9853,42.245,1170392
2006-03-30,42.1906,42.322,42.0347,42.0583,38095
2006-03-31,42.1837,42.1837,42.0495,42.0495,45439
2006-04-03,42.1087,42.4513,42.1087,42.1492,23922
2006-04-04,42.1146,42.697,42.1146,42.5075,15189
2006-04-05,42.7178,42.7405,42.5075,42.6625,93031
2006-04-06,42.6349,42.6349,42.4729,42.5845,123279
2006-04-07,42.4295,42.4295,42.2311,42.2844,33287
