date,open,high,low,close,volume
2005-02-25,15.6122,15.8025,15.5927,15.6792,1318246
2005-02-28,15.6169,15.7122,15.3315,15.4209,2350328
2005-03-01,15.4209,15.749,15.4209,15.6792,1191865
2005-03-02,15.6122,15.7122,15.5345,15.6276,1076842
2005-03-03,15.6169,15.7422,15.6169,15.7122,919124
2005-03-04,15.8141,16.0783,15.7713,16.0355,1145710
2005-03-07,15.9929,16.2628,15.9501,16.1782,802385
2005-03-08,16.1782,16.1782,16.0016,16.1171,926352
2005-03-09,15.9743,15.9743,15.4956,15.5472,1515917
2005-03-10,15.6169,15.8141,15.4733,15.7228,951493
2005-03-11,15.6276,15.6685,15.5296,15.5927,893299
2005-03-14,15.6122,15.8559,15.5578,15.8559,760367
2005-03-15,15.9286,16.0783,15.8258,15.884,1211492
2005-03-16,15.8898,15.9598,15.6918,15.8141,1131603
2005-03-17,15.8559,16.0355,15.8559,16.0016,898458
2005-03-18,16.0103,16.0452,15.6918,15.6918,1101643
2005-03-21,15.6918,15.7375,15.5248,15.6859,954936
2005-03-22,15.749,15.9549,15.4432,15.5131,1642990
2005-03-23,15.481,15.481,15.1694,15.3363,1409159
2005-03-24,15.3908,15.6685,15.3539,15.4015,982834
2005-03-28,15.4606,15.4703,15.2083,15.216,1041718
2005-03-29,15.3053,15.4209,15.2558,15.3616,984206
2005-03-30,15.3363,15.6918,15.3363,15.6918,1253851
2005-03-31,15.9112,15.9286,15.6054,15.652,1985295
2005-04-01,15.749,15.7879,15.3122,15.38,2017663
2005-04-04,15.38,15.4373,15.2004,15.3908,1430857
2005-04-05,15.3908,15.3908,15.2083,15.3616,909821
2005-04-06,15.3908,15.4898,15.2733,15.4015,1035864
2005-04-07,15.3908,15.4548,15.347,15.4432,774138
2005-04-08,15.4733,15.5248,15.3616,15.4131,683230
2005-04-11,15.481,15.481,15.347,15.3703,524819
2005-04-12,15.3703,15.5975,15.3053,15.5753,1031388
2005-04-13,15.5646,15.6209,15.4606,15.5248,1077530
2005-04-14,15.5248,15.5248,15.2985,15.347,2126480
2005-04-15,15.3839,15.4606,15.2985,15.4015,748318
2005-04-18,15.5131,15.5248,15.3122,15.4306,873320
2005-04-19,15.38,15.5422,15.3616,15.4209,982146
2005-04-20,15.2733,15.4606,15.2325,15.4257,1016237
2005-04-21,15.4257,15.5713,15.3363,15.5646,595413
2005-04-22,15.5345,15.6685,15.4548,15.5753,1687069
2005-04-25,15.5063,15.7713,15.4898,15.6685,2356870
2005-04-26,15.7122,15.8258,15.6976,15.7646,1202540
2005-04-27,15.7646,16.0404,15.652,15.9879,2322088
2005-04-28,16.0016,16.0404,15.884,15.9822,563390
2005-04-29,16.0268,16.1171,15.9083,16.087,1093029
2005-05-02,16.087,16.1715,15.884,16.1715,797213
2005-05-03,16.1287,16.2103,16.1005,16.2035,661534
2005-05-04,16.2035,16.254,16.0783,16.2511,902935
2005-05-05,16.2511,16.554,16.2229,16.554,1029321
2005-05-06,16.5113,16.5113,16.1443,16.4482,1215279
2005-05-09,16.4482,16.6861,16.4297,16.6861,853691
2005-05-10,16.6172,16.6948,16.4889,16.6229,670141
2005-05-11,16.6579,16.7376,16.457,16.7016,794116
2005-05-12,16.6579,16.6676,16.4055,16.521,861962
2005-05-13,16.554,16.5647,16.2958,16.3773,837166
2005-05-16,16.3773,16.554,16.3773,16.5336,862992
2005-05-17,16.4055,16.6229,16.4055,16.5735,708367
2005-05-18,16.6229,16.8415,16.6229,16.8415,880550
2005-05-19,16.7802,17.0395,16.7802,16.957,799628
2005-05-20,16.9259,17.0269,16.8532,16.9755,634678
2005-05-23,16.9105,17.0745,16.8841,17.0532,710777
2005-05-24,17.0628,17.0628,16.7075,16.7735,1233878
2005-05-25,16.8133,16.8133,16.4889,16.5802,961827
2005-05-26,16.5802,16.7376,16.4122,16.521,850245
2005-05-27,16.6035,16.6113,16.4705,16.5899,553748
2005-05-31,16.5899,16.9376,16.5802,16.7735,1080285
2005-06-01,16.8415,17.0162,16.7899,17.0104,795151
2005-06-02,16.9871,17.0016,16.8841,16.8841,793079
2005-06-03,16.9463,16.9628,16.7239,16.7239,1820682
2005-06-06,16.6229,16.8133,16.6172,16.7899,1595810
2005-06-07,17.0678,17.0919,16.8133,16.9424,1144682
2005-06-08,16.9259,17.1338,16.9259,17.0395,546860
2005-06-09,16.9871,17.0745,16.892,17.0162,528953
2005-06-10,17.0162,17.0919,16.9105,17.0016,323019
2005-06-13,16.957,17.0162,16.8726,16.9105,1205981
2005-06-14,16.8841,17.0919,16.8841,17.0919,824421
2005-06-15,17.1338,17.1552,17.0016,17.1085,557189
2005-06-16,17.1085,17.1968,17.0162,17.1871,730065
2005-06-17,17.2037,17.4222,17.1968,17.3502,1770060
2005-06-20,17.2832,17.393,17.2785,17.3056,689774
2005-06-21,17.3581,17.3697,17.0678,17.0745,878833
2005-06-22,17.1871,17.2366,16.9871,17.0628,603685
2005-06-23,17.0211,17.2192,17.0211,17.1338,558567
2005-06-24,17.1036,17.1609,16.825,16.8726,903286
2005-06-27,16.8726,16.9327,16.7599,16.8133,685635
2005-06-28,16.8133,16.9755,16.7473,16.9755,758299
2005-06-29,17.0016,17.0454,16.9376,17.0162,713879
2005-06-30,17.0162,17.1609,16.9871,17.1036,1271072
2005-07-01,16.957,17.2406,16.9502,17.2406,1900232
2005-07-05,17.2366,17.5154,17.2366,17.3649,1225261
2005-07-06,17.4785,17.6308,17.4008,17.4008,1771095
2005-07-07,17.2541,17.4901,17.2406,17.4852,539283
2005-07-08,17.5241,17.7969,17.4008,17.6784,846462
2005-07-11,17.6251,17.9552,17.6251,17.8989,743838
2005-07-12,17.8494,18.0902,17.8494,18.0038,953908
2005-07-13,18.0038,18.0038,17.7125,17.7242,1509028
2005-07-14,17.7242,17.7445,17.3056,17.393,2438829
2005-07-15,17.393,17.4959,17.3425,17.4785,1098198
2005-07-18,17.4901,17.7038,17.4746,17.6183,704924
2005-07-19,17.6562,17.8271,17.6562,17.7125,606782
2005-07-20,17.7125,17.8989,17.6086,17.8989,679444
