date,open,high,low,close,volume
1996-01-02,3.77894,3.80742,3.73009,3.7951,2436993
1996-01-03,3.7951,3.88012,3.76673,3.83155,4725681
1996-01-04,3.84367,3.84367,3.68969,3.75461,2814648
1996-01-05,3.73009,3.7951,3.629,3.76673,2429080
1996-01-08,3.75461,3.77894,3.71855,3.73009,331191
1996-01-09,3.71855,3.75461,3.67796,3.68969,2799814
1996-01-10,3.66565,3.75461,3.64131,3.64131,2932295
1996-01-11,3.629,3.64131,3.516,3.54004,2783994
1996-01-12,3.54004,3.60497,3.52813,3.59294,1326752
1996-01-15,3.60497,3.70594,3.5766,3.67796,2519037
1996-01-16,3.70594,3.70594,3.64131,3.64131,2216521
1996-01-17,3.64131,3.68969,3.629,3.629,1761748
1996-01-18,3.64131,3.65344,3.56466,3.59294,1726153
1996-01-19,3.54004,3.71855,3.54004,3.66565,2870995
1996-01-22,3.66565,3.75461,3.66565,3.71855,2645594
1996-01-23,3.68969,3.7426,3.68969,3.73009,1823049
1996-01-24,3.7426,3.7951,3.71855,3.7426,5736067
1996-01-25,3.75461,3.7951,3.39069,3.56466,18521105
1996-01-26,3.55235,3.629,3.516,3.516,8243250
1996-01-29,3.516,3.56466,3.4634,3.48773,5276353
1996-01-30,3.48773,3.50388,3.45107,3.4634,2051412
1996-01-31,3.45107,3.516,3.43906,3.516,9570986
1996-02-01,3.516,3.64131,3.50388,3.629,3408820
1996-02-02,3.629,3.64131,3.54004,3.54004,3387067
1996-02-05,3.52813,3.59698,3.516,3.56466,1544253
1996-02-06,3.516,3.64131,3.50388,3.61738,4461708
1996-02-07,3.59294,3.629,3.54004,3.629,5169582
1996-02-08,3.629,3.629,3.5766,3.60497,1854681
1996-02-09,3.59294,3.64131,3.5766,3.61738,2587258
1996-02-12,3.629,3.65344,3.60497,3.629,4822565
1996-02-13,3.64131,3.73009,3.64131,3.68969,4460719
1996-02-14,3.73009,3.75461,3.70594,3.70594,3650040
1996-02-15,3.73009,3.75461,3.68969,3.7426,2261012
1996-02-16,3.7426,3.81953,3.71855,3.81953,4918465
1996-02-20,3.7951,3.83155,3.75461,3.80742,4573429
1996-02-21,3.77894,3.77894,3.73009,3.7426,1839855
1996-02-22,3.76673,3.83155,3.75461,3.77894,3066746
1996-02-23,3.7951,3.81953,3.76673,3.80742,3345538
1996-02-26,3.80742,3.81953,3.7426,3.7426,2853204
1996-02-27,3.7426,3.76673,3.7426,3.7426,3445401
1996-02-28,3.76673,3.83155,3.76673,3.77894,2948112
1996-02-29,3.75461,3.81953,3.75461,3.75461,3852722
1996-03-01,3.80742,3.80742,3.76673,3.77894,2973820
1996-03-04,3.7951,3.83155,3.76673,3.77894,2137435
1996-03-05,3.76673,3.84367,3.7426,3.84367,6123613
1996-03-06,3.81953,3.83155,3.73009,3.7426,5423660
1996-03-07,3.75461,3.76673,3.70594,3.70594,6323321
1996-03-08,3.68969,3.77894,3.65344,3.68969,3443420
1996-03-11,3.67796,3.71855,3.65344,3.67796,2997544
1996-03-12,3.64131,3.67796,3.629,3.64131,3640156
1996-03-13,3.66565,3.68969,3.64131,3.65344,4022755
1996-03-14,3.66565,3.71855,3.66565,3.67796,6661423
1996-03-15,3.67796,3.7951,3.65344,3.7951,7685660
1996-03-18,3.7951,3.89215,3.7951,3.8679,9887350
1996-03-19,3.90821,3.94464,3.85589,3.94464,8460741
1996-03-20,3.94464,3.94464,3.85589,3.93263,1949589
1996-03-21,3.93263,4.00957,3.90821,3.99726,2084040
1996-03-22,4.00957,4.00957,3.92072,3.95715,1594667
1996-03-25,3.95715,3.95715,3.89215,3.93263,3128043
1996-03-26,3.93263,3.99726,3.93263,3.99726,2029661
1996-03-27,3.99726,3.99726,3.93263,3.93263,2420185
1996-03-28,3.92072,4.03381,3.90821,4.03381,3966412
1996-03-29,4.03381,4.14661,4.03381,4.09469,6807743
1996-04-01,4.11105,4.11105,4.03381,4.07036,4506203
1996-04-02,4.04613,4.04613,3.89215,3.96899,4033630
1996-04-03,3.9813,3.9813,3.93263,3.93263,3695522
1996-04-04,3.95715,4.08238,3.94464,4.07036,4173029
1996-04-08,4.03381,4.03381,3.95715,3.99726,3445401
1996-04-09,4.00957,4.0217,3.97736,4.00957,2037581
1996-04-10,4.00957,4.04613,3.99726,4.03381,5018320
1996-04-11,4.0217,4.19942,4.00957,4.18297,8146357
1996-04-12,4.29665,4.44995,4.28454,4.33695,16662473
1996-04-15,4.3862,4.44995,4.36188,4.40236,7429595
1996-04-16,4.3862,4.40236,4.22445,4.29665,9830004
1996-04-17,4.29665,4.31271,4.17134,4.31271,6407354
1996-04-18,4.22445,4.23656,4.15902,4.19942,5663887
1996-04-19,4.18297,4.23656,4.17134,4.22445,3627307
1996-04-22,4.21242,4.23656,4.08238,4.09469,6303536
1996-04-23,4.11105,4.15902,4.08238,4.1348,9240785
1996-04-24,4.14661,4.19942,4.1348,4.19942,8742504
1996-04-25,4.19942,4.19942,4.14661,4.15902,6430082
1996-04-26,4.15902,4.19942,4.14661,4.19942,5717285
1996-04-29,4.18297,4.22445,4.17134,4.18297,2147317
1996-04-30,4.17134,4.18297,4.14661,4.15902,2449839
1996-05-01,4.14661,4.15902,4.0217,4.03381,5855696
1996-05-02,4.0217,4.08238,4.00957,4.00957,2964917
1996-05-03,4.03381,4.03381,3.8679,3.89215,5672794
1996-05-06,3.93263,3.94464,3.7951,3.8679,4761274
1996-05-07,3.88012,4.00957,3.8679,3.99726,6516095
1996-05-08,3.99726,4.04613,3.9813,4.00957,8122635
1996-05-09,4.0217,4.09469,3.99726,4.07036,5384107
1996-05-10,4.19942,4.28454,4.18297,4.28454,5537348
1996-05-13,4.24838,4.26109,4.18297,4.18297,5044019
1996-05-14,4.21242,4.23656,4.17134,4.19942,3284246
1996-05-15,4.17134,4.18297,4.12277,4.17134,2783004
1996-05-16,4.14661,4.17134,4.08238,4.09469,4690088
1996-05-17,4.09469,4.11105,4.07036,4.08238,3977279
1996-05-20,4.11105,4.15902,4.09469,4.12277,2864079
1996-05-21,4.11105,4.1348,4.09469,4.11105,2571439
1996-05-22,4.11105,4.11105,4.04613,4.04613,8359906
1996-05-23,4.09469,4.11105,4.05814,4.05814,2055371
1996-05-24,4.05814,4.08238,4.04613,4.07036,3518552
1996-05-28,4.07036,4.08238,4.03381,4.04613,1651021
1996-05-29,4.05814,4.09469,4.04613,4.04613,2519037
1996-05-30,4.05814,4.08238,4.04613,4.04613,2137435
1996-05-31,4.04613,4.05814,3.96899,3.96899,4251132
1996-06-03,3.95715,3.9813,3.90821,3.92072,1821070
1996-06-04,3.96899,4.00957,3.90821,3.96899,3757804
1996-06-05,3.95715,3.95715,3.90821,3.93263,2041532
1996-06-06,3.94464,3.94464,3.89215,3.89215,6137453
1996-06-07,3.84367,3.95715,3.84367,3.94464,5719251
1996-06-10,3.94464,4.0217,3.93263,3.93263,4265958
1996-06-11,3.94464,3.9813,3.94464,3.94464,2992601
1996-06-12,3.94464,3.96899,3.89215,3.93263,2474558
1996-06-13,3.93263,3.95715,3.90821,3.92072,3368284
1996-06-14,3.92072,3.94464,3.89215,3.89215,2993594
