date,open,high,low,close,volume
2006-06-22,37.8733,37.8733,37.6174,37.7014,1733158
2006-06-23,37.3517,37.3695,37.0197,37.2094,891404
2006-06-26,37.4059,37.6658,37.3695,37.6115,183107
2006-06-27,37.7992,37.7992,37.3517,37.3695,549186
2006-06-28,37.3111,37.4217,37.0434,37.3032,938386
2006-06-29,37.6846,38.1331,37.5562,38.1331,77713
2006-06-30,38.1628,38.1934,37.8733,37.9504,354277
2006-07-03,37.9731,38.2171,37.9731,38.2171,71745
2006-07-05,37.9968,37.9968,37.7182,37.7616,180058
2006-07-06,37.8792,37.9968,37.8388,37.8388,84317
2006-07-07,37.9197,37.9899,37.5255,37.5828,312755
2006-07-10,37.7458,37.7458,37.6382,37.6945,56124
2006-07-11,37.5739,37.7834,37.3269,37.7834,218660
2006-07-12,37.7103,37.7103,37.2963,37.2963,290277
2006-07-13,37.1016,37.1462,36.8161,36.8695,1259777
2006-07-14,36.8784,36.9337,36.6195,36.8567,75171
2006-07-17,36.7865,37.0197,36.7786,37.0138,87491
2006-07-18,37.2667,37.2815,36.91,37.2815,735596
2006-07-19,37.2904,38.2399,37.2736,38.2241,1189046
2006-07-20,38.3742,38.3742,37.9593,37.9593,185393
2006-07-21,37.4445,37.648,37.4059,37.6253,401129
2006-07-24,37.7834,38.0699,37.7834,38.0611,110600
2006-07-25,38.0433,38.2478,37.982,38.2478,112254
2006-07-26,38.0343,38.4128,37.8733,38.2557,81267
2006-07-27,38.312,38.4542,37.8664,37.8733,714138
2006-07-28,38.0937,38.6825,38.0937,38.641,212693
2006-07-31,38.312,38.3742,38.0521,38.2912,222086
2006-08-01,37.9346,38.1253,37.7834,37.9731,154280
2006-08-02,38.1569,38.306,37.9731,38.1489,283549
2006-08-03,38.1934,38.6745,38.1776,38.6499,158091
2006-08-04,38.9938,38.9938,38.4691,38.641,95995
2006-08-07,38.5955,38.6271,38.3742,38.4622,425514
2006-08-08,38.6035,38.7714,38.2013,38.2478,124571
2006-08-09,38.5906,38.5906,37.7696,37.8239,151362
2006-08-10,37.6658,38.1569,37.6658,38.0521,65394
2006-08-11,37.8575,37.982,37.7834,37.9435,146408
2006-08-14,38.1193,38.2843,37.8792,37.9277,601123
2006-08-15,38.3544,38.558,38.3544,38.5185,161520
2006-08-16,38.723,38.7783,38.5086,38.7398,391097
2006-08-17,38.6993,38.8228,38.6993,38.7457,69966
2006-08-18,38.6035,38.7457,38.6035,38.7457,60186
2006-08-21,38.5511,38.5817,38.4622,38.4622,71868
2006-08-22,38.4384,38.6213,38.4384,38.5511,58792
2006-08-23,38.6123,38.6123,38.0759,38.1025,395798
2006-08-24,38.1193,38.1855,38.0285,38.1628,55873
2006-08-25,38.2241,38.2241,37.9435,37.9968,212184
2006-08-28,38.0699,38.2744,38.0521,38.2744,80250
2006-08-29,38.1697,38.1697,37.8792,38.1489,318592
2006-08-30,38.2843,38.5185,38.2843,38.4849,106542
2006-08-31,38.5185,38.6123,38.4542,38.5649,64381
2006-09-01,38.4622,38.6123,38.4622,38.5432,123427
2006-09-05,38.5649,38.7063,38.5649,38.6271,36061
2006-09-06,38.4296,38.5185,38.391,38.391,1905
2006-09-07,38.2557,38.312,38.0156,38.0156,67299
2006-09-08,37.9593,38.1025,37.8733,38.0759,639728
2006-09-11,38.0343,38.1489,37.9118,38.1193,194532
2006-09-12,38.2992,38.6341,38.2992,38.6213,19806
2006-09-13,38.7457,38.9216,38.6667,38.9137,198219
2006-09-14,38.888,38.8959,38.8821,38.8959,89010
2006-09-15,38.6913,38.7625,38.6271,38.6913,106659
2006-09-18,38.4849,38.5906,38.4474,38.4849,55742
