date,open,high,low,close,volume
2005-02-25,22.4378,22.5435,22.1517,22.5335,1985024
2005-02-28,22.6012,22.6112,22.0948,22.2334,1696504
2005-03-01,22.3001,22.8524,22.3001,22.7786,2095947
2005-03-02,22.7876,22.9261,22.7607,22.8614,1438760
2005-03-03,22.9461,23.0198,22.7149,22.8614,2263608
2005-03-04,23.0388,23.1225,22.9461,23.0388,1726637
2005-03-07,23.1125,23.1505,22.9361,22.992,1606742
2005-03-08,22.9003,23.0198,22.8056,22.8713,1524993
2005-03-09,22.7607,23.0957,22.7517,22.9261,1528200
2005-03-10,22.9003,23.0298,22.7329,22.7966,1232302
2005-03-11,22.8713,22.8713,22.3561,22.3918,1423369
2005-03-14,22.4578,22.6292,22.4278,22.5712,2427745
2005-03-15,22.8614,22.9163,22.7786,22.8156,3245864
2005-03-16,22.8156,22.9561,22.3471,22.6481,2137621
2005-03-17,22.6769,22.6769,22.5045,22.5045,3814248
2005-03-18,22.5045,22.5045,21.9523,22.0948,8173801
2005-03-21,22.1517,22.2244,22.0948,22.1616,2812436
2005-03-22,22.2074,22.6769,22.1885,22.3191,3283050
2005-03-23,22.3281,22.5624,22.3191,22.4855,2999655
2005-03-24,22.4278,22.5045,22.3381,22.3729,1618920
2005-03-28,22.3729,22.5624,22.3381,22.3561,1928921
2005-03-29,22.3561,22.7786,22.3561,22.6392,2024774
2005-03-30,22.7239,22.9093,22.6012,22.9003,1699068
2005-03-31,22.8813,23.1505,22.7696,22.9361,2631952
2005-04-01,23.0198,23.1405,22.5812,22.7517,1899110
2005-04-04,22.7786,22.9003,22.5525,22.658,2281881
2005-04-05,22.7149,22.7966,22.6192,22.7329,1208263
2005-04-06,22.8813,23.1405,22.8344,23.0568,1147995
2005-04-07,23.0568,23.1405,22.7428,23.01,1004374
2005-04-08,23.0857,23.0957,22.8713,22.8813,1080352
2005-04-11,22.8813,22.9003,22.7149,22.7786,1481077
2005-04-12,22.7428,23.3419,22.7329,23.1315,2567840
2005-04-13,22.992,23.1595,22.7239,22.7329,1601932
2005-04-14,22.667,22.9163,22.3381,22.3829,2183139
2005-04-15,22.1147,22.1806,21.8427,21.8427,2603097
2005-04-18,21.8038,21.8327,21.5037,21.7091,1538454
2005-04-19,21.7658,22.0948,21.6453,22.059,1415353
2005-04-20,22.03,22.3829,21.6631,21.6631,1700668
2005-04-21,21.8038,22.0869,21.738,22.0869,1526920
2005-04-22,22.0869,22.3918,21.6164,21.8227,1898469
2005-04-25,21.9622,22.2434,21.8985,22.1517,1243205
2005-04-26,22.2164,22.2713,21.8227,21.8227,1219480
2005-04-27,21.8038,22.1716,21.7191,22.0869,1247370
2005-04-28,22.0101,22.03,21.7558,21.7858,1405100
2005-04-29,21.7938,22.1147,21.6831,22.1147,1703237
2005-05-02,22.1885,22.4378,22.0779,22.3471,1596483
2005-05-03,22.4578,22.4578,21.9164,22.1247,2374208
2005-05-04,22.2244,22.9163,22.1975,22.9003,2295344
2005-05-05,22.8813,23.001,22.7329,22.8344,1670856
2005-05-06,22.9461,22.9561,22.7329,22.7696,1640406
2005-05-09,22.658,22.8913,22.5335,22.7329,1886283
2005-05-10,22.658,22.8524,22.4955,22.6112,1363424
2005-05-11,22.7428,22.8913,22.6192,22.8524,1332647
2005-05-12,22.9261,22.9651,22.4955,22.4955,1978936
2005-05-13,22.5812,22.6012,22.0779,22.2633,2128645
2005-05-16,22.3381,22.658,22.2713,22.6392,1674383
2005-05-17,22.5712,22.7607,22.4478,22.6959,2115499
2005-05-18,22.7696,22.8156,22.6192,22.6769,1837557
2005-05-19,22.7329,22.7517,22.5712,22.7059,1446450
2005-05-20,22.6959,22.7329,22.5045,22.5624,1415033
2005-05-23,22.6292,22.7149,22.5912,22.6481,1491655
2005-05-24,22.7239,22.7517,22.6112,22.6769,933846
2005-05-25,22.7428,22.8913,22.6192,22.8434,1435234
2005-05-26,22.9163,23.2052,22.8056,23.1315,1965147
2005-05-27,23.1675,23.3029,23.0857,23.2352,1250900
2005-05-31,23.1953,23.5642,23.1505,23.4893,2063246
2005-06-01,23.3699,23.601,23.3129,23.5163,1783056
2005-06-02,23.5443,23.601,23.3319,23.601,1182292
2005-06-03,23.4516,23.4616,23.2841,23.3787,1390989
2005-06-06,23.5073,23.7057,23.3699,23.6857,1145749
2005-06-07,23.7057,23.7795,23.6469,23.6668,1594881
2005-06-08,23.7506,23.9739,23.637,23.8353,1450300
2005-06-09,23.8443,24.1333,23.7795,24.1234,1725355
2005-06-10,23.6469,24.3337,23.6469,24.2759,2101073
2005-06-13,24.228,24.4903,24.1234,24.2948,1578208
2005-06-14,24.228,24.7045,24.1134,24.6018,1695542
2005-06-15,24.6407,24.7584,24.4633,24.7384,1242239
2005-06-16,24.7045,24.7294,24.546,24.6876,812346
2005-06-17,24.893,24.9398,24.7953,24.8641,2023494
2005-06-20,24.8152,24.8341,24.6018,24.7953,1013671
2005-06-21,24.7953,24.7953,24.546,24.6208,1548395
2005-06-22,24.7773,24.8541,24.4633,24.8152,1462161
2005-06-23,24.8152,25.0415,24.6208,24.6308,1418239
2005-06-24,24.556,24.7294,24.4444,24.5271,1366630
2005-06-27,24.4903,24.7045,24.4544,24.546,1327198
2005-06-28,24.6956,24.7045,24.248,24.257,1923152
2005-06-29,24.257,24.3237,24.1703,24.257,1711571
2005-06-30,24.238,24.3038,24.1603,24.1703,2044975
2005-07-01,24.0766,24.228,24.0117,24.2001,2045615
2005-07-05,24.2001,24.4823,24.2001,24.4074,2168710
2005-07-06,24.4723,24.4903,24.2759,24.4074,1752283
2005-07-07,24.1901,24.546,23.927,24.546,2077993
2005-07-08,24.546,24.546,24.248,24.4354,1521144
2005-07-11,24.3985,25.0335,24.3985,25.0065,1699388
2005-07-12,25.0335,25.1731,24.9128,25.1731,1839162
2005-07-13,25.2608,25.3246,24.9228,24.9777,1325275
2005-07-14,24.9867,25.2119,24.7584,24.9228,2021568
2005-07-15,24.9228,25.1172,24.9228,25.1072,1370152
2005-07-18,25.183,25.193,24.9867,25.0335,1140620
2005-07-19,25.1172,25.2408,25.0495,25.193,1389390
2005-07-20,25.193,25.4422,25.0784,25.4153,1506076
2005-07-21,25.3874,25.5071,25.1462,25.2408,1314052
2005-07-22,25.3345,25.8958,25.3146,25.8958,2249182
2005-07-25,25.8958,26.0533,25.8189,25.9246,2090493
2005-07-26,26.0891,26.0891,25.8769,26.0443,1733371
2005-07-27,26.0723,26.2128,25.9874,26.165,2122553
2005-07-28,26.2675,26.2855,26.0163,26.2855,1600011
2005-07-29,26.2855,26.3503,26.0891,26.0891,1528516
2005-08-01,26.0163,26.2755,25.9696,26.155,2196285
2005-08-02,26.2038,26.4729,26.155,26.2595,1753567
2005-08-03,26.2595,26.3503,26.1848,26.2755,1030017
2005-08-04,26.2595,26.2955,26.128,26.147,884481
2005-08-05,26.1081,26.128,25.9616,26.0353,1322066
2005-08-08,26.1081,26.3404,26.0811,26.0981,1068488
2005-08-09,26.1748,26.1938,26.0353,26.1081,904670
2005-08-10,26.147,26.5586,26.147,26.3982,1942388
2005-08-11,26.4361,26.6993,26.3602,26.6993,1039637
2005-08-12,26.6993,26.763,26.4929,26.6225,1045406
2005-08-15,26.6225,26.754,26.5129,26.7072,1116897
2005-08-16,26.7072,27.7488,26.5496,27.4368,4039937
2005-08-17,27.5694,27.7678,27.0202,27.0202,2378693
2005-08-18,27.0481,27.2943,26.8777,27.2584,1544226
2005-08-19,27.3511,27.3511,27.082,27.2046,989947
2005-08-22,27.2136,27.6541,27.2046,27.409,1388749
2005-08-23,27.5594,27.8257,27.5117,27.8157,2200130
2005-08-24,27.8157,28.0928,27.739,27.7588,2114215
2005-08-25,27.6363,27.6741,27.409,27.5495,2320029
2005-08-26,27.5495,27.5884,27.3233,27.3233,1238395
2005-08-29,27.2046,27.389,27.1468,27.37,1605136
2005-08-30,27.3333,27.3333,27.0022,27.092,1604174
2005-08-31,27.1368,27.3511,26.9245,27.3511,2159097
2005-09-01,27.2943,27.2943,27.0391,27.2853,2051704
2005-09-02,27.2853,27.399,27.2046,27.2226,800807
2005-09-06,27.4647,27.6931,27.3411,27.6363,1134849
2005-09-07,27.6363,27.7588,27.4548,27.7588,1206977
2005-09-08,27.7588,28.2702,27.6741,28.1575,2459481
2005-09-09,28.2413,29.311,28.2234,29.2163,3474435
2005-09-12,29.2163,29.2163,28.8702,28.9909,2898670
2005-09-13,28.8405,28.8405,28.5334,28.5713,2093703
2005-09-14,28.7008,28.7108,28.5134,28.5713,1936618
2005-09-15,28.7008,29.0009,28.4945,28.9819,3260610
2005-09-16,28.9819,29.275,28.6351,29.0309,8780656
2005-09-19,29.0577,29.0577,28.6191,28.7378,2671384
