date,open,high,low,close,volume
2021-01-04,22.950001,23.0,20.450001,21.34,278100
2021-01-05,21.549999,21.65,21.08,21.200001,131000
2021-01-06,22.6,22.719999,21.77,22.379999,224000
2021-01-07,22.469999,22.860001,21.82,22.290001,210900
2021-01-08,22.35,22.790001,21.27,22.07,156700
2021-01-11,22.0,22.25,21.6,21.799999,107900
2021-01-12,21.75,21.75,20.75,21.18,131300
2021-01-13,21.25,21.690001,21.200001,21.469999,121800
2021-01-14,21.719999,28.469999,21.719999,24.610001,443800
2021-01-15,27.34,27.34,24.280001,24.84,230000
2021-01-19,25.41,25.91,23.75,23.780001,166200
2021-01-20,23.5,23.549999,22.219999,22.43,168800
2021-01-21,22.450001,22.58,21.49,22.110001,112000
2021-01-22,22.17,22.389999,21.809999,22.09,103000
2021-01-25,22.33,22.59,20.5,21.200001,184500
2021-01-26,21.299999,21.530001,20.57,20.959999,195900
2021-01-27,20.5,20.77,19.27,19.65,331400
2021-01-28,19.5,22.1,19.33,21.629999,182700
2021-01-29,21.879999,22.299999,20.309999,20.309999,121800
2021-02-01,20.52,23.01,19.91,22.049999,253600
2021-02-02,22.41,23.23,20.77,21.620001,249800
2021-02-03,21.9,26.0,21.799999,24.629999,224700
2021-02-04,24.66,26.709999,24.52,26.5,168000
2021-02-05,26.58,27.0,25.549999,26.07,114900
2021-02-08,27.35,30.969999,27.219999,27.629999,289000
2021-02-09,27.65,27.799999,26.83,27.200001,149900
2021-02-10,27.24,27.459999,24.17,25.57,260200
2021-02-11,25.6,25.68,24.4,24.91,124000
2021-02-12,24.629999,24.719999,23.379999,23.74,267400
2021-02-16,24.5,25.9,24.0,25.290001,246500
2021-02-17,26.0,26.209999,23.48,25.299999,113300
2021-02-18,25.51,25.57,23.82,24.17,96300
2021-02-19,24.84,25.969999,24.33,24.610001,86300
2021-02-22,24.6,26.68,24.5,26.139999,104900
2021-02-23,25.950001,26.940001,23.5,25.440001,146900
2021-02-24,25.280001,25.75,24.0,24.73,97200
2021-02-25,24.49,25.15,22.610001,23.440001,164700
2021-02-26,23.82,23.969999,22.200001,23.49,127900
2021-03-01,24.040001,24.469999,23.59,24.15,69300
2021-03-02,24.51,25.35,23.719999,24.52,59400
2021-03-03,24.73,25.25,23.709999,25.07,88800
2021-03-04,24.52,24.969999,21.58,22.24,155700
2021-03-05,22.83,23.870001,20.559999,23.5,156500
2021-03-08,24.0,24.459999,22.67,22.799999,79000
2021-03-09,22.99,23.99,22.799999,23.639999,60100
2021-03-10,23.450001,24.719999,23.030001,24.1,99900
2021-03-11,24.73,25.200001,24.059999,24.9,99700
2021-03-12,24.9,25.34,24.4,24.99,34600
2021-03-15,25.0,27.23,24.040001,26.4,173100
2021-03-16,26.950001,27.870001,24.77,25.940001,152800
2021-03-17,25.84,26.27,24.120001,25.540001,117900
2021-03-18,25.17,27.5,25.139999,26.49,171200
2021-03-19,27.49,28.780001,25.389999,27.76,183400
2021-03-22,29.5,29.75,27.26,27.879999,175200
2021-03-23,28.33,28.629999,26.129999,26.690001,134200
2021-03-24,27.17,27.17,25.17,25.200001,110300
2021-03-25,24.67,24.780001,23.0,24.299999,172200
2021-03-26,24.379999,24.58,22.719999,24.01,135000
2021-03-29,23.91,24.08,23.0,23.030001,79100
2021-03-30,23.27,24.030001,22.74,23.99,79900
