date,open,high,low,close,volume
2005-02-25,8.90858,8.95396,8.85335,8.92078,1404035
2005-02-28,8.87088,8.98782,8.82382,8.93664,906589
2005-03-01,8.95396,9.02641,8.92078,8.93664,809019
2005-03-02,8.88033,8.95583,8.83475,8.89175,539344
2005-03-03,8.89175,8.91419,8.79056,8.87561,606094
2005-03-04,8.90484,9.02365,8.90022,9.01528,715631
2005-03-07,8.98309,9.13853,8.95396,9.13272,1112211
2005-03-08,9.08528,9.14326,9.06618,9.12612,1026312
2005-03-09,9.09157,9.09157,8.98782,8.99264,773398
2005-03-10,9.00948,9.07012,8.92541,9.03399,788961
2005-03-11,9.00948,9.09453,8.92256,8.92541,594415
2005-03-14,8.92541,9.22013,8.92541,9.19041,1047260
2005-03-15,9.18843,9.26964,9.06618,9.07385,848823
2005-03-16,9.07012,9.12888,8.93299,9.052,979922
2005-03-17,9.03005,9.16343,9.03005,9.11933,920353
2005-03-18,9.13853,9.1596,9.04059,9.12327,1692259
2005-03-21,9.08902,9.11933,9.01893,9.04059,674035
2005-03-22,9.00948,9.05584,8.84312,8.857,857504
2005-03-23,8.81093,8.88388,8.72205,8.83475,871277
2005-03-24,8.84312,8.87856,8.81743,8.82638,859601
2005-03-28,8.85335,8.88033,8.82382,8.832,579453
2005-03-29,8.8072,8.84962,8.66692,8.6742,949092
2005-03-30,8.67066,8.83948,8.61829,8.82382,990690
2005-03-31,8.85985,8.95396,8.85985,8.94609,969738
2005-04-01,9.05859,9.17593,8.95396,9.10792,2376172
2005-04-04,9.07385,9.10792,9.02365,9.08528,1779963
2005-04-05,9.11549,9.18076,9.09157,9.10792,879355
2005-04-06,9.13272,9.16727,9.04629,9.07385,797344
2005-04-07,9.05584,9.11933,9.02641,9.05859,814998
2005-04-08,9.033,9.08143,8.96902,9.02365,513305
2005-04-11,9.02365,9.09453,8.97748,9.07385,592625
2005-04-12,9.08902,9.17593,9.01244,9.17593,1557282
2005-04-13,9.17111,9.19041,9.04432,9.07858,1789839
