date,open,high,low,close,volume
2005-02-25,24.8079,25.1237,24.8079,25.105,67432
2005-02-28,25.0932,25.1847,24.734,24.8994,81158
2005-03-01,24.9377,25.1237,24.6966,25.0499,150851
2005-03-02,25.0243,25.4573,24.859,25.1788,309843
2005-03-03,25.1936,25.4208,25.0243,25.1493,166989
2005-03-04,25.1493,25.6807,25.0636,25.6571,164732
2005-03-07,25.5232,25.7279,25.4208,25.6875,111627
2005-03-08,25.6443,25.6807,25.3353,25.5232,81605
2005-03-09,25.4869,25.4869,24.6593,24.6593,250711
2005-03-10,24.6966,25.0243,24.554,24.8924,102431
2005-03-11,24.8433,24.8433,24.243,24.427,49481
2005-03-14,24.4142,24.8511,24.3453,24.8433,46457
2005-03-15,24.9122,25.3137,24.7026,24.7026,158695
2005-03-16,24.6593,24.9987,24.5332,24.6021,79803
2005-03-17,24.6593,24.6593,24.2607,24.4595,66824
2005-03-18,24.6593,24.7212,24.3946,24.5106,142101
2005-03-21,24.5392,24.5795,24.2833,24.4142,55966
2005-03-22,24.3522,24.4595,24.1397,24.1711,87492
2005-03-23,24.1317,24.1317,23.7589,24.0274,171819
2005-03-24,24.1161,24.2351,24.0274,24.2272,76328
2005-03-28,24.183,24.2144,23.875,24.0226,78287
2005-03-29,24.0226,24.3946,23.9074,24.3946,204553
2005-03-30,24.2941,24.4969,24.1317,24.427,122035
2005-03-31,24.427,24.7635,24.0767,24.1968,112233
2005-04-01,24.3296,24.4595,23.9311,24.0117,82821
2005-04-04,24.0117,24.363,23.9419,24.363,67730
2005-04-05,24.363,24.4595,24.2567,24.3946,69240
2005-04-06,24.3296,24.7282,24.3296,24.4457,79346
2005-04-07,24.4525,24.6435,24.3079,24.5795,33493
2005-04-08,24.5175,24.5943,24.3866,24.3866,45409
2005-04-11,24.3866,24.4024,24.1593,24.1593,56716
2005-04-12,24.1643,24.8433,23.8484,24.7576,125509
2005-04-13,24.5943,24.859,24.545,24.6317,60191
2005-04-14,24.734,24.8255,24.2941,24.3453,66673
2005-04-15,23.9723,24.0767,23.6131,24.0767,130184
2005-04-18,24.0767,24.0767,23.746,23.9793,89606
