date,open,high,low,close,volume
2021-01-04,12.48,12.49,10.53,11.01,35826600
2021-01-05,10.7,14.3,10.69,13.59,61984100
2021-01-06,14.58,17.58,14.25,16.959999,83119900
2021-01-07,20.18,24.35,18.549999,22.360001,118963600
2021-01-08,25.059999,28.370001,23.799999,26.389999,97428200
2021-01-11,20.0,25.440001,19.6,23.360001,93551100
2021-01-12,24.0,26.92,22.809999,26.15,57414200
2021-01-13,22.389999,23.66,21.65,23.0,69463000
2021-01-14,25.91,26.549999,23.73,24.440001,55343600
2021-01-15,23.1,23.67,21.85,22.389999,33851100
2021-01-19,23.82,23.93,22.040001,22.35,28223700
2021-01-20,21.110001,21.379999,17.59,19.27,45124100
2021-01-21,16.450001,19.1,15.72,17.559999,51838200
2021-01-22,18.77,19.85,17.950001,18.299999,41305200
2021-01-25,19.5,19.57,17.450001,18.219999,24655900
2021-01-26,17.5,19.59,17.01,18.6,29926800
2021-01-27,17.09,18.43,16.48,17.65,17609100
2021-01-28,18.389999,21.959999,17.16,19.9,39673500
2021-01-29,24.139999,24.18,19.65,20.74,43378300
2021-02-01,20.58,21.16,19.35,20.74,17122600
2021-02-02,21.389999,23.41,20.299999,22.74,23919100
2021-02-03,23.0,24.959999,22.799999,23.67,26745800
2021-02-04,24.0,24.09,21.860001,22.799999,21042000
2021-02-05,23.1,23.889999,21.9,22.52,16620800
2021-02-08,26.940001,32.07,25.65,32.07,73091600
2021-02-09,35.509998,39.740002,33.529999,37.59,57665400
2021-02-10,34.66,36.349998,30.629999,34.009998,30291700
2021-02-11,38.299999,41.0,36.0,37.27,38459700
2021-02-12,37.889999,40.990002,36.310001,38.459999,31026300
2021-02-16,41.959999,45.259998,41.25,43.560001,29144000
2021-02-17,46.029999,49.41,43.650002,47.900002,35069000
2021-02-18,44.18,47.720001,40.720001,40.98,24599800
2021-02-19,43.759998,46.400002,42.18,43.27,24234100
2021-02-22,37.049999,41.490002,36.599998,37.110001,20575300
2021-02-23,30.99,31.709999,26.059999,28.559999,31753900
2021-02-24,32.549999,36.540001,31.129999,33.41,26775000
2021-02-25,36.07,37.689999,29.68,30.629999,23955600
2021-02-26,28.549999,32.349998,28.200001,30.15,21127500
2021-03-01,34.220001,38.5,32.330002,38.5,22963800
2021-03-02,40.0,40.0,34.669998,34.889999,17302500
2021-03-03,38.110001,38.450001,34.830002,36.619999,18558700
2021-03-04,34.349998,36.200001,28.5,32.009998,20974700
2021-03-05,32.400002,32.880001,24.110001,30.030001,24275700
2021-03-08,31.5,32.450001,28.01,28.51,16352300
2021-03-09,32.02,37.959999,31.83,36.77,27885100
2021-03-10,39.400002,40.549999,36.299999,38.189999,24032800
2021-03-11,38.900002,42.209999,37.869999,41.810001,19389200
2021-03-12,37.77,43.599998,37.5,40.700001,15683400
2021-03-15,41.009998,44.869999,41.0,43.099998,15997600
2021-03-16,41.59,42.189999,37.080002,38.360001,14829500
2021-03-17,37.009998,43.400002,35.0,43.18,21192100
2021-03-18,41.900002,45.91,40.709999,41.560001,22632700
2021-03-19,42.310001,44.299999,41.599998,43.049999,18246700
2021-03-22,42.970001,43.23,39.130001,39.990002,16740600
2021-03-23,39.189999,41.369999,37.610001,38.040001,15570400
2021-03-24,40.02,40.59,33.639999,34.040001,14714100
2021-03-25,29.84,34.700001,29.57,34.200001,17276000
2021-03-26,34.75,36.189999,33.799999,36.09,10801900
2021-03-29,39.02,40.439999,37.619999,38.130001,15161100
2021-03-30,39.330002,44.349998,38.549999,44.139999,23344700
2021-03-31,43.529999,50.209999,42.599998,48.02,35148800
2021-04-01,48.880001,51.759998,47.310001,48.849998,20813200
2021-04-05,48.889999,57.169998,47.400002,56.560001,29046800
2021-04-06,56.689999,57.75,51.220001,52.450001,21419500
2021-04-07,49.209999,51.169998,45.549999,46.259998,21233700
2021-04-08,48.700001,52.099998,48.470001,49.82,22117800
2021-04-09,51.0,52.110001,46.849998,49.0,20887500
2021-04-12,51.610001,54.52,48.709999,50.07,27398800
2021-04-13,54.0,54.040001,49.720001,51.0,33395300
2021-04-14,50.959999,50.98,42.259998,42.970001,43053800
2021-04-15,43.869999,44.98,38.549999,42.139999,35506900
2021-04-16,39.599998,41.189999,37.68,38.93,23728200
2021-04-19,35.02,37.09,33.240002,35.549999,28403500
2021-04-20,34.799999,35.77,30.74,33.57,26874700
2021-04-21,31.389999,35.68,31.049999,34.93,22768400
2021-04-22,34.549999,35.73,30.92,31.059999,22212700
2021-04-23,29.09,32.709999,28.360001,32.299999,21697800
2021-04-26,34.919998,36.32,33.259998,34.139999,20890200
2021-04-27,35.099998,35.400002,33.779999,34.119999,12994300
2021-04-28,34.18,37.919998,33.580002,37.639999,20558200
2021-04-29,36.099998,36.639999,33.799999,34.259998,15562100
2021-04-30,34.98,38.549999,34.669998,36.779999,22154500
2021-05-03,38.200001,39.68,35.209999,36.220001,17671200
2021-05-04,34.880001,35.240002,32.220001,33.950001,14261900
2021-05-05,34.5,36.23,32.950001,33.549999,15077600
2021-05-06,33.59,34.110001,30.0,31.4,13903800
2021-05-07,31.91,32.790001,30.809999,31.33,11735100
2021-05-10,30.99,31.15,27.620001,27.82,17201100
2021-05-11,23.6,26.41,23.23,25.950001,23322000
2021-05-12,24.85,26.309999,22.43,22.85,20186900
