date,open,high,low,close,volume
1996-01-02,20.8442,21.3585,20.7997,21.3169,2830836
1996-01-03,21.4738,21.594,21.0806,21.2781,1928956
1996-01-04,21.2781,21.5494,20.9585,21.2026,2859682
1996-01-05,21.2364,21.2781,20.88,21.2364,1482499
1996-01-08,21.2781,21.3585,21.0012,21.0806,457104
1996-01-09,21.0806,21.0806,20.451,20.7697,2294189
1996-01-10,20.4064,20.88,20.3716,20.6078,2130338
1996-01-11,20.724,20.7997,20.5663,20.6873,1792553
1996-01-12,20.6408,20.6408,20.2941,20.451,1576327
1996-01-15,20.5663,20.724,20.3716,20.451,1827286
1996-01-16,20.9217,21.1552,20.724,21.1552,2142100
1996-01-17,19.8999,20.3308,19.8999,20.0586,6364129
1996-01-18,20.0141,20.0586,19.5434,19.7022,5550193
1996-01-19,19.7022,19.7449,19.6247,19.7022,2791342
1996-01-22,19.7022,19.8233,19.6247,19.8233,1729253
1996-01-23,19.7778,19.7778,19.5086,19.6644,1654752
1996-01-24,19.7449,20.2166,19.6644,19.8999,1832610
1996-01-25,19.7778,20.0141,19.7022,20.0141,2503695
1996-01-26,20.1342,20.5285,20.0141,20.5285,2197557
1996-01-29,20.6078,20.6078,20.3716,20.4878,1304085
1996-01-30,20.5285,20.5285,20.0141,20.2504,1601259
1996-01-31,20.0586,20.2941,19.8999,20.2941,2193075
1996-02-01,20.2941,20.5285,19.9376,20.5285,2336484
1996-02-02,20.8442,21.1222,20.2941,20.6408,2997486
1996-02-05,20.8442,21.0806,20.4064,20.9585,1947166
1996-02-06,20.9217,21.0427,20.7628,21.0012,1475495
1996-02-07,21.0806,21.2026,20.9217,21.1222,2005982
1996-02-08,21.1222,21.5494,21.0427,21.4738,2292789
1996-02-09,21.4738,21.7518,21.3169,21.5145,2388576
1996-02-12,21.7072,21.9862,21.7072,21.7847,2789101
1996-02-13,21.5494,21.6705,21.2364,21.5494,2479043
1996-02-14,21.594,21.7072,21.2364,21.5494,2072082
1996-02-15,21.6278,21.6278,21.0427,21.2364,1746617
1996-02-16,21.1222,21.1222,20.88,20.9217,2956596
1996-02-20,20.6873,20.9217,20.3716,20.9217,2522743
1996-02-21,20.9149,20.9149,20.5119,20.5934,2278504
1996-02-22,20.7512,21.1484,20.5585,21.0728,2664744
1996-02-23,21.1484,21.1861,20.4374,20.8375,3061904
1996-02-26,20.7512,20.7512,20.3173,20.3579,1738498
1996-02-27,20.3996,20.5934,20.2767,20.5119,2297551
1996-02-28,20.6359,20.7512,20.5119,20.5934,2671745
1996-02-29,20.5934,20.7512,20.4374,20.6359,2197004
1996-03-01,20.7918,20.7918,20.2767,20.5934,1604338
1996-03-04,20.5934,20.6718,20.4374,20.5934,1898427
1996-03-05,20.5934,20.7512,20.4801,20.7512,1995335
1996-03-06,20.8375,20.9934,20.7918,20.8723,2232005
1996-03-07,20.8723,20.9149,20.4801,20.8375,1551958
1996-03-08,20.4374,20.6718,19.9637,19.9637,2083841
1996-03-11,19.8814,20.3173,19.6868,20.1236,2772297
1996-03-12,20.0432,20.7512,19.8436,20.7512,2474561
1996-03-13,20.7512,20.7512,20.4801,20.5585,1922791
1996-03-14,20.5934,20.5934,20.0432,20.0432,1938761
1996-03-15,20.081,20.2049,20.0432,20.1236,4175534
1996-03-18,20.2369,20.5119,20.2049,20.4801,2658021
1996-03-19,20.4801,20.7163,20.3173,20.6359,2504818
1996-03-20,20.6359,20.6359,20.4374,20.5934,1620304
1996-03-21,20.5585,20.5934,20.3173,20.4374,1620863
1996-03-22,20.4801,20.5119,20.3173,20.4374,1154235
1996-03-25,20.5934,20.7163,20.3996,20.5585,1868178
1996-03-26,20.5585,20.6359,20.3579,20.6359,2202318
1996-03-27,20.5934,20.6359,20.5119,20.5934,1780234
1996-03-28,20.5585,21.0728,20.5119,21.0263,2814028
1996-03-29,21.1484,21.1484,20.4374,20.4801,2086084
1996-04-01,20.7512,21.0728,20.3579,21.0728,2923826
1996-04-02,21.0728,21.0728,20.7512,20.8375,1348898
1996-04-03,20.8375,20.9508,20.6718,20.7918,1199892
1996-04-04,20.7163,20.7512,20.4801,20.6718,1628144
1996-04-08,20.2767,20.4374,20.1236,20.4374,2367296
1996-04-09,20.5119,20.5585,20.2369,20.3173,2183838
1996-04-10,20.4374,20.5119,20.2049,20.2767,1823926
1996-04-11,20.2767,20.3173,20.1545,20.2369,1771548
1996-04-12,20.3173,20.3579,20.2049,20.3173,1244424
1996-04-15,20.3996,20.5934,20.3173,20.5934,1311365
1996-04-16,20.5934,20.6718,20.3579,20.4374,1790038
1996-04-17,20.4374,20.4801,20.2767,20.4801,1699284
1996-04-18,20.5585,20.5934,20.3173,20.4801,1787793
1996-04-19,20.4801,20.5119,20.2767,20.3996,2098968
1996-04-22,20.5585,20.5934,20.2369,20.4801,1437398
1996-04-23,20.4801,20.4801,20.2369,20.4374,1707407
1996-04-24,20.5585,20.5585,20.3173,20.5119,1724496
1996-04-25,20.3996,20.6718,20.3579,20.5934,1861732
1996-04-26,20.5934,20.6718,20.4374,20.6359,1344696
1996-04-29,20.6359,20.9508,20.5934,20.9149,1854451
1996-04-30,20.9149,20.9149,20.5934,20.8375,1941001
1996-05-01,20.8375,20.9934,20.6359,20.8723,2144900
1996-05-02,20.5119,20.7163,20.3996,20.7163,2919902
