date,open,high,low,close,volume
1996-01-02,3.78862,3.86583,3.76572,3.86583,83793026
1996-01-03,3.84251,3.88105,3.73483,3.7426,91157862
1996-01-04,3.75816,3.77339,3.65824,3.76572,148436078
1996-01-05,3.71967,3.77339,3.71233,3.71967,90034810
1996-01-08,3.72737,3.77339,3.71233,3.71967,16500116
1996-01-09,3.70427,3.70427,3.44298,3.4584,257305293
1996-01-10,3.46606,3.58901,3.46606,3.55064,263319679
1996-01-11,3.59657,3.7426,3.58105,3.73483,169122138
1996-01-12,3.72737,3.7426,3.61231,3.69677,116807180
1996-01-15,3.70427,3.70427,3.52754,3.55802,122649861
1996-01-16,3.60435,3.72737,3.58901,3.71967,176937128
1996-01-17,3.65075,3.77339,3.65075,3.65824,207496335
1996-01-18,3.68142,3.82728,3.66579,3.77339,175957924
1996-01-19,3.88914,4.01933,3.86583,3.95789,329839897
1996-01-22,3.95041,3.99662,3.91923,3.96564,119851507
1996-01-23,3.93476,3.95789,3.84251,3.85805,96401894
1996-01-24,3.87301,3.98866,3.85805,3.93476,133736567
1996-01-25,3.93476,3.95041,3.83484,3.8503,86841982
1996-01-26,3.84251,3.91923,3.83484,3.90438,73789934
1996-01-29,3.91188,3.93476,3.8503,3.89621,57410475
1996-01-30,3.91923,3.93476,3.90438,3.91188,65434292
1996-01-31,3.91188,3.98866,3.88105,3.98866,99738575
1996-02-01,3.97322,4.06548,3.96564,4.05799,113969372
1996-02-02,4.05023,4.05799,3.97322,4.01197,64805478
1996-02-05,3.99662,4.18861,3.99662,4.18861,183424858
1996-02-06,4.1578,4.20382,4.11916,4.1578,142352082
1996-02-07,4.13479,4.18861,4.11148,4.17295,95069998
1996-02-08,4.16547,4.28794,4.11916,4.25751,150714678
1996-02-09,4.25751,4.31909,4.24239,4.31141,178134428
1996-02-12,4.29637,4.35764,4.27306,4.28794,127299878
1996-02-13,4.21132,4.31909,4.20382,4.29637,166070860
1996-02-14,4.31141,4.31141,4.24239,4.25751,116326866
1996-02-15,4.24239,4.27306,4.21132,4.24239,75694952
1996-02-16,4.25751,4.28074,4.21936,4.21936,90213482
1996-02-20,4.18861,4.24239,4.17295,4.21132,93079126
1996-02-21,4.21132,4.31141,4.20382,4.30375,116085552
1996-02-22,4.31141,4.41901,4.31141,4.41901,154450466
1996-02-23,4.41901,4.46495,4.38824,4.45746,148851429
1996-02-26,4.44242,4.44978,4.33463,4.33463,92373731
1996-02-27,4.3424,4.3424,4.29637,4.31141,88403587
1996-02-28,4.3424,4.39589,4.30375,4.31141,87087947
1996-02-29,4.26521,4.31141,4.24986,4.24986,89512732
1996-03-01,4.24239,4.24986,4.08081,4.11916,228632536
1996-03-04,4.13479,4.19646,4.11916,4.15003,105235521
1996-03-05,4.13479,4.23452,4.12722,4.22686,83199010
1996-03-06,4.23452,4.25751,4.18071,4.18071,64181294
1996-03-07,4.18861,4.20382,4.16547,4.19646,64232350
1996-03-08,4.11916,4.20382,4.08081,4.09624,157385732
1996-03-11,4.09624,4.16547,4.09624,4.1578,108175423
1996-03-12,4.15003,4.16547,4.08081,4.12722,111505147
1996-03-13,4.23452,4.34976,4.21132,4.34976,227265853
1996-03-14,4.35764,4.38824,4.29637,4.29637,87941841
1996-03-15,4.31141,4.44242,4.29637,4.41153,176524099
1996-03-18,4.41153,4.56531,4.41153,4.53427,173261664
1996-03-19,4.58776,4.61115,4.51124,4.60351,134133349
1996-03-20,4.58048,4.59583,4.4731,4.51124,134790012
1996-03-21,4.49592,4.49592,4.33463,4.3424,96169849
1996-03-22,4.35764,4.37299,4.29637,4.35764,69678244
1996-03-25,4.37299,4.41153,4.25751,4.30375,91914303
1996-03-26,4.28074,4.43423,4.25751,4.42678,115872075
1996-03-27,4.44978,4.48057,4.35764,4.41901,76469953
1996-03-28,4.38824,4.45746,4.35764,4.40348,79697582
1996-03-29,4.41153,4.48793,4.40348,4.44242,77599971
1996-04-01,4.44242,4.45746,4.40348,4.42678,45961791
1996-04-02,4.42678,4.52667,4.41901,4.51124,78887773
1996-04-03,4.48793,4.53427,4.45746,4.50328,66814917
1996-04-04,4.51124,4.51941,4.45746,4.49592,42000927
1996-04-08,4.41901,4.48057,4.38824,4.4731,106959554
1996-04-09,4.48057,4.48057,4.37299,4.38046,97081761
1996-04-10,4.37299,4.44242,4.3656,4.38046,75281927
1996-04-11,4.37299,4.41153,4.29637,4.35764,90589378
1996-04-12,4.35764,4.38046,4.33463,4.35764,48927219
1996-04-15,4.34976,4.46495,4.34976,4.45746,72659913
1996-04-16,4.49592,4.54941,4.48057,4.53427,116187649
1996-04-17,4.53427,4.56531,4.49592,4.56531,90828368
1996-04-18,4.56531,4.711,4.54941,4.69575,194270256
1996-04-19,4.81129,4.83411,4.71856,4.72652,245803234
1996-04-22,4.76497,4.88771,4.74934,4.85724,134520852
1996-04-23,4.85724,4.88003,4.80324,4.85724,82864874
1996-04-24,4.87248,4.87248,4.79534,4.80324,100430041
1996-04-25,4.80324,4.90324,4.74934,4.85724,92663782
1996-04-26,4.85724,4.91072,4.84158,4.88771,78741593
1996-04-29,4.88771,4.88771,4.82642,4.85724,49695262
1996-04-30,4.85724,4.88003,4.81857,4.88003,41246811
1996-05-01,4.86477,4.96441,4.85724,4.96441,94285724
1996-05-02,4.96441,4.96441,4.78808,4.81129,126664100
1996-05-03,4.84962,4.93401,4.74934,4.78013,109203341
1996-05-06,4.78013,4.84158,4.72652,4.81857,110003868
1996-05-07,4.81129,4.88771,4.81129,4.87248,68692094
1996-05-08,4.86477,4.92636,4.77284,4.92636,112902015
1996-05-09,4.92636,4.96441,4.88003,4.88771,69286101
1996-05-10,4.92636,4.96441,4.91858,4.94936,63684743
1996-05-13,4.95704,5.12627,4.95704,5.11085,138651097
1996-05-14,5.14143,5.17222,5.0952,5.12627,111423932
1996-05-15,5.12627,5.16444,5.05667,5.0725,81681489
1996-05-16,4.9954,5.05667,4.98005,5.04928,97299866
1996-05-17,5.07965,5.08774,5.01821,5.0416,51326474
1996-05-20,5.05667,5.07965,5.02636,5.03375,55772297
1996-05-21,5.03375,5.03375,4.96441,4.96441,61074328
1996-05-22,4.95704,5.05667,4.9415,5.03375,66197697
1996-05-23,5.03375,5.13357,5.03375,5.11085,75377063
1996-05-24,5.11085,5.12627,5.0952,5.11085,38348677
1996-05-28,5.1183,5.13357,5.04928,5.05667,62905099
1996-05-29,5.05667,5.0952,5.02636,5.04928,48683579
1996-05-30,5.05667,5.0952,5.02636,5.0952,49052515
1996-05-31,5.11085,5.14143,5.08774,5.1183,58385030
1996-06-03,5.1183,5.14937,5.08774,5.10307,45950189
1996-06-04,5.11085,5.12627,5.01092,5.07965,95501586
1996-06-05,5.08774,5.2256,5.07965,5.21067,73915234
1996-06-06,5.24892,5.30311,5.16444,5.16444,127817314
1996-06-07,5.0725,5.2256,5.0725,5.2256,101803698
1996-06-10,5.21833,5.2256,5.17222,5.19523,66448293
1996-06-11,5.20289,5.31019,5.19523,5.26435,94640728
1996-06-12,5.29513,5.40291,5.28767,5.3873,128845230
1996-06-13,5.39487,5.42584,5.33338,5.37205,90751797
1996-06-14,5.37941,5.3873,5.29513,5.30311,81131562
1996-06-17,5.30311,5.3873,5.27222,5.37205,83386965
1996-06-18,5.36475,5.36475,5.25667,5.27222,108166144
1996-06-19,5.27969,5.30311,5.23405,5.24892,106460678
1996-06-20,5.25667,5.27969,5.12627,5.24892,148255086
1996-06-21,5.27222,5.34854,5.23405,5.34127,82382245
1996-06-24,5.34127,5.39487,5.30311,5.34854,69759456
1996-06-25,5.3569,5.3569,5.23405,5.25667,59670512
1996-06-26,5.24892,5.25667,5.12627,5.19523,103629830
1996-06-27,5.19523,5.21833,5.12627,5.17222,112512187
1996-06-28,5.19523,5.21833,5.13357,5.17997,75411873
1996-07-01,5.17997,5.27969,5.17997,5.27222,69411399
1996-07-02,5.27222,5.28767,5.2256,5.24114,55904560
1996-07-03,5.24114,5.29513,5.19523,5.21833,64162737
1996-07-05,5.17997,5.17997,5.10307,5.10307,51238298
1996-07-08,5.11085,5.20289,5.08774,5.18755,93441106
1996-07-09,5.21067,5.23405,5.17222,5.17222,51586358
1996-07-10,5.17222,5.17222,5.08774,5.14937,113089952
1996-07-11,5.0952,5.10307,4.90324,4.93401,204359198
1996-07-12,4.96441,4.96441,4.76497,4.84158,202275506
1996-07-15,4.84158,4.90324,4.7341,4.76497,162181927
1996-07-16,4.74934,4.98005,4.63417,4.97257,264087709
1996-07-17,5.0725,5.08774,4.98005,5.04928,183030400
1996-07-18,5.05667,5.17222,4.9954,5.16444,142902008
1996-07-19,5.0725,5.24114,5.0725,5.21067,143874247
1996-07-22,5.21833,5.23405,5.07965,5.16444,209522004
1996-07-23,5.17222,5.17222,4.74934,4.83411,373692468
1996-07-24,4.71856,4.9879,4.71856,4.9415,278770998
1996-07-25,4.9954,5.1183,4.96441,5.11085,146357027
1996-07-26,5.14937,5.14937,5.0952,5.13357,86004339
1996-07-29,5.14143,5.16444,5.03375,5.03375,82298712
1996-07-30,5.07965,5.1183,5.00316,5.11085,97130485
1996-07-31,5.12627,5.15697,5.0725,5.07965,81676851
1996-08-01,5.07965,5.21067,5.05667,5.19523,139259033
1996-08-02,5.26435,5.34127,5.19523,5.31871,158494867
1996-08-05,5.32601,5.33338,5.2256,5.24892,79866970
1996-08-06,5.24114,5.34854,5.21067,5.34127,97729136
1996-08-07,5.3569,5.39487,5.29513,5.37941,111363611
1996-08-08,5.34854,5.42584,5.33338,5.39487,78862251
1996-08-09,5.37941,5.41048,5.34127,5.36475,64264835
1996-08-12,5.3569,5.43341,5.34127,5.39487,95986544
1996-08-13,5.3873,5.42584,5.31871,5.32601,105154305
1996-08-14,5.34127,5.39487,5.33338,5.37941,75458280
1996-08-15,5.37941,5.41825,5.3569,5.39487,51565479
1996-08-16,5.39487,5.39487,5.33338,5.3569,69028548
1996-08-19,5.34127,5.34854,5.27222,5.32601,62550086
1996-08-20,5.33338,5.34854,5.31019,5.31871,37239540
1996-08-21,5.27969,5.32601,5.24892,5.32601,71562382
1996-08-22,5.34854,5.39487,5.32601,5.3873,72854829
1996-08-23,5.37941,5.3873,5.31019,5.31019,63819323
1996-08-26,5.31871,5.33338,5.28767,5.29513,46326091
1996-08-27,5.30311,5.37941,5.30311,5.37941,40662081
1996-08-28,5.3873,5.41825,5.37941,5.41048,46509398
1996-08-29,5.39487,5.39487,5.32601,5.34854,49572279
1996-08-30,5.3569,5.3569,5.27969,5.27969,40734009
1996-09-03,5.25667,5.31871,5.19523,5.31871,70372034
1996-09-04,5.31871,5.32601,5.29513,5.31871,39339473
1996-09-05,5.28767,5.28767,5.23405,5.23405,58549770
1996-09-06,5.25667,5.28767,5.24114,5.27969,60795888
1996-09-09,5.27969,5.3873,5.27222,5.37941,60542965
1996-09-10,5.37941,5.39487,5.32601,5.3569,56419679
1996-09-11,5.34127,5.41048,5.32601,5.39487,52769745
1996-09-12,5.41048,5.57963,5.39487,5.541,139140695
1996-09-13,5.58701,5.6643,5.55643,5.64888,116217809
1996-09-16,5.64888,5.74112,5.64888,5.6643,90508164
1996-09-17,5.72577,5.80229,5.70276,5.77161,109672062
1996-09-18,5.77161,5.94053,5.74112,5.87938,124791557
1996-09-19,5.87938,5.9563,5.8484,5.93298,110089725
1996-09-20,5.90229,5.97163,5.856,5.9563,152055851
1996-09-23,5.93298,5.9563,5.87181,5.93298,67269705
1996-09-24,5.92551,5.96357,5.86385,5.90229,105170553
1996-09-25,5.92551,5.94053,5.83325,5.8484,63907493
1996-09-26,5.8484,5.86385,5.67937,5.68711,134298100
1996-09-27,5.70995,5.8254,5.65654,5.79459,142663008
1996-09-30,5.75607,5.80987,5.67937,5.68711,129903331
1996-10-01,5.67937,5.77161,5.64081,5.69452,100246730
1996-10-02,5.72577,5.8484,5.70276,5.80987,99717697
1996-10-03,5.80987,5.8254,5.75607,5.77161,84540186
1996-10-04,5.80229,5.88686,5.78685,5.87938,65501590
1996-10-07,5.87938,5.9563,5.856,5.92551,61536084
1996-10-08,5.93298,5.93298,5.81793,5.83325,70286182
1996-10-09,5.86385,5.86385,5.74112,5.79459,94199864
1996-10-10,5.76402,5.86385,5.74878,5.76402,75033645
1996-10-11,5.80229,5.91755,5.78685,5.91007,52966974
1996-10-14,5.91755,5.9563,5.87938,5.88686,52340473
1996-10-15,5.9791,5.99463,5.91755,5.98708,88763248
1996-10-16,5.9791,5.98708,5.90229,5.94861,52827757
1996-10-17,5.9563,5.98708,5.84094,5.84094,71202729
1996-10-18,5.77161,5.81793,5.75607,5.80987,101003181
1996-10-21,5.80987,5.86385,5.75607,5.77161,103548616
1996-10-22,5.74112,5.74878,5.65654,5.70995,165045249
1996-10-23,5.71764,5.80987,5.67937,5.79459,97808032
1996-10-24,5.80987,5.91755,5.77161,5.88686,118074101
1996-10-25,5.88686,5.94053,5.86385,5.87938,76985075
1996-10-28,5.89423,5.93298,5.87181,5.88686,74309695
1996-10-29,5.90229,5.91755,5.80987,5.83325,96812591
1996-10-30,5.83325,5.90229,5.80987,5.87181,87777092
1996-10-31,5.87938,5.91755,5.86385,5.91755,53700205
