date,open,high,low,close,volume
2021-01-04,41.632999,44.438999,41.000999,42.521999,14679000
2021-01-05,42.105,43.84,40.651001,42.862999,11006000
2021-01-06,43.084,48.301998,43.084,48.055,15360000
2021-01-07,52.132,55.986,50.210999,53.575001,22844000
2021-01-08,56.507,56.866001,51.332001,53.164001,16454000
2021-01-11,47.214001,51.198002,46.451,49.549,14727000
2021-01-12,50.278,51.994999,48.851002,51.424,6718000
2021-01-13,50.073002,52.398998,49.234001,51.925999,6175000
2021-01-14,54.261002,63.16,53.862,63.099998,19118000
2021-01-15,60.709999,62.284,57.400002,57.806999,16089000
2021-01-19,61.653,62.145,57.900002,59.221001,10378000
2021-01-20,57.924999,58.900002,53.200001,55.082001,12317000
2021-01-21,51.404999,53.255001,50.459999,52.046001,11688000
2021-01-22,52.500999,58.25,52.5,57.702999,11333000
2021-01-25,59.029999,59.908001,55.113998,57.141998,6834000
2021-01-26,55.5,56.465,54.599998,55.980999,4789000
2021-01-27,53.323002,54.946999,50.57,54.009998,6564000
2021-01-28,56.130001,60.533001,55.151001,57.838001,7630000
2021-01-29,68.0,69.648003,60.75,61.730999,14354000
2021-02-01,62.034,63.986,58.605,63.456001,5555000
2021-02-02,65.000999,69.127998,63.817001,68.792,5343000
2021-02-03,70.164001,75.383003,69.598999,74.119003,9212000
2021-02-04,77.089996,77.123001,71.75,76.558998,6365000
2021-02-05,77.117996,80.600998,74.501999,80.599998,7667000
2021-02-08,92.583,105.0,89.000999,104.099998,20998000
2021-02-09,113.774002,131.5,106.541,127.293999,23197000
2021-02-10,119.600998,119.900002,95.036003,97.447998,22973000
2021-02-11,113.720001,113.991997,97.702003,100.994003,16132000
2021-02-12,101.558998,104.488998,96.100998,103.431,7674000
2021-02-16,107.084,108.257004,95.422997,95.5,15017000
2021-02-17,93.949997,95.400002,87.800003,94.18,18156000
2021-02-18,92.690002,96.0,90.206001,92.778,7932000
2021-02-19,94.5,100.800003,91.459,96.372002,11531000
2021-02-22,87.099998,93.227997,86.5,87.599998,7659000
2021-02-23,80.000999,80.157997,66.0,69.123001,18755000
2021-02-24,73.400002,82.214996,71.587997,81.768997,12005000
2021-02-25,84.094002,84.5,72.610001,73.161003,7841000
2021-02-26,68.711998,80.405998,68.113998,75.041,11784000
2021-03-01,79.839996,80.5,75.888,78.244003,7608000
2021-03-02,81.510002,81.749001,74.107002,74.849998,6440000
2021-03-03,78.178001,79.800003,72.780998,73.156998,7721000
2021-03-04,71.297997,73.799004,61.0,64.566002,12206000
2021-03-05,65.764999,66.300003,53.722,62.023998,13548000
2021-03-08,64.500999,66.945999,61.700001,62.418999,6721000
2021-03-09,68.656998,73.547997,68.175003,71.598999,8736000
2021-03-10,75.0,75.903,71.099998,75.654999,6430000
2021-03-11,77.5,80.5,76.112999,80.375,5285000
2021-03-12,75.980003,81.0,75.002998,78.400002,4676000
2021-03-15,78.833,80.900002,76.366997,76.901001,4375000
2021-03-16,75.878998,77.0,70.142998,72.429001,4151000
2021-03-17,70.223,78.507004,69.827003,77.098999,5432000
2021-03-18,75.452003,80.899002,72.801003,73.205002,6195000
2021-03-19,74.953003,78.527,71.454002,77.704002,9565000
2021-03-22,76.720001,77.5,72.150002,72.456001,4988000
2021-03-23,71.681,73.535004,67.000999,67.721001,7169000
2021-03-24,70.531998,71.050003,61.521999,62.157001,7068000
2021-03-25,58.07,62.641998,56.599998,62.091,8816000
2021-03-26,62.599998,64.230003,60.037998,62.400002,5241000
2021-03-29,65.886002,66.292999,62.723,63.133999,4431000
2021-03-30,64.246002,66.68,62.030998,65.398003,5626000
2021-03-31,64.761002,69.420998,64.138,67.879997,5615000
2021-04-01,68.846001,72.583,68.746002,70.356003,4024000
2021-04-05,70.974998,73.603996,69.329002,72.055,4859000
2021-04-06,72.119003,72.119003,67.698997,70.458,5937000
2021-04-07,67.800003,69.556999,65.199997,65.620003,4522000
2021-04-08,67.07,70.271004,66.438004,69.012001,4361000
2021-04-09,70.999001,72.0,68.945999,71.099998,3447000
2021-04-12,73.518997,74.594002,70.485001,71.823997,4812000
2021-04-13,74.5,86.999001,73.478996,84.853996,17022000
2021-04-14,88.098,88.209999,73.0,73.550003,15825000
2021-04-15,75.317001,75.494003,70.900002,74.014999,6863000
2021-04-16,70.709999,72.0,68.5,69.362,7628000
2021-04-19,65.003998,66.5,62.349998,63.751999,8799000
2021-04-20,63.900002,64.800003,61.400002,64.644997,5524000
2021-04-21,62.84,66.545998,62.84,65.045998,4179000
2021-04-22,64.200996,65.050003,59.400002,59.82,7153000
2021-04-23,57.589001,61.84,56.900002,61.304001,6621000
2021-04-26,63.675999,65.980003,62.799999,65.882004,4791000
2021-04-27,67.300003,68.5,65.5,67.698997,5113000
2021-04-28,67.360001,68.900002,66.550003,68.082001,2973000
2021-04-29,66.5,67.5,63.791,65.500999,4397000
2021-04-30,64.702003,67.5,64.632004,65.716003,5597000
2021-05-03,67.397003,67.397003,63.438999,63.562,4645000
2021-05-04,61.951,62.799999,59.889,61.688,5146000
2021-05-05,63.0,65.198997,60.889999,62.345001,4975000
2021-05-06,61.287998,62.277,58.701,60.908001,3552000
2021-05-07,60.896999,63.18,60.833,62.046001,3634000
2021-05-10,61.585999,61.585999,56.646999,56.945999,5227000
2021-05-11,53.5,58.499001,52.528,57.695999,6630000
2021-05-12,55.627998,57.779999,53.863998,54.188,4216000
2021-05-13,51.119999,54.297001,47.806999,48.807999,9374000
2021-05-14,50.125999,52.362,49.200001,52.131001,5616000
2021-05-17,48.400002,49.951,46.888,48.935001,8046000
2021-05-18,48.890999,50.425999,47.056999,48.720001,5982000
2021-05-19,42.285,45.848999,41.158001,45.486,15054000
2021-05-20,47.765999,49.299999,45.728001,47.265999,8614000
2021-05-21,47.173,48.766998,44.777,45.051998,8530000
2021-05-24,46.5,47.826,44.724998,47.244999,7575000
2021-05-25,46.400002,47.987999,45.820999,46.966999,6722000
2021-05-26,47.734001,49.598999,47.653999,48.278999,5426000
2021-05-27,49.200001,50.206001,48.507,49.384998,5039000
2021-05-28,48.200001,48.292,46.764,47.0,4775000
2021-06-01,47.124001,48.466,46.897999,47.776001,4325000
2021-06-02,48.299999,50.130001,47.872002,49.849998,3527000
2021-06-03,50.119999,50.198002,48.400002,48.863998,3955000
2021-06-04,48.169998,48.598999,47.400002,48.466999,3172000
2021-06-07,48.25,48.855,46.407001,46.980999,6104000
2021-06-08,45.799999,46.188999,42.792999,45.938,10917000
2021-06-09,47.0,51.567001,45.558998,51.299,14822000
2021-06-10,51.238998,52.987,49.591,50.865002,9537000
2021-06-11,51.299999,52.097,50.400002,51.644001,5004000
2021-06-14,54.400002,60.569,54.400002,59.848999,15573000
2021-06-15,60.205002,63.582001,58.917,63.054001,13100000
2021-06-16,61.665001,63.987999,60.883999,61.981998,10395000
2021-06-17,61.740002,64.199997,61.255001,63.081001,8848000
2021-06-18,61.599998,64.764999,61.551998,64.646004,15437000
2021-06-21,59.917,61.400002,57.700001,58.367001,13781000
2021-06-22,53.500999,56.419998,51.301998,55.372002,25670000
2021-06-23,57.948002,58.655998,55.123001,55.299999,10558000
2021-06-24,57.0,59.0,56.099998,58.188,7935000
2021-06-25,56.745998,57.120998,53.980999,55.005001,10047000
2021-06-28,57.033001,62.951,56.587002,62.417,17298000
2021-06-29,65.0,69.299004,64.699997,66.899002,16136000
2021-06-30,64.500999,66.900002,63.743,66.449997,8589000
2021-07-01,65.058998,65.723999,63.712002,65.085999,5874000
2021-07-02,65.897003,66.192001,63.425999,63.561001,5276000
2021-07-06,65.208,65.351997,62.129002,63.429001,4862000
2021-07-07,64.5,64.717003,62.320999,63.986,4511000
2021-07-08,60.299999,62.527,59.469002,61.844002,5180000
2021-07-09,62.189999,63.592999,61.52,62.866001,3940000
2021-07-12,63.224998,63.242001,58.521,58.868999,8263000
2021-07-13,58.556999,59.700001,57.294998,57.987999,7176000
2021-07-14,58.5,59.043999,56.041,56.042999,6275000
2021-07-15,54.700001,55.994999,52.507,54.104,7338000
2021-07-16,54.389999,54.638,52.051998,52.308998,6091000
2021-07-19,50.765999,52.249001,49.200001,49.872002,7287000
2021-07-20,48.799,50.588001,47.237999,50.178001,7345000
2021-07-21,54.0,56.980999,52.827,55.694,10994000
2021-07-22,55.542,56.806,53.500999,55.594002,7112000
2021-07-23,55.841999,56.589001,53.339001,53.971001,5749000
2021-07-26,62.099998,69.5,62.026001,68.25,20169000
2021-07-27,66.375,67.750999,62.227001,63.061001,9699000
2021-07-28,66.394997,67.699997,63.220001,64.665001,10825000
2021-07-29,64.193001,64.860001,61.937,62.500999,5795000
2021-07-30,61.556999,63.548,60.691002,62.601002,6326000
2021-08-02,62.258999,65.900002,61.508999,63.778999,12551000
2021-08-03,63.462002,63.462002,60.513,62.506001,8444000
2021-08-04,63.028,67.5,63.000999,67.093002,10015000
2021-08-05,64.359001,72.968002,63.369999,71.561996,11665000
2021-08-06,72.0,75.098999,70.129997,74.872002,13120000
2021-08-09,79.630997,79.800003,76.269997,76.773003,14213000
2021-08-10,76.663002,77.702003,74.417999,75.049004,7967000
2021-08-11,76.223999,77.087997,74.011002,74.749001,7283000
2021-08-12,72.472,73.080002,71.239998,72.098999,7192000
2021-08-13,74.5,75.389,72.610001,72.800003,6574000
2021-08-16,74.0,74.099998,69.221001,69.750999,6663000
2021-08-17,69.107002,70.0,65.748001,66.369003,6615000
2021-08-18,65.912003,67.800003,65.267998,65.504997,5473000
2021-08-19,64.634003,67.860001,64.142998,67.625999,6727000
2021-08-20,68.616997,72.799004,68.301003,71.655998,9821000
2021-08-23,74.190002,74.778,71.005997,71.850998,8138000
2021-08-24,71.792999,71.792999,69.122002,71.550003,8114000
2021-08-25,71.464996,73.510002,70.5,72.670998,6649000
2021-08-26,71.199997,71.449997,69.154999,69.365997,5715000
