date,open,high,low,close,volume
2021-01-04,53.900002,54.080002,51.508999,52.285999,44444000
2021-01-05,52.154999,52.678001,51.589001,52.080002,31339000
2021-01-06,51.196999,51.310001,49.950001,50.049,53462000
2021-01-07,50.827999,51.644001,50.641998,50.889,36864000
2021-01-08,51.131001,51.324001,50.451,51.040001,29739000
2021-01-11,50.784,51.073002,49.794998,49.91,38062000
2021-01-12,50.0,50.109001,48.567001,49.424999,59904000
2021-01-13,49.549999,51.235001,49.300999,50.778999,50321000
2021-01-14,50.735001,51.450001,49.958,50.085999,41774000
2021-01-15,50.0,50.632,49.509998,49.798,58958000
2021-01-19,50.099998,50.924999,49.354,50.176998,123158000
2021-01-20,56.542,59.328999,55.686001,58.633999,326375000
2021-01-21,58.244999,58.875,57.040001,57.984001,118021000
2021-01-22,58.209999,58.398998,56.435001,56.516998,75508000
2021-01-25,56.700001,56.974998,54.865002,55.678001,72073000
2021-01-26,55.473,56.799,55.405998,56.193001,50238000
2021-01-27,55.070999,55.641998,51.573002,52.327999,86703000
2021-01-28,53.588001,55.314999,53.074001,53.860001,59690000
2021-01-29,53.799999,54.099998,53.018002,53.238998,43253000
2021-02-01,53.679001,54.506001,53.173,53.903999,35475000
2021-02-02,54.201,55.548,53.893002,54.816002,37676000
2021-02-03,55.016998,55.048,53.824001,53.945,31723000
2021-02-04,53.980999,55.948002,53.750999,55.216,51645000
2021-02-05,55.226002,55.444,54.548,55.078999,23762000
2021-02-08,55.5,55.5,54.369999,54.792,27917000
2021-02-09,54.599998,56.599998,54.299999,55.907001,37035000
2021-02-10,56.25,56.665001,55.346001,56.359001,39913000
2021-02-11,56.444,56.592999,55.422001,55.758999,27306000
2021-02-12,55.694,56.125,55.084999,55.652,21971000
2021-02-16,55.729,56.362999,55.272999,55.728001,26241000
2021-02-17,55.098999,55.525002,54.303001,55.133999,20696000
2021-02-18,54.900002,55.0,53.823002,54.821999,24562000
2021-02-19,54.799999,54.898998,53.881001,54.021999,28415000
2021-02-22,53.499001,54.179001,53.078999,53.377998,30786000
2021-02-23,52.5,54.854,51.827999,54.615002,41365000
2021-02-24,53.98,55.685001,53.907001,55.341,32450000
2021-02-25,55.027,55.647999,53.575001,54.669998,42529000
2021-02-26,54.651001,55.308998,53.799999,53.884998,37556000
2021-03-01,54.556999,55.214001,54.200001,55.063999,30414000
2021-03-02,55.334,55.699001,54.602001,54.782001,30422000
2021-03-03,54.592999,54.800999,51.780998,52.07,53624000
2021-03-04,52.150002,53.150002,50.768002,51.129002,50348000
2021-03-05,51.198002,51.776001,49.879002,51.639,50700000
2021-03-08,51.445999,51.883999,49.285,49.333,39818000
2021-03-09,50.730999,51.311001,50.382,50.644001,34700000
2021-03-10,51.349998,51.896999,50.424999,50.453999,37715000
2021-03-11,51.220001,53.023998,51.070999,52.306,47145000
2021-03-12,51.25,52.651001,50.659,51.801998,39817000
2021-03-15,51.632,52.073002,50.803001,52.025002,34843000
2021-03-16,52.446999,53.341999,52.320999,52.403,32389000
2021-03-17,52.200001,52.837002,51.43,52.444,28174000
2021-03-18,51.639999,51.790001,50.384998,50.479,40945000
2021-03-19,50.495998,51.319,50.162998,51.217999,43864000
2021-03-22,50.912998,52.931,50.912998,52.311001,33606000
2021-03-23,52.987,54.312,52.939999,53.508999,55835000
2021-03-24,53.377998,53.442001,52.0,52.081001,41022000
2021-03-25,51.699001,51.853001,49.700001,50.285999,49268000
2021-03-26,50.282001,50.872002,49.667999,50.805,34678000
2021-03-29,50.566002,51.799999,50.439999,51.395,33300000
2021-03-30,51.050999,51.441002,50.691002,51.339001,24181000
2021-03-31,51.567001,52.813,51.543999,52.166,35031000
2021-04-01,52.993,54.049999,52.702999,53.942001,39386000
2021-04-05,54.000999,54.285,52.923,54.067001,33559000
2021-04-06,54.480999,55.417,54.330002,54.452999,34742000
2021-04-07,54.349998,54.964001,54.145,54.699001,21513000
2021-04-08,55.112999,55.689999,54.757,55.458,43098000
2021-04-09,55.269001,55.689999,54.710999,55.530998,28940000
2021-04-12,55.105,55.798,54.958,55.278,29441000
2021-04-13,55.700001,55.974998,55.029999,55.373001,27203000
2021-04-14,55.487,55.487,53.853001,54.001999,37403000
2021-04-15,54.417,55.348999,54.265999,54.922001,31391000
2021-04-16,55.054001,55.198002,53.951,54.653999,32091000
2021-04-19,54.689999,55.644001,54.553001,55.444,42887000
2021-04-20,55.442001,56.355999,54.630001,54.957001,112576000
2021-04-21,50.799999,51.546001,50.360001,50.889999,228974000
2021-04-22,51.382,51.396,50.055,50.877998,90611000
2021-04-23,50.901001,50.970001,50.07,50.555,73077000
2021-04-26,50.675999,51.048,50.299999,51.029999,43888000
2021-04-27,51.262001,51.299,50.458,50.555,37613000
2021-04-28,50.52,50.84,50.334,50.652,31930000
2021-04-29,50.759998,50.929001,49.900002,50.900002,51278000
2021-04-30,50.5,51.455002,50.5,51.347,44132000
2021-05-03,51.264999,51.895,50.52,50.910999,40919000
2021-05-04,51.077999,51.162998,49.679001,50.318001,43495000
2021-05-05,50.499001,50.778,49.463001,49.608002,31294000
2021-05-06,49.598999,49.955002,49.137001,49.955002,37837000
2021-05-07,50.462002,50.855,50.112,50.383999,31328000
2021-05-10,50.200001,50.314999,48.611,48.668999,51316000
2021-05-11,47.974998,49.799,47.862999,49.507999,44010000
2021-05-12,48.682999,49.354,48.27,48.498001,41215000
2021-05-13,48.912998,49.077999,48.271,48.666,27125000
2021-05-14,48.785999,49.485001,48.659,49.337002,28825000
2021-05-17,48.558998,49.271,48.280998,48.894001,27052000
2021-05-18,48.84,49.348,48.618999,48.627998,23505000
2021-05-19,48.162998,48.856998,47.854,48.77,33499000
2021-05-20,48.955002,50.27,48.897999,50.167,37212000
2021-05-21,50.312,50.540001,49.726002,49.789001,33229000
2021-05-24,50.105,50.424999,49.951,50.290001,24126000
2021-05-25,50.599998,50.637001,49.922001,50.133999,26995000
2021-05-26,50.234001,50.414001,50.049999,50.236,24653000
2021-05-27,50.18,50.509998,49.854,50.386002,32538000
2021-05-28,50.439999,51.175999,50.252998,50.280998,29103000
2021-06-01,50.401001,50.541,49.773998,49.908001,24826000
2021-06-02,49.981998,50.321999,49.582001,49.924,22690000
2021-06-03,49.519001,49.666,48.724998,48.943001,38874000
2021-06-04,49.200001,50.186001,49.095001,49.473999,31605000
2021-06-07,49.292,49.669998,49.055,49.466,27919000
2021-06-08,49.700001,49.882,48.937,49.238998,23740000
2021-06-09,49.450001,49.609001,48.465,48.581001,30550000
2021-06-10,48.716999,49.021,48.214001,48.727001,43829000
2021-06-11,49.0,49.140999,48.778,48.876999,31240000
2021-06-14,48.967999,50.349998,48.691002,49.988998,44002000
2021-06-15,50.123001,50.123001,49.040001,49.189999,31041000
2021-06-16,49.5,49.646,48.627998,49.241001,35332000
2021-06-17,49.025002,50.18,49.014999,49.834,31983000
2021-06-18,49.639999,50.449001,49.523998,50.077,51976000
2021-06-21,50.164001,50.205002,49.228001,49.700001,52773000
2021-06-22,49.854,51.355,49.580002,50.882,58093000
2021-06-23,50.848,51.662998,50.82,51.273998,39448000
2021-06-24,51.796001,52.096001,51.439999,51.806,33612000
2021-06-25,52.883999,53.306,52.5,52.707001,52991000
2021-06-28,52.812,53.394001,52.456001,53.303001,28202000
2021-06-29,53.355,53.612999,52.856998,53.349998,23146000
2021-06-30,53.405998,53.438,52.681999,52.820999,27734000
2021-07-01,52.571999,53.703999,52.571999,53.354,28054000
2021-07-02,53.549999,53.854,52.938999,53.397999,19755000
2021-07-06,53.299999,54.285999,53.299999,54.164001,27751000
2021-07-07,54.424,54.464001,53.166,53.596001,27225000
2021-07-08,53.092999,53.549999,52.909,53.076,32690000
2021-07-09,53.099998,53.826,52.858002,53.598,27772000
2021-07-12,54.029999,54.064999,53.292,53.730999,17807000
2021-07-13,53.576,54.533001,53.576,54.068001,27516000
2021-07-14,54.101002,55.41,54.101002,54.794998,46595000
2021-07-15,55.396999,55.754002,53.82,54.294998,57139000
2021-07-16,54.181,54.405998,52.705002,53.030998,34421000
2021-07-19,52.605,53.491001,52.223999,53.228001,38858000
2021-07-20,52.606998,53.664001,52.029999,53.105,69304000
2021-07-21,52.612999,53.098999,50.561001,51.362999,119068000
2021-07-22,51.021,51.368,50.700001,51.176998,43281000
2021-07-23,51.216,51.741001,50.466,51.541,38205000
2021-07-26,51.438,52.112999,50.901001,51.648998,22545000
2021-07-27,51.807999,52.195,51.205002,51.890999,27590000
2021-07-28,52.181999,52.446999,51.698002,51.93,23905000
2021-07-29,51.995998,52.077999,51.379002,51.424999,17360000
2021-07-30,51.269001,51.979,51.096001,51.757,25371000
2021-08-02,51.900002,51.985001,51.050999,51.514999,20966000
2021-08-03,51.438999,51.563,50.536999,51.082001,25794000
2021-08-04,51.299999,51.798,51.036999,51.735001,20394000
2021-08-05,51.713001,52.541,51.402,52.488998,25567000
2021-08-06,52.400002,52.683998,51.938999,52.055,19198000
2021-08-09,52.115002,52.266998,51.799,51.997002,13678000
2021-08-10,52.0,52.078999,51.297001,51.584,19605000
2021-08-11,51.700001,51.957001,50.977001,51.240002,16739000
2021-08-12,51.186001,51.299999,50.720001,51.071999,16857000
2021-08-13,51.264,52.144001,51.151001,51.591999,21777000
2021-08-16,51.523998,52.338001,51.23,51.792,20328000
2021-08-17,51.547001,52.078999,51.419998,51.890999,23098000
2021-08-18,52.0,52.638,51.865002,52.187,25820000
2021-08-19,52.273998,54.839001,52.187,54.370998,74973000
2021-08-20,54.508999,55.139,53.91,54.688,37764000
2021-08-23,54.598,55.555,54.374001,55.333,26020000
2021-08-24,55.147999,55.530998,54.926998,55.341,21095000
2021-08-25,55.015999,55.284,54.544998,54.757999,20656000
2021-08-26,54.616001,55.259998,54.59,55.012001,15955000
2021-08-27,55.16,56.417,54.924999,55.891998,32526000
2021-08-30,55.724998,56.716,55.645,56.618,24348000
2021-08-31,56.612,56.948002,56.160999,56.918999,24319000
2021-09-01,56.900002,59.099998,56.900002,58.207001,56262000
2021-09-02,58.368,59.875999,58.368,58.855,61799000
