date,open,high,low,close,volume
1996-01-02,3.65914,3.68302,3.65914,3.67172,438601
1996-01-03,3.67172,3.71811,3.67172,3.69678,324114
1996-01-04,3.69678,3.69678,3.67172,3.68302,672396
1996-01-05,3.67172,3.69678,3.67172,3.68302,169493
1996-01-08,3.69678,3.70768,3.69678,3.69678,115222
1996-01-09,3.69678,3.71811,3.69678,3.71811,298459
1996-01-10,3.71811,3.71811,3.69678,3.71811,587642
1996-01-11,3.73118,3.73118,3.70768,3.70768,272824
1996-01-12,3.71811,3.73118,3.70768,3.70768,188821
1996-01-15,3.70768,3.71811,3.70768,3.71811,68389
1996-01-16,3.73118,3.74208,3.71811,3.71811,584304
1996-01-17,3.73118,3.75565,3.71811,3.71811,782038
1996-01-18,3.71811,3.73118,3.70768,3.71811,423723
1996-01-19,3.73118,3.73118,3.70768,3.70768,229709
1996-01-22,3.70768,3.71811,3.69678,3.69678,343447
1996-01-23,3.69678,3.70768,3.68302,3.69678,647485
1996-01-24,3.67172,3.71811,3.67172,3.70768,509593
1996-01-25,3.69678,3.70768,3.68302,3.69678,463134
1996-01-26,3.68302,3.69678,3.65914,3.68302,3231499
1996-01-29,3.68882,3.7127,3.68882,3.7127,1526174
1996-01-30,3.7127,3.72312,3.66425,3.68882,1772227
1996-01-31,3.67456,3.7127,3.67456,3.69953,417414
1996-02-01,3.69953,3.7127,3.68882,3.7127,294009
1996-02-02,3.7127,3.7127,3.67456,3.67456,475028
1996-02-05,3.65117,3.66425,3.64056,3.66425,987584
1996-02-06,3.68882,3.68882,3.65117,3.67456,1130692
1996-02-07,3.66425,3.69953,3.66425,3.68882,1270442
1996-02-08,3.68882,3.7127,3.67456,3.69953,1448122
1996-02-09,3.7127,3.7127,3.69953,3.69953,608460
1996-02-12,3.7127,3.74818,3.69953,3.73727,268729
1996-02-13,3.72312,3.76134,3.72312,3.74818,684275
1996-02-14,3.74818,3.76134,3.73727,3.74818,591737
1996-02-15,3.74818,3.74818,3.72312,3.73727,290670
1996-02-16,3.74818,3.74818,3.72312,3.73727,233423
1996-02-20,3.72312,3.72312,3.69953,3.7127,665699
1996-02-21,3.7127,3.7127,3.69953,3.7127,706962
1996-02-22,3.69953,3.7127,3.67456,3.68882,882399
1996-02-23,3.68882,3.7127,3.68882,3.69953,855638
1996-02-26,3.68882,3.69953,3.67456,3.67456,405884
1996-02-27,3.68882,3.68882,3.67456,3.67456,345673
1996-02-28,3.67456,3.69953,3.67456,3.67456,787990
1996-02-29,3.66425,3.67456,3.66425,3.66425,921427
