date,open,high,low,close,volume
1996-01-02,1.98431,1.98431,1.8889,1.8889,2384699
1996-01-03,1.8889,1.91322,1.65896,1.68269,4202960
1996-01-04,1.69894,1.69894,1.34139,1.49215,7611692
1996-01-05,1.50042,1.63473,1.43691,1.53972,4124344
1996-01-08,1.56374,1.58727,1.54788,1.54788,209642
1996-01-09,1.58727,1.58727,1.31746,1.34139,3150709
1996-01-10,1.27807,1.36531,1.25414,1.28585,3799796
1996-01-11,1.40491,1.50042,1.3731,1.42864,4604111
1996-01-12,1.49215,1.49215,1.34139,1.38915,999840
1996-01-15,1.38915,1.40491,1.3017,1.34936,842608
1996-01-16,1.32573,1.34139,1.12711,1.34139,4954862
1996-01-17,1.26182,1.34139,1.25414,1.32573,1947274
1996-01-18,1.28585,1.34139,1.28585,1.34139,4007426
1996-01-19,1.33341,1.52405,1.3017,1.45237,6079681
1996-01-22,1.49215,1.53972,1.45237,1.49215,2410908
1996-01-23,1.47619,1.52405,1.47619,1.5079,1419127
1996-01-24,1.51598,1.63473,1.50042,1.58727,1596520
1996-01-25,1.62715,1.72238,1.58727,1.67471,3404700
1996-01-26,1.65896,1.73843,1.63473,1.70643,1237708
1996-01-29,1.69894,1.73843,1.67471,1.68269,1179249
1996-01-30,1.65069,1.68269,1.49215,1.58727,4426715
1996-01-31,1.56374,1.65069,1.52405,1.52405,1423162
1996-02-01,1.54788,1.6113,1.52405,1.56374,1080470
1996-02-02,1.6113,1.6113,1.52405,1.54788,2340350
1996-02-05,1.53972,1.60342,1.52405,1.60342,1215531
1996-02-06,1.60342,1.74651,1.57162,1.65069,3128532
1996-02-07,1.68269,1.73843,1.62715,1.68269,3938893
1996-02-08,1.74651,1.84921,1.7145,1.80145,3636516
1996-02-09,1.80145,1.89717,1.77014,1.77014,2437112
1996-02-12,1.79397,1.79397,1.63473,1.74651,2656834
1996-02-13,1.69894,1.87324,1.65896,1.78589,3055969
1996-02-14,1.80972,1.8889,1.78589,1.88132,3041856
1996-02-15,1.88132,2.00036,1.84921,1.921,5226993
1996-02-16,2.00824,2.04763,1.74651,1.77014,5176594
1996-02-20,1.76216,1.80145,1.72238,1.72238,1830355
1996-02-21,1.73843,1.78589,1.72238,1.78589,1600551
1996-02-22,1.78589,1.87324,1.77014,1.85748,3350272
1996-02-23,1.83355,1.87324,1.7145,1.76216,3241419
1996-02-26,1.7145,1.7145,1.65896,1.68269,3860278
1996-02-27,1.70643,1.70643,1.62715,1.65069,2761656
1996-02-28,1.63473,1.68269,1.63473,1.65069,961538
1996-02-29,1.65069,1.69086,1.51598,1.57162,3090234
1996-03-01,1.60342,1.60342,1.52405,1.53972,574506
