date,open,high,low,close,volume
1996-01-02,9.50957,9.50957,9.3004,9.32484,1755624
1996-01-03,9.32484,9.36002,9.3004,9.36002,1644163
1996-01-04,9.38055,9.38055,9.10637,9.1268,1187126
1996-01-05,9.1743,9.1743,8.91861,8.92603,2780095
1996-01-08,8.91861,8.98019,8.91861,8.98019,130654
1996-01-09,9.00178,9.00178,8.69692,8.80845,1462310
1996-01-10,8.69692,8.79379,8.46966,8.46966,2846760
1996-01-11,8.46966,8.57269,8.39977,8.57269,1295914
1996-01-12,8.57269,8.66408,8.44552,8.56564,2537443
1996-01-15,8.52685,8.66408,8.52685,8.6199,812748
1996-01-16,8.6199,8.74589,8.6199,8.6199,886346
1996-01-17,8.64131,8.79379,8.64131,8.74589,449039
1996-01-18,8.74589,8.74589,8.6199,8.6199,727422
1996-01-19,8.69692,8.69692,8.6199,8.6199,314647
1996-01-22,8.6199,8.69692,8.59624,8.59624,177057
1996-01-23,8.66408,8.79379,8.57269,8.74589,1891083
1996-01-24,8.79379,9.08253,8.76993,8.98019,4111748
1996-01-25,9.04362,9.04362,8.82888,8.87003,443704
1996-01-26,8.82888,8.87003,8.80845,8.82888,2085206
1996-01-29,8.87003,8.95682,8.80845,8.93414,677292
1996-01-30,8.98019,9.00178,8.91861,9.00178,399442
1996-01-31,9.00178,9.04362,8.91861,9.04362,486370
1996-02-01,9.04362,9.1743,8.95682,9.09777,725290
1996-02-02,9.08253,9.1743,9.08253,9.08253,686355
1996-02-05,9.1743,9.1743,9.10637,9.1743,700756
1996-02-06,9.10637,9.1743,9.10637,9.1743,236786
1996-02-07,9.1743,9.1743,9.1268,9.1268,543964
1996-02-08,9.08253,9.32484,9.08253,9.25562,1182863
1996-02-09,9.32484,9.33949,9.10637,9.25562,869282
1996-02-12,9.25562,9.25562,9.1743,9.1743,2103872
1996-02-13,9.14986,9.20989,9.1268,9.20989,130654
1996-02-14,9.14986,9.20989,9.10637,9.1743,851681
1996-02-15,9.1268,9.1743,9.10637,9.1743,644226
1996-02-16,9.1743,9.23139,9.10637,9.1743,480499
1996-02-20,9.1268,9.1743,9.1268,9.1743,430904
1996-02-21,9.1743,9.1743,9.1268,9.1268,139195
1996-02-22,9.1743,9.19836,9.1268,9.1743,1017004
