date,open,high,low,close,volume
2020-04-06,45.4766,46.2992,43.2509,44.4532,10638751
2020-04-07,43.687,45.4677,41.5405,42.8456,12553153
2020-04-08,40.8424,43.7363,39.9229,42.6616,23011133
2020-04-09,42.6232,48.6227,42.5756,47.549,17936631
2020-04-13,46.9765,47.0932,44.2387,44.5095,8831261
2020-04-14,44.4237,44.8003,42.547,44.4037,10491976
2020-04-15,42.7585,43.3973,41.4119,43.1066,8201140
2020-04-16,42.6518,44.9031,42.1386,44.1418,9032825
2020-04-17,45.4766,46.9864,44.4334,44.6549,8141773
2020-04-20,43.5425,45.4578,43.4457,43.9193,5588474
2020-04-21,43.0591,45.6713,43.0591,44.4137,7172038
2020-04-22,45.7781,47.9455,44.5095,45.5251,7029788
2020-04-23,45.9037,46.4841,44.9743,45.9314,5348119
2020-04-24,46.4644,46.9291,44.8101,46.2992,6662945
2020-04-27,46.5236,47.0249,46.0679,46.6581,5726706
2020-04-28,47.4807,49.3001,47.0733,48.245,5547910
2020-04-29,49.126,50.0544,48.0996,49.4948,4489304
2020-04-30,49.3188,49.9288,48.864,49.2614,6328780
2020-05-01,48.6998,48.8926,46.745,48.0996,3193128
2020-05-04,47.2681,48.0602,45.9709,47.9267,5866653
2020-05-05,47.9267,49.0005,46.407,46.5335,4240979
2020-05-06,47.0349,47.4125,46.3388,46.745,3029950
2020-05-07,47.4322,51.5633,47.4027,50.1326,4964112
2020-05-08,50.4331,52.4155,50.4232,51.234,4528532
2020-05-11,50.3144,50.7031,49.4058,50.1326,3256076
2020-05-12,50.4993,50.5953,48.0799,48.1096,3162338
2020-05-13,47.4125,48.6712,46.3338,46.6482,4719987
2020-05-14,46.0679,46.8331,45.701,46.4445,5012394
2020-05-15,45.788,47.6261,45.6713,47.3058,3081189
2020-05-18,48.4971,50.6437,48.4971,50.4429,4602742
2020-05-19,50.0059,51.2122,49.4008,50.614,2118911
2020-05-20,50.8474,52.9276,50.7772,51.4575,4914353
2020-05-21,50.8552,52.012,50.3798,50.5349,3925923
2020-05-22,50.9521,51.2043,49.4572,50.2244,2197488
2020-05-26,51.5049,52.4382,49.2427,49.4275,6431848
2020-05-27,50.1078,51.137,49.3108,50.8751,5356231
2020-05-28,51.3515,51.4288,49.4671,49.4968,4386812
2020-05-29,48.9905,51.3515,48.7374,51.137,7745504
2020-06-01,50.9423,52.8752,50.612,52.5253,3164254
2020-06-02,52.6033,53.1768,51.759,52.5934,2716328
2020-06-03,53.419,53.9816,52.983,53.8769,4256812
2020-06-04,53.7107,55.0317,53.1184,53.8075,3378424
2020-06-05,56.1678,57.022,54.39,56.8875,4751814
2020-06-08,56.9923,59.5581,56.6819,59.5007,6142998
2020-06-09,58.6642,59.6935,57.5381,58.9064,4746625
2020-06-10,58.8689,59.2081,57.3226,57.3324,2736921
2020-06-11,54.39,56.401,54.1032,54.6342,3391566
2020-06-12,56.0698,57.2859,53.5169,54.4285,4440696
2020-06-15,52.9435,56.1391,52.283,56.0124,4596702
2020-06-16,57.7902,58.0809,55.7258,56.1865,3614211
2020-06-17,56.4495,56.5177,54.8379,55.1088,2513824
2020-06-18,54.8181,56.0223,54.6243,55.8375,2200984
2020-06-19,57.2672,57.2672,54.3415,55.3629,7305831
2020-06-22,55.2452,56.5078,55.0138,55.4202,2086978
2020-06-23,56.0323,56.2062,54.9643,55.1671,2457575
2020-06-24,54.5373,55.3342,53.6613,53.945,3111669
2020-06-25,53.4675,54.8765,53.1867,54.5847,3029995
2020-06-26,54.6144,54.8566,52.8772,54.1873,6830632
2020-06-29,54.2842,55.1671,53.7394,54.9446,2324251
2020-06-30,54.3613,55.4577,53.9163,55.2255,2592639
2020-07-01,55.3629,55.3629,54.1478,54.1774,2471538
2020-07-02,54.8082,55.5952,54.1675,54.8765,3256545
2020-07-06,55.7307,55.9255,54.8082,55.2255,2058338
2020-07-07,54.8082,55.6644,54.5076,55.1868,2613039
2020-07-08,55.3906,55.5072,54.654,55.2847,6893003
2020-07-09,55.2255,56.2755,54.4582,54.4977,2495930
2020-07-10,54.6144,55.6644,54.4285,55.3441,2200520
2020-07-13,54.9347,56.2755,54.8428,55.2552,2967839
2020-07-14,54.6045,55.7989,54.4187,55.7208,2836891
2020-07-15,56.3426,57.3028,56.1964,56.5276,2428204
2020-07-16,56.3329,56.8776,56.0016,56.6442,2706619
2020-07-17,57.0417,57.3324,56.4791,56.8677,3071448
2020-07-20,56.7411,57.9356,56.3239,56.8776,2479187
2020-07-21,56.7016,57.2475,56.4297,56.7609,2382564
2020-07-22,56.2952,57.2375,56.0223,56.7995,2094520
2020-07-23,56.8183,57.7576,56.663,57.362,2642633
2020-07-24,57.4787,57.4936,55.9749,56.4594,3235119
2020-07-27,56.1964,56.7609,55.9453,56.6442,2749349
2020-07-28,58.1007,60.0524,57.984,58.5475,4605998
2020-07-29,59.2081,62.5084,59.2081,62.453,5029938
2020-07-30,61.6165,62.6666,61.3358,61.5681,2375256
2020-07-31,61.1212,61.3733,60.3926,60.9374,3249564
2020-08-03,61.2092,61.9864,60.9374,61.3931,3295187
2020-08-04,60.782,61.0926,60.1898,60.8107,1790892
2020-08-05,60.9374,61.8213,60.5488,61.2765,2723229
2020-08-06,61.0827,61.6946,61.0579,61.6562,1603546
2020-08-07,61.3446,62.6172,61.3446,62.5578,1203715
2020-08-10,62.4432,63.424,62.4432,63.3369,1619208
2020-08-11,63.6375,64.0548,62.4817,62.5184,2870205
2020-08-12,63.1026,63.5891,62.3759,63.0355,1540859
2020-08-13,63.0947,63.0947,61.9962,62.1613,1478682
2020-08-14,61.8777,62.6567,61.7719,62.2276,1682261
2020-08-17,62.6073,62.6765,61.8777,62.1219,1838423
2020-08-18,62.0161,62.5479,61.5533,61.6265,1729866
2020-08-19,61.6562,61.7619,60.792,61.1123,1594916
2020-08-20,60.5665,61.6285,60.2255,61.3556,1325448
2020-08-21,61.4139,62.1059,60.9858,61.9992,2719193
2020-08-24,61.9794,62.5825,61.4238,62.1633,3284150
2020-08-25,62.7586,63.1472,62.2662,62.6419,1646562
2020-08-26,62.632,63.1283,62.1119,62.5331,1192502
2020-08-27,62.816,63.24,61.5494,61.6087,1377036
2020-08-28,61.6482,61.9992,61.0432,61.9597,1159624
2020-08-31,61.9794,62.2019,61.229,61.2874,1782127
2020-09-01,60.9166,62.632,60.7266,62.4076,2395558
2020-09-02,62.0962,63.8787,62.019,63.6652,1875271
2020-09-03,63.2163,63.772,59.4957,60.264,3178370
2020-09-04,60.8977,60.9946,58.8807,59.913,2768069
2020-09-08,59.8557,60.1671,58.9094,59.0755,2194286
2020-09-09,59.4661,60.9264,59.4364,60.4884,1938266
