date,open,high,low,close,volume
1996-01-02,1.37017,1.46527,1.37017,1.44819,7596517
1996-01-03,1.44819,1.53056,1.42658,1.49161,6905279
1996-01-04,1.49578,1.49578,1.44819,1.4567,5394378
1996-01-05,1.44819,1.46527,1.43937,1.4567,6300461
1996-01-08,1.46527,1.47416,1.43937,1.47416,747270
1996-01-09,1.47416,1.47416,1.46131,1.46968,2984437
1996-01-10,1.46527,1.47416,1.4567,1.46527,4455626
1996-01-11,1.4567,1.48266,1.44819,1.48266,2848978
1996-01-12,1.49161,1.49161,1.46527,1.46527,1709389
1996-01-15,1.46968,1.49161,1.43937,1.43937,1872868
1996-01-16,1.4567,1.4567,1.43522,1.43937,1167616
1996-01-17,1.43522,1.44819,1.43522,1.44819,2036318
1996-01-18,1.44819,1.44819,1.39167,1.40919,3474830
1996-01-19,1.37017,1.37447,1.36135,1.37447,3512193
1996-01-22,1.37447,1.4567,1.37017,1.43937,5585876
1996-01-23,1.4567,1.49161,1.43522,1.4567,5156202
1996-01-24,1.4567,1.48266,1.4567,1.48266,2416966
1996-01-25,1.48266,1.48266,1.44819,1.44819,3131547
1996-01-26,1.43937,1.48266,1.43937,1.48266,2582766
1996-01-29,1.48266,1.50894,1.4567,1.49161,3437465
1996-01-30,1.49578,1.51311,1.48266,1.49161,2769583
1996-01-31,1.49578,1.49578,1.4567,1.49161,1991950
1996-02-01,1.47416,1.57815,1.47416,1.57815,6793196
1996-02-02,1.59529,1.63008,1.57815,1.59529,5406059
1996-02-05,1.59529,1.61293,1.57815,1.61293,2052661
1996-02-06,1.59529,1.6215,1.57398,1.5869,6956655
1996-02-07,1.57815,1.60424,1.57815,1.5869,1506229
1996-02-08,1.5869,1.63008,1.57815,1.6215,2405291
1996-02-09,1.60424,1.6951,1.60424,1.68665,8546945
1996-02-12,1.68665,1.7084,1.66926,1.7038,5898799
1996-02-13,1.6951,1.72567,1.67778,1.6951,5067463
1996-02-14,1.6951,1.71691,1.6951,1.7038,3962895
1996-02-15,1.7038,1.71691,1.7038,1.71691,1048517
1996-02-16,1.71691,1.75164,1.7038,1.73431,3871813
1996-02-20,1.7084,1.73431,1.6951,1.7084,2125063
1996-02-21,1.7084,1.71691,1.6951,1.7084,2435642
1996-02-22,1.7084,1.7084,1.6951,1.7084,2482351
1996-02-23,1.7038,1.71691,1.61293,1.61293,2797609
1996-02-26,1.63008,1.6346,1.61293,1.63008,5235595
1996-02-27,1.63008,1.6346,1.56933,1.56933,2227808
1996-02-28,1.56933,1.59529,1.55653,1.56522,2531387
1996-02-29,1.54795,1.57815,1.53901,1.54795,1707047
1996-03-01,1.55653,1.55653,1.53901,1.53901,973788
1996-03-04,1.55653,1.57815,1.53901,1.56522,2573432
1996-03-05,1.56522,1.59529,1.55653,1.56933,3836783
1996-03-06,1.55653,1.5869,1.55653,1.56933,1707047
1996-03-07,1.56933,1.59994,1.56522,1.59529,3465488
1996-03-08,1.57815,1.5869,1.5046,1.51311,2975086
1996-03-11,1.51311,1.53901,1.5046,1.52186,1471195
1996-03-12,1.53056,1.59529,1.5046,1.56933,5331336
1996-03-13,1.61293,1.65193,1.60424,1.6346,3292670
1996-03-14,1.63008,1.64324,1.6215,1.63008,1629989
1996-03-15,1.64324,1.65193,1.59529,1.61293,3266988
1996-03-18,1.61293,1.66926,1.59529,1.66926,4455626
1996-03-19,1.6605,1.7038,1.65193,1.68665,3902172
1996-03-20,1.67778,1.6951,1.64324,1.64324,1517899
1996-03-21,1.64324,1.66926,1.64324,1.65193,693564
1996-03-22,1.65193,1.66926,1.64324,1.6605,329265
1996-03-25,1.6605,1.68665,1.64324,1.65193,2837307
1996-03-26,1.65193,1.6605,1.64324,1.65193,499741
1996-03-27,1.6605,1.6605,1.64324,1.6605,368974
1996-03-28,1.6346,1.64324,1.59529,1.60424,1454849
1996-03-29,1.61293,1.61293,1.57815,1.59529,1926573
1996-04-01,1.60424,1.6215,1.59529,1.59529,962120
1996-04-02,1.59529,1.60424,1.59529,1.60424,1520243
1996-04-03,1.59529,1.63008,1.59529,1.6215,1317075
1996-04-04,1.60424,1.6215,1.60424,1.60424,544102
1996-04-08,1.60424,1.61293,1.5869,1.5869,1340421
1996-04-09,1.59149,1.60424,1.55653,1.55653,1674355
1996-04-10,1.56933,1.56933,1.52614,1.52614,1258694
1996-04-11,1.52614,1.54795,1.5046,1.52186,4131031
1996-04-12,1.52186,1.57815,1.52186,1.56933,2872334
1996-04-15,1.57815,1.57815,1.55653,1.55653,1027503
1996-04-16,1.56933,1.57815,1.56522,1.56522,899071
1996-04-17,1.56522,1.57815,1.56522,1.56522,1050854
1996-04-18,1.56522,1.5869,1.56522,1.5869,2255833
1996-04-19,1.57815,1.5869,1.56933,1.56933,1541248
1996-04-22,1.5869,1.6215,1.56933,1.61293,2057339
1996-04-23,1.63008,1.6605,1.6215,1.6605,5665275
1996-04-24,1.64324,1.64324,1.59529,1.6215,1961604
1996-04-25,1.63008,1.6346,1.6215,1.6346,845352
1996-04-26,1.6346,1.6605,1.6215,1.64324,1819145
1996-04-29,1.6346,1.65193,1.6346,1.64324,2708864
1996-04-30,1.63008,1.64324,1.6215,1.6215,1861179
1996-05-01,1.6346,1.6346,1.6215,1.6346,2762586
1996-05-02,1.61721,1.6215,1.57815,1.57815,1153604
1996-05-03,1.60424,1.60424,1.56933,1.5869,2720546
1996-05-06,1.57398,1.5869,1.55653,1.56522,714581
1996-05-07,1.55653,1.56522,1.53056,1.53056,821997
1996-05-08,1.53056,1.53901,1.49578,1.51739,3070826
1996-05-09,1.52186,1.56522,1.51311,1.56522,1931243
1996-05-10,1.57815,1.5869,1.54795,1.5869,2482351
1996-05-13,1.56933,1.57815,1.55653,1.56522,4352873
1996-05-14,1.55653,1.59529,1.54795,1.5869,4441614
1996-05-15,1.57815,1.6346,1.57815,1.61293,2451993
1996-05-16,1.61293,1.6215,1.60424,1.6215,4343536
1996-05-17,1.60424,1.64759,1.60424,1.63008,2881676
1996-05-20,1.6346,1.64759,1.61293,1.61721,3012446
1996-05-21,1.61293,1.63008,1.61293,1.61293,3953548
1996-05-22,1.6215,1.6346,1.60424,1.6346,1503888
1996-05-23,1.6215,1.6346,1.60424,1.63008,5107154
1996-05-24,1.6215,1.6346,1.6215,1.6215,4401913
1996-05-28,1.6215,1.6346,1.59529,1.59529,3117539
1996-05-29,1.61293,1.63008,1.59529,1.6215,1524900
1996-05-30,1.60424,1.6215,1.60424,1.6215,2659837
1996-05-31,1.6215,1.6215,1.59529,1.6215,2550070
1996-06-03,1.60424,1.6215,1.5869,1.5869,845352
1996-06-04,1.5869,1.59529,1.57815,1.59529,878046
1996-06-05,1.59529,1.59529,1.57815,1.58255,2057339
1996-06-06,1.5869,1.5869,1.57815,1.57815,1151265
1996-06-07,1.56933,1.5869,1.56933,1.57815,920083
1996-06-10,1.56933,1.57815,1.56933,1.56933,534765
1996-06-11,1.5869,1.61293,1.56933,1.60424,3133894
1996-06-12,1.60424,1.61293,1.60424,1.60424,2482351
1996-06-13,1.60424,1.60851,1.60424,1.60424,1403473
1996-06-14,1.60424,1.60851,1.60424,1.60424,903743
1996-06-17,1.60424,1.60851,1.60424,1.60851,2307205
1996-06-18,1.60424,1.60851,1.59529,1.59994,1541248
1996-06-19,1.59529,1.6215,1.59529,1.6215,6305123
1996-06-20,1.63008,1.68665,1.6215,1.67778,6221052
1996-06-21,1.7084,1.7084,1.64759,1.64759,3923190
1996-06-24,1.64759,1.67778,1.64759,1.66926,1041520
1996-06-25,1.6605,1.66926,1.63008,1.63008,6200039
1996-06-26,1.63008,1.63909,1.63008,1.63008,1296051
1996-06-27,1.6346,1.6346,1.6215,1.62609,2167095
1996-06-28,1.61293,1.6215,1.60424,1.61293,2423975
1996-07-01,1.60424,1.6215,1.59529,1.61293,1767774
1996-07-02,1.60424,1.61293,1.5869,1.5869,1513227
1996-07-03,1.60424,1.60424,1.53901,1.53901,3771396
1996-07-05,1.52186,1.53485,1.5046,1.51311,1471195
1996-07-08,1.51311,1.53901,1.49578,1.53485,4030617
1996-07-09,1.53056,1.56106,1.53056,1.55653,1966269
1996-07-10,1.55653,1.55653,1.5046,1.5046,1809800
1996-07-11,1.5046,1.56933,1.5046,1.54795,4838599
1996-07-12,1.55653,1.56933,1.53056,1.56106,2176437
1996-07-15,1.56106,1.56106,1.53901,1.53901,1139593
1996-07-16,1.53901,1.55653,1.5046,1.53485,2206796
1996-07-17,1.54795,1.55653,1.51311,1.53056,1938248
1996-07-18,1.51311,1.53056,1.51311,1.51311,864036
1996-07-19,1.52186,1.52186,1.47863,1.4872,1730411
1996-07-22,1.49578,1.59994,1.46527,1.5869,7120123
1996-07-23,1.60424,1.61293,1.56933,1.5869,4705489
1996-07-24,1.56106,1.56933,1.53056,1.53901,1277372
1996-07-25,1.54795,1.54795,1.53056,1.54795,289574
1996-07-26,1.53056,1.54795,1.51311,1.53056,1006491
1996-07-29,1.51311,1.53056,1.4872,1.4872,843012
1996-07-30,1.49578,1.5046,1.4872,1.5046,1735076
1996-07-31,1.49578,1.51311,1.4872,1.49578,1258694
1996-08-01,1.5046,1.52186,1.4872,1.52186,1861179
1996-08-02,1.52186,1.53056,1.49578,1.49578,1735076
1996-08-05,1.51311,1.53056,1.49578,1.5046,1538913
1996-08-06,1.50894,1.53901,1.49578,1.53056,1410484
1996-08-07,1.53901,1.54795,1.49578,1.51311,2573432
1996-08-08,1.5046,1.51311,1.4872,1.4872,2881676
1996-08-09,1.4872,1.51311,1.47416,1.50894,1580951
1996-08-12,1.50894,1.52186,1.4872,1.52186,2713543
1996-08-13,1.5046,1.53056,1.5046,1.50894,1074200
1996-08-14,1.52186,1.53056,1.50894,1.53056,861697
1996-08-15,1.51739,1.53901,1.51739,1.52186,786965
1996-08-16,1.53056,1.56522,1.53056,1.53901,1968600
1996-08-19,1.54366,1.55653,1.53901,1.54795,1106905
1996-08-20,1.53901,1.54795,1.53901,1.53901,478719
1996-08-21,1.53901,1.54795,1.53901,1.54795,303582
1996-08-22,1.53901,1.57815,1.53901,1.57815,1672028
1996-08-23,1.57815,1.59529,1.56522,1.57815,1655681
1996-08-26,1.57815,1.57815,1.53901,1.53901,2204459
1996-08-27,1.54795,1.56522,1.53056,1.54795,1099896
