date,open,high,low,close,volume
1996-01-02,14.3819,14.5535,14.3168,14.5535,5100117
1996-01-03,14.6009,15.0558,14.5535,14.9936,5871807
1996-01-04,14.7519,15.3664,14.7519,15.2303,10308761
1996-01-05,15.2303,15.3063,15.1267,15.3063,6224127
1996-01-08,15.2303,15.408,15.2303,15.3664,1413253
1996-01-09,15.3428,15.472,15.254,15.3428,5077378
1996-01-10,15.324,15.3428,14.9718,15.1495,6710562
1996-01-11,15.2107,15.2107,14.8189,14.9097,4754042
1996-01-12,14.9936,15.0558,14.6897,14.9531,5618931
1996-01-15,15.0152,15.034,14.9314,14.9936,2841287
1996-01-16,15.0784,15.5845,14.9936,15.5401,5836007
1996-01-17,15.408,15.408,14.9718,15.107,6345162
1996-01-18,15.107,15.1495,14.9314,15.0784,5420040
1996-01-19,15.0152,15.324,14.9718,15.2107,5632573
1996-01-22,15.2107,15.2303,14.8397,15.1267,3636848
1996-01-23,15.0784,15.1267,14.9531,15.0784,4102816
1996-01-24,15.1879,15.8667,15.1495,15.4503,11861813
1996-01-25,15.7177,15.7177,14.9314,15.0152,13753542
1996-01-26,14.9936,15.254,14.9314,15.2303,7020824
1996-01-29,15.254,15.3063,14.8585,14.9531,5295023
1996-01-30,15.034,15.034,14.8189,14.8585,5649616
1996-01-31,14.8585,14.8585,14.2043,14.7114,12025470
1996-02-01,14.662,14.8397,14.5535,14.6897,8511929
1996-02-02,14.5763,14.662,14.4657,14.6009,9999637
1996-02-05,14.5161,14.7114,14.4657,14.662,6645770
1996-02-06,14.6414,14.7755,14.4943,14.4943,9674016
1996-02-07,14.4441,14.6897,14.4223,14.662,12021487
1996-02-08,14.662,15.0558,14.662,15.0558,14392833
1996-02-09,15.0558,15.3862,14.9936,15.3664,9789945
1996-02-12,15.3664,15.472,15.1721,15.1721,7494752
1996-02-13,15.1721,15.4503,15.1267,15.3428,8371575
1996-02-14,15.3063,15.408,14.9936,15.0152,6516211
1996-02-15,14.9531,15.1721,14.8397,15.107,6386081
1996-02-16,15.0558,15.1267,14.8851,15.0784,7346434
1996-02-20,14.9097,14.9314,14.5535,14.7755,7976628
1996-02-21,14.8189,14.8585,14.6226,14.6414,8105058
1996-02-22,14.5535,14.7312,14.4441,14.5161,14199056
1996-02-23,14.9314,14.9718,14.5535,14.6009,17617124
1996-02-26,14.5358,14.7312,14.5358,14.6226,7244149
1996-02-27,14.662,14.7519,14.4223,14.5358,9067121
1996-02-28,14.662,14.662,14.3168,14.3819,10724156
1996-02-29,14.3168,14.4441,14.2043,14.3612,9370003
1996-03-01,14.6226,14.9314,14.6009,14.8189,14351347
1996-03-04,14.9097,15.0784,14.8585,14.9936,8714804
1996-03-05,15.1495,15.3664,15.034,15.324,8551712
1996-03-06,15.3063,15.3063,15.1267,15.1495,5208648
1996-03-07,15.1495,15.324,14.9936,15.324,4916565
1996-03-08,14.9314,15.1267,14.7519,14.9314,9442737
1996-03-11,14.8851,15.1879,14.7312,15.0558,8502840
1996-03-12,14.9314,15.0784,14.7755,14.9936,5814413
1996-03-13,14.9531,15.0558,14.7755,14.7982,4456847
1996-03-14,14.8397,14.9531,14.7114,14.7312,6089445
1996-03-15,14.6897,14.7114,14.4943,14.5535,10610508
1996-03-18,14.6414,14.9531,14.6226,14.9531,4943271
1996-03-19,15.1721,15.1879,14.9314,14.9314,6536667
1996-03-20,15.0558,15.2767,14.9531,15.2303,6417336
1996-03-21,15.2767,15.3063,15.1721,15.254,4362512
1996-03-22,15.324,15.4286,15.254,15.3862,4943271
1996-03-25,15.5036,15.5036,15.1495,15.1879,4325006
1996-03-26,15.1879,15.3862,15.107,15.3063,3642531
1996-03-27,15.3428,15.3428,14.9718,15.0152,3100415
1996-03-28,14.9097,15.0558,14.8851,15.0152,4642097
1996-03-29,15.0152,15.107,14.7982,14.8397,4081224
1996-04-01,14.9718,15.1267,14.9314,15.1267,3555588
1996-04-02,15.1879,15.2107,14.9936,15.107,5553587
1996-04-03,15.0558,15.1879,14.9718,15.1879,4213634
1996-04-04,15.2107,15.2767,15.1721,15.254,4439230
1996-04-08,14.9936,15.034,14.7982,14.8189,8188027
1996-04-09,14.8585,15.0152,14.4441,14.5358,11238436
1996-04-10,14.4657,14.5358,14.0987,14.1836,10429232
1996-04-11,14.2458,14.3819,13.8995,14.3819,12364151
1996-04-12,14.3819,14.6897,14.228,14.5763,6036601
1996-04-15,14.662,14.8397,14.662,14.7519,6122407
1996-04-16,14.7519,15.0558,14.6897,14.9531,7065715
1996-04-17,14.8851,14.9936,14.5763,14.7114,7302108
1996-04-18,14.7982,14.8189,14.6414,14.7982,7558396
1996-04-19,14.7755,14.7982,14.662,14.662,5112615
1996-04-22,14.7982,14.9531,14.7755,14.9097,4867126
1996-04-23,14.8851,14.9097,14.8189,14.8851,2490675
1996-04-24,14.9314,14.9531,14.7114,14.7982,3328285
1996-04-25,14.8189,15.034,14.5763,14.9718,5380835
1996-04-26,14.9314,14.9718,14.7982,14.8585,3565812
1996-04-29,14.7982,14.9531,14.7312,14.7519,3914155
1996-04-30,14.7519,14.8189,14.7519,14.7982,3484555
1996-05-01,14.7114,14.9718,14.7114,14.8397,3614688
1996-05-02,14.5763,14.7312,14.4943,14.5535,5957611
1996-05-03,14.5535,14.6897,14.3366,14.5358,5153530
1996-05-06,14.5358,14.5763,14.3168,14.5763,6188327
1996-05-07,14.4943,14.5763,14.4441,14.4657,5560971
1996-05-08,14.3612,14.7755,14.3168,14.7519,7141295
1996-05-09,14.7519,15.0152,14.6897,14.9876,6633269
1996-05-10,15.0558,15.1267,14.8851,15.107,4675625
1996-05-13,15.107,15.2767,14.9936,15.2303,4608570
1996-05-14,15.2303,15.408,15.1721,15.1879,4759158
1996-05-15,15.2303,15.3862,15.1267,15.2107,5354693
1996-05-16,15.1495,15.408,15.1267,15.3664,4489807
1996-05-17,15.3862,15.472,15.3063,15.3428,4791549
1996-05-20,15.408,15.472,15.3063,15.3428,5183077
1996-05-21,15.3862,15.5401,15.3063,15.5036,4277273
1996-05-22,15.408,15.7374,15.3862,15.7374,7578281
1996-05-23,15.7374,15.8667,15.5629,15.6694,8542618
1996-05-24,15.844,15.844,15.7177,15.8242,3766980
