date,open,high,low,close,volume
2021-01-04,41.140567,41.273615,39.277885,40.114189,3666100
2021-01-05,38.736187,39.629516,38.35605,39.030796,4652700
2021-01-06,38.51762,39.135348,37.937907,38.821732,3850100
2021-01-07,38.916754,40.579863,38.546119,40.380291,3896300
2021-01-08,40.617884,40.950505,39.249381,39.46796,2439100
2021-01-11,39.467956,40.788939,39.106826,39.99065,2081600
2021-01-12,40.104696,40.57987,39.591507,40.541855,1926700
2021-01-13,40.969506,41.701275,40.057173,40.446815,3701300
2021-01-14,40.636877,40.741416,40.104685,40.313759,2296300
2021-01-15,40.057178,40.979013,40.057178,40.579868,2287400
2021-01-19,40.921997,41.86284,40.68441,41.824825,2870300
2021-01-20,42.271485,44.770902,42.024396,44.371754,4897300
2021-01-21,45.094024,45.787778,44.457289,45.198563,3919100
2021-01-22,45.550184,46.63358,44.63785,46.462517,4171500
2021-01-25,47.042228,47.735981,46.139396,46.548046,3743900
2021-01-26,46.576561,47.621946,44.97998,45.265083,3456800
2021-01-27,44.685363,45.825781,43.944092,44.903942,5520200
2021-01-28,41.691773,43.288358,40.475329,42.357018,5479300
2021-01-29,42.765667,42.898716,40.950503,41.340145,3781300
2021-02-01,41.805814,42.670631,40.979009,42.547085,3273200
2021-02-02,42.860698,44.02963,42.081413,43.687504,2936800
2021-02-03,43.611467,44.371745,43.288349,44.058132,3447600
2021-02-04,44.058146,45.284097,43.392902,44.761402,2278600
2021-02-05,45.094024,45.749763,44.485802,45.740261,3379700
2021-02-08,46.072874,46.947196,45.635715,46.814144,2509600
2021-02-09,46.937702,46.937702,45.825796,46.757137,1792900
2021-02-10,46.833162,47.403373,45.901821,46.909191,2689500
2021-02-11,47.260805,47.612433,46.823646,47.051727,2840900
2021-02-12,46.81415,47.194291,45.787776,46.07288,2088100
2021-02-16,46.234422,46.234422,44.143656,44.35273,3559800
2021-02-17,43.839556,44.590328,43.164806,43.877567,2949500
2021-02-18,43.963098,44.343239,43.060271,43.212326,3310300
2021-02-19,43.525949,44.295732,43.525949,44.086655,2288100
2021-02-22,43.868075,44.267223,43.174321,43.183823,2029600
2021-02-23,43.050777,43.716021,41.900856,43.639992,2892600
2021-02-24,43.430902,44.666354,42.242967,44.590324,2829300
2021-02-25,44.181692,44.191194,41.368658,41.758301,3043500
2021-02-26,42.280994,43.459424,41.653764,42.870209,3121200
2021-03-01,43.516437,44.09615,43.145802,43.212326,2895300
2021-03-02,43.345383,44.162684,42.784678,43.896584,2417900
2021-03-03,43.601976,43.81105,42.043405,42.071915,3377200
2021-03-04,42.138436,43.21233,40.20923,41.606239,3895600
2021-03-05,41.957872,43.658992,40.78894,43.468925,2926500
2021-03-08,43.716017,45.730754,43.716017,45.056007,2640600
2021-03-09,45.673731,46.32947,44.74239,44.989479,2716600
2021-03-10,45.284099,46.928201,44.780412,46.40551,2879500
2021-03-11,46.739084,47.034536,45.585857,45.986149,2039400
2021-03-12,44.832926,46.043339,44.022805,45.681168,2974800
2021-03-15,45.862241,47.396702,45.433354,47.368111,3006500
2021-03-16,47.558728,47.997145,46.643768,46.786732,2485300
2021-03-17,46.472218,48.61665,45.9099,48.597591,4732800
2021-03-18,48.178234,48.254482,45.681163,45.986149,4212600
2021-03-19,45.986148,47.053597,45.604914,46.691429,4456500
2021-03-22,46.929699,47.129845,45.957556,46.767673,2994900
2021-03-23,46.748613,47.301401,45.709754,46.071926,2237800
2021-03-24,46.243477,47.406237,45.938492,45.948021,2229500
2021-03-25,45.261813,48.035279,45.090259,47.787476,3905400
2021-03-26,48.18776,50.198757,47.787464,50.151104,3434900
2021-03-29,50.62765,51.142314,49.016945,49.188499,3578200
2021-03-30,49.645972,50.465622,48.6643,50.275005,2563900
2021-03-31,50.513284,50.627652,49.817535,49.979557,2475000
2021-04-01,50.513274,51.018406,50.084387,50.970753,2469200
2021-04-05,51.313866,51.447296,50.570464,51.304337,2113500
2021-04-06,51.218566,51.571205,50.932639,51.456837,2730200
2021-04-07,51.637918,51.676042,50.751552,51.018414,2081200
2021-04-08,51.123246,51.371049,50.370311,50.656239,2696800
2021-04-09,50.484689,52.133518,50.160642,52.000088,2498300
2021-04-12,52.038205,52.143044,51.00888,51.561665,2804900
2021-04-13,51.294803,51.618851,50.475153,51.514011,2535500
2021-04-14,51.466355,51.828527,50.923099,50.989815,2437000
2021-04-15,51.466351,51.561658,50.884972,50.942158,2945300
2021-04-16,51.180438,51.933373,51.027945,51.676041,3348800
2021-04-19,51.923837,52.009614,50.6753,51.189964,2648300
2021-04-20,51.209024,51.818995,49.131308,50.046265,2685700
2021-04-21,50.036738,50.87545,49.950961,50.665771,1521200
2021-04-22,50.513271,50.989811,49.979545,50.684826,2667700
2021-04-23,50.875453,51.618855,50.560935,51.380585,1974000
2021-04-26,52.038208,52.486157,51.5712,52.219296,3686400
2021-04-27,53.725154,55.354924,53.715625,54.459026,5103100
2021-04-28,54.735422,56.126919,54.420904,55.926773,3342500
2021-04-29,56.3366,57.26109,55.955367,57.003757,3480700
2021-04-30,56.813134,56.860787,55.526473,56.346123,2556600
2021-05-03,56.898921,57.813878,56.851268,57.499363,3011300
2021-05-04,57.232493,58.328537,56.870322,58.042614,2806600
2021-05-05,58.461964,58.671643,57.518413,58.252285,3220300
2021-05-06,58.557279,58.719305,57.213435,57.766224,2717400
2021-05-07,57.871069,59.100541,57.041886,58.833679,2725100
2021-05-10,59.014758,60.911391,58.728835,59.424583,3009300
2021-05-11,58.652591,59.071945,56.374729,56.746429,3499600
2021-05-12,56.308016,56.517691,52.571937,52.810207,4718100
2021-05-13,53.143784,55.745698,53.058006,55.335873,4288100
2021-05-14,55.717102,56.536752,55.373992,55.717102,1969400
2021-05-17,55.478825,55.678971,53.953897,55.26915,2142500
2021-05-18,55.383521,55.526481,53.401112,53.496422,2365800
2021-05-19,52.543342,53.610791,51.733221,52.972229,3139900
2021-05-20,52.934104,53.810937,52.762549,53.429707,1496400
2021-05-21,53.810937,54.478094,53.124721,53.153313,2408500
2021-05-24,53.582203,53.820473,53.315338,53.391586,1776300
2021-05-25,53.725162,54.716367,53.725162,53.877655,2182500
2021-05-26,54.115927,55.526486,53.953905,54.916515,2794100
2021-05-27,55.278691,55.659924,54.697311,55.164322,4695100
2021-05-28,55.841001,55.888654,54.706836,55.078537,2566800
2021-06-01,55.812409,56.069741,54.935573,55.431175,2522400
2021-06-02,55.431176,55.860064,54.134986,54.668713,3181600
2021-06-03,54.115914,54.506677,53.010341,53.667969,1999800
2021-06-04,54.077804,54.335133,53.143782,54.27795,2060100
2021-06-07,54.325604,54.487626,53.544078,54.04921,2006400
2021-06-08,54.297005,54.554337,53.906242,54.287472,1940800
2021-06-09,54.897452,54.935576,53.000824,53.220032,2925400
2021-06-10,53.038487,53.286913,51.270857,51.586166,4254800
2021-06-11,51.844138,52.484309,51.653046,51.920578,2608700
2021-06-14,51.739046,52.331441,50.72624,51.146648,3265700
2021-06-15,51.414179,52.063903,51.003324,51.796368,1988700
2021-06-16,51.672154,51.863246,50.707121,50.754894,2534200
2021-06-17,50.678462,51.987463,50.487366,51.328186,3266500
2021-06-18,50.764453,52.22633,50.630686,51.280407,5238700
2021-06-21,51.557496,52.063901,51.165751,51.786812,2075400
2021-06-22,51.90147,52.159449,51.356849,51.968353,2808000
2021-06-23,52.092568,52.121232,50.783567,51.108429,1755600
2021-06-24,51.108429,51.461954,50.372712,51.041542,3341900
2021-06-25,51.089325,51.576616,50.783573,51.223091,3957300
2021-06-28,51.567058,52.235888,51.022437,52.044796,3034700
2021-06-29,52.083018,53.640446,52.083018,53.067162,4589400
2021-06-30,51.691264,52.72318,51.691264,52.140339,4474000
2021-07-01,52.169008,53.697772,52.025689,53.33469,3119000
2021-07-02,53.611777,53.64044,52.512978,52.780514,2021500
2021-07-06,52.570298,52.723174,50.802665,51.519272,2638600
2021-07-07,51.815479,53.220031,51.662603,52.6563,3177800
2021-07-08,51.251741,51.719926,50.124279,50.363148,3393000
2021-07-09,50.86955,51.481054,50.458695,50.859993,1882000
2021-07-12,50.506475,50.984214,50.200723,50.793118,1705400
2021-07-13,50.496923,50.516033,49.044603,49.369461,2288100
2021-07-14,49.799418,50.14339,49.283463,49.445892,1570600
2021-07-15,49.111472,49.761196,48.700617,49.254791,1902500
2021-07-16,49.30257,50.210274,48.624183,48.729286,2125600
2021-07-19,47.859808,49.073263,47.783368,48.652851,2418600
2021-07-20,48.662406,50.047847,48.49042,49.885414,1846900
2021-07-21,50.095623,50.879114,49.9523,50.496922,1964600
2021-07-22,49.971404,50.334486,49.111477,50.152946,2183400
2021-07-23,50.458696,51.949236,50.439586,51.662594,2133100
2021-07-26,51.767705,52.360099,50.793119,50.984215,2610200
2021-07-27,49.67521,51.108424,49.245245,51.012875,3665900
2021-07-28,51.184863,51.662601,50.124284,50.286716,1859300
2021-07-29,50.88866,53.114922,50.764451,52.608521,2837800
2021-07-30,52.073458,53.210473,52.073458,52.426983,2227800
2021-08-02,52.809177,53.124482,52.350548,52.512978,2655700
2021-08-03,52.589415,52.94294,51.958801,52.90472,1652400
2021-08-04,52.417429,53.067153,50.907775,50.917332,2268700
2021-08-05,51.031989,51.710376,50.7549,51.108429,1829400
2021-08-06,51.309079,51.643495,50.372713,50.592472,1754100
2021-08-09,50.363155,50.945996,50.076513,50.229389,1272600
2021-08-10,50.133833,51.729476,49.99051,51.060642,1933800
2021-08-11,50.936442,53.076706,50.592469,52.90472,2254200
2021-08-12,52.990709,53.353791,51.844137,52.035233,1960000
2021-08-13,52.140337,52.426979,51.509723,51.920578,1213200
2021-08-16,51.719929,52.704068,51.347294,52.18811,1417200
2021-08-17,51.509725,51.853697,49.742096,50.114731,1914600
2021-08-18,49.703879,51.01288,49.273914,50.019184,1953000
2021-08-19,49.340791,50.019178,49.082812,49.43634,1711600
2021-08-20,49.331235,50.659347,49.235686,50.363148,1664900
2021-08-23,50.430037,50.430037,49.111482,50.105175,1708000
2021-08-24,50.468255,51.997015,50.277159,51.203972,1544000
2021-08-25,51.251745,52.226332,51.175309,51.805923,1496200
2021-08-26,51.815478,51.949244,50.917331,51.423733,1858500
2021-08-27,51.633935,52.876053,51.433286,52.436535,2023700
2021-08-30,52.656296,52.656296,51.739039,51.748592,1431700
2021-08-31,51.930134,51.997017,50.945994,51.461952,3790900
2021-09-01,51.643482,52.293206,51.309067,52.254986,2018000
2021-09-02,52.426979,52.627632,51.624379,51.786812,1435700
2021-09-03,51.595716,51.949241,50.4587,51.012875,2156500
2021-09-07,50.707119,51.175304,50.229381,50.372704,2126500
2021-09-08,47.582713,48.576409,47.305624,47.324734,5656000
2021-09-09,47.190967,47.362953,46.273711,46.321484,4649100
2021-09-10,46.694125,46.885221,45.719539,45.795979,2457600
2021-09-13,46.264152,46.331039,45.308676,46.130386,3240900
2021-09-14,46.455253,46.703679,44.830943,45.079369,2767200
2021-09-15,44.878726,45.499783,44.572974,45.461567,4232900
2021-09-16,45.327789,46.799223,45.327789,46.073063,2480300
2021-09-17,45.785592,46.868426,45.708934,46.609695,4720600
2021-09-20,45.565187,46.293465,44.808162,45.3927,2994200
2021-09-21,45.335209,45.689764,44.645262,45.133972,1958800
2021-09-22,45.622679,46.580937,45.335202,45.881409,2596900
2021-09-23,46.092223,46.40845,45.325617,45.383114,2569100
2021-09-24,45.28728,45.766409,44.827317,45.507683,2243400
2021-09-27,45.27771,46.456368,44.913571,46.322212,3253200
2021-09-28,45.843092,46.408465,44.923165,45.220222,2305900
2021-09-29,45.402278,46.283874,45.402278,45.919735,1578500
2021-09-30,46.092227,46.149724,43.984061,44.003223,2148500
2021-10-01,44.386532,44.606931,43.677423,44.204464,2536800
