date,open,high,low,close,volume
1996-01-02,15.1341,15.5964,15.1341,15.5103,684867
1996-01-03,15.5509,15.928,15.5509,15.928,903862
1996-01-04,15.928,15.928,15.5964,15.6795,1070071
1996-01-05,15.636,15.8032,15.5964,15.636,754768
1996-01-08,15.5964,15.6795,15.5509,15.636,128078
1996-01-09,15.6795,15.7646,15.4707,15.632,396694
1996-01-10,15.5103,15.5509,15.2202,15.2618,543833
1996-01-11,15.2202,15.2618,14.9668,15.2202,555815
1996-01-12,15.3004,15.3004,14.9668,15.0519,463905
1996-01-15,15.1341,15.3004,15.1341,15.1747,433113
1996-01-16,15.1747,15.2618,15.0519,15.1747,585628
1996-01-17,15.1341,15.2618,15.0519,15.2202,925860
1996-01-18,15.1747,15.1747,14.8836,14.9262,1229928
1996-01-19,14.6323,14.757,14.3402,14.6323,1735873
1996-01-22,14.6758,14.9262,14.6323,14.8836,961054
1996-01-23,14.8401,15.0114,14.8401,14.9668,677531
1996-01-24,14.9668,15.1747,14.9262,15.1747,996743
1996-01-25,15.1341,15.2202,15.0519,15.1341,577320
1996-01-26,15.1341,15.5509,15.1341,15.4271,641361
1996-01-29,15.3885,15.5964,15.342,15.5103,891890
1996-01-30,15.4271,15.5964,15.3004,15.5964,661154
1996-01-31,15.5964,15.636,15.4271,15.636,781412
1996-02-01,15.5964,15.636,15.4271,15.5103,458286
1996-02-02,15.5103,15.5964,15.1341,15.3004,504245
1996-02-05,15.3004,15.5103,15.1747,15.4707,544568
1996-02-06,15.4707,15.4707,15.0905,15.2618,875023
1996-02-07,15.2202,15.636,15.1747,15.636,1315949
1996-02-08,15.5509,15.8874,15.4707,15.8448,469043
1996-02-09,15.636,16.1368,15.636,15.9735,891643
1996-02-12,15.9735,16.3893,15.9735,16.3893,1011893
1996-02-13,16.224,16.3487,16.0527,16.3041,1227228
1996-02-14,16.0953,16.1784,15.8032,15.9735,824429
1996-02-15,15.9429,16.0695,15.6478,15.6944,598091
1996-02-16,15.6083,15.6478,15.1876,15.3984,1746874
1996-02-20,14.9787,15.1876,14.8084,15.1469,2311965
1996-02-21,15.1469,15.3122,15.1035,15.2737,2562253
1996-02-22,15.3984,15.8617,15.3548,15.8617,878195
1996-02-23,15.9913,16.0695,15.6478,15.9043,820269
1996-02-26,15.8617,15.9913,15.6478,15.9043,705147
1996-02-27,15.9043,15.9043,15.735,15.8211,565338
1996-02-28,15.8211,15.9913,15.6083,15.6083,732767
1996-02-29,15.5281,15.6944,15.3548,15.6083,606404
1996-03-01,15.735,15.7766,15.5667,15.7766,543586
1996-03-04,15.8617,16.118,15.8617,15.9913,726414
1996-03-05,15.9913,16.118,15.8617,16.118,399867
1996-03-06,16.0299,16.118,15.9429,15.9913,578540
1996-03-07,15.9043,15.9043,15.735,15.7766,506926
1996-03-08,15.5281,15.7766,15.44,15.6478,911932
1996-03-11,15.5667,15.735,15.4815,15.735,681689
1996-03-12,15.6478,16.118,15.5667,15.8617,793388
1996-03-13,15.8617,16.0299,15.735,16.0299,695859
1996-03-14,15.9913,16.2833,15.8211,16.2408,757457
1996-03-15,16.1546,16.1972,16.0695,16.118,1237991
1996-03-18,16.2408,16.3655,16.1972,16.3655,637445
1996-03-19,16.3655,16.4516,16.2408,16.3239,758428
1996-03-20,16.3239,16.4101,16.1546,16.2408,1084245
1996-03-21,16.1972,16.2833,16.0299,16.1546,766747
1996-03-22,16.1546,16.6199,16.1546,16.5784,1188608
1996-03-25,16.7862,16.8277,16.4516,16.4516,2233266
1996-03-26,16.5784,16.8743,16.5566,16.6199,1345772
1996-03-27,16.5784,16.6595,16.4516,16.4516,508147
1996-03-28,16.3239,16.4922,16.2833,16.4516,1527624
1996-03-29,16.5328,16.5328,16.4101,16.4516,604449
1996-04-01,16.4516,16.998,16.4516,16.9149,993077
1996-04-02,16.7446,16.8743,16.704,16.8277,628164
1996-04-03,16.7862,17.0832,16.7446,16.9555,526230
1996-04-04,16.8743,16.9555,16.7862,16.8277,1092556
1996-04-08,16.5784,16.704,16.3655,16.6199,959343
1996-04-09,16.6199,16.7862,16.5328,16.6199,1125554
1996-04-10,16.4922,16.5784,16.4101,16.4516,728128
1996-04-11,16.4101,16.5328,16.3239,16.5328,577320
1996-04-12,16.4922,16.5328,16.3239,16.4101,1109423
1996-04-15,16.4101,16.4516,16.3239,16.4516,1125554
1996-04-16,16.4101,16.7446,16.3655,16.6595,750126
1996-04-17,16.6199,16.7862,16.5328,16.6199,581467
1996-04-18,16.6199,16.7446,16.4516,16.6595,882356
1996-04-19,17.0832,17.4168,17.0406,17.3346,1103551
1996-04-22,17.1663,17.2079,16.9555,17.1228,894335
1996-04-23,17.1228,17.4622,17.0832,17.4622,859867
1996-04-24,17.4168,17.4168,17.1228,17.2485,395960
1996-04-25,17.1663,17.2079,16.998,17.0832,591002
1996-04-26,17.1228,17.4168,17.0832,17.2485,386671
1996-04-29,17.1663,17.2079,17.0406,17.0832,301613
1996-04-30,17.0832,17.1228,16.998,17.0406,550918
1996-05-01,17.0406,17.1228,16.998,17.0406,372986
1996-05-02,17.0406,17.0832,16.998,17.0832,618873
1996-05-03,17.0832,17.1228,16.998,16.998,449734
1996-05-06,17.0406,17.0832,16.8743,17.0832,984032
1996-05-07,16.998,17.0406,16.8277,16.9555,592470
1996-05-08,16.8941,17.0188,16.8119,16.9376,823693
1996-05-09,16.8941,17.1911,16.8525,17.0188,440935
1996-05-10,17.105,17.3584,17.0654,17.2742,825407
1996-05-13,17.105,17.2742,17.0188,17.2317,761370
1996-05-14,17.1911,17.4039,17.1911,17.3584,496902
1996-05-15,17.3584,17.5722,17.2317,17.5306,600785
1996-05-16,17.5306,17.5306,17.3584,17.4464,526967
1996-05-17,17.488,17.8682,17.4464,17.6137,788008
1996-05-20,17.785,17.8682,17.6603,17.8682,730082
1996-05-21,17.8246,17.9513,17.8246,17.9513,625712
1996-05-22,17.6999,17.9919,17.6137,17.9513,725192
1996-05-23,17.9513,18.1245,17.9513,17.9513,494212
1996-05-24,17.9513,18.0789,17.9156,18.0789,763808
1996-05-28,17.9513,18.0374,17.8246,17.9156,675332
1996-05-29,17.9156,17.9513,17.785,17.8246,354654
1996-05-30,17.7375,17.9919,17.6999,17.9513,786786
1996-05-31,17.785,17.8246,17.4464,17.5306,599317
1996-06-03,17.4039,17.6137,17.3584,17.6137,475151
1996-06-04,17.6137,17.6137,17.5306,17.5722,459017
1996-06-05,17.488,17.5722,17.4039,17.488,399138
1996-06-06,17.488,17.488,17.0188,17.105,1221860
1996-06-07,16.5992,17.0188,16.5992,16.9772,1465545
1996-06-10,17.0654,17.0654,16.8941,16.9772,1211348
1996-06-11,16.9376,17.105,16.8941,16.9772,770168
1996-06-12,16.9772,17.2317,16.8941,17.0654,408427
1996-06-13,17.0654,17.0654,16.7664,17.0188,675090
1996-06-14,16.9376,16.9772,16.7664,16.7664,838120
1996-06-17,16.8119,16.9376,16.7664,16.7664,706618
1996-06-18,16.7664,16.8941,16.7664,16.8525,362716
1996-06-19,16.8525,16.8941,16.6842,16.8525,599317
1996-06-20,16.8525,16.8941,16.512,16.5566,458528
1996-06-21,16.5566,16.7664,16.512,16.6842,1118464
1996-06-24,16.7664,16.9772,16.6842,16.9376,963017
1996-06-25,16.8941,16.9772,16.8119,16.8119,880645
1996-06-26,16.8525,16.9376,16.7248,16.7664,731553
1996-06-27,16.7664,16.8119,16.7248,16.8119,571211
1996-06-28,16.8941,16.8941,16.4724,16.512,1310583
1996-07-01,16.5992,16.6397,16.219,16.4724,841049
1996-07-02,16.4724,16.4724,16.3447,16.3853,834443
1996-07-03,16.2596,16.3853,16.2596,16.3447,538700
1996-07-05,16.0913,16.1714,15.9656,16.0448,313839
1996-07-08,16.1329,16.1714,16.0081,16.0448,463417
1996-07-09,16.0448,16.3447,16.0081,16.2596,642091
