date,open,high,low,close,volume
2005-02-25,20.0347,20.5564,20.0187,20.4327,5648770
2005-02-28,20.3847,20.5402,20.1357,20.2394,6281717
2005-03-01,20.0848,20.3611,20.0848,20.3101,4692041
2005-03-02,20.2866,20.6496,20.264,20.4393,3963806
2005-03-03,20.4743,20.5308,20.3761,20.4327,3572468
2005-03-04,20.5564,20.5923,20.3687,20.3902,5687132
2005-03-07,20.3687,20.7184,20.2394,20.411,2986342
2005-03-08,20.3346,20.3902,20.13,20.1441,3940461
2005-03-09,20.13,20.1677,19.7368,19.8622,5980386
2005-03-10,19.8407,19.9092,19.6254,19.7141,5047889
2005-03-11,19.6896,19.7838,19.5557,19.7141,3876913
2005-03-14,19.7141,19.9498,19.6585,19.848,3207711
2005-03-15,19.9641,20.0848,19.5868,19.6416,3980412
2005-03-16,19.6416,20.9702,19.6254,20.8767,10325293
2005-03-17,22.3206,22.4111,21.2449,21.2928,14859643
2005-03-18,21.254,21.342,21.059,21.2768,7777812
2005-03-21,21.1918,21.2684,20.9467,21.0089,3403066
2005-03-22,21.0165,21.0504,20.5308,20.5846,4445674
2005-03-23,20.5846,20.7742,20.3611,20.3902,4655721
2005-03-24,20.411,20.5846,20.2394,20.2574,3575201
2005-03-28,20.4327,20.4479,20.2319,20.2488,2501107
2005-03-29,20.13,20.2394,19.8159,19.8857,4710999
2005-03-30,19.9697,20.2394,19.9575,20.2159,3845491
2005-03-31,20.3101,20.3515,20.1083,20.197,3549438
2005-04-01,20.197,20.4327,20.1744,20.2159,3822208
2005-04-04,20.3271,20.5081,20.0697,20.3979,4590711
2005-04-05,20.3687,20.6006,20.264,20.5308,3333222
2005-04-06,20.6629,20.679,20.3185,20.3611,3059177
2005-04-07,20.3979,20.5564,20.2159,20.4327,3047029
2005-04-08,20.3979,20.4573,20.2574,20.3687,3346324
2005-04-11,20.4327,20.4573,20.1225,20.1225,3529651
2005-04-12,20.0432,20.264,19.9188,20.1744,3344984
2005-04-13,20.0762,20.3185,19.9188,19.9941,3297531
2005-04-14,19.9941,20.2574,19.9697,20.1083,3854204
2005-04-15,20.0036,20.0187,19.7368,19.7838,5172698
2005-04-18,19.7141,19.8407,19.5708,19.6896,3885883
2005-04-19,20.1357,20.3515,19.9272,20.0273,5586369
2005-04-20,19.8857,20.197,19.8,19.9092,3751408
2005-04-21,20.2866,20.7742,20.197,20.6629,5156606
2005-04-22,20.5488,20.7033,20.1225,20.3515,3451859
2005-04-25,20.3902,20.6411,20.3346,20.5081,2800341
2005-04-26,20.4053,20.5308,20.1357,20.1677,3011406
2005-04-27,20.1744,20.5138,20.13,20.4573,2706828
2005-04-28,20.2394,20.4196,20.0697,20.1527,3162487
2005-04-29,20.2159,20.3515,19.8933,20.0762,4315455
2005-05-02,20.1149,20.4053,20.0187,20.264,2768979
2005-05-03,20.13,20.4904,20.1149,20.3687,2848625
2005-05-04,20.4393,21.0165,20.3185,20.9636,4813987
2005-05-05,20.8373,20.9043,20.4904,20.6082,2275348
2005-05-06,20.6713,20.7431,20.5308,20.5564,2367779
2005-05-09,20.5308,20.5923,20.4743,20.5564,2930996
2005-05-10,20.4573,20.5081,20.197,20.2866,2363838
2005-05-11,20.3025,20.3025,20.0187,20.0697,2439976
2005-05-12,20.0697,20.1912,19.9575,20.0603,2599263
2005-05-13,20.0697,20.13,19.8857,20.0036,2451233
2005-05-16,19.9941,20.0036,19.6416,19.848,4180154
