date,open,high,low,close,volume
2021-01-04,18.799999,19.23,15.85,16.48,32293600
2021-01-05,15.75,18.65,15.35,18.41,28099800
2021-01-06,18.889999,20.68,18.120001,19.280001,40860400
2021-01-07,20.84,24.700001,19.870001,22.719999,59358000
2021-01-08,24.77,27.389999,23.59,26.59,57499700
2021-01-11,21.0,24.0,20.26,22.639999,55243800
2021-01-12,23.280001,24.91,22.082001,24.209999,28710500
2021-01-13,23.65,25.079,22.52,23.879999,24905700
2021-01-14,25.9,29.280001,25.559999,28.9,37561000
2021-01-15,27.0,27.15,24.51,25.780001,28732200
2021-01-19,26.700001,27.195,24.75,25.200001,20272300
2021-01-20,24.280001,24.280001,20.700001,22.280001,26544500
2021-01-21,19.370001,20.469999,17.9,19.35,38293000
2021-01-22,20.299999,22.5,20.280001,20.969999,30545100
2021-01-25,22.01,22.25,19.16,19.67,19272000
2021-01-26,18.98,20.299999,18.370001,19.32,14084400
2021-01-27,17.790001,18.93,16.75,17.93,13308800
2021-01-28,18.389999,22.41,17.75,19.93,26695000
2021-01-29,24.5,24.735001,19.66,20.52,26696100
2021-02-01,20.17,20.48,18.690001,19.98,13088900
2021-02-02,20.559999,22.18,19.620001,21.49,15361800
2021-02-03,22.139999,23.639999,21.719999,22.85,18199900
2021-02-04,23.469999,23.5,21.42,23.08,12936700
2021-02-05,23.58,24.388,22.93,23.379999,12295600
2021-02-08,27.299999,32.900002,25.9,32.790001,50819500
2021-02-09,35.560001,41.880001,33.23,39.860001,53085100
2021-02-10,37.040001,39.740002,32.25,36.560001,27942700
2021-02-11,42.355,46.639999,40.830002,43.09,39870500
2021-02-12,46.139999,52.73,43.66,49.279999,48423900
2021-02-16,55.044998,61.269001,54.349998,59.5,43863900
2021-02-17,67.839996,79.5,61.700001,77.900002,72578500
2021-02-18,72.760002,78.75,58.77,62.029999,86796100
2021-02-19,68.800003,77.82,67.419998,71.330002,75047100
2021-02-22,61.0,69.449997,59.700001,64.760002,52489500
2021-02-23,53.700001,56.889999,45.02,48.799999,52317000
2021-02-24,53.41,56.459999,50.860001,52.27,33336900
2021-02-25,54.330002,55.889999,45.220001,45.669998,23574600
2021-02-26,41.990002,47.75,40.549999,43.740002,23843600
2021-03-01,49.040001,53.810001,46.580002,53.599998,26614500
2021-03-02,57.0,57.02,48.5,49.099998,23546300
2021-03-03,55.139999,55.279999,48.599998,49.57,21775400
2021-03-04,47.400002,49.0,41.330002,44.290001,20168800
2021-03-05,44.990002,45.25,34.25,40.299999,27668300
2021-03-08,42.200001,43.650002,37.619999,38.98,17403000
2021-03-09,43.950001,54.0,43.720001,52.16,36308300
2021-03-10,57.5,59.330002,52.799999,56.5,35830600
2021-03-11,57.959999,63.695,56.720001,63.310001,29031900
2021-03-12,58.099998,65.75,57.700001,62.810001,26820500
2021-03-15,62.779999,67.660004,62.710999,63.43,22351400
2021-03-16,62.0,62.169998,55.700001,56.98,18223100
2021-03-17,54.799999,65.158997,53.400002,64.739998,26146200
2021-03-18,63.0,67.849998,59.150002,60.189999,28736500
2021-03-19,61.029999,63.700001,59.5,60.650002,18072800
2021-03-22,59.950001,60.689999,55.169998,56.009998,17993700
2021-03-23,54.91,57.439999,50.009998,50.119999,18373700
2021-03-24,54.360001,55.709999,45.0,45.709999,20265100
2021-03-25,39.380001,49.290001,39.130001,48.169998,26951400
2021-03-26,49.41,49.799999,45.849998,48.220001,15141600
2021-03-29,51.509998,52.75,47.299999,47.889999,17849800
2021-03-30,48.830002,52.188999,47.419998,51.509998,18358700
2021-03-31,50.73,54.580002,49.41,53.27,21061700
2021-04-01,54.75,56.824001,51.119999,52.029999,15058000
2021-04-05,52.106998,57.849998,50.389999,56.900002,18908700
2021-04-06,56.0,56.360001,52.306,54.099998,15194800
2021-04-07,50.521999,53.025002,47.700001,48.369999,16833100
2021-04-08,50.52,51.889999,49.349998,49.549999,13416200
2021-04-09,50.48,51.599998,47.759998,49.630001,13678600
2021-04-12,52.5,55.786999,50.619999,51.529999,23779400
2021-04-13,56.439999,59.959999,52.860001,59.259998,42774300
2021-04-14,60.797001,61.549999,49.299999,50.16,52949200
2021-04-15,50.869999,52.419998,43.290001,48.110001,39017100
2021-04-16,45.009998,47.560001,42.799999,44.639999,24637500
2021-04-19,40.349998,43.310001,38.709999,40.900002,28356400
2021-04-20,40.540001,41.099998,35.709999,38.560001,29240900
2021-04-21,36.990002,42.07,36.060001,41.310001,26801700
2021-04-22,40.580002,42.209999,36.369999,36.490002,27895100
2021-04-23,34.09,38.91,33.369999,38.48,25722600
2021-04-26,41.271999,42.160999,39.549999,40.889999,19234300
2021-04-27,41.650002,41.830002,39.820999,40.52,13779300
2021-04-28,40.18,44.154999,39.41,43.93,15088700
2021-04-29,41.950001,42.73,39.419998,40.330002,12765300
2021-04-30,40.810001,43.380001,40.450001,41.830002,15422800
2021-05-03,42.880001,44.099998,39.32,39.990002,14120700
2021-05-04,38.604,39.0,35.099998,37.57,15015600
2021-05-05,38.16,39.110001,36.0,36.619999,12083500
2021-05-06,36.389999,36.648998,32.0,33.450001,14595100
2021-05-07,33.799999,35.52,32.619999,33.389999,11020900
2021-05-10,33.330002,33.400002,29.879999,29.950001,15802800
2021-05-11,25.99,30.799999,25.65,29.870001,19802800
2021-05-12,28.254,29.6,26.08,26.52,15277500
2021-05-13,24.91,26.950001,20.68,22.23,36110500
2021-05-14,24.049999,26.799999,23.629999,26.02,22633700
2021-05-17,23.4,24.52,22.52,24.309999,19807500
2021-05-18,23.200001,26.799999,23.120001,25.559999,24456900
2021-05-19,21.950001,24.379999,21.610001,24.139999,41600100
2021-05-20,26.07,26.577999,23.125999,24.18,24949500
2021-05-21,24.450001,25.459999,22.459999,22.84,24553800
2021-05-24,23.450001,26.299999,22.77,25.950001,22951100
2021-05-25,24.98,25.860001,24.35,25.139999,16489500
2021-05-26,26.68,28.629999,26.030001,27.639999,28262400
2021-05-27,28.85,29.6,27.280001,28.5,23524200
2021-05-28,27.400999,28.719999,26.73,27.129999,13679800
2021-06-01,27.1,29.870001,27.059999,29.23,14647700
2021-06-02,30.280001,31.059999,29.1,30.030001,14458600
2021-06-03,30.476999,30.52,28.01,28.280001,11061800
2021-06-04,27.959999,29.18,27.6,29.15,9402500
2021-06-07,29.226999,29.49,27.9,28.82,8729900
2021-06-08,27.379999,28.43,25.290001,28.059999,13799500
2021-06-09,28.629999,33.09,28.35,31.41,21515700
2021-06-10,31.77,32.689999,30.41,31.639999,14163500
2021-06-11,31.198,31.870001,30.139999,31.030001,8444000
2021-06-14,34.009998,38.080002,33.380001,35.400002,25489000
2021-06-15,36.060001,36.669998,33.810001,35.060001,12984900
2021-06-16,33.922001,35.119999,33.209999,34.200001,10166400
2021-06-17,34.0,35.919998,33.75,34.299999,10132200
2021-06-18,33.659,34.279999,31.68,32.18,10785800
2021-06-21,30.379999,32.049999,30.004999,31.57,11017900
2021-06-22,29.379999,32.5,28.4,32.23,17705200
2021-06-23,33.950001,34.619999,32.32,32.48,10016800
2021-06-24,33.110001,34.150002,32.849998,34.02,9375400
2021-06-25,33.0,33.610001,32.380001,32.970001,18800900
2021-06-28,34.110001,36.584999,33.41,36.18,11326700
2021-06-29,38.0,40.34,37.125999,37.810001,14903700
2021-06-30,36.630001,38.220001,35.759998,37.669998,8321200
2021-07-01,37.23,37.650002,35.799999,36.209999,6548200
2021-07-02,36.5,37.080002,35.91,36.23,4630200
2021-07-06,36.98,37.279999,34.529999,35.43,6065900
2021-07-07,35.759998,36.950001,34.959999,35.439999,5920300
2021-07-08,33.540001,34.240002,32.380001,33.720001,5669600
2021-07-09,33.98,34.490002,32.652,32.830002,5794600
2021-07-12,33.009998,33.110001,30.84,31.4,5351100
2021-07-13,31.4,31.5,30.02,30.059999,4132900
2021-07-14,30.634001,30.73,28.51,28.59,5016900
2021-07-15,27.849001,29.360001,27.360001,28.219999,4710500
2021-07-16,28.4,28.75,27.16,27.280001,4685500
2021-07-19,25.99,26.870001,25.57,25.959999,6156000
2021-07-20,25.370001,26.32,23.93,25.85,6995500
2021-07-21,27.799999,29.91,27.610001,29.16,11923100
2021-07-22,29.17,29.440001,27.719999,28.870001,7155500
2021-07-23,28.877001,29.75,27.049999,28.1,7639700
2021-07-26,32.5,34.720001,31.700001,34.0,23666900
2021-07-27,32.639999,33.650002,30.469999,31.639999,8746200
2021-07-28,33.099998,33.889999,32.02,32.959999,8729100
2021-07-29,32.939999,34.02,31.879999,31.9,7116200
2021-07-30,31.66,33.099998,31.35,32.950001,5497300
2021-08-02,32.919998,35.389999,32.43,33.450001,11575900
2021-08-03,32.790001,33.099998,30.790001,31.48,8041900
2021-08-04,32.0,33.799999,31.75,32.709999,9251100
2021-08-05,31.799999,34.279999,30.85,33.59,10273800
2021-08-06,33.619999,35.759998,32.810001,34.970001,11749500
2021-08-09,37.084999,39.950001,36.52,37.830002,24700600
2021-08-10,38.169998,39.041,36.59,38.490002,12301900
2021-08-11,39.426998,40.799999,37.200001,37.759998,14019100
2021-08-12,35.889999,37.669998,34.700001,36.830002,7247000
2021-08-13,38.09,38.82,35.650002,35.810001,9797000
2021-08-16,36.169998,36.970001,34.609001,35.830002,7496200
2021-08-17,35.395,35.799999,32.41,32.759998,7874600
2021-08-18,32.48,33.84,31.790001,31.889999,7315800
2021-08-19,31.26,32.73,30.860001,32.080002,9289800
2021-08-20,32.709999,35.279999,32.634998,34.330002,11635900
2021-08-23,36.68,37.299999,35.040001,35.73,11981400
2021-08-24,36.066002,37.630001,34.849998,37.630001,11224100
2021-08-25,36.849998,38.740002,36.650002,37.720001,12404600
2021-08-26,37.195,38.060001,35.821999,36.279999,6640400
2021-08-27,36.536999,39.349998,36.349998,38.57,12115300
2021-08-30,37.799999,38.445999,36.700001,37.700001,7975600
2021-08-31,37.488998,37.990002,36.540001,37.32,7035300
2021-09-01,37.439999,38.709999,36.279999,36.5,15357400
2021-09-02,37.82,38.290001,35.91,35.959999,16653700
2021-09-03,36.52,37.32,34.185001,34.43,16981200
2021-09-07,34.172001,34.700001,30.91,32.110001,17896400
2021-09-08,32.080002,32.32,30.26,30.385,8526800
2021-09-09,31.120001,31.969999,30.799999,31.35,8909300
2021-09-10,31.25,31.719999,29.459999,29.620001,9130000
2021-09-13,29.299999,30.52,28.879999,29.299999,10625200
2021-09-14,30.059999,30.33,28.690001,28.84,7461800
2021-09-15,29.719999,30.52,29.040001,30.33,9600100
2021-09-16,30.1,30.360001,29.08,29.370001,7185700
2021-09-17,29.294001,29.74,28.799999,29.299999,6795600
2021-09-20,27.25,28.389999,26.871,27.530001,10260900
