date,open,high,low,close,volume
1996-01-02,9.45185,9.63515,9.43214,9.63515,424092
1996-01-03,9.60855,9.74355,9.60855,9.72286,552902
1996-01-04,9.74355,9.80761,9.51788,9.56616,521370
1996-01-05,9.45185,9.51788,9.40948,9.49225,531584
1996-01-08,9.40948,9.83028,9.38483,9.80761,506942
1996-01-09,9.83028,9.85491,9.60855,9.72286,960527
1996-01-10,9.58884,9.58884,9.22913,9.29752,664605
1996-01-11,9.38483,9.54251,9.29752,9.54251,529029
1996-01-12,9.49225,9.69724,9.43214,9.63515,703160
1996-01-15,9.60855,9.6519,9.49225,9.51788,340348
1996-01-16,9.51788,9.85491,9.51788,9.85491,1176529
1996-01-17,9.85491,9.96529,9.79086,9.94851,860695
1996-01-18,9.92779,10.0107,9.85491,9.98798,589286
1996-01-19,9.96529,10.1062,9.96529,10.0806,847673
1996-01-22,10.0107,10.1062,10.0107,10.0806,517544
1996-01-23,10.0344,10.1298,9.94851,10.1298,547667
1996-01-24,10.1062,10.2137,10.1062,10.1673,407241
1996-01-25,10.1673,10.4601,10.1437,10.3694,718478
1996-01-26,10.323,10.4601,10.3014,10.4601,757672
1996-01-29,10.4176,10.6147,10.4176,10.5281,661030
1996-01-30,10.4837,10.5733,10.3949,10.5733,428047
1996-01-31,10.5733,10.5733,10.4176,10.5044,380813
1996-02-01,10.5044,10.5999,10.4176,10.5999,842183
1996-02-02,10.5733,10.6384,10.5281,10.6147,458817
1996-02-05,10.5281,10.7971,10.5281,10.7064,728055
1996-02-06,10.7064,10.7546,10.6384,10.7546,518945
1996-02-07,10.7546,10.9518,10.6847,10.9114,774141
1996-02-08,10.9272,11.2247,10.8887,11.2247,700223
1996-02-09,11.1311,11.2247,10.9972,11.1765,571793
1996-02-12,11.2425,11.3342,11.2247,11.2247,394345
1996-02-13,11.1528,11.1992,11.071,11.1765,772737
1996-02-14,11.1311,11.1765,11.071,11.1765,591072
1996-02-15,11.1617,11.1617,10.6462,10.6916,802737
1996-02-16,10.6916,10.7803,10.5102,10.73,879714
1996-02-20,10.5999,10.6916,10.5733,10.6462,486519
1996-02-21,10.6226,10.8463,10.5999,10.804,490858
1996-02-22,10.8276,11.1163,10.73,11.0936,572437
1996-02-23,11.2504,11.342,10.9833,11.0276,664605
1996-02-26,10.935,11.0039,10.5999,10.6679,463284
1996-02-27,10.6226,10.6226,10.3082,10.4442,885589
1996-02-28,10.4905,10.7064,10.3949,10.3949,692436
1996-02-29,10.2629,10.4678,10.1752,10.2629,391793
1996-03-01,10.3299,10.4442,10.1062,10.4442,384007
1996-03-04,10.3949,10.804,10.3949,10.6916,404176
