date,open,high,low,close,volume
1996-01-02,1.07088,1.07088,0.960533,0.997159,40749254
1996-01-03,0.9889,0.997159,0.878655,0.895148,76283986
1996-01-04,0.849891,0.919496,0.829471,0.866384,120014369
1996-01-05,0.866384,0.919496,0.862457,0.919496,51992582
1996-01-08,0.919496,0.919496,0.866384,0.903101,14637475
1996-01-09,0.895148,0.919496,0.862457,0.87463,37711358
1996-01-10,0.866384,0.903101,0.862457,0.870507,15995910
1996-01-11,0.886903,0.907224,0.87463,0.907224,17957231
1996-01-12,0.91174,0.919496,0.87463,0.895148,19550559
1996-01-15,0.895148,0.895148,0.842135,0.845767,16019403
1996-01-16,0.858333,0.87463,0.849891,0.866384,13001083
1996-01-17,0.858333,0.866384,0.858333,0.858333,3472434
1996-01-18,0.866384,0.866384,0.842135,0.845767,7669109
1996-01-19,0.849891,0.866384,0.842135,0.862457,18873299
1996-01-22,0.833693,0.849891,0.817493,0.849891,17718430
1996-01-23,0.849891,0.895148,0.842135,0.87463,26002164
1996-01-24,0.87463,0.87463,0.849891,0.866384,23980166
1996-01-25,0.866384,0.87463,0.780874,0.784506,61429238
1996-01-26,0.780874,0.800804,0.740034,0.792852,123341953
1996-01-29,0.805025,0.817493,0.792852,0.813369,52804919
1996-01-30,0.817493,0.862457,0.813369,0.833693,40367567
1996-01-31,0.849891,0.866384,0.829471,0.858333,35589541
1996-02-01,0.862457,0.919496,0.858333,0.907224,31745192
1996-02-02,0.907224,0.907224,0.862457,0.870507,14903680
1996-02-05,0.87463,0.87463,0.849891,0.862457,14351694
1996-02-06,0.862457,0.862457,0.829471,0.849891,17352394
1996-02-07,0.849891,0.849891,0.817493,0.825543,21811364
1996-02-08,0.833693,0.907224,0.825543,0.895148,57749315
1996-02-09,0.886903,0.903101,0.866384,0.878655,21353334
1996-02-12,0.878655,0.878655,0.849891,0.858333,17927880
1996-02-13,0.862457,0.866384,0.849891,0.849891,12899310
1996-02-14,0.862457,0.866384,0.825543,0.829471,17865231
1996-02-15,0.842135,0.849891,0.825543,0.829471,7774812
1996-02-16,0.842135,0.862457,0.829471,0.842135,9554096
1996-02-20,0.833693,0.858333,0.825543,0.842135,13216401
1996-02-21,0.833693,0.842135,0.829471,0.842135,8749593
1996-02-22,0.833693,0.886903,0.829471,0.878655,26123525
1996-02-23,0.87463,0.886903,0.87463,0.878655,20106465
1996-02-26,0.886903,0.903101,0.87463,0.886903,9777236
1996-02-27,0.878655,0.886903,0.825543,0.829471,30153823
1996-02-28,0.833693,0.878655,0.825543,0.862457,30138165
1996-02-29,0.862457,0.907224,0.858333,0.903101,62813125
1996-03-01,0.927743,0.944039,0.91174,0.91174,36257011
1996-03-04,0.927743,1.0055,0.919496,1.0055,43759749
1996-03-05,0.9889,1.0055,0.976829,0.980953,20296334
1996-03-06,0.980953,1.06273,0.980953,1.05439,55776249
1996-03-07,1.04634,1.06646,1.01355,1.02984,35538641
1996-03-08,1.0055,1.02199,0.976829,0.997159,30284965
1996-03-11,0.9889,1.02199,0.9889,1.00943,20552751
1996-03-12,1.0055,1.04634,0.997159,1.02984,28525257
1996-03-13,1.03396,1.09935,1.02984,1.08305,30097056
1996-03-14,1.08305,1.18113,1.08305,1.13617,65780552
1996-03-15,1.13617,1.1936,1.13617,1.16502,42800616
1996-03-18,1.1771,1.1936,1.15658,1.18113,25514771
1996-03-19,1.18113,1.18516,1.09131,1.11585,30960272
1996-03-20,1.11585,1.16502,1.11182,1.13617,12257270
1996-03-21,1.1403,1.15658,1.09935,1.12379,13247711
1996-03-22,1.12379,1.12379,1.09935,1.11182,9238953
1996-03-25,1.10759,1.12379,1.09935,1.10759,6349825
1996-03-26,1.09935,1.12379,1.07883,1.11585,14842998
