date,open,high,low,close,volume
2005-02-25,8.05734,8.51773,7.96178,8.3778,11305878
2005-02-28,8.38513,8.38513,8.00555,8.17588,6151084
2005-03-01,8.20579,8.22797,7.82779,7.99149,6119503
2005-03-02,7.88611,7.88611,7.44088,7.76036,14796109
2005-03-03,7.79006,7.82779,7.63419,7.78313,4953883
2005-03-04,7.84948,8.27283,7.82779,8.1022,9183118
2005-03-07,8.06506,8.08705,7.83493,7.88611,6566162
2005-03-08,7.79006,7.79759,7.38157,7.49327,9904178
2005-03-09,7.53011,7.6638,7.31492,7.32235,8840949
2005-03-10,7.32235,7.4186,7.08437,7.2555,11458414
2005-03-11,7.5004,7.83493,7.4186,7.58953,15942836
2005-03-14,7.51535,7.55249,7.27769,7.44841,10270587
2005-03-15,7.45574,7.61914,7.35186,7.41137,9621536
2005-03-16,7.4186,7.4186,6.54972,6.77996,17856172
2005-03-17,6.80224,6.899,6.63161,6.81759,10151544
2005-03-18,6.82443,6.85404,6.61685,6.72807,7691381
2005-03-21,6.90602,7.03981,6.77996,6.92107,6851626
2005-03-22,6.94366,7.20341,6.83978,7.0105,11424295
2005-03-23,6.96593,7.03268,6.77283,6.77283,9013512
2005-03-24,6.80224,6.95841,6.75035,6.77283,4413550
2005-03-28,6.80224,6.80224,6.55734,6.56477,11785920
2005-03-29,6.58695,6.62419,6.14884,6.19321,18500062
2005-03-30,6.22282,6.35691,6.02991,6.20807,21551480
2005-03-31,6.26758,6.43138,6.25292,6.31967,9142710
2005-04-01,6.33462,6.43138,6.23798,6.31225,9810153
2005-04-04,6.26758,6.29749,6.00753,6.21579,9794663
2005-04-05,6.26758,6.31967,6.13418,6.20093,6421404
2005-04-06,6.03764,6.20093,6.01535,6.12646,9087271
2005-04-07,6.15627,6.17113,6.05239,6.1635,6463144
2005-04-08,6.00753,6.05961,5.837,5.837,12446327
2005-04-11,5.837,6.02991,5.74025,5.96336,9878065
2005-04-12,5.93366,6.05961,5.85948,6.00753,9521523
2005-04-13,6.02278,6.06685,5.7254,5.74025,9378099
2005-04-14,5.60665,5.68083,5.30234,5.30234,14722202
2005-04-15,5.30987,5.47306,5.13122,5.22806,10371130
2005-04-18,5.13904,5.42118,5.13904,5.34671,9137274
2005-04-19,5.40632,5.62914,5.34671,5.60665,9425206
2005-04-20,5.58448,5.65141,5.30987,5.34671,7709150
2005-04-21,5.61418,5.64379,5.2652,5.47306,13443924
2005-04-22,5.52506,5.60665,5.41365,5.4803,9202344
2005-04-25,5.53248,5.65141,5.43603,5.56962,6588199
2005-04-26,5.66607,5.6738,5.23569,5.25817,9057192
2005-04-27,5.22034,5.23569,4.8269,5.07962,13463507
2005-04-28,5.02783,5.19845,4.99773,5.00545,9256225
2005-04-29,5.0722,5.10181,4.87909,4.99773,7008499
2005-05-02,5.04981,5.05734,4.89385,4.95316,6316796
2005-05-03,4.94583,5.10181,4.90127,5.03506,6616425
