date,open,high,low,close,volume
1996-01-02,16.3462,16.3462,15.9837,16.0704,237628
1996-01-03,15.8298,15.8298,15.6273,15.7898,456598
1996-01-04,15.7898,16.2692,15.7898,16.2692,875885
1996-01-05,16.2234,16.2692,16.1474,16.2234,259656
1996-01-08,16.2692,16.2692,16.1835,16.2692,64785
1996-01-09,16.3091,16.3091,16.1065,16.1835,145120
1996-01-10,16.1835,16.1835,15.9418,15.9837,115314
1996-01-11,15.9077,15.9418,15.7898,15.7898,206791
1996-01-12,15.8298,15.8678,15.3494,15.5064,150821
1996-01-15,15.6273,15.8678,15.6273,15.7898,229600
1996-01-16,15.7898,15.7898,15.4655,15.6273,96397
1996-01-17,15.6672,15.9077,15.6273,15.7451,124387
1996-01-18,15.6672,15.7051,15.5531,15.6273,143564
1996-01-19,15.5531,15.6672,15.5531,15.6273,147192
1996-01-22,15.5064,15.7898,15.4655,15.7451,251881
1996-01-23,15.7451,15.9418,15.6273,15.9418,234778
1996-01-24,15.9077,15.9418,15.8678,15.9077,207055
1996-01-25,15.8298,15.9418,15.7898,15.8298,170513
1996-01-26,15.7451,15.7898,15.6672,15.7051,117650
1996-01-29,15.6273,15.6672,15.3494,15.5064,196427
1996-01-30,15.5911,15.6273,15.5064,15.5911,244881
1996-01-31,15.6273,16.5098,15.6273,16.4241,1280138
1996-02-01,16.3462,16.8645,16.3091,16.6657,498062
1996-02-02,16.584,16.7475,16.3832,16.6248,1016336
1996-02-05,16.584,16.9405,16.584,16.8645,493398
1996-02-06,16.8645,16.9882,16.7475,16.8996,422138
1996-02-07,16.7856,17.2279,16.7856,17.2279,358909
1996-02-08,17.1412,17.7052,17.0652,17.7052,532011
1996-02-09,17.6196,17.8611,17.6196,17.7443,477849
1996-02-12,17.7832,18.0219,17.7443,17.8611,254990
1996-02-13,17.7832,17.8611,17.5445,17.6576,390776
1996-02-14,17.6196,17.7832,17.5825,17.7832,404254
1996-02-15,17.7052,17.7443,17.5026,17.5825,260695
1996-02-16,17.5825,17.5825,17.4227,17.5825,190460
1996-02-20,17.38,17.5445,17.38,17.5445,212493
1996-02-21,17.5445,17.6196,17.4656,17.6196,260434
1996-02-22,17.6196,18.0219,17.6196,18.0219,356833
1996-02-23,18.0618,18.2226,18.0219,18.2226,339724
1996-02-26,18.1847,18.2606,18.097,18.2226,296969
1996-02-27,18.2226,18.2606,18.0219,18.0219,556887
1996-02-28,17.8611,18.2967,17.8193,18.1379,456085
1996-02-29,18.0618,18.1847,18.0219,18.0219,195645
1996-03-01,17.981,17.981,17.7832,17.981,383782
1996-03-04,17.981,18.097,17.981,18.0618,378601
1996-03-05,17.8972,18.0618,17.7052,18.0618,274683
1996-03-06,18.0618,18.097,17.7832,17.7832,169219
1996-03-07,17.7745,17.8124,17.4929,17.5747,220012
1996-03-08,17.5747,17.5747,17.372,17.4929,368755
1996-03-11,17.4929,18.097,17.4578,18.097,213008
1996-03-12,18.0618,18.0618,17.6147,17.8611,196427
1996-03-13,17.8124,18.1379,17.7745,18.0618,136303
1996-03-14,18.0142,18.1379,17.9751,17.9751,143302
1996-03-15,17.8972,17.9362,17.6147,17.6576,267172
1996-03-18,17.6965,18.0142,17.6965,18.0142,157552
1996-03-19,17.9751,17.9751,17.7364,17.9751,196427
1996-03-20,18.0142,18.0142,17.7364,17.8124,147192
1996-03-21,17.8972,17.9751,17.8124,17.8611,112723
1996-03-22,17.8972,18.0142,17.8611,17.9751,142007
1996-03-25,17.9751,18.097,17.8972,18.0142,193574
1996-03-26,18.0618,18.3746,18.0618,18.1379,263285
1996-03-27,18.0618,18.2148,17.8611,17.8611,231410
1996-03-28,17.8611,18.097,17.8611,17.8972,374455
1996-03-29,17.9362,17.9362,17.4578,17.6576,262505
1996-04-01,17.7364,18.0618,17.7364,18.0618,258880
1996-04-02,18.0618,18.0618,17.8972,18.0618,110909
1996-04-03,18.0142,18.2606,18.0142,18.1759,171292
1996-04-04,18.1379,18.2606,18.1379,18.2606,151076
1996-04-08,18.2148,18.2606,18.097,18.2606,444160
1996-04-09,18.2148,18.2606,18.1759,18.1759,172068
1996-04-10,18.1759,18.3385,18.0618,18.0618,272095
1996-04-11,18.097,18.097,17.7364,17.7745,181132
1996-04-12,17.7745,17.9751,17.7364,17.8972,78264
1996-04-15,17.9362,18.0618,17.8972,18.0142,180358
1996-04-16,17.6576,18.0142,17.6147,17.8611,197203
1996-04-17,17.7745,18.9397,17.6576,18.9397,464635
1996-04-18,19.1014,19.5818,19.0157,19.419,520604
1996-04-19,19.4639,20.2217,19.4639,20.2217,411510
1996-04-22,20.707,20.8229,20.3436,20.3825,430689
1996-04-23,20.3436,20.3825,19.9431,20.0202,303969
1996-04-24,20.0202,20.1049,19.9052,19.9812,228819
1996-04-25,19.9431,19.9431,19.7814,19.9052,317446
1996-04-26,19.9431,19.9431,19.8195,19.9052,227003
1996-04-29,19.9052,20.1419,19.9052,20.1419,217159
1996-04-30,20.1828,20.2217,19.9431,20.1419,96919
1996-05-01,20.0679,20.0679,19.9431,19.9431,123349
1996-05-02,19.9052,20.0202,19.8195,19.8195,230893
1996-05-03,19.8195,20.1828,19.8195,19.9052,151336
1996-05-06,19.9431,19.9431,19.7034,19.8195,256285
1996-05-07,19.9052,20.1419,19.8195,19.9812,128789
1996-05-08,19.9052,19.9052,19.7034,19.7814,139157
1996-05-09,19.7034,19.7034,19.1783,19.4639,237892
1996-05-10,19.6635,20.2217,19.4639,20.2217,406845
1996-05-13,20.1828,20.9856,20.1419,20.9856,195645
1996-05-14,21.0237,21.0713,20.5093,20.5093,242298
1996-05-15,20.5093,20.5093,19.5818,20.3065,223116
1996-05-16,20.2217,20.2217,19.8643,19.9812,255765
1996-05-17,19.9812,20.0679,19.7814,19.8643,225448
1996-05-20,19.9431,19.9812,19.419,19.7034,274945
1996-05-21,19.7415,19.8195,19.5418,19.6197,164294
1996-05-22,19.6197,19.6197,19.4639,19.5018,202387
1996-05-23,19.5418,19.5818,19.419,19.4639,116351
1996-05-24,19.5418,19.5818,19.4639,19.5018,130346
1996-05-28,19.4639,19.5018,19.3041,19.3041,122570
1996-05-29,19.2631,19.3401,19.2212,19.2212,132934
1996-05-30,19.2212,19.5018,19.1394,19.4639,106246
1996-05-31,19.3801,19.5418,19.2212,19.4639,164035
1996-06-03,19.3801,19.5018,19.2631,19.4639,176732
1996-06-04,19.5018,19.8195,19.5018,19.5818,43795
1996-06-05,19.6635,20.1419,19.5818,20.1419,102746
1996-06-06,19.6138,19.8564,19.1345,19.2115,94065
1996-06-07,18.887,19.2115,18.8063,18.9679,139679
1996-06-10,19.1345,19.2115,18.887,19.2115,102490
1996-06-11,19.1345,19.1345,18.4867,18.7253,208997
1996-06-12,18.887,19.0497,18.887,18.887,145376
1996-06-13,18.887,19.2115,18.887,19.0497,116742
1996-06-14,19.0497,19.1345,18.1602,18.322,114924
1996-06-17,18.246,18.246,17.5183,17.5183,129438
1996-06-18,17.8348,18.887,17.7599,18.7253,332472
1996-06-19,19.0497,19.0497,18.4068,18.4867,133719
1996-06-20,18.5607,18.6474,18.246,18.4068,266652
1996-06-21,18.5607,18.887,18.4068,18.887,257324
1996-06-24,18.887,19.2962,18.887,19.0497,199535
1996-06-25,19.0497,19.2115,18.9679,19.1345,100412
1996-06-26,18.9679,19.2115,18.887,18.887,154575
1996-06-27,19.0497,19.1345,18.887,18.9679,74373
1996-06-28,18.9679,19.2115,18.6474,19.2115,193832
1996-07-01,19.2115,19.2115,18.9679,19.2115,99381
1996-07-02,19.3722,19.3722,18.9679,19.0497,75795
1996-07-03,19.2115,19.2115,18.887,18.887,78389
1996-07-05,18.6474,18.6474,18.1602,18.246,59471
1996-07-08,18.246,18.7253,17.8348,17.8348,191243
1996-07-09,18.5607,18.5607,17.9976,18.4068,377302
1996-07-10,18.5607,18.5607,18.0794,18.322,121016
