date,open,high,low,close,volume
1996-01-02,5.23526,5.23526,5.19199,5.21362,3596554
1996-01-03,5.21362,5.21362,5.17065,5.19199,1724680
1996-01-04,5.19199,5.19199,5.11287,5.17065,1940749
1996-01-05,5.15623,5.19199,5.03385,5.0697,1182003
1996-01-08,5.04826,5.11287,5.03385,5.09123,454359
1996-01-09,5.1347,5.1347,4.99038,4.99038,1884094
1996-01-10,4.94731,4.99038,4.78907,4.81069,3222179
1996-01-11,4.88963,4.91126,4.84616,4.84616,1290872
1996-01-12,4.93308,4.93308,4.86809,4.91126,1219775
1996-01-15,4.88963,4.93308,4.86809,4.91126,728752
1996-01-16,4.91126,4.94731,4.81069,4.84616,1737450
1996-01-17,4.88963,5.0697,4.86809,5.03385,2518418
1996-01-18,5.03385,5.03385,4.94731,5.01221,1206440
1996-01-19,4.99038,5.04826,4.99038,5.03385,1707460
1996-01-22,5.03385,5.04826,4.99038,5.04826,1892984
1996-01-23,5.04826,5.1347,5.04826,5.04826,3173855
1996-01-24,5.0697,5.11287,4.91126,5.05538,1584707
1996-01-25,5.05538,5.0697,5.03385,5.05538,1761893
1996-01-26,5.0697,5.15623,5.05538,5.1347,2521197
1996-01-29,5.15623,5.21362,5.15623,5.17767,2258469
1996-01-30,5.19199,5.23526,5.15623,5.23526,2340123
1996-01-31,5.21362,5.25689,5.17767,5.21362,2512863
1996-02-01,5.21362,5.23526,5.15623,5.19199,2846692
1996-02-02,5.19199,5.19199,5.11287,5.1347,1175892
1996-02-05,5.11287,5.19199,5.09123,5.17767,2136270
1996-02-06,5.17767,5.17767,5.11287,5.1347,4090354
1996-02-07,5.17767,5.23526,5.17767,5.17767,5485095
1996-02-08,5.1347,5.30016,5.1347,5.27852,3252173
1996-02-09,5.27852,5.37918,5.25689,5.33631,3277173
1996-02-12,5.35754,5.40131,5.35754,5.37918,2192371
1996-02-13,5.33631,5.48023,5.33631,5.4585,3024438
1996-02-14,5.43716,5.43716,5.27852,5.33631,3008330
1996-02-15,5.31447,5.37918,5.27852,5.27852,2160709
1996-02-16,5.30016,5.30016,5.15623,5.23526,2947789
1996-02-20,5.19199,5.30016,5.19199,5.27852,1758008
1996-02-21,5.30016,5.35754,5.30016,5.31447,1923534
1996-02-22,5.35754,5.41563,5.35754,5.41563,1822443
1996-02-23,5.4585,5.4585,5.35754,5.4585,1496387
