date,open,high,low,close,volume
1996-01-02,3.81943,3.81943,3.75628,3.79144,1980804
1996-01-03,3.79144,3.83358,3.77023,3.81255,4588328
1996-01-04,3.83358,3.83358,3.73545,3.7493,4002784
1996-01-05,3.71462,3.75628,3.67218,3.71462,4030226
1996-01-08,3.73545,3.73545,3.70067,3.73545,734223
1996-01-09,3.73545,3.73545,3.67218,3.70067,861169
1996-01-10,3.6375,3.65135,3.4206,3.46254,1643428
1996-01-11,3.4765,3.51864,3.4206,3.4206,2966633
1996-01-12,3.46254,3.46254,3.4206,3.44879,2726466
1996-01-15,3.46254,3.4765,3.4206,3.4206,1530203
1996-01-16,3.4206,3.4765,3.35762,3.39948,2413107
1996-01-17,3.39948,3.65135,3.35047,3.61668,4860516
1996-01-18,3.61668,3.61668,3.53947,3.58142,3593353
1996-01-19,3.58142,3.66579,3.58142,3.59536,5539846
1996-01-22,3.61668,3.62356,3.58857,3.59536,539801
1996-01-23,3.6375,3.67218,3.59536,3.65135,731936
1996-01-24,3.67218,3.67218,3.6375,3.67218,854309
1996-01-25,3.67218,3.70067,3.6375,3.70067,5917256
1996-01-26,3.70067,4.07141,3.65135,4.0221,5810895
1996-01-29,4.01523,4.01523,3.9103,3.9103,1637707
1996-01-30,3.95235,4.08507,3.93133,4.04312,2582362
1996-01-31,4.02947,4.28104,3.99448,4.24598,3575049
1996-02-01,4.2671,4.3229,4.21809,4.24598,1770374
1996-02-02,4.16906,4.20432,4.07141,4.08507,1024707
1996-02-05,4.08507,4.11306,4.07141,4.11306,618713
1996-02-06,4.12692,4.12692,4.07141,4.08507,319075
1996-02-07,4.07141,4.11306,4.01523,4.01523,1379240
1996-02-08,4.02947,4.22516,4.02947,4.14813,2598375
1996-02-09,4.19018,4.20432,4.14813,4.17624,1055589
1996-02-12,4.19018,4.22516,4.14813,4.16906,1288891
1996-02-13,4.12692,4.12692,4.02947,4.07141,663316
1996-02-14,4.07141,4.07141,3.87553,3.9663,1244294
1996-02-15,3.9663,4.14813,3.95235,4.12692,2291878
1996-02-16,4.08507,4.19018,4.08507,4.16906,1081894
1996-02-20,4.14813,4.30895,4.14813,4.22516,1588533
1996-02-21,4.22516,4.24598,4.22516,4.24598,649594
1996-02-22,4.2671,4.28104,4.20432,4.2671,3260546
1996-02-23,4.28104,4.37909,4.24598,4.2671,1708617
1996-02-26,4.24598,4.28104,4.22516,4.2671,1611408
1996-02-27,4.24598,4.28104,4.24598,4.25296,635869
1996-02-28,4.24598,4.28104,4.22516,4.2671,1195118
1996-02-29,4.24598,4.24598,4.20432,4.22516,706776
1996-03-01,4.2671,4.2671,4.20432,4.20432,654160
1996-03-04,4.20432,4.24598,4.20432,4.22516,803989
1996-03-05,4.22516,4.24598,4.19018,4.22516,381981
1996-03-06,4.22516,4.22516,4.19018,4.19018,1988809
1996-03-07,4.42801,4.56082,4.37909,4.43479,6515380
1996-03-08,4.34392,4.60268,4.3229,4.46289,7540093
1996-03-11,4.46289,4.56082,4.40022,4.512,2776784
1996-03-12,4.51907,4.51907,4.40022,4.43479,2763064
1996-03-13,4.42801,4.44197,4.24598,4.28104,3118734
1996-03-14,4.30895,4.36514,4.28104,4.28104,1428418
1996-03-15,4.28104,4.30895,4.19018,4.20432,970959
1996-03-18,4.14813,4.19018,4.08507,4.19018,1572520
1996-03-19,4.16906,4.37909,4.16906,4.36514,2053998
1996-03-20,4.34392,4.37909,4.28104,4.3229,672462
1996-03-21,4.28104,4.3229,4.18302,4.26003,1367805
1996-03-22,4.26003,4.26003,4.20432,4.26003,621005
1996-03-25,4.22516,4.26003,4.16906,4.19706,833721
1996-03-26,4.19706,4.19706,4.16906,4.16906,487196
1996-03-27,4.19706,4.20432,4.16906,4.20432,1112770
1996-03-28,4.20432,4.20432,4.14087,4.16906,425441
1996-03-29,4.18302,4.24598,4.16906,4.18302,1392963
1996-04-01,4.24598,4.36514,4.22516,4.36514,1413554
1996-04-02,4.3229,4.42094,4.30207,4.30895,1636563
1996-04-03,4.34392,4.37909,4.30207,4.351,513499
1996-04-04,4.36514,4.5401,4.3229,4.49796,1951071
1996-04-08,4.44197,4.57478,4.42094,4.51907,2336480
1996-04-09,4.55395,4.71467,4.49796,4.65926,2548056
1996-04-10,4.65926,4.65926,4.5401,4.55395,1059021
1996-04-11,4.51907,4.5401,4.484,4.49796,643873
1996-04-12,4.484,4.65926,4.46289,4.46289,3537314
1996-04-15,4.49796,4.49796,4.44197,4.44197,535232
1996-04-16,4.49796,4.49796,4.44197,4.49796,1057876
1996-04-17,4.49796,4.51907,4.44197,4.47005,1427275
1996-04-18,4.49796,4.55395,4.484,4.51907,556958
1996-04-19,4.51907,4.55395,4.37909,4.40022,1380386
1996-04-22,4.40022,4.42094,4.30207,4.3229,1149371
1996-04-23,4.37909,4.49796,4.34392,4.46289,3179351
1996-04-24,4.51907,4.5401,4.46289,4.46289,1039582
1996-04-25,4.49796,4.51907,4.46289,4.49796,770825
1996-04-26,4.44197,4.484,4.44197,4.484,312215
1996-04-29,4.44197,4.484,4.44197,4.46289,162400
1996-04-30,4.484,4.484,4.40022,4.40022,1272880
1996-05-01,4.49796,4.49796,4.26003,4.26003,556386
1996-05-02,4.22516,4.30207,4.18302,4.24598,853162
1996-05-03,4.30207,4.30207,4.22516,4.30207,939511
1996-05-06,4.30207,4.30207,4.10639,4.22516,966955
1996-05-07,4.22516,4.22516,3.98713,4.05039,961813
1996-05-08,4.06414,4.10639,3.90304,4.0221,719926
1996-05-09,4.10639,4.10639,3.98713,4.10639,535232
1996-05-10,4.10639,4.30207,4.0221,4.22516,614714
1996-05-13,4.22516,4.46289,4.22516,4.46289,454600
1996-05-14,4.484,4.484,4.42094,4.484,701060
