date,open,high,low,close,volume
1996-01-02,4.56086,4.6197,4.18475,4.31752,41716411
1996-01-03,4.32451,4.38365,4.25828,4.36156,28739921
1996-01-04,4.38365,4.40592,4.20633,4.38365,37467152
1996-01-05,4.32451,4.45008,4.32451,4.36915,25175753
1996-01-08,4.38365,4.39833,4.25828,4.32451,6484449
1996-01-09,4.27276,4.28045,3.96319,4.00754,43007448
1996-01-10,3.97048,4.1402,3.96319,4.03671,39490968
1996-01-11,4.12542,4.27276,4.03671,4.25089,30581628
1996-01-12,4.25089,4.25089,4.03671,4.07377,26644562
1996-01-15,4.08126,4.10334,3.80806,3.80806,37328402
1996-01-16,3.89646,4.0514,3.83782,3.94102,29736110
1996-01-17,3.91873,4.27276,3.89646,4.07377,47960212
1996-01-18,4.12542,4.36156,4.03671,4.36156,21267956
1996-01-19,4.18475,4.25828,4.11822,4.20633,24858144
1996-01-22,4.22861,4.36156,4.18475,4.32451,19542235
1996-01-23,4.32451,4.32451,4.00754,4.1402,56486905
1996-01-24,4.16238,4.34688,4.1402,4.34688,57698811
1996-01-25,4.36915,4.39833,4.18475,4.20633,41467090
1996-01-26,4.20633,4.27276,4.14749,4.27276,24669527
1996-01-29,4.32451,4.32451,4.16238,4.16238,19385057
1996-01-30,4.18475,4.23639,4.1402,4.16238,20021361
1996-01-31,4.10334,4.14749,4.00754,4.12542,31530121
1996-02-01,4.09556,4.25089,4.0514,4.18475,33643912
1996-02-02,4.22861,4.30253,4.16987,4.27276,22760611
1996-02-05,4.36156,4.75304,4.33959,4.73028,65703020
1996-02-06,4.80429,4.91528,4.76025,4.86323,62873799
1996-02-07,4.87112,4.95943,4.68642,4.75304,45282748
1996-02-08,4.7085,4.77513,4.60491,4.66434,30724717
1996-02-09,4.62729,4.62729,4.4207,4.49442,42982513
1996-02-12,4.55336,4.62729,4.50931,4.62729,29557253
1996-02-13,4.42819,4.56086,4.42819,4.53139,43394430
1996-02-14,4.51641,4.57534,4.46486,4.48723,22295579
1996-02-15,4.46486,4.53139,4.42819,4.45008,20677180
1996-02-16,4.45008,4.56086,4.45008,4.47235,22741099
1996-02-20,4.46486,4.53139,4.38365,4.46486,30771327
1996-02-21,4.50931,4.56086,4.48723,4.55336,17079401
1996-02-22,4.64936,4.84865,4.60491,4.7971,57958970
1996-02-23,4.84865,4.84865,4.71609,4.7971,25469514
1996-02-26,4.71609,4.80429,4.71609,4.75304,13239899
1996-02-27,4.7085,4.71609,4.56086,4.57534,17406770
1996-02-28,4.57534,4.69372,4.55336,4.59782,19942232
1996-02-29,4.50931,4.53139,4.36915,4.44288,28923115
1996-03-01,4.38365,4.42819,4.30253,4.32451,29343705
1996-03-04,4.32451,4.38365,4.30253,4.32451,16154757
1996-03-05,4.33959,4.62729,4.33959,4.48723,37604826
1996-03-06,4.4207,4.42819,4.23639,4.23639,46636652
1996-03-07,4.20633,4.45008,4.20633,4.45008,31116032
1996-03-08,4.28045,4.49442,4.22861,4.38365,32853682
1996-03-11,4.45008,4.49442,4.38365,4.45008,22062526
1996-03-12,4.42819,4.44288,4.30253,4.38365,20191548
1996-03-13,4.42819,4.46486,4.33959,4.42819,14887567
1996-03-14,4.46486,4.50931,4.39833,4.4207,13295178
1996-03-15,4.47235,4.7085,4.47235,4.67154,46404682
1996-03-18,4.81909,4.88571,4.73816,4.81909,34847136
1996-03-19,4.84136,4.84136,4.68642,4.7971,16367218
1996-03-20,4.7085,4.73028,4.56086,4.60491,18646856
1996-03-21,4.58313,4.60491,4.49442,4.56086,15594329
1996-03-22,4.55336,4.57534,4.47235,4.55336,10691427
1996-03-25,4.57534,4.59782,4.46486,4.47235,10019351
1996-03-26,4.49442,4.60491,4.48723,4.56086,17378585
1996-03-27,4.60491,4.7085,4.58313,4.60491,17395930
1996-03-28,4.58313,4.64936,4.56086,4.6197,10256747
1996-03-29,4.64217,4.64217,4.51641,4.53139,12397631
1996-04-01,4.5239,4.57534,4.50162,4.50931,10743466
1996-04-02,4.50931,4.5239,4.46486,4.47964,9086033
1996-04-03,4.45786,4.63458,4.45786,4.6197,15777523
1996-04-04,4.63458,4.64217,4.53139,4.54627,8381441
