date,open,high,low,close,volume
1996-01-02,2.73641,2.87287,2.72133,2.85789,31113255
1996-01-03,2.84268,2.93413,2.84268,2.88886,39946377
1996-01-04,2.90319,2.96666,2.88886,2.9181,32485201
1996-01-05,2.87287,2.9181,2.87287,2.87287,20014635
1996-01-08,2.84268,2.88886,2.8276,2.87287,8531577
1996-01-09,2.88886,2.88886,2.8276,2.8276,21388149
1996-01-10,2.81285,2.81285,2.75185,2.78197,29926826
1996-01-11,2.78197,2.8276,2.76693,2.81285,20951608
1996-01-12,2.81285,2.8276,2.72133,2.73641,24375935
1996-01-15,2.75185,2.81285,2.73641,2.73641,12585813
1996-01-16,2.76693,2.78197,2.72133,2.76693,19915950
1996-01-17,2.52094,2.53622,2.4577,2.50574,130621215
1996-01-18,2.50574,2.52094,2.34619,2.36638,112361366
1996-01-19,2.36638,2.44249,2.3512,2.44249,95539749
1996-01-22,2.49063,2.53622,2.47545,2.52094,52602436
1996-01-23,2.50574,2.52094,2.49063,2.50574,27307664
1996-01-24,2.50574,2.50574,2.42728,2.4577,62691451
1996-01-25,2.44249,2.4577,2.44249,2.4577,39676411
1996-01-26,2.44249,2.4577,2.44249,2.4577,26253070
1996-01-29,2.4577,2.47545,2.44249,2.4577,41440666
1996-01-30,2.4577,2.49063,2.44249,2.47545,50017234
1996-01-31,2.47545,2.53622,2.44249,2.50574,53379176
1996-02-01,2.49063,2.6885,2.49063,2.67307,94684879
1996-02-02,2.6885,2.70329,2.61191,2.64287,43049404
1996-02-05,2.64287,2.73641,2.64287,2.73641,38992024
1996-02-06,2.72133,2.73641,2.6885,2.72133,32569663
1996-02-07,2.73641,2.78197,2.73641,2.78197,33340873
1996-02-08,2.78197,2.81285,2.76693,2.78197,34940144
1996-02-09,2.78197,2.78197,2.72133,2.75185,29314269
1996-02-12,2.78197,2.81285,2.76693,2.79728,35951336
1996-02-13,2.75185,2.76693,2.6885,2.6885,39001494
1996-02-14,2.73641,2.73641,2.67307,2.72133,31538724
1996-02-15,2.70329,2.75185,2.64287,2.64287,27122172
1996-02-16,2.64287,2.65795,2.61191,2.61191,40122412
1996-02-20,2.58171,2.59715,2.47545,2.56661,27261891
1996-02-21,2.55133,2.6885,2.55133,2.6885,29949717
1996-02-22,2.72133,2.75185,2.6885,2.75185,29531348
1996-02-23,2.76693,2.79728,2.65795,2.73641,31103003
1996-02-26,2.70329,2.73641,2.65795,2.67307,19745454
1996-02-27,2.65795,2.70329,2.58171,2.67307,32155233
1996-02-28,2.70329,2.73641,2.59715,2.61191,34841468
1996-02-29,2.59715,2.67307,2.58171,2.61191,31324823
1996-03-01,2.64287,2.67307,2.58171,2.65795,36289201
1996-03-04,2.64287,2.78197,2.62747,2.73641,57349738
1996-03-05,2.73641,2.81285,2.73641,2.79728,49130755
1996-03-06,2.81285,2.85789,2.78197,2.81285,48991834
1996-03-07,2.79728,2.81285,2.73641,2.78197,30033396
1996-03-08,2.76693,2.79728,2.67307,2.76693,32841984
1996-03-11,2.6885,2.76693,2.67307,2.73641,27051911
1996-03-12,2.72133,2.79728,2.6885,2.75185,30358605
1996-03-13,2.75185,2.8276,2.75185,2.8276,33324288
1996-03-14,2.8276,2.9181,2.8276,2.90319,61115860
1996-03-15,2.89641,2.94152,2.78715,2.92693,66251524
1996-03-18,2.95653,3.01805,2.94152,3.01805,59200832
1996-03-19,3.03265,3.05049,2.89641,2.92693,33238255
1996-03-20,2.94152,2.95653,2.89641,2.94152,19259204
1996-03-21,2.94152,2.95653,2.91107,2.91107,12552651
1996-03-22,2.94152,2.95653,2.91107,2.92693,14640564
1996-03-25,2.95653,2.97204,2.91107,2.91107,17644915
1996-03-26,2.91107,2.92693,2.88071,2.91107,15641488
1996-03-27,2.89641,2.92693,2.88071,2.91107,13061807
1996-03-28,2.91107,2.97204,2.88071,2.95653,34126308
1996-03-29,2.86502,2.88071,2.80171,2.83252,60696708
1996-04-01,2.86502,2.91107,2.81714,2.89641,29691588
1996-04-02,2.88071,2.89641,2.78715,2.80171,30012863
1996-04-03,2.80171,2.83252,2.78715,2.78715,21830982
1996-04-04,2.80171,2.81714,2.77197,2.77197,18279580
1996-04-08,2.69576,2.72612,2.66548,2.72612,30242565
1996-04-09,2.75654,2.75654,2.71068,2.71068,22746655
1996-04-10,2.71068,2.75654,2.68059,2.69576,24442237
1996-04-11,2.69576,2.7413,2.6502,2.69576,27448185
1996-04-12,2.69576,2.78715,2.66548,2.78715,36643623
1996-04-15,2.80171,2.81714,2.75654,2.80171,20742427
1996-04-16,2.80171,2.88071,2.7413,2.78715,20541938
1996-04-17,2.75654,2.80171,2.75654,2.77197,30386240
1996-04-18,2.75654,2.77197,2.72612,2.72612,21626544
1996-04-19,2.75654,2.78715,2.7413,2.77197,37286972
1996-04-22,2.80171,2.81714,2.77197,2.78715,21876761
1996-04-23,2.78715,2.86502,2.77197,2.81714,36109221
1996-04-24,2.85076,2.86502,2.78715,2.81714,34108929
1996-04-25,2.83252,2.85076,2.80171,2.85076,23440521
1996-04-26,2.86502,2.94152,2.86502,2.92693,39808239
1996-04-29,2.89641,2.91107,2.86502,2.88071,22263562
1996-04-30,2.86502,2.94152,2.86502,2.94152,26050990
1996-05-01,2.94152,3.03265,2.92693,2.9876,74528160
1996-05-02,2.9876,3.0092,2.89641,2.91107,36394193
1996-05-03,2.91107,2.94152,2.88071,2.89156,30288363
1996-05-06,2.94152,2.95653,2.88071,2.89641,17954356
1996-05-07,2.92693,2.94152,2.86502,2.89641,21782826
1996-05-08,2.88071,2.9876,2.86502,2.9876,31536353
1996-05-09,2.94152,2.95653,2.88071,2.91107,25680770
1996-05-10,2.94152,2.97204,2.91107,2.92693,27266623
1996-05-13,2.94152,3.00291,2.92693,2.9876,26547505
1996-05-14,3.01805,3.0656,3.00291,3.05049,44234260
1996-05-15,3.03265,3.08052,3.01805,3.01805,33336933
1996-05-16,3.03265,3.0656,3.00291,3.03265,22208295
1996-05-17,3.0656,3.08052,3.03265,3.03265,47565426
1996-05-20,3.05049,3.0656,3.01805,3.03265,20170131
1996-05-21,3.05049,3.0656,3.03265,3.05049,20353265
1996-05-22,3.0656,3.11084,3.05049,3.11084,50889496
1996-05-23,3.11084,3.12517,3.03265,3.03265,32782784
1996-05-24,3.0656,3.09651,3.05049,3.08052,19204733
1996-05-28,3.11084,3.25087,3.09651,3.14178,42932593
1996-05-29,3.14178,3.18737,3.14178,3.14178,28772758
1996-05-30,3.15708,3.15708,3.09651,3.14178,26879030
1996-05-31,3.14178,3.2017,3.12517,3.18737,26787472
1996-06-03,3.2017,3.23622,3.17239,3.2017,46217968
1996-06-04,3.26553,3.26553,3.23622,3.23622,40882577
1996-06-05,3.25087,3.26553,3.18737,3.2017,30967226
1996-06-06,3.23622,3.25087,3.17239,3.17239,22852439
1996-06-07,3.11084,3.2017,3.09651,3.2017,36829902
1996-06-10,3.2017,3.21766,3.17239,3.18737,19406809
1996-06-11,3.2017,3.25087,3.18737,3.2017,38599693
1996-06-12,3.2017,3.23622,3.2017,3.2017,21471017
1996-06-13,3.20984,3.20984,3.17988,3.20984,13919859
1996-06-14,3.19486,3.24045,3.19486,3.22613,24043606
1996-06-17,3.20984,3.22613,3.19486,3.19486,14765275
1996-06-18,3.17988,3.17988,3.10139,3.11638,26407009
1996-06-19,3.11638,3.11638,3.0402,3.0402,22164874
1996-06-20,3.05661,3.10139,3.05661,3.07042,28595931
1996-06-21,3.10139,3.17988,3.08628,3.1649,63097978
1996-06-24,3.17988,3.19486,3.14992,3.17988,20771649
1996-06-25,3.1649,3.1649,3.11638,3.13103,29887348
1996-06-26,3.11638,3.1649,3.10139,3.1649,23145293
1996-06-27,3.13103,3.14992,3.10139,3.13103,15293373
1996-06-28,3.14992,3.14992,3.11638,3.13103,13046798
1996-07-01,3.13103,3.13103,3.05661,3.07042,14923943
1996-07-02,3.05661,3.07042,3.0092,3.07042,16483732
1996-07-03,3.07042,3.10139,3.0402,3.07042,12951283
1996-07-05,3.02528,3.0402,3.0092,3.02528,6530509
1996-07-08,3.0092,3.07042,2.94654,2.96109,20587723
1996-07-09,3.0092,3.0402,2.98034,2.9948,16276154
1996-07-10,3.0092,3.0092,2.9014,2.96109,27898918
1996-07-11,2.9948,3.0092,2.9014,2.91596,26304382
1996-07-12,2.93136,2.98034,2.91596,2.94654,20411691
1996-07-15,2.94654,2.96109,2.85587,2.88638,17198134
1996-07-16,2.85587,2.88638,2.6856,2.8248,32935922
1996-07-17,2.85587,3.0092,2.79266,2.9948,27739464
1996-07-18,3.0092,3.02528,2.93136,2.98034,16997639
1996-07-19,2.9948,2.9948,2.87046,2.96109,26718812
1996-07-22,2.93136,2.94654,2.87046,2.87046,16294301
1996-07-23,2.88638,2.9014,2.84017,2.85587,15454406
1996-07-24,2.8248,2.94654,2.79266,2.94654,28573052
1996-07-25,2.96109,2.98034,2.87046,2.96109,28044944
1996-07-26,2.96109,3.0092,2.87046,2.96109,16053554
1996-07-29,2.96109,2.98034,2.93136,2.93136,18532966
1996-07-30,2.93136,2.96109,2.91596,2.96109,14986305
1996-07-31,2.94654,2.9948,2.93136,2.96109,17599925
1996-08-01,2.96109,3.02528,2.96109,3.02528,19949910
1996-08-02,3.0402,3.07042,3.0092,3.02528,18119331
1996-08-05,3.0402,3.0402,2.9948,3.02528,11489370
1996-08-06,3.02528,3.07042,2.98034,3.0402,14409274
1996-08-07,3.05661,3.10139,3.05661,3.05661,20146451
1996-08-08,3.0402,3.07042,3.02528,3.05661,11145200
1996-08-09,3.08628,3.1649,3.07042,3.11638,33462451
1996-08-12,3.13103,3.19486,3.11638,3.19486,23757071
1996-08-13,3.24045,3.30103,3.19486,3.19486,68186312
1996-08-14,3.22613,3.28575,3.20984,3.25576,47316002
1996-08-15,3.25576,3.36457,3.24045,3.34953,70273411
1996-08-16,3.34953,3.4557,3.34953,3.44077,74213981
1996-08-19,3.41013,3.42577,3.31893,3.31893,31446364
1996-08-20,3.33487,3.3805,3.31893,3.36457,30953814
1996-08-21,3.36457,3.3805,3.30103,3.31893,17465745
1996-08-22,3.33487,3.3805,3.31893,3.36457,23775211
1996-08-23,3.36457,3.36457,3.31893,3.31893,15580694
1996-08-26,3.30103,3.34953,3.30103,3.31893,15902789
1996-08-27,3.30103,3.36457,3.28575,3.31893,17331537
1996-08-28,3.33487,3.33487,3.30103,3.31893,13106803
1996-08-29,3.30851,3.30851,3.26325,3.26325,16269844
1996-08-30,3.26325,3.27854,3.23134,3.26325,18108290
1996-09-03,3.2144,3.29386,3.18476,3.27854,15962764
1996-09-04,3.27854,3.32478,3.27854,3.29386,16263506
1996-09-05,3.24795,3.27854,3.18476,3.19942,12824997
1996-09-06,3.2144,3.24795,3.18476,3.19942,19344449
1996-09-09,3.24795,3.30851,3.24795,3.27854,13357032
1996-09-10,3.29386,3.29386,3.26325,3.29386,13420967
1996-09-11,3.26325,3.29386,3.24795,3.29386,13357812
1996-09-12,3.30851,3.4173,3.29386,3.3857,32250752
1996-09-13,3.44823,3.46317,3.36973,3.36973,45713559
1996-09-16,3.3857,3.4339,3.36973,3.3857,23566036
1996-09-17,3.3857,3.40263,3.35443,3.35443,15997485
1996-09-18,3.35443,3.36973,3.27854,3.29386,19619936
1996-09-19,3.29386,3.35443,3.27854,3.32478,15889344
1996-09-20,3.35443,3.4173,3.35443,3.4173,46048255
1996-09-23,3.40263,3.40263,3.32478,3.35443,12697903
1996-09-24,3.30851,3.40263,3.29386,3.29386,26894834
1996-09-25,3.29386,3.32478,3.2144,3.2144,23513155
1996-09-26,3.2144,3.23134,3.18476,3.18476,21414989
1996-09-27,3.19942,3.24795,3.16946,3.23134,14727396
1996-09-30,3.26325,3.29386,3.24795,3.26325,22971629
1996-10-01,3.2144,3.23134,3.18476,3.2144,12783947
1996-10-02,3.2144,3.23134,3.15448,3.16946,24416190
1996-10-03,3.16946,3.26325,3.15448,3.26325,17267596
1996-10-04,3.23134,3.29386,3.2144,3.26325,21107924
1996-10-07,3.27854,3.35443,3.27854,3.30851,19376039
1996-10-08,3.3395,3.3857,3.32478,3.35443,24726408
1996-10-09,3.35443,3.35443,3.24795,3.26325,17642545
1996-10-10,3.27854,3.35443,3.26325,3.3395,21107924
1996-10-11,3.3857,3.40263,3.35443,3.40263,21725207
1996-10-14,3.3857,3.4173,3.36973,3.36973,21019505
1996-10-15,3.3857,3.4173,3.30851,3.32478,19930173
1996-10-16,3.3395,3.36973,3.30851,3.35443,17974871
1996-10-17,3.3857,3.4339,3.36973,3.4339,22629827
1996-10-18,3.4339,3.4932,3.4173,3.4792,63216397
1996-10-21,3.46317,3.4792,3.3857,3.40263,23918097
1996-10-22,3.4339,3.44823,3.40263,3.4173,17532837
1996-10-23,3.40263,3.40263,3.32478,3.40263,13693304
1996-10-24,3.3857,3.3857,3.32478,3.32478,14122727
1996-10-25,3.32478,3.36973,3.30851,3.3395,10351081
1996-10-28,3.32478,3.3857,3.30851,3.36973,14125881
1996-10-29,3.3395,3.40263,3.3395,3.3857,17978037
1996-10-30,3.31632,3.3395,3.23134,3.24795,30331774
1996-10-31,3.24795,3.32478,3.23134,3.27854,17976471
1996-11-01,3.30851,3.32478,3.24795,3.26325,20276700
1996-11-04,3.26325,3.27854,3.2144,3.24795,14141676
1996-11-05,3.26325,3.29386,3.23134,3.29386,17633087
1996-11-06,3.29386,3.32478,3.26325,3.32478,16106432
1996-11-07,3.30851,3.35443,3.30851,3.30851,20766116
1996-11-08,3.30851,3.35443,3.30851,3.3395,14339020
1996-11-11,3.3395,3.3395,3.27854,3.27854,13255986
1996-11-12,3.27854,3.29386,3.07567,3.10856,97064049
1996-11-13,3.09374,3.10856,2.96918,2.96918,91446849
1996-11-14,3.00001,3.07567,3.00001,3.0301,51201298
1996-11-15,3.07567,3.09374,3.0149,3.0301,53871751
1996-11-18,3.04561,3.07567,3.0301,3.0614,22246984
1996-11-19,3.0614,3.07567,2.98503,3.0301,39730886
1996-11-20,3.0614,3.07567,3.04561,3.07567,40765752
1996-11-21,3.09374,3.12288,3.07567,3.12288,27658150
1996-11-22,3.13917,3.15448,3.10856,3.15448,23102652
1996-11-25,3.16946,3.16946,3.12288,3.15448,25374495
1996-11-26,3.15448,3.18476,3.13917,3.13917,29422405
1996-11-27,3.15448,3.16946,3.13917,3.13917,18920562
1996-11-29,3.15448,3.18476,3.15448,3.15448,6447622
1996-12-02,3.16946,3.18476,3.15448,3.15448,16918695
1996-12-03,3.16946,3.23134,3.15448,3.2144,28052053
1996-12-04,3.18476,3.2144,3.13917,3.15448,25708408
1996-12-05,3.15448,3.18476,3.09374,3.15448,25938906
1996-12-06,3.0614,3.12288,3.04561,3.09374,22702467
1996-12-09,3.12288,3.12288,3.0301,3.04561,27920234
1996-12-10,3.0614,3.09374,3.04561,3.04561,24363303
1996-12-11,3.00575,3.0373,3.00575,3.00575,21973858
1996-12-12,3.0373,3.05339,2.95898,2.95898,29405836
1996-12-13,2.98972,2.98972,2.9294,2.95898,25140825
1996-12-16,2.95898,2.97464,2.88071,2.88071,32975397
1996-12-17,2.88071,2.88071,2.83548,2.85076,42205566
1996-12-18,2.88071,2.89856,2.85076,2.85076,30390972
1996-12-19,2.86502,2.91387,2.85076,2.89856,38063712
1996-12-20,2.98972,2.98972,2.91387,2.9294,63450044
1996-12-23,2.94428,2.97464,2.91387,2.91387,22565102
1996-12-24,2.91387,2.9294,2.89856,2.91387,7148584
1996-12-26,2.9294,3.02226,2.9294,2.97464,18264581
1996-12-27,3.00575,3.00575,2.95898,2.98972,13413082
1996-12-30,3.00575,3.00575,2.91387,2.91387,16062219
1996-12-31,2.89856,2.89856,2.81981,2.81981,24647473
1997-01-02,2.85076,2.86502,2.78992,2.85076,29397159
1997-01-03,2.85076,2.86502,2.80461,2.80461,22163311
1997-01-06,2.83548,2.85076,2.72612,2.7413,37419586
1997-01-07,2.78992,2.95898,2.78992,2.95898,54736121
1997-01-08,2.98972,3.00575,2.91387,2.9294,35194324
1997-01-09,2.9294,2.98972,2.9294,2.95898,30045230
1997-01-10,2.91387,2.98972,2.91387,2.97464,28413580
1997-01-13,2.97464,2.98972,2.88071,2.91387,20276700
1997-01-14,2.94428,2.95898,2.89856,2.91387,45202026
1997-01-15,2.88071,2.89856,2.83548,2.86502,30256779
1997-01-16,2.88071,2.88071,2.81981,2.86502,31113255
1997-01-17,2.88071,2.89856,2.81981,2.89856,47783288
1997-01-20,2.91387,2.92107,2.83548,2.83548,20280643
1997-01-21,2.83548,2.86502,2.81981,2.83548,42897859
1997-01-22,2.83548,2.86502,2.81981,2.86502,31601888
1997-01-23,2.85076,2.88071,2.81981,2.81981,59635779
1997-01-24,2.83548,2.86502,2.81981,2.85076,27741835
1997-01-27,2.83548,2.85076,2.81981,2.83548,32780413
1997-01-28,2.85076,2.88071,2.83548,2.83548,34281810
1997-01-29,2.85076,2.86502,2.83548,2.85076,23600767
1997-01-30,2.85076,2.88071,2.85076,2.88071,25784957
1997-01-31,2.88071,3.00575,2.88071,2.94428,45046539
1997-02-03,2.94428,2.94428,2.88071,2.89856,21043172
1997-02-04,2.89856,2.91387,2.88071,2.91387,17217875
1997-02-05,2.9294,2.98972,2.85076,2.86502,39580109
1997-02-06,2.91387,2.95898,2.89856,2.9294,30609641
1997-02-07,2.97464,2.97464,2.9294,2.95898,30660944
1997-02-10,2.98972,3.0373,2.98972,3.0373,29442938
1997-02-11,3.0373,3.08335,3.02226,3.0373,32770151
1997-02-12,3.06817,3.09912,3.05339,3.09912,28471205
1997-02-13,3.09912,3.11377,3.05339,3.08335,39200419
1997-02-14,3.08335,3.08335,3.02226,3.05339,24319099
1997-02-18,3.05339,3.08335,2.97464,3.08335,30334139
1997-02-19,3.05339,3.06817,3.02226,3.02226,28693808
1997-02-20,3.02226,3.02226,2.91387,2.94428,32204174
1997-02-21,2.94428,2.98972,2.94428,2.97464,32647802
1997-02-24,2.95898,3.06817,2.94428,3.05339,29283487
1997-02-25,3.11377,3.30103,3.06817,3.26846,88814281
1997-02-26,3.30103,3.3463,3.20691,3.31632,74153196
1997-02-27,3.31632,3.3463,3.30103,3.31632,44992859
1997-02-28,3.33163,3.33163,3.26846,3.26846,27900493
1997-03-03,3.25283,3.36157,3.25283,3.3463,33844490
1997-03-04,3.36157,3.39253,3.28345,3.28345,24259892
1997-03-05,3.30103,3.31632,3.25283,3.30103,23593671
1997-03-06,3.3463,3.39253,3.30103,3.37787,51152363
1997-03-07,3.40783,3.4339,3.37787,3.37787,28239129
1997-03-10,3.40783,3.4339,3.39253,3.39253,28635421
1997-03-11,3.40783,3.44077,3.37787,3.44077,30703566
1997-03-12,3.4557,3.56517,3.44077,3.56517,81351520
1997-03-13,3.67103,3.67103,3.56517,3.59473,81530706
1997-03-14,3.59473,3.59473,3.4557,3.56517,51251029
1997-03-17,3.5577,3.60323,3.4932,3.58693,32542823
1997-03-18,3.60323,3.61827,3.5577,3.61827,41170709
1997-03-19,3.68173,3.71203,3.66547,3.71203,75741413
1997-03-20,3.69707,3.71203,3.63353,3.65047,43915355
1997-03-21,3.65047,3.71203,3.65047,3.69707,47085495
1997-03-24,3.71203,3.71203,3.66547,3.69707,29234542
1997-03-25,3.71203,3.71203,3.61827,3.63353,64883542
1997-03-26,3.63353,3.68173,3.61827,3.68173,49917778
1997-03-27,3.66547,3.68173,3.50913,3.58693,35540081
1997-03-31,3.5577,3.60323,3.4339,3.46317,47795929
1997-04-01,3.4339,3.4792,3.4173,3.44823,29236126
1997-04-02,3.4339,3.46317,3.4173,3.44823,28111250
1997-04-03,3.44823,3.46317,3.4173,3.44823,39554061
1997-04-04,3.4339,3.46317,3.40037,3.46317,32290221
1997-04-07,3.44823,3.4932,3.4339,3.4792,15653316
1997-04-08,3.46317,3.5577,3.4339,3.5577,26700634
1997-04-09,3.57233,3.58693,3.5267,3.5577,26661969
1997-04-10,3.5267,3.54133,3.4932,3.5267,19353136
1997-04-11,3.4792,3.50913,3.4339,3.4339,24784042
1997-04-14,3.4173,3.46317,3.36973,3.44823,25743916
1997-04-15,3.4792,3.54133,3.46317,3.54133,23308696
1997-04-16,3.5267,3.5267,3.46317,3.4792,35559815
1997-04-17,3.4792,3.4932,3.44823,3.46317,16412704
1997-04-18,3.46317,3.4932,3.46317,3.4932,24783247
1997-04-21,3.4792,3.4792,3.4339,3.44823,20363530
1997-04-22,3.44823,3.46317,3.40037,3.44823,24786394
1997-04-23,3.46317,3.5267,3.44823,3.4792,24616703
1997-04-24,3.46317,3.4792,3.4173,3.4173,16971576
1997-04-25,3.4339,3.44823,3.36973,3.36973,16087499
1997-04-28,3.35443,3.46317,3.35443,3.44823,16417439
1997-04-29,3.4932,3.4932,3.40037,3.44823,22131737
1997-04-30,3.44823,3.54133,3.4339,3.4932,33658208
1997-05-01,3.4792,3.50913,3.46317,3.50913,21000568
1997-05-02,3.50913,3.5267,3.4932,3.5267,20354858
1997-05-05,3.5267,3.5577,3.46317,3.5267,48879746
1997-05-06,3.50913,3.54133,3.4792,3.5267,31698190
1997-05-07,3.5577,3.5798,3.4792,3.50913,25619989
1997-05-08,3.5267,3.65047,3.5267,3.63353,41019128
1997-05-09,3.63353,3.63353,3.57233,3.60323,20361162
1997-05-12,3.59473,3.71203,3.59473,3.69707,28720654
1997-05-13,3.72737,3.7492,3.60323,3.72737,55737055
1997-05-14,3.74103,3.75733,3.72737,3.74103,35397997
1997-05-15,3.72737,3.7902,3.71203,3.7902,27942326
1997-05-16,3.7902,3.7902,3.71203,3.71203,37013060
1997-05-19,3.72737,3.7902,3.71203,3.7902,18200637
1997-05-20,3.75733,3.7902,3.75733,3.7902,16799508
1997-05-21,3.7902,3.80617,3.71203,3.72737,28780662
1997-05-22,3.74103,3.75733,3.66547,3.69707,16196424
1997-05-23,3.72737,3.74103,3.69707,3.74103,11751445
1997-05-27,3.68173,3.74103,3.66547,3.71203,14512678
1997-05-28,3.71203,3.74103,3.69707,3.72737,20343009
1997-05-29,3.72737,3.77523,3.69707,3.74103,17754644
