date,open,high,low,close,volume
1996-01-02,8.22287,8.65524,8.22287,8.65524,2043829
1996-01-03,8.55873,8.58197,8.48587,8.51009,3530067
1996-01-04,8.48587,8.55873,8.31956,8.36998,3005928
1996-01-05,8.3426,8.39095,8.12656,8.22287,2624025
1996-01-08,8.20003,8.27101,8.15316,8.1752,1144059
1996-01-09,8.1752,8.22287,7.93988,8.05341,3491579
1996-01-10,8.12656,8.20003,8.08069,8.08069,2291884
1996-01-11,8.12656,8.27101,8.12656,8.27101,4585447
1996-01-12,8.27101,8.3426,8.12656,8.12656,2696384
1996-01-15,8.0343,8.08069,7.91496,7.91496,3087917
1996-01-16,7.69843,7.86712,7.61582,7.84279,5979235
1996-01-17,7.72394,7.89272,7.72394,7.89272,2432018
1996-01-18,7.86712,7.86712,7.67766,7.74924,1754365
1996-01-19,7.69843,7.91496,7.65256,7.84279,3541360
1996-01-22,8.0343,8.24867,8.01048,8.12656,2326604
1996-01-23,8.11643,8.11643,7.86712,7.91496,2236252
1996-01-24,7.86712,7.91496,7.82054,7.86712,1922526
1996-01-25,7.86712,8.15316,7.82054,8.08069,2046761
1996-01-26,8.12656,8.12656,7.98586,8.08069,1720896
1996-01-29,8.05617,8.4393,8.05617,8.41468,2754951
1996-01-30,8.4646,8.82184,8.4393,8.67631,4561598
1996-01-31,8.63603,8.87628,8.58276,8.87628,4390518
1996-02-01,8.82794,8.82794,8.63603,8.66065,2275989
1996-02-02,8.63603,8.70652,8.63603,8.66065,1938002
1996-02-05,8.60984,8.63603,8.51295,8.63603,1562364
1996-02-06,8.60984,8.77566,8.5614,8.77566,1866895
1996-02-07,8.77566,8.92178,8.75636,8.89766,1668612
1996-02-08,8.8493,8.87628,8.73026,8.80333,2412775
1996-02-09,8.75636,8.89766,8.66065,8.70652,3629619
1996-02-12,8.80333,9.04486,8.77566,8.96826,3829153
1996-02-13,8.89766,8.94501,8.73026,8.75636,4826384
1996-02-14,8.70652,8.75636,8.44175,8.63603,2686769
1996-02-15,8.63603,8.66065,8.48784,8.51295,1123569
1996-02-16,8.41714,8.58276,8.29721,8.41714,2348780
1996-02-20,8.22554,8.37066,8.22554,8.25034,1515510
1996-02-21,8.27378,8.48784,8.27378,8.44175,1268716
1996-02-22,8.48784,8.70652,8.46559,8.66065,3494511
1996-02-23,8.66065,8.70652,8.58276,8.66065,3094192
1996-02-26,8.60984,8.66065,8.58276,8.60984,3394118
1996-02-27,8.5614,8.58276,8.44175,8.48784,2816443
1996-02-28,8.53579,8.58276,8.37066,8.37066,2028353
1996-02-29,8.25034,8.27378,8.15316,8.15316,2012457
1996-03-01,8.1752,8.20357,8.0343,8.08069,5202025
1996-03-04,8.05617,8.58276,8.0343,8.46559,7143793
1996-03-05,8.41714,8.44175,8.25034,8.37066,2777953
1996-03-06,8.37066,8.41714,8.25034,8.34437,3439712
1996-03-07,8.34437,8.73026,8.34437,8.68152,5262263
1996-03-08,8.51295,8.70652,8.46559,8.51295,6392520
1996-03-11,8.51295,8.70652,8.46559,8.68152,4856089
1996-03-12,8.66065,8.68152,8.5614,8.66065,4092265
1996-03-13,8.63603,8.66065,8.53579,8.66065,2106578
1996-03-14,8.63603,8.75636,8.58276,8.66065,4015298
1996-03-15,8.68152,8.80333,8.66065,8.80333,4632296
1996-03-18,8.80333,9.35522,8.80333,9.18586,5584359
1996-03-19,9.37787,9.5236,9.21048,9.35522,5919837
1996-03-20,9.32824,9.32824,9.04486,9.14046,2521119
1996-03-21,9.11299,9.14046,9.02034,9.04486,2009532
1996-03-22,9.02034,9.02034,8.89766,8.94501,1529320
1996-03-25,8.99287,9.09409,8.99287,9.02034,2024590
1996-03-26,9.04486,9.11299,8.96826,9.09409,1081732
1996-03-27,9.06761,9.09409,8.94501,9.02034,1368271
1996-03-28,8.94501,8.96826,8.87628,8.92178,1911645
1996-03-29,8.94501,9.11299,8.87628,8.87628,3784810
1996-04-01,8.87628,8.87628,8.82794,8.8493,4096868
1996-04-02,8.89766,9.06761,8.89766,9.04486,2632801
1996-04-03,8.99287,9.02034,8.92178,8.94501,1485395
1996-04-04,8.94501,8.99287,8.92178,8.94501,1663593
1996-04-08,8.80333,8.8493,8.75636,8.8493,1815021
1996-04-09,9.02034,9.16509,8.96826,9.09409,3514168
