poll_index,http_status,elapsed_s,error
0,200,0.230,
1,200,0.173,
2,200,0.100,
3,200,0.230,
4,200,0.169,
5,200,0.234,
6,200,0.348,
7,200,0.364,
8,200,0.215,
9,200,0.134,
10,200,0.196,
11,200,0.228,
12,200,0.232,
13,200,0.374,
14,200,0.408,
15,200,0.776,
16,200,0.251,
17,200,0.397,
18,200,0.108,
19,200,0.362,
20,200,0.107,
21,200,0.131,
22,200,0.569,
23,200,0.100,
24,200,0.100,
25,200,0.291,
26,200,2.357,
27,200,0.625,
28,200,0.428,
29,200,0.698,
30,200,0.096,
31,200,0.100,
32,200,0.098,
33,200,0.094,
34,200,0.100,
35,200,1.844,
36,200,0.124,
37,200,1.193,
38,200,0.191,
39,200,0.151,
40,200,0.115,
41,200,0.257,
42,200,0.191,
43,200,0.108,
44,200,0.101,
45,200,0.123,
46,200,0.217,
47,200,0.103,
48,200,0.112,
49,200,0.119,
50,200,0.100,
51,200,0.105,
52,200,0.139,
53,200,0.112,
54,200,1.123,
55,200,0.147,
56,200,0.182,
57,200,0.110,
58,200,0.107,
59,200,0.122,
60,200,0.101,
61,200,0.100,
62,200,0.107,
63,200,0.142,
64,200,0.102,
65,200,0.196,
66,200,0.417,
67,200,0.127,
68,200,0.108,
69,200,1.131,
70,200,0.143,
71,200,0.309,
72,200,0.117,
73,200,0.102,
74,200,0.248,
75,200,0.118,
76,200,0.123,
77,200,0.136,
78,200,0.117,
79,200,0.124,
80,200,0.160,
81,200,0.121,
82,200,0.110,
83,200,0.123,
84,200,0.166,
85,200,0.104,
86,200,0.142,
87,200,0.195,
88,200,0.190,
89,200,0.131,
90,200,0.220,
91,200,0.415,
92,200,0.128,
93,200,0.207,
94,200,0.126,
95,200,0.176,
96,200,0.200,
97,200,0.113,
98,200,0.188,
99,200,0.105,
100,200,0.517,
101,200,0.203,
102,200,2.535,
103,200,3.717,
104,200,2.874,
105,200,5.577,
106,200,0.153,
107,200,0.161,
108,200,0.139,
109,200,0.159,
110,200,0.169,
111,200,0.199,
112,200,0.123,
113,200,0.168,
114,200,0.100,
115,200,0.124,
116,200,0.127,
117,200,0.179,
118,200,0.140,
119,200,0.160,
120,200,0.125,
121,200,0.147,
122,200,0.128,
123,200,0.110,
124,200,0.215,
125,200,0.216,
126,200,0.163,
127,200,0.177,
128,200,0.153,
129,200,0.188,
130,200,0.210,
131,200,0.139,
132,200,0.130,
133,200,0.188,
134,200,0.145,
135,200,0.189,
136,200,0.297,
137,200,0.201,
138,200,0.125,
139,200,0.154,
140,200,0.137,
141,200,0.106,
142,200,0.202,
143,200,0.217,
144,200,0.204,
145,200,0.219,
146,200,0.117,
147,200,0.157,
148,200,0.478,
149,200,0.303,
150,200,0.233,
151,200,0.167,
152,200,0.448,
153,200,0.181,
154,200,0.099,
155,200,0.101,
156,200,0.171,
157,200,0.108,
158,200,0.172,
159,200,0.114,
160,200,0.097,
161,200,0.102,
162,200,0.104,
163,200,0.105,
164,200,0.182,
165,200,0.128,
166,200,0.179,
167,200,0.129,
168,200,0.137,
169,200,0.097,
170,200,0.105,
171,200,0.116,
172,200,0.114,
173,200,0.197,
174,200,0.129,
175,200,0.099,
176,200,0.209,
177,200,1.000,
178,200,0.103,
179,200,0.127,
180,200,0.119,
181,200,0.104,
182,200,0.100,
183,200,0.099,
184,200,0.104,
185,200,0.100,
186,200,0.103,
187,200,0.110,
188,200,0.096,
189,200,0.102,
190,200,0.096,
191,200,0.104,
192,200,0.096,
193,200,0.181,
194,200,0.099,
195,200,0.127,
196,200,0.138,
197,200,0.102,
198,200,0.103,
199,200,0.158,
200,200,0.320,
201,200,0.103,
202,200,0.101,
203,200,0.098,
204,200,0.099,
205,200,0.112,
206,200,0.165,
207,200,0.102,
208,200,0.096,
209,200,0.193,
210,200,0.099,
211,200,0.099,
212,200,0.118,
213,200,0.106,
214,200,0.100,
215,200,0.139,
216,200,0.194,
217,200,0.115,
218,200,0.097,
219,200,0.103,
220,200,0.168,
221,200,0.604,
222,200,0.273,
223,200,0.103,
224,200,0.126,
225,200,0.129,
226,200,0.122,
227,200,0.099,
228,200,0.103,
229,200,0.104,
230,200,0.105,
231,200,0.170,
232,200,0.124,
233,200,0.185,
234,200,0.109,
235,200,0.108,
236,200,0.183,
237,200,0.185,
238,200,0.126,
239,200,0.118,
240,200,0.101,
241,200,0.120,
242,200,0.108,
243,200,0.133,
244,200,0.101,
245,200,0.101,
246,200,0.110,
247,200,0.099,
248,200,0.138,
249,200,0.112,
250,200,0.193,
251,200,0.098,
252,200,0.104,
253,200,0.100,
254,200,0.101,
255,200,0.098,
256,200,0.162,
257,200,0.111,
258,200,0.106,
259,200,0.138,
260,200,0.149,
261,200,0.105,
262,200,0.098,
263,200,0.150,
264,200,0.099,
265,200,0.364,
266,200,0.109,
267,200,0.100,
268,200,0.208,
269,200,0.139,
270,200,0.222,
271,200,0.306,
272,200,0.153,
273,200,0.142,
274,200,0.341,
275,200,0.292,
276,200,0.110,
277,200,0.116,
278,200,0.226,
279,200,0.211,
280,200,0.100,
281,200,0.150,
282,200,0.157,
283,200,0.171,
284,200,0.506,
285,200,0.305,
286,200,0.314,
287,200,0.152,
288,200,0.291,
289,200,0.098,
290,200,0.099,
291,200,0.163,
292,200,0.105,
293,200,0.550,
294,200,0.255,
295,200,0.143,
296,200,0.109,
297,200,0.112,
298,200,0.378,
299,200,0.164,
300,200,0.134,
301,200,0.185,
302,200,0.186,
303,200,0.224,
304,200,0.285,
305,200,0.639,
306,200,0.220,
307,200,0.240,
308,200,0.226,
309,200,0.231,
310,200,0.257,
311,200,0.761,
312,200,0.554,
313,200,0.251,
314,200,0.211,
315,200,0.372,
316,200,0.430,
317,200,0.391,
318,200,0.767,
319,200,0.329,
320,200,0.971,
321,200,0.432,
322,200,0.913,
323,200,0.184,
324,200,0.099,
325,200,0.146,
326,200,0.286,
327,200,0.830,
328,200,0.799,
329,200,0.972,
330,200,0.099,
331,200,0.243,
332,200,0.263,
333,200,0.155,
334,200,0.248,
335,200,0.316,
336,200,0.176,
337,200,0.289,
338,200,0.579,
339,200,0.312,
340,200,0.246,
341,200,0.836,
342,200,0.329,
343,200,0.294,
344,200,1.143,
345,200,0.300,
346,200,0.130,
347,200,1.183,
348,200,0.200,
349,200,0.313,
350,200,0.240,
351,200,0.185,
352,200,0.305,
353,200,0.207,
