iso_utc,elapsed_s,label,pid,VmPeak_kB,VmSize_kB,VmRSS_kB,readiness
2026-09-01T03:19:41.786735+00:00,0.00,standing,1724495,2125140,2125140,1545640,initializing
2026-09-01T03:19:46.900016+00:00,5.40,standing,1724495,2294100,2294100,1721860,initializing
2026-09-01T03:19:52.324670+00:00,10.51,standing,1724495,2600428,2600428,2026684,initializing
2026-09-01T03:19:57.330154+00:00,15.94,standing,1724495,3038684,3038684,2417068,initializing
2026-09-01T03:20:02.359428+00:00,20.94,standing,1724495,3038684,1750504,1169840,initializing
2026-09-01T03:20:07.364423+00:00,25.97,standing,1724495,3038684,1881560,1285564,ready
2026-09-01T03:20:12.368816+00:00,30.98,standing,1724495,3038684,1881560,1285564,ready
2026-09-01T03:20:17.374417+00:00,35.98,standing,1724495,3038684,1881544,1285524,ready
2026-09-01T03:20:22.379420+00:00,40.99,standing,1724495,3038684,1880520,1284516,ready
2026-09-01T03:20:27.382940+00:00,45.99,standing,1724495,3038684,1880520,1284516,ready
2026-09-01T03:20:32.386264+00:00,50.99,standing,1724495,3038684,1880520,1284516,ready
2026-09-01T03:20:37.390077+00:00,56.00,standing,1724495,3038684,1879496,1283508,ready
2026-09-01T03:20:42.393390+00:00,61.00,standing,1724495,3038684,1878472,1282484,ready
2026-09-01T03:20:47.396645+00:00,66.01,standing,1724495,3038684,1878472,1282484,ready
2026-09-01T03:20:52.401355+00:00,71.01,standing,1724495,3038684,1878472,1282484,ready
2026-09-01T03:20:57.406224+00:00,76.01,standing,1724495,3038684,1877448,1281476,ready
2026-09-01T03:21:02.409977+00:00,81.02,standing,1724495,3038684,1877448,1281476,ready
2026-09-01T03:21:07.413577+00:00,86.02,standing,1724495,3038684,1877448,1281476,ready
2026-09-01T03:21:12.417598+00:00,91.03,standing,1724495,3038684,1877448,1281476,ready
2026-09-01T03:21:17.421031+00:00,96.03,standing,1724495,3038684,1877448,1281476,ready
2026-09-01T03:21:22.424987+00:00,101.03,standing,1724495,3038684,1877448,1281476,ready
2026-09-01T03:21:27.428815+00:00,106.04,standing,1724495,3038684,1877448,1281476,ready
2026-09-01T03:21:32.433237+00:00,111.04,standing,1724495,3038684,1877448,1281476,ready
2026-09-01T03:21:37.437203+00:00,116.04,standing,1724495,3038684,1877448,1281476,ready
2026-09-01T03:21:42.440543+00:00,121.05,standing,1724495,3038684,1876424,1280468,ready
2026-09-01T03:21:47.444623+00:00,126.05,standing,1724495,3038684,1876424,1280468,ready
2026-09-01T03:21:52.447859+00:00,131.06,standing,1724495,3038684,1876424,1280468,ready
2026-09-01T03:21:57.451636+00:00,136.06,standing,1724495,3038684,1876424,1280468,ready
2026-09-01T03:22:02.456046+00:00,141.06,standing,1724495,3038684,1876424,1280468,ready
2026-09-01T03:22:07.459381+00:00,146.07,standing,1724495,3038684,1876424,1280468,ready
2026-09-01T03:22:12.463311+00:00,151.07,standing,1724495,3038684,1876424,1280468,ready
2026-09-01T03:22:17.467563+00:00,156.07,standing,1724495,3038684,1876424,1280468,ready
2026-09-01T03:22:22.472784+00:00,161.08,standing,1724495,3038684,1951112,1291600,ready
2026-09-01T03:22:27.477674+00:00,166.08,standing,1724495,3038684,2016648,1355692,ready
2026-09-01T03:22:32.483253+00:00,171.09,standing,1724495,3038684,1316180,678220,ready
2026-09-01T03:22:37.489898+00:00,176.09,standing,1724495,3038684,1312084,674156,ready
2026-09-01T03:22:42.495825+00:00,181.10,standing,1724495,3038684,1310036,672140,ready
2026-09-01T03:22:47.501002+00:00,186.11,standing,1724495,3038684,1309012,671116,ready
2026-09-01T03:22:52.506024+00:00,191.11,standing,1724495,3038684,1309012,671116,ready
2026-09-01T03:22:57.512918+00:00,196.12,standing,1724495,3038684,1290576,669128,ready
2026-09-01T03:23:02.518021+00:00,201.12,standing,1724495,3038684,1290576,669128,ready
2026-09-01T03:23:07.522301+00:00,206.13,standing,1724495,3038684,1289552,668104,ready
2026-09-01T03:23:12.527047+00:00,211.13,standing,1724495,3038684,1289552,668104,ready
2026-09-01T03:23:17.532491+00:00,216.14,standing,1724495,3038684,1282368,661000,ready
2026-09-01T03:23:22.537733+00:00,221.14,standing,1724495,3038684,1282384,661008,ready
2026-09-01T03:23:27.543192+00:00,226.15,standing,1724495,3038684,1281840,660624,ready
2026-09-01T03:23:32.547679+00:00,231.15,standing,1724495,3038684,1281840,660648,ready
2026-09-01T03:23:37.553140+00:00,236.16,standing,1724495,3038684,1281840,660652,ready
2026-09-01T03:23:42.558129+00:00,241.16,standing,1724495,3038684,1281840,660652,ready
2026-09-01T03:23:47.562801+00:00,246.17,standing,1724495,3038684,1281840,660652,ready
2026-09-01T03:23:52.568283+00:00,251.17,standing,1724495,3038684,1281856,660660,ready
2026-09-01T03:23:57.574676+00:00,256.18,standing,1724495,3038684,1269568,648464,ready
2026-09-01T03:24:02.578482+00:00,261.19,standing,1724495,3038684,1268544,647440,ready
2026-09-01T03:24:07.583662+00:00,266.19,standing,1724495,3038684,1268544,647440,ready
2026-09-01T03:24:12.589400+00:00,271.20,standing,1724495,3038684,1265456,644384,ready
2026-09-01T03:24:17.594484+00:00,276.20,standing,1724495,3038684,1265456,644384,ready
2026-09-01T03:24:22.599330+00:00,281.21,standing,1724495,3038684,1265456,644384,ready
2026-09-01T03:24:27.605091+00:00,286.21,standing,1724495,3038684,1264516,643448,ready
2026-09-01T03:24:32.610071+00:00,291.22,standing,1724495,3038684,1263492,642440,ready
2026-09-01T03:24:37.643662+00:00,296.22,standing,1724495,3038684,1262468,641432,ready
2026-09-01T03:24:42.648365+00:00,301.26,standing,1724495,3038684,1262468,641432,ready
2026-09-01T03:24:47.653228+00:00,306.26,standing,1724495,3038684,1262468,641432,ready
2026-09-01T03:24:52.657644+00:00,311.26,standing,1724495,3038684,1262484,641440,ready
2026-09-01T03:24:57.661720+00:00,316.27,standing,1724495,3038684,1261460,640500,ready
2026-09-01T03:25:02.665173+00:00,321.27,standing,1724495,3038684,1260436,639492,ready
2026-09-01T03:25:07.669166+00:00,326.28,standing,1724495,3038684,1923204,727836,ready
2026-09-01T03:25:12.672661+00:00,331.28,standing,1724495,3038684,1923204,727836,ready
2026-09-01T03:25:17.678001+00:00,336.28,standing,1724495,3038684,1923204,727836,ready
2026-09-01T03:25:22.683247+00:00,341.29,standing,1724495,3038684,1611496,727388,ready
2026-09-01T03:25:27.687637+00:00,346.29,standing,1724495,3038684,1299820,726864,ready
2026-09-01T03:25:32.691894+00:00,351.30,standing,1724495,3038684,1298796,725856,ready
2026-09-01T03:25:37.696502+00:00,356.30,standing,1724495,3038684,1298796,725856,ready
2026-09-01T03:25:42.700031+00:00,361.31,standing,1724495,3038684,1298796,725856,ready
2026-09-01T03:25:47.703724+00:00,366.31,standing,1724495,3038684,1298796,725856,ready
2026-09-01T03:25:52.708983+00:00,371.32,standing,1724495,3038684,1298796,725856,ready
2026-09-01T03:25:57.712211+00:00,376.32,standing,1724495,3038684,1298796,725856,ready
2026-09-01T03:26:02.716581+00:00,381.32,standing,1724495,3038684,1298796,725856,ready
2026-09-01T03:26:07.721012+00:00,386.33,standing,1724495,3038684,1298796,725856,ready
2026-09-01T03:26:12.724996+00:00,391.33,standing,1724495,3038684,1298796,725856,ready
2026-09-01T03:26:17.728910+00:00,396.34,standing,1724495,3038684,1298796,725856,ready
