epoch,worker,http_code,time_total_s,evidence_status,evidence_asof
1784886987,5,200,1.102173,ready,2026-07-22
1784886987,1,200,1.106843,ready,2026-07-22
1784886987,6,200,1.139067,ready,2026-07-22
1784886987,2,200,1.167467,ready,2026-07-22
1784886988,3,200,1.266762,ready,2026-07-22
1784886988,4,200,1.270759,ready,2026-07-22
1784886989,6,200,1.144508,ready,2026-07-22
1784886989,5,200,1.193663,ready,2026-07-22
1784886989,1,200,1.202610,ready,2026-07-22
1784886989,3,200,1.056170,ready,2026-07-22
1784886989,2,200,1.165889,ready,2026-07-22
1784886989,4,200,1.080159,ready,2026-07-22
1784886990,6,200,1.057487,ready,2026-07-22
1784886990,1,200,1.058411,ready,2026-07-22
1784886990,5,200,1.075611,ready,2026-07-22
1784886990,3,200,1.066305,ready,2026-07-22
1784886990,2,200,1.081055,ready,2026-07-22
1784886990,4,200,1.074303,ready,2026-07-22
1784886991,5,200,1.038575,ready,2026-07-22
1784886991,6,200,1.089468,ready,2026-07-22
1784886991,3,200,1.056638,ready,2026-07-22
1784886991,1,200,1.091430,ready,2026-07-22
1784886991,4,200,1.050186,ready,2026-07-22
1784886991,2,200,1.063579,ready,2026-07-22
1784886992,1,200,1.011437,ready,2026-07-22
1784886992,4,200,1.009679,ready,2026-07-22
1784886992,5,200,1.073037,ready,2026-07-22
1784886992,6,200,1.075180,ready,2026-07-22
1784886992,3,200,1.075625,ready,2026-07-22
1784886992,2,200,1.053477,ready,2026-07-22
1784886993,1,200,1.132266,ready,2026-07-22
1784886993,5,200,1.127982,ready,2026-07-22
1784886993,4,200,1.150222,ready,2026-07-22
1784886993,2,200,1.114000,ready,2026-07-22
1784886993,6,200,1.144027,ready,2026-07-22
1784886993,3,200,1.148193,ready,2026-07-22
1784886994,4,200,1.021152,ready,2026-07-22
1784886994,1,200,1.062975,ready,2026-07-22
1784886994,5,200,1.063301,ready,2026-07-22
1784886994,6,200,1.038626,ready,2026-07-22
1784886994,2,200,1.057066,ready,2026-07-22
1784886994,3,200,1.049334,ready,2026-07-22
1784886995,1,200,1.015363,ready,2026-07-22
1784886995,6,200,1.044912,ready,2026-07-22
1784886995,2,200,1.051994,ready,2026-07-22
1784886995,4,200,1.112989,ready,2026-07-22
1784886995,5,200,1.106056,ready,2026-07-22
1784886995,3,200,1.092724,ready,2026-07-22
1784886996,1,200,1.103365,ready,2026-07-22
1784886996,6,200,1.049107,ready,2026-07-22
1784886996,2,200,1.044866,ready,2026-07-22
1784886996,4,200,1.065337,ready,2026-07-22
1784886996,5,200,1.043837,ready,2026-07-22
1784886996,3,200,1.029273,ready,2026-07-22
1784886997,1,200,1.076984,ready,2026-07-22
1784886997,6,200,1.070996,ready,2026-07-22
1784886997,2,200,1.114335,ready,2026-07-22
1784886997,3,200,1.094082,ready,2026-07-22
1784886997,5,200,1.109777,ready,2026-07-22
1784886998,4,200,1.155811,ready,2026-07-22
1784886998,1,200,1.069420,ready,2026-07-22
1784886999,2,200,1.035333,ready,2026-07-22
1784886999,6,200,1.105002,ready,2026-07-22
1784886999,3,200,1.042393,ready,2026-07-22
1784886999,4,200,1.003027,ready,2026-07-22
1784886999,5,200,1.059072,ready,2026-07-22
1784887000,6,200,1.043087,ready,2026-07-22
1784887000,1,200,1.100577,ready,2026-07-22
1784887000,2,200,1.082644,ready,2026-07-22
1784887000,5,200,1.055072,ready,2026-07-22
1784887000,4,200,1.122853,ready,2026-07-22
1784887000,3,200,1.131083,ready,2026-07-22
1784887001,2,200,1.058536,ready,2026-07-22
1784887001,1,200,1.088999,ready,2026-07-22
1784887001,5,200,1.075103,ready,2026-07-22
1784887001,6,200,1.130723,ready,2026-07-22
1784887001,4,200,1.037403,ready,2026-07-22
1784887001,3,200,1.053406,ready,2026-07-22
1784887002,1,200,1.041223,ready,2026-07-22
1784887002,2,200,1.074534,ready,2026-07-22
1784887002,6,200,1.040081,ready,2026-07-22
1784887002,5,200,1.066305,ready,2026-07-22
1784887002,4,200,1.062382,ready,2026-07-22
1784887002,3,200,1.052485,ready,2026-07-22
1784887003,2,200,1.061386,ready,2026-07-22
1784887003,6,200,1.058934,ready,2026-07-22
1784887003,1,200,1.105828,ready,2026-07-22
1784887003,5,200,1.086290,ready,2026-07-22
1784887003,4,200,1.077479,ready,2026-07-22
1784887003,3,200,1.079704,ready,2026-07-22
1784887004,6,200,1.030086,ready,2026-07-22
1784887004,2,200,1.064789,ready,2026-07-22
1784887004,4,200,1.019421,ready,2026-07-22
1784887004,5,200,1.036825,ready,2026-07-22
1784887004,1,200,1.063434,ready,2026-07-22
1784887004,3,200,1.053519,ready,2026-07-22
1784887005,6,200,1.052638,ready,2026-07-22
1784887005,2,200,1.046520,ready,2026-07-22
1784887005,5,200,1.077452,ready,2026-07-22
1784887005,4,200,1.095275,ready,2026-07-22
1784887005,1,200,1.087747,ready,2026-07-22
1784887005,3,200,1.092166,ready,2026-07-22
1784887006,2,200,1.072724,ready,2026-07-22
1784887006,6,200,1.101248,ready,2026-07-22
1784887006,5,200,1.051775,ready,2026-07-22
1784887006,1,200,1.046671,ready,2026-07-22
1784887006,4,200,1.070044,ready,2026-07-22
1784887006,3,200,1.059059,ready,2026-07-22
1784887007,2,200,1.066749,ready,2026-07-22
1784887007,6,200,1.068230,ready,2026-07-22
1784887007,5,200,1.071563,ready,2026-07-22
1784887007,1,200,1.058844,ready,2026-07-22
1784887007,4,200,1.064798,ready,2026-07-22
1784887007,3,200,1.055622,ready,2026-07-22
1784887008,2,200,1.081698,ready,2026-07-22
1784887008,6,200,1.077318,ready,2026-07-22
1784887008,5,200,1.072710,ready,2026-07-22
1784887008,4,200,1.070600,ready,2026-07-22
1784887008,1,200,1.091423,ready,2026-07-22
1784887008,3,200,1.080556,ready,2026-07-22
1784887009,2,200,1.037956,ready,2026-07-22
1784887009,5,200,1.030662,ready,2026-07-22
1784887010,1,200,1.029691,ready,2026-07-22
1784887010,6,200,1.066724,ready,2026-07-22
1784887010,4,200,1.040040,ready,2026-07-22
1784887010,3,200,1.040697,ready,2026-07-22
1784887011,5,200,1.098006,ready,2026-07-22
1784887011,2,200,1.127566,ready,2026-07-22
1784887011,6,200,1.101387,ready,2026-07-22
1784887011,1,200,1.118427,ready,2026-07-22
1784887011,3,200,1.101526,ready,2026-07-22
1784887011,4,200,1.130811,ready,2026-07-22
1784887012,5,200,1.045527,ready,2026-07-22
1784887012,2,200,1.052021,ready,2026-07-22
1784887012,4,200,1.027533,ready,2026-07-22
1784887012,6,200,1.072704,ready,2026-07-22
1784887012,3,200,1.059756,ready,2026-07-22
1784887012,1,200,1.082035,ready,2026-07-22
1784887013,4,200,1.030943,ready,2026-07-22
1784887013,2,200,1.074145,ready,2026-07-22
1784887013,5,200,1.091508,ready,2026-07-22
1784887013,6,200,1.095993,ready,2026-07-22
1784887013,3,200,1.106958,ready,2026-07-22
1784887013,1,200,1.125814,ready,2026-07-22
