phase,elapsed_s,bt_http,bt_latency_s,bt_evidence_status,hp_http,hp_latency_s,hp_readiness,vmpeak_kb
trigger,0.00,200,0.0879,refreshing,,,,2631612
poll,0.00,200,0.1129,refreshing,200,0.0933,ready,2631612
poll,1.21,200,0.1997,refreshing,200,0.2054,ready,2631612
poll,2.62,200,0.0252,refreshing,200,0.0915,ready,2631612
poll,3.73,200,0.0496,refreshing,200,0.0951,ready,2631612
poll,4.88,200,0.1035,refreshing,200,0.0949,ready,2631612
poll,6.08,200,7.0876,refreshing,200,0.1302,ready,2631612
poll,14.30,200,0.1101,refreshing,200,0.1453,ready,2631612
poll,15.56,200,0.0716,refreshing,200,0.1555,ready,2631612
poll,16.79,200,0.0242,refreshing,200,0.0908,ready,2631612
poll,17.91,200,0.0514,refreshing,200,0.1432,ready,2631612
poll,19.10,200,0.0835,refreshing,200,0.1241,ready,2631612
poll,20.31,200,6.6827,refreshing,200,0.1114,ready,2631612
poll,28.11,200,0.1176,refreshing,200,0.1171,ready,2631612
poll,29.34,200,0.1701,refreshing,200,0.2530,ready,2631612
poll,30.77,200,0.0301,refreshing,200,0.0903,ready,2631612
poll,31.89,200,0.0985,refreshing,200,0.1078,ready,2631612
poll,33.10,200,0.0504,refreshing,200,0.1144,ready,2631612
poll,34.27,200,6.6474,refreshing,200,0.1152,ready,2631612
poll,42.03,200,0.0989,refreshing,200,0.1417,ready,2631612
poll,43.28,200,0.1168,refreshing,200,0.1419,ready,2631612
poll,44.54,200,0.0819,refreshing,200,0.0977,ready,2631612
poll,45.72,200,0.0503,refreshing,200,0.0967,ready,2631612
poll,46.87,200,0.0558,refreshing,200,0.1441,ready,2631612
poll,48.07,200,7.1191,refreshing,200,0.1161,ready,2631612
poll,56.31,200,0.1387,refreshing,200,0.1303,ready,2631612
poll,57.58,200,0.0992,refreshing,200,0.1646,ready,2631612
poll,58.84,200,0.0242,refreshing,200,0.0924,ready,2631612
poll,59.96,200,0.0502,refreshing,200,0.0993,ready,2631612
