elapsed_s,bt_http,bt_latency_s,bt_evidence_status,hp_http,hp_latency_s,hp_readiness,vmpeak_kb
0.00,200,9.3195,refreshing,200,0.1473,ready,6291424
10.47,200,10.0957,refreshing,200,0.1519,ready,6291424
25.54,200,0.6476,refreshing,200,0.1360,ready,6291424
31.72,200,0.7163,refreshing,200,0.2310,ready,6291424
33.67,200,0.7971,refreshing,200,0.1447,ready,6291424
40.58,200,1.0677,refreshing,200,0.1147,ready,6291424
42.76,200,0.8620,refreshing,200,0.1131,ready,6291424
50.47,200,1.0960,refreshing,200,0.1440,ready,6291424
52.71,200,1.0035,refreshing,200,0.1612,ready,6291424
60.78,200,1.0185,refreshing,200,0.1766,ready,6291424
69.68,200,1.0758,refreshing,200,0.1477,ready,6291424
79.01,200,1.0810,refreshing,200,0.2046,ready,6291424
88.66,200,1.1879,refreshing,200,0.1719,ready,6291424
98.88,200,1.4239,refreshing,200,0.4977,ready,6291424
109.39,200,1.5224,refreshing,200,0.1050,ready,6291424
120.67,200,1.2449,refreshing,200,0.1597,ready,6291424
131.49,200,1.0140,refreshing,200,0.1900,ready,6291424
139.52,200,1.0661,refreshing,200,0.1166,ready,6291424
145.38,200,0.4934,refreshing,200,0.1405,ready,6291424
147.02,200,0.4926,refreshing,200,0.1947,ready,6291424
148.71,200,0.5474,refreshing,200,0.1474,ready,6291424
153.64,200,0.5872,refreshing,200,0.1325,ready,6291424
155.37,200,0.5683,refreshing,200,0.1248,ready,6291424
157.06,200,0.5805,refreshing,200,0.1383,ready,6291424
161.80,200,0.5469,refreshing,200,0.1389,ready,6291424
163.48,200,0.5500,refreshing,200,0.1089,ready,6291424
165.14,200,0.5580,refreshing,200,0.1496,ready,6291424
169.62,200,0.5225,refreshing,200,0.1191,ready,6291424
171.26,200,0.5648,refreshing,200,0.1206,ready,6291424
172.95,200,0.5403,refreshing,200,0.1491,ready,6291424
174.64,200,0.5003,refreshing,200,0.1189,ready,6291424
179.49,200,0.5247,refreshing,200,0.2327,ready,6291424
