epoch_s,vmpeak_kb,vmhwm_kb,bg_active,horizons_done,horizons_total,baseline_matches
1785403908.1648483,2693672,2329964,1,2,5,1
1785403911.4973767,2693672,2329964,1,3,5,1
1785403914.8847375,2693672,2329964,1,3,5,1
1785403918.233422,2693672,2329964,1,3,5,1
1785403921.5054934,2693672,2329964,1,3,5,1
1785403924.8016205,2693672,2329964,1,4,5,1
1785403928.0376492,2693672,2329964,1,4,5,1
1785403931.3577561,2693672,2329964,1,4,5,1
1785403934.701232,2693672,2329964,1,4,5,1
1785403937.9241312,2693672,2329964,1,4,5,1
1785403941.494394,2693672,2329964,0,-1,-1,1
